,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
39,T38,T38,Larry Mize,53,"77' 2""",37975,41,"4' 4""","171' 3"""
40,T41,T41,Jason Gore,86,"77' 1""",66609,72,"4' 4""","133' 6"""
41,T41,T41,John Huston,74,"77' 1""",60148,65,"4' 4""","130' 11"""
42,T41,T41,Brandt Jobe,91,"77' 1""",64765,70,"4' 4""","170' 3"""
43,T41,T41,Arron Oberholser,82,"77' 1""",57344,62,"4' 4""","161' 9"""
44,T41,T41,Ryan Palmer,101,"77' 1""",75858,82,"4' 4""","166' 8"""
45,T46,T46,James Driscoll,80,"76' 10""",70064,76,"4' 4""","151' 4"""
46,T46,T46,Mathew Goggin,72,"76' 10""",53496,58,"4' 4""","158' 6"""
47,48,48,Briny Baird,81,"76' 9""",64481,70,"4' 4""","166' 5"""
48,49,49,Carl Pettersson,95,"76' 8""",68967,75,"4' 4""","159' 3"""
49,50,50,Geoff Ogilvy,76,"76' 7""",47780,52,"4' 3""","134' 9"""
50,T51,T51,Michael Connell,51,"76' 6""",38544,42,"4' 3""","125' 9"""
51,T51,T51,Jim Furyk,89,"76' 6""",62437,68,"4' 4""","128' 0"""
52,T51,T51,Jesper Parnevik,84,"76' 6""",67046,73,"4' 4""","137' 3"""
53,T54,T54,Hunter Mahan,98,"76' 4""",80566,88,"4' 3""","155' 6"""
54,T54,T54,"Wes Short, Jr.",96,"76' 4""",77844,85,"4' 3""","151' 9"""
55,T54,T54,Mike Sposa,68,"76' 4""",53117,58,"4' 3""","150' 9"""
56,57,57,Aaron Baddeley,78,"76' 2""",62137,68,"4' 3""","128' 6"""
57,58,58,Henrik Bjornstad,97,"76' 1""",81299,89,"4' 3""","160' 7"""
58,59,59,Olin Browne,108,"76' 0""",78427,86,"4' 3""","133' 1"""
59,60,60,Greg Chalmers,71,"75' 10""",50983,56,"4' 3""","131' 2"""
60,61,61,Luke Donald,66,"75' 8""",39044,43,"4' 3""","124' 9"""
61,T62,T62,Jason Schultz,77,"75' 7""",58931,65,"4' 3""","146' 11"""
62,T62,T62,Bo Van Pelt,102,"75' 7""",81605,90,"4' 3""","126' 0"""
63,64,64,Bernhard Langer,77,"75' 6""",53473,59,"4' 3""","177' 2"""
64,T65,T65,Troy Matteson,101,"75' 5""",78727,87,"4' 3""","138' 10"""
65,T65,T65,Tim Petrovic,95,"75' 5""",75145,83,"4' 3""","138' 7"""
66,T67,T67,Frank Lickliter II,99,"75' 4""",76854,85,"4' 3""","140' 4"""
67,T67,T67,Jeff Maggert,81,"75' 4""",61451,68,"4' 3""","160' 11"""
68,T69,T69,Woody Austin,107,"75' 3""",83938,93,"4' 3""","144' 0"""
69,T69,T69,D.A. Points,82,"75' 3""",64110,71,"4' 3""","178' 8"""
70,T71,T71,Alex Aragon,63,"75' 2""",48682,54,"4' 2""","122' 7"""
71,T71,T71,Tommy Armour III,65,"75' 2""",47780,53,"4' 3""","116' 4"""
72,T71,T71,J.J. Henry,96,"75' 2""",69486,77,"4' 3""","218' 6"""
73,T71,T71,J.L. Lewis,57,"75' 2""",45119,50,"4' 3""","161' 5"""
74,T75,T75,Harrison Frazar,95,"75' 1""",67604,75,"4' 3""","144' 10"""
75,T75,T75,José María Olazábal,62,"75' 1""",35131,39,"4' 3""","145' 0"""
76,T75,T75,Vance Veazey,59,"75' 1""",48629,54,"4' 3""","127' 0"""
77,T78,T78,Todd Fischer,101,"74' 11""",80947,90,"4' 3""","152' 10"""
78,T78,T78,Jerry Smith,94,"74' 11""",75541,84,"4' 3""","130' 10"""
79,80,80,Joe Ogilvie,95,"74' 10""",70034,78,"4' 3""","166' 10"""
80,T81,T81,Jeff Overton,95,"74' 8""",77926,87,"4' 2""","152' 2"""
81,T81,T81,Tag Ridings,103,"74' 8""",80661,90,"4' 3""","147' 11"""
82,T83,T83,Mathias Grönberg,92,"74' 7""",70690,79,"4' 3""","162' 5"""
83,T83,T83,John Rollins,93,"74' 7""",67988,76,"4' 2""","140' 8"""
84,T83,T83,Tjaart van der Walt,60,"74' 7""",46529,52,"4' 2""","124' 4"""
85,86,86,Fred Funk,106,"74' 6""",76005,85,"4' 2""","170' 10"""
86,87,87,Steve Flesch,119,"74' 4""",91845,103,"4' 2""","139' 6"""
87,T88,T88,Stuart Appleby,83,"74' 3""",57024,64,"4' 3""","134' 9"""
88,T88,T88,Rory Sabbatini,84,"74' 3""",57007,64,"4' 2""","150' 2"""
89,T88,T88,John Senden,96,"74' 3""",70409,79,"4' 2""","141' 8"""
90,T91,T91,Steve Elkington,52,"74' 2""",40052,45,"4' 2""","127' 5"""
91,T91,T91,Vijay Singh,103,"74' 2""",74793,84,"4' 2""","141' 9"""
92,T93,T93,Eric Axley,91,"74' 1""",70223,79,"4' 2""","155' 11"""
93,T93,T93,Corey Pavin,74,"74' 1""",50663,57,"4' 2""","172' 9"""
94,T93,T93,Steve Stricker,64,"74' 1""",45357,51,"4' 3""","140' 1"""
95,96,96,Marco Dawson,87,"74' 0""",68391,77,"4' 2""","137' 0"""
96,T97,T97,Michael Allen,84,"73' 11""",63898,72,"4' 2""","118' 10"""
97,T97,T97,Stephen Leaney,84,"73' 11""",68313,77,"4' 2""","141' 6"""
98,T99,T99,Rich Beem,85,"73' 10""",56699,64,"4' 2""","117' 7"""
99,T99,T99,Todd Hamilton,72,"73' 10""",49623,56,"4' 2""","154' 10"""
100,T99,T99,Justin Rose,98,"73' 10""",76219,86,"4' 2""","145' 1"""
101,T99,T99,Kevin Sutherland,100,"73' 10""",77121,87,"4' 2""","152' 9"""
102,103,103,Danny Ellis,68,"73' 9""",52212,59,"4' 2""","139' 1"""
103,T104,T104,Shane Bertsch,104,"73' 8""",79536,90,"4' 2""","133' 1"""
104,T104,T104,Chad Campbell,91,"73' 8""",59236,67,"4' 2""","121' 11"""
105,T106,T106,K.J. Choi,93,"73' 7""",69761,79,"4' 2""","138' 11"""
106,T106,T106,Jerry Kelly,100,"73' 7""",74199,84,"4' 2""","189' 3"""
107,108,108,Lucas Glover,105,"73' 6""",75877,86,"4' 2""","138' 4"""
108,109,109,D.J. Trahan,92,"73' 5""",66984,76,"4' 2""","131' 0"""
109,T110,T110,"John Engler, Jr.",69,"73' 4""",55444,63,"4' 1""","149' 11"""
110,T110,T110,Will MacKenzie,91,"73' 4""",65085,74,"4' 2""","145' 0"""
111,T110,T110,Phil Mickelson,74,"73' 4""",41351,47,"4' 1""","130' 7"""
112,113,113,Mark Calcavecchia,94,"73' 3""",69441,79,"4' 1""","124' 8"""
113,T114,T114,Brian Bateman,69,"73' 2""",51796,59,"4' 1""","126' 6"""
114,T114,T114,Bob Estes,85,"73' 2""",65851,75,"4' 1""","129' 2"""
115,T114,T114,Paul Stankowski,70,"73' 2""",55306,63,"4' 1""","125' 3"""
116,T117,T117,Sean O'Hair,100,"73' 1""",66667,76,"4' 1""","127' 3"""
117,T117,T117,Jimmy Walker,60,"73' 1""",49121,56,"4' 1""","126' 9"""
118,119,119,Ron Whittaker,81,"73' 0""",62178,71,"4' 1""","127' 10"""
119,T120,T120,Dudley Hart,83,"72' 11""",62129,71,"4' 1""","165' 8"""
120,T120,T120,Heath Slocum,96,"72' 11""",73537,84,"4' 1""","146' 10"""
121,T122,T122,Lee Janzen,79,"72' 10""",59444,68,"4' 1""","137' 6"""
122,T122,T122,Bob Tway,81,"72' 10""",58546,67,"4' 1""","155' 10"""
123,T124,T124,Doug Barron,74,"72' 9""",58506,67,"4' 1""","137' 5"""
124,T124,T124,John Cook,67,"72' 9""",47117,54,"4' 2""","141' 4"""
125,T124,T124,Robert Gamez,94,"72' 9""",71587,82,"4' 1""","133' 8"""
126,T124,T124,Zach Johnson,98,"72' 9""",67210,77,"4' 1""","140' 10"""
127,T124,T124,Steve Jones,83,"72' 9""",60227,69,"4' 1""","154' 6"""
128,T124,T124,Nick Watney,97,"72' 9""",75093,86,"4' 1""","188' 4"""
129,T130,T130,Charles Howell III,96,"72' 8""",68888,79,"4' 1""","130' 8"""
130,T130,T130,Billy Mayfair,94,"72' 8""",67160,77,"4' 1""","170' 9"""
131,T132,T132,Billy Andrade,78,"72' 7""",52262,60,"4' 1""","126' 1"""
132,T132,T132,Tom Lehman,70,"72' 7""",40958,47,"4' 1""","133' 7"""
133,T132,T132,Hidemichi Tanaka,74,"72' 7""",56635,65,"4' 1""","136' 4"""
134,T135,T135,Shaun Micheel,96,"72' 6""",67879,78,"4' 1""","141' 6"""
135,T135,T135,Adam Scott,70,"72' 6""",44352,51,"4' 1""","107' 1"""
136,T135,T135,Kirk Triplett,58,"72' 6""",42642,49,"4' 1""","125' 7"""
137,138,138,John Daly,51,"72' 5""",35618,41,"4' 1""","125' 1"""
138,T139,T139,Jeff Brehaut,100,"72' 2""",73650,85,"4' 1""","136' 8"""
139,T139,T139,Jeff Sluman,101,"72' 2""",71863,83,"4' 1""","156' 6"""
140,T139,T139,Duffy Waldorf,96,"72' 2""",70977,82,"4' 1""","147' 3"""
141,142,142,Pat Perez,50,"72' 1""",36326,42,"4' 1""","123' 5"""
142,143,143,Mike Weir,88,"72' 0""",54450,63,"4' 0""","125' 3"""
143,144,144,Camilo Villegas,95,"71' 11""",70737,82,"4' 1""","163' 2"""
144,145,145,Trevor Immelman,86,"71' 10""",62897,73,"4' 0""","196' 9"""
145,146,146,Carlos Franco,86,"71' 9""",66323,77,"4' 0""","154' 2"""
146,147,147,Ryuji Imada,105,"71' 7""",73887,86,"4' 0""","157' 3"""
147,T148,T148,Kris Cox,83,"71' 6""",61752,72,"4' 0""","142' 10"""
148,T148,T148,Robert Garrigus,85,"71' 6""",63496,74,"4' 1""","145' 1"""
149,T150,T150,Paul Goydos,72,"71' 4""",54770,64,"4' 0""","132' 6"""
150,T150,T150,Steve Lowery,99,"71' 4""",71037,83,"4' 0""","124' 5"""
151,T150,T150,Brett Wetterich,82,"71' 4""",61614,72,"4' 0""","121' 11"""
152,T153,T153,Fred Couples,52,"71' 3""",27345,32,"3' 12""","106' 7"""
153,T153,T153,Brian Davis,92,"71' 3""",68398,80,"4' 1""","134' 7"""
154,T153,T153,Retief Goosen,68,"71' 3""",39324,46,"4' 0""","131' 8"""
155,T156,T156,Sergio Garcia,59,"71' 1""",33283,39,"4' 0""","152' 5"""
156,T156,T156,Padraig Harrington,54,"71' 1""",32424,38,"3' 12""","148' 3"""
157,T156,T156,Charley Hoffman,100,"71' 1""",75039,88,"4' 0""","180' 1"""
158,T156,T156,Kenny Perry,73,"71' 1""",51194,60,"3' 12""","117' 6"""
159,160,160,Scott Gutschewski,53,"70' 11""",37448,44,"4' 0""","136' 0"""
160,161,161,Joe Durant,101,"70' 8""",81400,96,"3' 11""","139' 7"""
161,T162,T162,Chris DiMarco,83,"70' 5""",51558,61,"3' 11""","137' 8"""
162,T162,T162,Daisuke Maruyama,83,"70' 5""",59167,70,"3' 12""","124' 3"""
163,T164,T164,Paul Azinger,87,"70' 4""",66708,79,"3' 12""","129' 7"""
164,T164,T164,Greg Owen,79,"70' 4""",52358,62,"3' 12""","110' 1"""
165,T166,T166,Tim Herron,82,"70' 2""",52217,62,"3' 11""","138' 1"""
166,T166,T166,Skip Kendall,72,"70' 2""",48820,58,"3' 11""","125' 11"""
167,168,168,Scott Verplank,88,"70' 1""",57219,68,"3' 11""","120' 11"""
168,169,169,David Branshaw,98,"70' 0""",72217,86,"3' 11""","132' 7"""
169,170,170,Greg Kraft,79,"69' 10""",56133,67,"3' 11""","113' 3"""
170,171,171,Patrick Sheehan,104,"69' 8""",72756,87,"3' 11""","160' 10"""
171,T172,T172,Bart Bryant,87,"69' 6""",58412,70,"3' 11""","134' 7"""
172,T172,T172,Bubba Dickerson,98,"69' 6""",71692,86,"3' 11""","126' 11"""
173,T172,T172,Ernie Els,69,"69' 6""",39178,47,"3' 11""","135' 3"""
174,175,175,Jason Bohn,104,"69' 0""",73709,89,"3' 11""","122' 11"""
175,176,176,Chris Couch,75,"68' 11""",54562,66,"3' 11""","119' 11"""
176,177,177,Bob May,65,"68' 9""",43740,53,"3' 11""","148' 0"""
177,T178,T178,Matt Hansen,68,"68' 8""",47776,58,"3' 10""","126' 2"""
178,T178,T178,Roger Tambellini,64,"68' 8""",43668,53,"3' 10""","128' 0"""
179,180,180,Thomas Levet,53,"68' 7""",39497,48,"3' 10""","170' 10"""
180,181,181,Charles Warren,93,"68' 6""",66614,81,"3' 11""","132' 0"""
181,182,182,Ryan Hietala,61,"68' 3""",41786,51,"3' 10""","132' 11"""
182,T183,T183,Alex Cejka,93,"68' 2""",65454,80,"3' 10""","124' 3"""
183,T183,T183,Ian Leggatt,80,"68' 2""",57273,70,"3' 10""","105' 4"""
184,T183,T183,Joey Sindelar,90,"68' 2""",61328,75,"3' 10""","158' 6"""
185,186,186,Robert Damron,91,"68' 0""",66935,82,"3' 10""","122' 11"""
186,187,187,Jon Mills,68,"67' 8""",43839,54,"3' 10""","128' 3"""
187,188,188,Nicholas Thompson,96,"67' 7""",63220,78,"3' 10""","126' 0"""
188,189,189,Bubba Watson,83,"67' 3""",58072,72,"3' 9""","120' 1"""
189,190,190,Bill Haas,99,"67' 0""",70754,88,"3' 9""","143' 8"""
190,T191,T191,Jeff Gove,91,"66' 10""",64194,80,"3' 9""","125' 9"""
191,T191,T191,Jonathan Kaye,95,"66' 10""",68972,86,"3' 9""","145' 10"""
192,193,193,Justin Leonard,83,"66' 2""",51594,65,"3' 9""","144' 11"""
193,194,194,Peter Lonard,77,"65' 7""",51966,66,"3' 8""","126' 4"""
194,195,195,Omar Uresti,61,"64' 11""",39749,51,"3' 8""","119' 2"""
195,196,196,Mark Brooks,90,"63' 9""",56624,74,"3' 7""","112' 6"""
