,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
181,182,182,Chris DiMarco,83,3.42,234,8
182,183,183,Greg Kraft,79,3.41,264,9
183,184,184,Thomas Levet,53,3.4,206,7
184,185,185,Jeff Overton,95,3.39,354,12
185,186,186,"Wes Short, Jr.",96,3.38,325,11
186,187,187,Daisuke Maruyama,83,3.17,284,9
187,188,188,Peter Lonard,77,3.08,260,8
188,189,189,Paul Azinger,87,2.98,302,9
189,190,190,Rory Sabbatini,84,2.9,241,7
190,191,191,Ryan Hietala,61,2.84,211,6
191,192,192,Roger Tambellini,64,2.81,249,7
192,193,193,Chris Couch,75,2.74,292,8
193,194,194,Michael Connell,51,2.48,161,4
194,195,195,Stephen Ames,63,2.4,167,4
195,196,196,Kris Cox,83,2.05,292,6
