,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
79,80,80,J.L. Lewis,99,58.64,95,162,-105,+18.00
80,81,81,Carlos Franco,99,58.51,141,241,-156,-3.00
81,82,82,David Gossett,92,58.33,98,168,-108,-19.00
82,83,83,Tim Herron,102,58.24,106,182,-110,E
83,84,84,Shaun Micheel,97,58.23,92,158,-97,-8.00
84,85,85,Bob Tway,89,58.06,90,155,-96,-13.00
85,86,86,Hank Kuehne,73,58.05,119,205,-127,+4.00
86,87,87,Chris Smith,92,58.01,105,181,-112,+3.00
87,88,88,Ernie Els,65,57.89,55,95,-63,-7.00
88,89,89,José Coceres,62,57.84,59,102,-64,-3.00
89,90,90,J.P. Hayes,79,57.83,48,83,-50,-33.00
90,91,91,John Rollins,89,57.72,71,123,-74,-17.00
91,T92,T92,Andy Miller,75,57.69,90,156,-97,+7.00
92,T92,T92,Dicky Pride,73,57.69,60,104,-62,-20.00
93,94,94,Brent Schwarzrock,60,57.66,79,137,-81,+2.00
94,95,95,Brian Bateman,70,57.6,72,125,-76,+4.00
95,T96,T96,Jim Carter,95,57.14,72,126,-75,-13.00
96,T96,T96,J.J. Henry,100,57.14,112,196,-123,+3.00
97,98,98,Jerry Kelly,108,56.91,107,188,-114,-14.00
98,99,99,"Dave Stockton, Jr.",79,56.78,67,118,-71,-12.00
99,100,100,Rod Pampling,87,56.76,84,148,-88,-13.00
100,101,101,Scott McCarron,86,56.69,89,157,-93,-10.00
101,102,102,Glen Day,103,56.41,88,156,-95,-33.00
102,103,103,Tom Byrum,97,56.31,58,103,-63,-17.00
103,104,104,Fred Funk,112,56.2,77,137,-80,-33.00
104,105,105,Garrett Willis,97,56.12,110,196,-119,-4.00
105,106,106,Brent Geiberger,51,55.95,47,84,-51,-13.00
106,107,107,Olin Browne,113,55.91,71,127,-74,-47.00
107,108,108,Thomas Levet,85,55.86,81,145,-87,-12.00
108,T109,T109,Mark O'Meara,69,55.77,29,52,-33,-6.00
109,T109,T109,Cameron Yancey,58,55.77,58,104,-63,+5.00
110,111,111,Matt Kuchar,63,55.68,49,88,-51,+4.00
111,T112,T112,Pat Bates,111,55.56,85,153,-90,-19.00
112,T112,T112,Duffy Waldorf,90,55.56,85,153,-91,-6.00
113,114,114,Gene Sauers,87,55.36,62,112,-65,+3.00
114,T115,T115,Jason Buha,61,55.32,52,94,-53,+1.00
115,T115,T115,Paul Goydos,86,55.32,52,94,-55,-25.00
116,T115,T115,Frank Lickliter II,94,55.32,78,141,-84,-22.00
117,118,118,Brian Henninger,56,55.22,37,67,-37,-6.00
118,119,119,Jeff Sluman,106,54.97,83,151,-87,-29.00
119,120,120,Billy Andrade,100,54.82,91,166,-94,-9.00
120,T121,T121,Spike McRoy,103,54.78,86,157,-89,+6.00
121,T121,T121,Kenneth Staton,59,54.78,63,115,-70,+5.00
122,T123,T123,Michael Clark II,54,54.76,46,84,-47,-5.00
123,T123,T123,John Morgan,81,54.76,92,168,-101,-1.00
124,125,125,Chris Anderson,96,54.68,76,139,-83,-13.00
125,126,126,Per-Ulrik Johansson,96,54.6,95,174,-98,-5.00
126,127,127,Rory Sabbatini,95,54.49,85,156,-89,+4.00
127,128,128,Paul Azinger,73,54.39,62,114,-66,-5.00
128,129,129,Anthony Painter,87,54.32,88,162,-91,+16.00
129,130,130,Billy Mayfair,105,54.3,101,186,-106,-9.00
130,T131,T131,Peter Jacobsen,75,54.26,51,94,-55,-4.00
131,T131,T131,Scott Laycock,71,54.26,51,94,-53,-4.00
132,T131,T131,Jeff Maggert,81,54.26,70,129,-74,-17.00
133,T131,T131,Carl Paulson,101,54.26,121,223,-130,-20.00
134,135,135,Mike Grob,83,54.23,77,142,-82,-17.00
135,136,136,Darron Stiles,93,54.17,91,168,-100,-9.00
136,137,137,John Daly,56,54.14,72,133,-80,+1.00
137,138,138,Cameron Beckman,86,54.09,86,159,-92,-8.00
138,139,139,Matt Gogel,77,54.0,54,100,-58,-7.00
139,140,140,Joey Sindelar,93,53.94,89,165,-93,-12.00
140,141,141,Brandt Jobe,77,53.57,75,140,-80,-5.00
141,142,142,Jay Williamson,93,53.54,68,127,-73,-11.00
142,143,143,David Frost,80,53.47,54,101,-60,-33.00
143,144,144,Tom Gillis,71,53.39,63,118,-67,-6.00
144,145,145,Hidemichi Tanaka,112,53.3,105,197,-110,-37.00
145,146,146,Joel Edwards,60,53.19,50,94,-53,-19.00
146,T147,T147,Jay Don Blake,77,53.13,51,96,-52,+8.00
147,T147,T147,Skip Kendall,110,53.13,85,160,-89,-48.00
148,149,149,Tim Clark,79,53.09,43,81,-48,-31.00
149,T150,T150,Dudley Hart,66,53.06,52,98,-55,-13.00
150,T150,T150,John Riegger,55,53.06,52,98,-56,-6.00
151,152,152,Ty Tryon,52,53.04,61,115,-63,+6.00
152,T153,T153,Doug Barron,90,52.86,74,140,-78,-19.00
153,T153,T153,Heath Slocum,101,52.86,74,140,-77,-20.00
154,155,155,Hal Sutton,81,52.78,57,108,-61,-13.00
155,156,156,Pat Perez,95,52.53,83,158,-93,-12.00
156,157,157,Notah Begay III,92,52.38,77,147,-84,E
157,158,158,Robert Damron,96,52.35,78,149,-79,-20.00
158,159,159,Brad Faxon,97,52.25,58,111,-63,-18.00
159,160,160,Vance Veazey,66,52.17,60,115,-63,-1.00
160,161,161,Rocco Mediate,80,51.89,55,106,-60,-2.00
161,T162,T162,Bob Burns,88,51.85,56,108,-61,-6.00
162,T162,T162,Jason Caron,74,51.85,70,135,-73,+7.00
163,164,164,Aaron Barber,94,51.72,60,116,-64,-19.00
164,T165,T165,Mark Brooks,90,51.69,46,89,-47,-23.00
165,T165,T165,Mike Weir,80,51.69,61,118,-62,-12.00
166,167,167,Mike Heinen,89,51.67,108,209,-116,-15.00
167,168,168,Rich Beem,80,51.54,67,130,-73,+6.00
168,169,169,Chris Riley,96,51.38,56,109,-60,-23.00
169,170,170,Alex Cejka,98,51.37,75,146,-80,-2.00
170,171,171,Woody Austin,107,51.13,113,221,-125,-9.00
171,172,172,John Maginnes,87,51.06,48,94,-51,-20.00
172,173,173,Richard Johnson,89,50.43,58,115,-60,-13.00
173,174,174,Steve Lowery,86,50.35,71,141,-78,-13.00
174,T175,T175,Joe Durant,96,50.0,87,174,-90,-11.00
175,T175,T175,Brad Elder,51,50.0,39,78,-40,+4.00
176,T175,T175,Andrew Magee,91,50.0,90,180,-97,-14.00
177,178,178,Mathew Goggin,90,49.75,100,201,-108,+5.00
178,179,179,Donnie Hammond,92,49.61,64,129,-65,-20.00
179,180,180,Kaname Yokoo,56,48.84,42,86,-45,-2.00
180,181,181,Mark Wilson,82,48.67,55,113,-56,-13.00
181,182,182,Paul Gow,62,48.41,61,126,-67,-8.00
182,183,183,Steve Allan,53,47.52,48,101,-50,+16.00
183,184,184,Glen Hnatiuk,92,47.15,58,123,-63,-17.00
184,185,185,Bernhard Langer,65,46.38,32,69,-34,-17.00
185,186,186,Ben Curtis,69,45.63,47,103,-51,-10.00
186,187,187,Steven Alker,87,45.26,43,95,-46,-41.00
187,188,188,Akio Sadakata,83,43.08,56,130,-59,+5.00
188,189,189,Jeff Klein,60,40.32,25,62,-28,-8.00
189,190,190,Gavin Coles,69,39.66,23,58,-23,-2.00
