,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
38,39,39,Brian Bateman,70,52.48,169,322
39,40,40,Kenneth Staton,59,52.4,131,250
40,41,41,Shaun Micheel,97,52.25,244,467
41,42,42,Heath Slocum,101,52.22,188,360
42,43,43,Tiger Woods,74,52.11,185,355
43,44,44,Kevin Sutherland,97,52.07,251,482
44,45,45,David Gossett,92,51.91,217,418
45,46,46,Steve Lowery,86,51.69,214,414
46,47,47,Rich Beem,80,51.61,208,403
47,48,48,Mathew Goggin,90,51.23,229,447
48,49,49,Ian Leggatt,71,51.15,178,348
49,50,50,Jason Buha,61,51.13,158,309
50,51,51,Pat Bates,111,51.03,222,435
51,52,52,Paul Stankowski,67,51.01,177,347
52,53,53,Kirk Triplett,92,51.0,178,349
53,T54,T54,Jonathan Byrd,101,50.9,255,501
54,T54,T54,Duffy Waldorf,90,50.9,197,387
55,56,56,John Daly,56,50.88,203,399
56,57,57,David Toms,90,50.86,206,405
57,58,58,Adam Scott,52,50.81,126,248
58,59,59,Davis Love III,85,50.75,202,398
59,60,60,Patrick Sheehan,101,50.68,261,515
60,61,61,Marco Dawson,86,50.67,227,448
61,62,62,Tim Petrovic,108,50.63,242,478
62,63,63,Billy Mayfair,105,50.6,212,419
63,64,64,Jeff Sluman,106,50.56,224,443
64,65,65,Cliff Kresge,102,50.47,215,426
65,T66,T66,Fred Couples,71,50.38,200,397
66,T66,T66,Deane Pappas,75,50.38,199,395
67,68,68,Tom Pernice Jr.,105,50.36,277,550
68,69,69,Jonathan Kaye,91,50.34,225,447
69,70,70,Tom Lehman,87,50.13,192,383
70,71,71,Esteban Toledo,109,50.11,238,475
71,72,72,John Morgan,81,50.0,210,420
72,73,73,Brett Quigley,92,49.91,266,533
73,74,74,Glen Day,103,49.76,205,412
74,75,75,Jay Haas,89,49.75,199,400
75,76,76,Paul Gow,62,49.7,166,334
76,77,77,Kenny Perry,98,49.64,206,415
77,78,78,Skip Kendall,110,49.63,201,405
78,79,79,J.P. Hayes,79,49.58,177,357
79,80,80,Carl Paulson,101,49.49,193,390
80,81,81,Robert Gamez,114,49.44,264,534
81,82,82,Aaron Baddeley,71,49.39,202,409
82,83,83,Gene Sauers,87,49.19,183,372
83,84,84,Frank Lickliter II,94,49.13,198,403
84,85,85,Steve Stricker,59,49.01,199,406
85,86,86,Olin Browne,113,48.91,202,413
86,T87,T87,Ben Crane,94,48.81,247,506
87,T87,T87,Kent Jones,74,48.81,143,293
88,89,89,Craig Perks,82,48.76,236,484
89,90,90,Robert Allenby,87,48.75,176,361
90,T91,T91,K.J. Choi,112,48.71,284,583
91,T91,T91,Lee Janzen,83,48.71,207,425
92,93,93,Todd Fischer,97,48.7,243,499
93,94,94,Dicky Pride,73,48.66,164,337
94,95,95,Mark Wilson,82,48.6,173,356
95,96,96,J.L. Lewis,99,48.58,223,459
96,97,97,Rod Pampling,87,48.57,187,385
97,98,98,Stewart Cink,104,48.51,276,569
98,99,99,Steve Flesch,110,48.24,261,541
99,100,100,Doug Barron,90,48.2,174,361
100,101,101,Mike Weir,80,48.17,184,382
101,102,102,Jim Furyk,104,48.12,166,345
102,103,103,Hal Sutton,81,48.06,136,283
103,104,104,Justin Leonard,80,48.05,160,333
104,105,105,Peter Lonard,96,47.99,227,473
105,T106,T106,Brent Geiberger,51,47.9,137,286
106,T106,T106,Mike Grob,83,47.9,137,286
107,108,108,Paul Azinger,73,47.89,193,403
108,109,109,Jay Williamson,93,47.8,185,387
109,110,110,Craig Barlow,95,47.76,203,425
110,111,111,Chris DiMarco,98,47.75,202,423
111,112,112,Chris Riley,96,47.66,204,428
112,113,113,Scott Laycock,71,47.65,162,340
113,114,114,Jesper Parnevik,102,47.56,234,492
114,115,115,Jerry Kelly,108,47.54,203,427
115,116,116,Todd Barranger,78,47.48,217,457
116,117,117,Tommy Armour III,66,47.39,136,287
117,118,118,Glen Hnatiuk,92,47.29,131,277
118,119,119,John Maginnes,87,47.24,180,381
119,120,120,Arron Oberholser,80,47.19,168,356
120,121,121,Andy Miller,75,47.14,198,420
121,122,122,Billy Andrade,100,47.06,264,561
122,123,123,Scott Verplank,97,46.92,175,373
123,124,124,David Frost,80,46.83,177,378
124,125,125,Paul Goydos,86,46.65,153,328
125,126,126,Matt Gogel,77,46.63,159,341
126,127,127,Notah Begay III,92,46.59,157,337
127,128,128,Vance Veazey,66,46.38,173,373
128,129,129,Chris Anderson,96,46.33,202,436
129,T130,T130,Brian Gay,100,46.32,214,462
130,T130,T130,Nick Price,65,46.32,132,285
131,132,132,Bernhard Langer,65,46.25,142,307
132,133,133,Hidemichi Tanaka,112,46.21,189,409
133,134,134,Ty Tryon,52,46.18,139,301
134,T135,T135,Brad Faxon,97,46.17,253,548
135,T135,T135,Donnie Hammond,92,46.17,169,366
136,137,137,Akio Sadakata,83,46.01,173,376
137,138,138,Mark Calcavecchia,84,45.95,193,420
138,139,139,Darron Stiles,93,45.84,193,421
139,T140,T140,Luke Donald,88,45.8,169,369
140,T140,T140,Shigeki Maruyama,87,45.8,180,393
141,142,142,Jim Carter,95,45.77,195,426
142,T143,T143,Aaron Barber,94,45.74,188,411
143,T143,T143,Brian Henninger,56,45.74,129,282
144,T143,T143,Garrett Willis,97,45.74,188,411
145,146,146,Fred Funk,112,45.7,154,337
146,147,147,Ben Curtis,69,45.68,148,324
147,148,148,Anthony Painter,87,45.59,212,465
148,149,149,Jason Caron,74,45.3,188,415
149,150,150,Jay Don Blake,77,45.28,163,360
150,151,151,Brent Schwarzrock,60,45.26,124,274
151,152,152,Pat Perez,95,45.18,211,467
152,153,153,Dudley Hart,66,45.17,145,321
153,T154,T154,Bob Estes,92,45.11,180,399
154,T154,T154,Rory Sabbatini,95,45.11,217,481
155,156,156,Robert Damron,96,45.07,151,335
156,157,157,Darren Clarke,61,45.04,118,262
157,158,158,Jeff Maggert,81,45.02,131,291
158,159,159,Greg Chalmers,98,44.96,241,536
159,160,160,Mike Sposa,72,44.9,176,392
160,T161,T161,Carl Pettersson,80,44.85,183,408
161,T161,T161,Loren Roberts,87,44.85,148,330
162,163,163,Bob Burns,88,44.74,166,371
163,164,164,Tim Clark,79,44.56,131,294
164,165,165,Jason Gore,83,44.2,221,500
165,166,166,Brad Elder,51,44.14,98,222
166,167,167,Steven Alker,87,44.09,164,372
167,168,168,Dean Wilson,82,44.01,169,384
168,T169,T169,José Coceres,62,43.98,106,241
169,T169,T169,"Dave Stockton, Jr.",79,43.98,179,407
170,171,171,Steve Allan,53,43.77,116,265
171,172,172,Per-Ulrik Johansson,96,43.65,196,449
172,173,173,Joel Edwards,60,43.64,120,275
173,174,174,Michael Clark II,54,43.63,113,259
174,175,175,Tom Byrum,97,43.56,159,365
175,176,176,Tim Herron,102,43.41,214,493
176,177,177,John Riegger,55,43.4,92,212
177,178,178,Len Mattiace,94,43.37,193,445
178,179,179,Rocco Mediate,80,43.3,139,321
179,180,180,Kenichi Kuboya,91,42.79,178,416
180,181,181,Matt Kuchar,63,42.76,121,283
181,182,182,Richard Johnson,89,42.42,151,356
182,183,183,Cameron Yancey,58,42.21,111,263
183,184,184,Corey Pavin,88,41.76,142,340
184,185,185,Mark Brooks,90,41.21,164,398
185,186,186,Gavin Coles,69,40.74,99,243
186,187,187,John Rollins,89,39.8,160,402
187,188,188,Mark O'Meara,69,39.71,139,350
188,189,189,Kaname Yokoo,56,39.39,104,264
189,190,190,Jeff Klein,60,36.63,89,243
