,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
72,T73,T73,Steve Flesch,100,71.09,3199,45
73,T73,T73,Robert Garrigus,95,71.09,3128,44
74,75,75,Glen Day,85,71.1,2915,41
75,76,76,Bill Haas,93,71.11,3342,47
76,77,77,Tim Petrovic,106,71.12,3698,52
77,T78,T78,Bart Bryant,87,71.13,3201,45
78,T78,T78,Chris Riley,59,71.13,2276,32
79,T78,T78,Charles Warren,101,71.13,3414,48
80,T81,T81,Brian Gay,107,71.15,3842,54
81,T81,T81,Jerry Kelly,101,71.15,3771,53
82,T83,T83,Craig Bowden,78,71.16,2277,32
83,T83,T83,Kevin Sutherland,85,71.16,3060,43
84,T83,T83,Charlie Wi,90,71.16,3558,50
85,86,86,Robert Allenby,90,71.17,3416,48
86,87,87,Tim Clark,66,71.18,2705,38
87,88,88,John Merrick,92,71.19,2990,42
88,89,89,Marco Dawson,73,71.2,2136,30
89,90,90,Stephen Ames,81,71.21,3062,43
90,T91,T91,Matt Kuchar,85,71.22,2920,41
91,T91,T91,Justin Leonard,95,71.22,3205,45
92,T91,T91,Steve Lowery,74,71.22,2564,36
93,T94,T94,Bob Estes,88,71.23,2778,39
94,T94,T94,Fred Funk,65,71.23,2137,30
95,T96,T96,John Mallinger,96,71.26,3064,43
96,T96,T96,George McNeill,95,71.26,3064,43
97,98,98,Bob Heintz,85,71.27,2922,41
98,99,99,Mark Wilson,87,71.28,3065,43
99,T100,T100,Craig Kanada,109,71.29,3992,56
100,T100,T100,Jeff Maggert,79,71.29,2709,38
101,102,102,Shaun Micheel,91,71.3,3066,43
102,103,103,Jeff Brehaut,59,71.33,2354,33
103,T104,T104,Joe Durant,88,71.34,2711,38
104,T104,T104,Arron Oberholser,69,71.34,2497,35
105,T106,T106,Ryan Armour,107,71.36,3925,55
106,T106,T106,Mathew Goggin,97,71.36,3568,50
107,108,108,Duffy Waldorf,69,71.38,2641,37
108,T109,T109,Mark Hensby,81,71.39,2713,38
109,T109,T109,Tripp Isenhour,86,71.39,3141,44
110,111,111,Geoff Ogilvy,84,71.41,3142,44
111,T112,T112,Gavin Coles,87,71.42,2714,38
112,T112,T112,Bubba Watson,80,71.42,3071,43
113,114,114,Joey Sindelar,75,71.44,2429,34
114,T115,T115,Anders Hansen,55,71.46,2001,28
115,T115,T115,Daisuke Maruyama,86,71.46,2644,37
116,117,117,Mark Calcavecchia,93,71.47,3216,45
117,T118,T118,Rich Beem,89,71.49,3217,45
118,T118,T118,J.P. Hayes,89,71.49,3074,43
119,T118,T118,Michael Putnam,96,71.49,3503,49
120,121,121,Andrew Buckle,77,71.5,3003,42
121,122,122,Cliff Kresge,107,71.54,3720,52
122,T123,T123,Mark Brooks,53,71.56,1789,25
123,T123,T123,J.B. Holmes,71,71.56,2576,36
124,T123,T123,Parker McLachlin,83,71.56,2791,39
125,T123,T123,Dean Wilson,92,71.56,2791,39
126,127,127,Craig Lile,77,71.58,2720,38
127,T128,T128,Chad Campbell,96,71.59,3150,44
128,T128,T128,Richard Johnson,93,71.59,2649,37
129,T130,T130,Jason Bohn,57,71.6,2148,30
130,T130,T130,Brendon de Jonge,76,71.6,3079,43
131,132,132,Craig Barlow,52,71.62,1504,21
132,133,133,Kent Jones,97,71.64,3152,44
133,T134,T134,Troy Matteson,87,71.65,3081,43
134,T134,T134,Jason Schultz,63,71.65,2221,31
135,136,136,Brett Wetterich,88,71.68,2939,41
136,137,137,Frank Lickliter II,95,71.69,3011,42
137,138,138,Retief Goosen,50,71.7,1649,23
138,139,139,Rod Pampling,92,71.72,3299,46
139,T140,T140,Stuart Appleby,74,71.73,3156,44
140,T140,T140,Tom Pernice Jr.,104,71.73,4017,56
141,T140,T140,Vaughn Taylor,91,71.73,3228,45
142,T140,T140,Johnson Wagner,97,71.73,3515,49
143,T144,T144,Paul Goydos,60,71.74,1937,27
144,T144,T144,Mathias Grönberg,95,71.74,3085,43
145,T144,T144,Davis Love III,66,71.74,2439,34
146,T144,T144,Darron Stiles,65,71.74,2224,31
147,T144,T144,Chris Stroud,66,71.74,2439,34
148,149,149,Billy Andrade,88,71.75,3157,44
149,T150,T150,Jeff Gove,103,71.77,3804,53
150,T150,T150,Paul Gow,70,71.77,2153,30
151,152,152,Nick O'Hern,72,71.78,2584,36
152,T153,T153,Tim Herron,98,71.82,2801,39
153,T153,T153,Charley Hoffman,97,71.82,3591,50
154,T153,T153,Brett Quigley,79,71.82,2729,38
155,156,156,Corey Pavin,81,71.83,2514,35
156,157,157,J.J. Henry,86,71.86,2659,37
157,158,158,Ted Purdy,102,71.88,3450,48
158,T159,T159,Trevor Immelman,74,71.92,2733,38
159,T159,T159,Bob Tway,103,71.92,3452,48
160,161,161,Rocco Mediate,72,71.93,2158,30
161,162,162,Luke Donald,69,71.94,2374,33
162,T163,T163,Padraig Harrington,64,71.95,2662,37
163,T163,T163,Doug LaBelle II,104,71.95,3166,44
164,T165,T165,Lee Janzen,66,71.97,2375,33
165,T165,T165,Greg Owen,81,71.97,2735,38
166,167,167,Chris Tidland,59,72.03,2233,31
167,168,168,Jim Rutledge,59,72.07,2090,29
168,169,169,Harrison Frazar,88,72.09,3100,43
169,170,170,Steve Wheatcroft,73,72.14,2669,37
170,T171,T171,Robert Gamez,88,72.2,2888,40
171,T171,T171,Paul Stankowski,52,72.2,1805,25
172,173,173,Eric Axley,107,72.25,3757,52
173,T174,T174,Michael Boyd,61,72.29,2241,31
174,T174,T174,Kirk Triplett,77,72.29,2530,35
175,176,176,Ben Curtis,80,72.34,2315,32
176,177,177,D.J. Brigman,67,72.38,2316,32
177,178,178,Brian Bateman,55,72.4,1810,25
178,T179,T179,Rich Barcelo,80,72.46,2681,37
179,T179,T179,Scott Gutschewski,67,72.46,2029,28
180,181,181,Ryan Palmer,91,72.49,3117,43
181,182,182,Henrik Stenson,52,72.5,1740,24
182,183,183,Bubba Dickerson,51,72.54,1886,26
183,184,184,Bryce Molder,56,72.56,1814,25
184,185,185,Tom Byrum,50,72.58,1742,24
185,186,186,John Daly,59,72.62,2106,29
186,187,187,Jaco Van Zyl,51,72.71,2036,28
187,188,188,Jeff Sluman,60,72.72,1818,25
188,189,189,David Branshaw,83,72.79,2839,39
189,190,190,Chris Couch,76,72.81,3131,43
190,191,191,Chris DiMarco,79,72.82,2767,38
191,T192,T192,José María Olazábal,52,72.83,1675,23
192,T192,T192,Kevin Stadler,95,72.83,2986,41
193,194,194,Matt Hendrix,63,72.86,2113,29
194,195,195,Todd Hamilton,76,73.26,2564,35
195,196,196,Kyle Reifers,71,73.38,2348,32
