,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
147,T147,T147,Steve Wheatcroft,73,19.73,161,816
148,149,149,Jeff Gove,103,19.68,257,1306
149,T150,T150,Eric Axley,107,19.65,233,1186
150,T150,T150,Mathew Goggin,97,19.65,235,1196
151,152,152,D.J. Trahan,99,19.63,241,1228
152,153,153,Ted Purdy,102,19.62,236,1203
153,154,154,Jason Dufner,100,19.6,224,1143
154,155,155,Chris Tidland,59,19.59,135,689
155,156,156,Kirk Triplett,77,19.46,188,966
156,T157,T157,Greg Owen,81,19.4,180,928
157,T157,T157,Henrik Stenson,52,19.4,91,469
158,159,159,Tom Johnson,74,19.31,163,844
159,160,160,Bob Tway,103,19.28,231,1198
160,161,161,Brian Bateman,55,19.24,112,582
161,162,162,J.B. Holmes,71,19.19,152,792
162,163,163,Kyle Reifers,71,19.16,160,835
163,164,164,Fred Funk,65,19.07,152,797
164,165,165,Tom Byrum,50,19.02,112,589
165,166,166,Lee Janzen,66,19.01,130,684
166,167,167,Mark Wilson,87,19.0,201,1058
167,168,168,Stephen Ames,81,18.9,162,857
168,169,169,Joey Sindelar,75,18.8,178,947
169,170,170,José Coceres,50,18.75,117,624
170,171,171,Matt Hendrix,63,18.72,137,732
171,T172,T172,Gavin Coles,87,18.71,206,1101
172,T172,T172,Joe Durant,88,18.71,200,1069
173,174,174,Daisuke Maruyama,86,18.59,195,1049
174,175,175,Bryce Molder,56,18.58,115,619
175,176,176,Peter Lonard,85,18.57,197,1061
176,177,177,Jeff Sluman,60,18.56,106,571
177,178,178,Duffy Waldorf,69,18.55,151,814
178,179,179,Paul Gow,70,18.51,142,767
179,180,180,D.J. Brigman,67,18.5,131,708
180,181,181,Chris DiMarco,79,18.44,151,819
181,182,182,Richard Johnson,93,18.3,211,1153
182,183,183,Corey Pavin,81,18.25,186,1019
183,184,184,Trevor Immelman,74,18.18,138,759
184,185,185,Ben Curtis,80,17.98,160,890
185,186,186,David Branshaw,83,17.9,184,1028
186,187,187,Doug LaBelle II,104,17.78,234,1316
187,188,188,Todd Hamilton,76,17.77,134,754
188,189,189,Retief Goosen,50,17.67,76,430
189,190,190,Jaco Van Zyl,51,17.66,107,606
190,191,191,Kevin Stadler,95,17.42,174,999
191,192,192,José María Olazábal,52,17.35,80,461
192,T193,T193,Michael Boyd,61,17.25,129,748
193,T193,T193,Bubba Dickerson,51,17.25,93,539
194,195,195,Mark Brooks,53,16.28,99,608
195,196,196,Jim Rutledge,59,15.38,100,650
