,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
121,122,122,Chris DiMarco,79,12.3,15,122
122,123,123,Tim Petrovic,106,12.18,19,156
123,124,124,Trevor Immelman,74,12.16,9,74
124,125,125,Ryan Armour,107,12.1,15,124
125,126,126,Phil Mickelson,73,12.07,14,116
126,127,127,Michael Sim,52,12.05,10,83
127,128,128,Shigeki Maruyama,84,12.03,16,133
128,T129,T129,Craig Kanada,109,12.0,18,150
129,T129,T129,Shaun Micheel,91,12.0,12,100
130,131,131,Justin Leonard,95,11.96,11,92
131,132,132,Alex Cejka,80,11.85,16,135
132,133,133,Chris Stroud,66,11.84,9,76
133,134,134,Steve Lowery,74,11.82,13,110
134,135,135,John Senden,97,11.72,15,128
135,136,136,D.J. Brigman,67,11.7,11,94
136,137,137,Sean O'Hair,98,11.63,15,129
137,T138,T138,Hunter Mahan,91,11.54,12,104
138,T138,T138,Jason Schultz,63,11.54,9,78
139,140,140,Jim Rutledge,59,11.48,7,61
140,141,141,Steve Flesch,100,11.43,16,140
141,142,142,Nick O'Hern,72,11.4,13,114
142,143,143,Mark Hensby,81,11.38,14,123
143,144,144,Jeff Gove,103,11.35,16,141
144,T145,T145,José Coceres,50,11.11,5,45
145,T145,T145,Glen Day,85,11.11,12,108
146,T145,T145,Tom Lehman,62,11.11,9,81
147,T145,T145,Ted Purdy,102,11.11,13,117
148,T145,T145,Justin Rose,63,11.11,8,72
149,150,150,Scott Gutschewski,67,11.0,11,100
150,151,151,Brandt Snedeker,105,10.96,16,146
151,T152,T152,Andrew Buckle,77,10.92,13,119
152,T152,T152,Kent Jones,97,10.92,13,119
153,T152,T152,Troy Matteson,87,10.92,13,119
154,155,155,Tom Johnson,74,10.89,11,101
155,156,156,Jaco Van Zyl,51,10.84,9,83
156,T157,T157,Rocco Mediate,72,10.64,10,94
157,T157,T157,David Toms,80,10.64,10,94
158,159,159,Charles Warren,101,10.63,17,160
159,160,160,Lee Janzen,66,10.42,10,96
160,161,161,Darron Stiles,65,10.39,8,77
161,162,162,Jerry Kelly,101,10.38,11,106
162,163,163,David Branshaw,83,10.17,12,118
163,164,164,Davis Love III,66,10.16,13,128
164,165,165,Bryce Molder,56,10.14,7,69
165,166,166,Kyle Reifers,71,10.1,10,99
166,T167,T167,Michael Allen,74,10.0,9,90
167,T167,T167,Jeff Quinney,95,10.0,11,110
168,169,169,Parker McLachlin,83,9.9,10,101
169,170,170,Steve Wheatcroft,73,9.89,9,91
170,171,171,Zach Johnson,76,9.84,6,61
171,172,172,D.J. Trahan,99,9.7,13,134
172,173,173,Ben Curtis,80,9.62,10,104
173,174,174,Stuart Appleby,74,9.52,8,84
174,175,175,Chris Riley,59,9.23,6,65
175,176,176,Paul Stankowski,52,9.18,9,98
176,177,177,Tripp Isenhour,86,9.02,11,122
177,178,178,Stephen Leaney,82,8.94,11,123
178,179,179,Kirk Triplett,77,8.79,8,91
179,180,180,Aaron Baddeley,83,8.49,9,106
180,181,181,Mark Brooks,53,8.47,5,59
181,182,182,Brian Bateman,55,8.11,6,74
182,183,183,Billy Mayfair,98,8.05,7,87
183,T184,T184,J.J. Henry,86,8.0,8,100
184,T184,T184,Jeff Sluman,60,8.0,6,75
185,186,186,Ryan Palmer,91,7.74,13,168
186,187,187,Tom Byrum,50,7.55,4,53
187,188,188,Brian Gay,107,7.48,8,107
188,189,189,Steve Stricker,81,7.07,7,99
189,190,190,Anders Hansen,55,7.02,4,57
190,191,191,Dicky Pride,71,6.9,6,87
191,192,192,Jeff Brehaut,59,6.85,5,73
192,T193,T193,Gavin Coles,87,6.73,7,104
193,T193,T193,Tim Herron,98,6.73,7,104
194,195,195,Corey Pavin,81,6.19,6,97
195,196,196,Robert Gamez,88,3.57,3,84
