,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
150,151,151,Justin Rose,63,225
151,152,152,Chris Stroud,66,223
152,T153,T153,Chris DiMarco,79,221
153,T153,T153,Paul Gow,70,221
154,155,155,Tim Clark,66,220
155,T156,T156,Padraig Harrington,64,219
156,T156,T156,Jeff Overton,60,219
157,158,158,Arron Oberholser,69,218
158,159,159,Kyle Reifers,71,215
159,T160,T160,D.J. Brigman,67,213
160,T160,T160,John Daly,59,213
161,162,162,Ernie Els,59,211
162,T163,T163,Lee Janzen,66,209
163,T163,T163,Chris Riley,59,209
164,165,165,Davis Love III,66,205
165,T166,T166,Trevor Immelman,74,203
166,T166,T166,Nick O'Hern,72,203
167,168,168,Todd Hamilton,76,200
168,169,169,Tom Lehman,62,199
169,170,170,Fred Funk,65,198
170,171,171,Ian Poulter,63,196
171,172,172,Jason Schultz,63,195
172,173,173,Matt Hendrix,63,193
173,174,174,Michael Boyd,61,191
174,T175,T175,Craig Barlow,52,186
175,T175,T175,Tag Ridings,52,186
176,T175,T175,Paul Stankowski,52,186
177,T175,T175,Jay Williamson,50,186
178,179,179,Jason Bohn,57,185
179,180,180,Paul Goydos,60,182
180,181,181,Jeff Brehaut,59,179
181,182,182,Chris Tidland,59,175
182,183,183,Bryce Molder,56,174
183,T184,T184,Brian Bateman,55,173
184,T184,T184,Michael Sim,52,173
185,T184,T184,Jeff Sluman,60,173
186,187,187,Bubba Dickerson,51,162
187,188,188,Anders Hansen,55,159
188,T189,T189,José Coceres,50,157
189,T189,T189,Jim Rutledge,59,157
190,191,191,Jaco Van Zyl,51,149
191,192,192,Mark Brooks,53,144
192,193,193,José María Olazábal,52,141
193,T194,T194,Retief Goosen,50,139
194,T194,T194,Henrik Stenson,52,139
195,196,196,Tom Byrum,50,135
