,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
145,T145,T145,Shaun Micheel,71.68,4086,57
146,T147,T147,Chad Campbell,71.7,4015,56
147,T147,T147,Trevor Immelman,71.7,2868,40
148,149,149,Andrew Buckle,71.72,3873,54
149,T150,T150,Stuart Appleby,71.73,3228,45
150,T150,T150,J.J. Henry,71.73,3658,51
151,T150,T150,Dicky Pride,71.73,3658,51
152,T153,T153,Mark Brooks,71.74,2798,39
153,T153,T153,Dean Wilson,71.74,4161,58
154,155,155,Robert Gamez,71.76,4521,63
155,T156,T156,Michael Boyd,71.77,3086,43
156,T156,T156,Jeff Brehaut,71.77,3086,43
157,T156,T156,Joe Durant,71.77,4019,56
158,159,159,J.B. Holmes,71.79,3446,48
159,160,160,Brett Quigley,71.8,3518,49
160,161,161,Luke Donald,71.82,2801,39
161,162,162,Harrison Frazar,71.85,4814,67
162,163,163,Ian Poulter,71.86,2515,35
163,164,164,Paul Goydos,71.9,2804,39
164,T165,T165,Chris Couch,71.91,4027,56
165,T165,T165,Scott Gutschewski,71.91,3236,45
166,167,167,Kirk Triplett,71.92,3812,53
167,168,168,Brett Wetterich,71.93,3956,55
168,169,169,Chris DiMarco,71.94,3381,47
169,170,170,Brian Bateman,71.95,2662,37
170,171,171,Paul Gow,71.96,3814,53
171,172,172,Paul Stankowski,71.97,2807,39
172,T173,T173,Retief Goosen,72.0,1872,26
173,T173,T173,Ryan Palmer,72.0,4464,62
174,T173,T173,Darron Stiles,72.0,3528,49
175,T176,T176,Eric Axley,72.05,5332,74
176,T176,T176,Nick O'Hern,72.05,3026,42
177,178,178,Kevin Stadler,72.08,4613,64
178,179,179,Lee Janzen,72.12,3678,51
179,180,180,Greg Owen,72.13,4328,60
180,181,181,Chris Tidland,72.16,3103,43
181,T182,T182,David Branshaw,72.17,4547,63
182,T182,T182,Kyle Reifers,72.17,3825,53
183,184,184,Davis Love III,72.22,2961,41
184,185,185,Jaco Van Zyl,72.23,3106,43
185,186,186,Matt Hendrix,72.31,3543,49
186,187,187,John Daly,72.45,3043,42
187,188,188,Tom Byrum,72.48,2899,40
188,189,189,Bubba Dickerson,72.51,2828,39
189,190,190,Jim Rutledge,72.53,3554,49
190,191,191,Ben Curtis,72.54,3627,50
191,192,192,Henrik Stenson,72.61,2033,28
192,193,193,Bryce Molder,72.69,3053,42
193,194,194,José María Olazábal,72.84,2258,31
194,195,195,Jeff Sluman,73.0,3212,44
195,196,196,Todd Hamilton,73.38,4256,58
