,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
33,34,34,Nicholas Thompson,99,"22' 3""",89.0,4,72,2
34,T35,T35,Keegan Bradley,88,"22' 1""",154.333,7,42,6
35,T35,T35,Rory Sabbatini,86,"22' 1""",110.5,5,50,5
36,37,37,Jason Dufner,78,"21' 9""",21.75,1,22,22
37,38,38,Stewart Cink,71,"21' 8""",43.333,2,22,22
38,39,39,Jonas Blixt,76,"21' 6""",64.417,3,25,16
39,40,40,Brian Stuard,78,"21' 0""",41.917,2,33,9
40,41,41,Aaron Baddeley,68,"20' 10""",104.25,5,29,6
41,T42,T42,Harris English,95,"20' 8""",103.417,5,33,4
42,T42,T42,Brandt Jobe,62,"20' 8""",82.583,4,34,7
43,44,44,Matt Kuchar,93,"20' 6""",143.5,7,51,2
44,45,45,Jim Furyk,80,"20' 4""",40.667,2,23,18
45,46,46,Steve LeBrun,66,"19' 11""",39.833,2,21,19
46,47,47,Charley Hoffman,84,"19' 4""",115.833,6,62,5
47,48,48,Matt Jones,83,"19' 3""",77.083,4,38,3
48,T49,T49,Henrik Norlander,70,"19' 2""",38.25,2,27,11
49,T49,T49,Kevin Stadler,83,"19' 2""",57.583,3,40,4
50,T49,T49,Kyle Stanley,71,"19' 2""",134.167,7,43,2
51,T52,T52,Ryo Ishikawa,72,"19' 1""",38.167,2,26,12
52,T52,T52,Freddie Jacobson,63,"19' 1""",95.25,5,25,14
53,T54,T54,Brad Fritsch,81,"18' 10""",113.083,6,72,3
54,T54,T54,Mark Wilson,56,"18' 10""",37.667,2,19,19
55,56,56,Martin Kaymer,61,"18' 4""",36.583,2,19,18
56,T57,T57,Jordan Spieth,82,"17' 11""",89.5,5,29,6
57,T57,T57,Bubba Watson,76,"17' 11""",89.667,5,37,5
58,T59,T59,Sangmoon Bae,83,"17' 8""",17.667,1,18,18
59,T59,T59,Tag Ridings,69,"17' 8""",53.083,3,41,4
60,61,61,Justin Hicks,79,"17' 6""",69.833,4,53,1
61,T62,T62,James Hahn,78,"17' 3""",86.417,5,43,2
62,T62,T62,Brian Harman,89,"17' 3""",86.333,5,62,3
63,64,64,Doug LaBelle II,72,"17' 2""",51.5,3,37,6
64,65,65,Steve Stricker,51,"16' 11""",50.667,3,23,7
65,T66,T66,Rickie Fowler,75,"16' 9""",100.667,6,37,3
66,T66,T66,Lucas Glover,65,"16' 9""",33.417,2,21,13
67,68,68,Graham DeLaet,94,"16' 5""",82.083,5,33,6
68,69,69,Greg Owen,73,"16' 3""",113.5,7,31,"11"""
69,70,70,John Merrick,79,"16' 2""",97.083,6,46,6
70,71,71,Brendan Steele,86,"16' 1""",48.167,3,31,7
71,T72,T72,Scott Brown,65,"15' 10""",63.25,4,48,3
72,T72,T72,William McGirt,75,"15' 10""",63.167,4,24,8
73,T72,T72,Seung-Yul Noh,71,"15' 10""",31.583000000000002,2,23,8
74,T72,T72,Scott Piercy,78,"15' 10""",79.167,5,25,11
75,T76,T76,Ben Kohles,75,"15' 7""",46.667,3,19,11
76,T76,T76,Tiger Woods,61,"15' 7""",93.333,6,20,9
77,78,78,Richard Lee,81,"15' 3""",30.5,2,17,13
78,79,79,George McNeill,68,"15' 2""",106.25,7,58,"6"""
79,80,80,Patrick Reed,83,"15' 0""",119.833,8,48,6
80,81,81,Hunter Mahan,91,"14' 8""",29.333000000000002,2,24,5
81,T82,T82,Brendon de Jonge,110,"14' 6""",43.583,3,26,7
82,T82,T82,J.J. Henry,83,"14' 6""",72.667,5,25,8
83,84,84,Ian Poulter,59,"13' 10""",27.666999999999998,2,16,12
84,85,85,Charlie Beljan,62,"13' 8""",41.083,3,22,9
85,86,86,Casey Wittenberg,72,"13' 7""",13.583,1,14,14
86,87,87,Tim Clark,64,"13' 3""",39.75,3,32,4
87,88,88,Vijay Singh,61,"12' 11""",12.917,1,13,13
88,89,89,K.J. Choi,85,"12' 7""",25.083000000000002,2,16,9
89,T90,T90,Graeme McDowell,53,"12' 6""",25.0,2,20,5
90,T90,T90,Bo Van Pelt,72,"12' 6""",37.5,3,18,4
91,92,92,Cameron Percy,68,"12' 1""",24.166999999999998,2,20,5
92,93,93,Charles Howell III,87,"12' 0""",72.167,6,16,4
93,T94,T94,Martin Flores,83,"11' 10""",71.083,6,39,4
94,T94,T94,Padraig Harrington,52,"11' 10""",35.583,3,19,8
95,T94,T94,Jerry Kelly,75,"11' 10""",23.666999999999998,2,14,9
96,T94,T94,Troy Matteson,68,"11' 10""",35.5,3,28,2
97,T98,T98,Ricky Barnes,74,"11' 9""",11.75,1,12,12
98,T98,T98,Sean O'Hair,56,"11' 9""",47.0,4,15,10
99,T98,T98,Adam Scott,61,"11' 9""",46.917,4,15,5
100,101,101,Luke List,65,"11' 7""",34.833,3,13,11
101,T102,T102,Ryan Moore,72,"11' 6""",45.833,4,24,"6"""
102,T102,T102,D.J. Trahan,48,"11' 6""",22.916999999999998,2,15,8
103,T104,T104,Ken Duke,87,"11' 4""",22.583000000000002,2,16,7
104,T104,T104,Brandt Snedeker,79,"11' 4""",56.5,5,22,4
105,106,106,Scott Gardiner,61,"11' 3""",45.0,4,13,8
106,T107,T107,Brian Davis,91,"11' 2""",11.167,1,11,11
107,T107,T107,Matt Every,89,"11' 2""",55.75,5,21,2
108,T109,T109,Peter Hanson,45,"10' 10""",21.583000000000002,2,18,4
109,T109,T109,Rory McIlroy,56,"10' 10""",43.167,4,18,5
110,T109,T109,Ryan Palmer,79,"10' 10""",21.583000000000002,2,15,7
111,T109,T109,Alistair Presnell,59,"10' 10""",43.25,4,26,2
112,113,113,Stuart Appleby,88,"10' 9""",21.416999999999998,2,20,1
113,114,114,Camilo Villegas,79,"10' 8""",53.333,5,20,4
114,T115,T115,David Toms,49,"10' 6""",20.916999999999998,2,13,8
115,T115,T115,Charlie Wi,75,"10' 6""",21.0,2,15,6
116,117,117,"Ted Potter, Jr.",65,"10' 5""",20.833000000000002,2,20,1
117,T118,T118,Russell Henley,80,"10' 2""",50.75,5,25,2
118,T118,T118,Scott Stallings,79,"10' 2""",20.25,2,16,4
119,120,120,Stephen Ames,49,"10' 1""",20.167,2,12,8
120,121,121,John Rollins,77,"10' 0""",20.0,2,15,5
121,122,122,Chris Kirk,89,"9' 9""",97.333,10,34,1
122,123,123,Pat Perez,69,"9' 6""",18.917,2,16,3
123,124,124,David Lingmerth,68,"9' 2""",27.416999999999998,3,11,8
124,125,125,James Driscoll,76,"9' 1""",9.083,1,9,9
125,T126,T126,Bryce Molder,82,"8' 10""",17.667,2,16,2
126,T126,T126,Jin Park,52,"8' 10""",8.833,1,9,9
127,T126,T126,Kevin Streelman,86,"8' 10""",44.25,5,18,3
128,129,129,Cameron Tringale,80,"8' 8""",43.417,5,21,1
129,130,130,Derek Ernst,58,"8' 6""",17.0,2,11,7
130,131,131,Jim Herman,59,"8' 5""",8.417,1,8,8
131,132,132,John Huh,88,"8' 3""",24.833000000000002,3,15,1
132,T133,T133,Tim Herron,45,"7' 11""",23.666999999999998,3,10,6
133,T133,T133,Marc Leishman,77,"7' 11""",15.833,2,13,3
134,135,135,Kevin Chappell,80,"7' 7""",45.333,6,16,1
135,T136,T136,Dustin Johnson,71,"7' 6""",37.583,5,13,3
136,T136,T136,Shawn Stefani,63,"7' 6""",15.0,2,13,2
137,138,138,Bill Haas,85,"7' 4""",14.667,2,9,6
138,139,139,Martin Laird,68,"7' 3""",36.083,5,12,5
139,140,140,Justin Leonard,86,"7' 0""",20.916999999999998,3,12,3
140,141,141,Greg Chalmers,77,"6' 10""",6.832999999999999,1,7,7
141,T142,T142,Daniel Summerhays,83,"6' 9""",20.25,3,14,2
142,T142,T142,Josh Teater,86,"6' 9""",20.333,3,10,4
143,144,144,Ben Crane,62,"6' 8""",13.333,2,7,6
144,145,145,Jeff Overton,78,"6' 7""",26.416999999999998,4,14,2
145,146,146,Billy Horschel,96,"6' 4""",6.332999999999999,1,6,6
146,147,147,Phil Mickelson,78,"6' 3""",31.333000000000002,5,17,"3"""
147,148,148,Aaron Watkins,46,"6' 1""",6.082999999999999,1,6,6
148,149,149,Webb Simpson,92,"6' 0""",12.0,2,9,3
149,150,150,Vaughn Taylor,50,"5' 6""",5.5,1,6,6
150,151,151,Luke Guthrie,82,"5' 3""",5.25,1,5,5
151,152,152,Ángel Cabrera,73,"4' 11""",4.917,1,5,5
152,T153,T153,Bud Cauley,67,"4' 6""",4.5,1,5,5
153,T153,T153,Bob Estes,66,"4' 6""",13.417,3,8,3
154,155,155,Jeff Maggert,63,"4' 5""",8.833,2,5,3
155,T156,T156,Robert Garrigus,69,"3' 4""",6.582999999999999,2,4,3
156,T156,T156,Johnson Wagner,64,"3' 4""",3.333,1,3,3
157,158,158,Andres Romero,63,"3' 2""",9.583,3,7,"7"""
158,159,159,Boo Weekley,100,"2' 9""",8.25,3,5,"11"""
159,160,160,Robert Streb,75,"11""",0.917,1,1,"11"""
