,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
139,140,140,Y.E. Yang,56,35.96,123,342
140,T141,T141,Brendon de Jonge,110,35.93,194,540
141,T141,T141,Rory McIlroy,56,35.93,97,270
142,T143,T143,Ben Kohles,75,35.88,155,432
143,T143,T143,Brian Stuard,78,35.88,155,432
144,T143,T143,Cameron Tringale,80,35.88,155,432
145,T146,T146,Derek Ernst,58,35.71,135,378
146,T146,T146,Pat Perez,69,35.71,135,378
147,T146,T146,Bo Van Pelt,72,35.71,135,378
148,149,149,Ben Curtis,59,35.67,122,342
149,150,150,Boo Weekley,100,35.6,173,486
150,151,151,Nick Watney,88,35.33,159,450
151,152,152,Steve LeBrun,66,35.28,127,360
152,153,153,Luke List,65,35.27,146,414
153,T154,T154,Justin Hicks,79,35.19,152,432
154,T154,T154,Henrik Norlander,70,35.19,133,378
155,T154,T154,Kevin Stadler,83,35.19,152,432
156,157,157,Darron Stiles,51,35.09,120,342
157,158,158,Trevor Immelman,73,35.02,145,414
158,159,159,Robert Garrigus,69,34.92,132,378
159,160,160,Kevin Streelman,86,34.89,157,450
160,161,161,Brandt Jobe,62,34.88,113,324
161,162,162,David Mathis,71,34.78,144,414
162,163,163,Charlie Beljan,62,34.72,150,432
163,164,164,David Lingmerth,68,34.54,143,414
164,165,165,Scott Gardiner,61,34.34,136,396
165,T166,T166,Lucas Glover,65,34.06,141,414
166,T166,T166,John Merrick,79,34.06,141,414
167,168,168,Bubba Watson,76,33.89,122,360
168,169,169,Eric Meierdierks,48,33.64,109,324
169,170,170,Robert Allenby,58,33.57,139,414
170,T171,T171,Michael Bradley,56,33.33,120,360
171,T171,T171,Mark Wilson,56,33.33,108,324
172,173,173,Adam Scott,61,32.96,89,270
173,174,174,John Senden,79,32.87,142,432
174,175,175,Bud Cauley,67,32.85,136,414
175,176,176,Kyle Stanley,71,32.64,141,432
176,177,177,Greg Owen,73,32.61,135,414
177,178,178,Nicolas Colsaerts,50,32.29,93,288
178,179,179,Stewart Cink,71,32.07,127,396
179,180,180,Vijay Singh,61,31.29,107,342
