,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
150,T149,T149,Ted Tryba,33,233,114,119
151,T152,T152,Woody Austin,34,235,141,94
152,T152,T152,Tripp Isenhour,31,235,151,84
153,T152,T152,Joe Ogilvie,34,235,102,133
154,155,155,Bob Estes,26,236,112,124
155,T156,T156,Shigeki Maruyama,27,238,89,149
156,T156,T156,Tom Pernice Jr.,33,238,66,172
157,T158,T158,Stewart Cink,29,240,69,171
158,T158,T158,Chris DiMarco,29,240,103,137
159,T158,T158,Paul Gow,27,240,117,123
160,T158,T158,Loren Roberts,25,240,193,47
161,162,162,Ronnie Black,17,241,49,192
162,T163,T163,Lee Janzen,29,242,138,104
163,T163,T163,Steve Jones,25,242,124,118
164,165,165,Andrew Magee,31,246,61,185
165,166,166,Kevin Sutherland,30,252,116,136
166,167,167,Len Mattiace,30,256,154,102
167,168,168,Dennis Paulson,25,258,72,186
168,T169,T169,Spike McRoy,31,261,160,101
169,T169,T169,Scott Simpson,22,261,163,98
170,171,171,Steve Stricker,20,263,69,194
171,172,172,Hunter Haas,30,265,74,191
172,T173,T173,Jimmy Green,33,272,117,155
173,T173,T173,Bernhard Langer,17,272,179,93
174,T173,T173,Rocky Walcher,26,272,107,165
175,176,176,Mark Wiebe,24,273,166,107
176,177,177,Ben Ferguson,30,276,101,175
177,178,178,Steve Pate,30,290,129,161
178,179,179,Greg Kraft,33,295,182,113
179,180,180,Gary Nicklaus,34,296,128,168
180,181,181,"Dave Stockton, Jr.",21,297,119,178
181,182,182,Brad Faxon,26,301,147,154
182,183,183,Sean Murphy,27,309,174,135
183,184,184,Craig Kanada,28,310,123,187
184,T185,T185,Keith Clearwater,23,313,137,176
185,T185,T185,José María Olazábal,15,313,188,125
186,187,187,David Frost,27,318,179,139
187,188,188,Doug Barron,25,328,168,160
188,189,189,Franklin Langham,22,332,185,147
189,190,190,Mark O'Meara,21,335,156,179
190,191,191,Jeff Julian,22,337,144,193
191,192,192,Michael Muehr,32,341,158,183
192,193,193,Tom Scherrer,28,350,173,177
193,194,194,Willie Wood,16,380,190,190
