,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
107,108,108,Steve Lowery,100,65.33,49,75,-0.02
108,109,109,Robin Freeman,105,65.22,15,23,-0.20
109,110,110,Bob May,86,65.0,13,20,-0.15
110,T111,T111,Brent Geiberger,84,64.71,22,34,-0.41
111,T111,T111,Neal Lancaster,107,64.71,22,34,-0.27
112,113,113,Andrew Magee,97,64.44,29,45,-0.28
113,114,114,Bob Burns,92,64.29,27,42,-0.22
114,T115,T115,Ernie Els,70,64.1,25,39,-0.24
115,T115,T115,Sergio Garcia,64,64.1,25,39,-0.16
116,T117,T117,"David Berganio, Jr.",76,64.0,16,25,-0.44
117,T117,T117,Scott Simpson,73,64.0,16,25,-0.31
118,T119,T119,Brandel Chamblee,77,63.64,7,11,E
119,T119,T119,Doug Dunakey,83,63.64,14,22,-0.21
120,121,121,Kenny Perry,94,63.24,43,68,-0.33
121,122,122,Bob Estes,91,62.9,39,62,-0.51
122,123,123,Bob Tway,109,62.71,37,59,-0.27
123,T124,T124,Mark O'Meara,69,62.5,20,32,-0.30
124,T124,T124,Esteban Toledo,116,62.5,20,32,-0.35
125,T126,T126,Brad Elder,111,62.07,18,29,-0.44
126,T126,T126,Frank Nobilo,91,62.07,18,29,-0.22
127,128,128,Chris DiMarco,108,62.03,49,79,-0.33
128,T129,T129,Jason Gore,82,61.9,13,21,-0.31
129,T129,T129,Gabriel Hjertstedt,76,61.9,13,21,E
130,T131,T131,Larry Mize,76,61.29,19,31,-0.16
131,T131,T131,Jeff Sluman,106,61.29,38,62,-0.13
132,133,133,Mike Weir,86,60.42,29,48,-0.31
133,T134,T134,Vijay Singh,98,60.0,42,70,-0.36
134,T134,T134,Hal Sutton,96,60.0,24,40,-0.13
135,T136,T136,Mark Calcavecchia,81,59.38,19,32,+0.05
136,T136,T136,David Morland IV,88,59.38,19,32,E
137,T136,T136,Loren Roberts,84,59.38,19,32,-0.26
138,139,139,Steve Stricker,73,59.26,16,27,+0.06
139,140,140,Geoff Ogilvy,60,59.09,13,22,-0.23
140,T141,T141,David Frost,87,58.33,21,36,-0.48
141,T141,T141,Cliff Kresge,84,58.33,7,12,E
142,T141,T141,Chris Perry,80,58.33,7,12,E
143,T144,T144,Brad Faxon,95,58.0,29,50,-0.21
144,T144,T144,J.L. Lewis,108,58.0,29,50,-0.10
145,146,146,David Duval,78,57.69,30,52,-0.37
146,147,147,Stephen Ames,88,57.58,19,33,E
147,T148,T148,Jim Furyk,88,57.14,24,42,-0.21
148,T148,T148,Rory Sabbatini,73,57.14,32,56,-0.31
149,T150,T150,Chris Smith,101,56.52,13,23,-0.31
150,T150,T150,Paul Stankowski,91,56.52,13,23,-0.31
151,152,152,Kirk Triplett,88,56.0,14,25,-0.36
152,T153,T153,Keith Clearwater,62,55.56,5,9,-0.40
153,T153,T153,Richie Coughlan,66,55.56,5,9,+0.80
154,T153,T153,Kevin Sutherland,101,55.56,25,45,-0.24
155,156,156,Stewart Cink,102,55.29,47,85,-0.34
156,T157,T157,Scott McCarron,98,55.17,32,58,-0.25
157,T157,T157,Chris Riley,104,55.17,16,29,-0.31
158,159,159,Greg Chalmers,92,55.0,11,20,-0.36
159,160,160,Brian Wilson,88,54.84,17,31,-0.24
160,161,161,Chris Tidland,83,54.55,6,11,-0.17
161,162,162,Carlos Franco,87,54.17,13,24,-0.69
162,163,163,Justin Leonard,106,53.97,34,63,-0.12
163,164,164,Davis Love III,75,53.66,44,82,-0.50
164,165,165,Paul Goydos,86,53.13,17,32,-0.35
165,166,166,Matt Gogel,83,52.17,12,23,-0.50
166,T167,T167,Jimmy Green,94,50.0,16,32,+0.06
167,T167,T167,Steve Jones,75,50.0,8,16,-0.25
168,T167,T167,Corey Pavin,72,50.0,6,12,-0.33
169,170,170,Steve Pate,89,47.83,11,23,-0.45
170,171,171,Jerry Kelly,104,47.06,8,17,-0.25
171,172,172,Harrison Frazar,88,45.45,10,22,-0.20
172,173,173,John Daly,84,39.13,9,23,-0.56
173,174,174,Rich Beem,91,25.0,1,4,E
