,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
158,159,159,Aaron Baddeley,28,237,82,155
159,160,160,Cameron Smith,24,240,132,108
160,T161,T161,Martin Piller,22,241,130,111
161,T161,T161,Cameron Tringale,25,241,142,99
162,T163,T163,Patton Kizzire,27,243,86,157
163,T163,T163,D.H. Lee,22,243,161,82
164,165,165,Ernie Els,21,244,74,170
165,166,166,Jeff Overton,25,249,143,106
166,167,167,Tom Hoge,26,252,100,152
167,168,168,D.A. Points,18,253,153,100
168,169,169,Luke Guthrie,19,256,102,154
169,170,170,Retief Goosen,16,257,108,149
170,171,171,Peter Malnati,32,260,169,91
171,172,172,Michael Kim,29,264,148,116
172,173,173,Tyler Aldridge,28,267,141,126
173,174,174,Freddie Jacobson,26,272,162,110
174,175,175,Ricky Barnes,29,284,118,166
175,176,176,Tyrone Van Aswegen,31,285,114,171
176,177,177,Derek Fathauer,30,289,111,178
177,T178,T178,Steven Bowditch,26,292,107,185
178,T178,T178,Brendon Todd,29,292,167,125
179,180,180,Luke Donald,23,295,151,144
180,181,181,Camilo Villegas,27,304,127,177
181,182,182,Chad Collins,26,305,171,134
182,T183,T183,Erik Compton,24,314,145,169
183,T183,T183,Rob Oppenheim,21,314,158,156
184,185,185,Robert Allenby,23,315,154,161
