,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
40,T39,T39,Justin Rose,18,44.4,120,270,+1.00
41,T42,T42,Rhein Gibson,20,44.6,128,287,+2.03
42,T42,T42,Dustin Johnson,22,44.6,162,363,+0.68
43,44,44,Stuart Appleby,23,44.7,153,342,+0.59
44,45,45,Graham DeLaet,21,44.8,142,317,+1.13
45,T46,T46,Jim Furyk,14,45.0,81,180,+2.59
46,T46,T46,David Hearn,29,45.0,170,378,+2.18
47,T46,T46,Steve Wheatcroft,26,45.0,163,362,+1.60
48,T49,T49,Jonas Blixt,26,45.2,174,385,+2.24
49,T49,T49,Bill Haas,24,45.2,149,330,+1.14
50,T49,T49,Rory McIlroy,18,45.2,112,248,+0.09
51,T49,T49,Nick Taylor,26,45.2,170,376,+2.24
52,T53,T53,Chad Collins,26,45.4,173,381,+1.50
53,T53,T53,Charl Schwartzel,19,45.4,148,326,+1.08
54,T53,T53,Harold Varner III,28,45.4,199,438,+1.96
55,56,56,Marc Leishman,25,45.6,162,355,+1.67
56,57,57,Jimmy Walker,25,45.7,223,488,+0.94
57,T58,T58,Patton Kizzire,27,45.8,201,439,+0.85
58,T58,T58,Martin Laird,24,45.8,194,424,+1.49
59,T58,T58,Wes Roach,21,45.8,109,238,+3.12
60,T58,T58,Kyle Stanley,28,45.8,176,384,+1.65
61,62,62,Andrew Landry,18,45.9,68,148,+3.09
62,63,63,Graeme McDowell,21,46.0,92,200,+2.07
63,T64,T64,Tony Finau,28,46.1,228,495,+1.18
64,T64,T64,Geoff Ogilvy,22,46.1,124,269,+0.73
65,66,66,Russell Henley,25,46.2,160,346,+1.88
66,T67,T67,Chris Kirk,28,46.3,175,378,+0.63
67,T67,T67,Andrew Loupe,27,46.3,217,469,+1.06
68,T69,T69,Ricky Barnes,29,46.4,224,483,+1.16
69,T69,T69,Sean O'Hair,27,46.4,209,450,+1.39
70,71,71,Steve Marino,24,46.5,145,312,+2.62
71,72,72,Kyle Reifers,34,46.6,214,459,+1.54
72,T73,T73,Zac Blair,31,46.7,156,334,+1.28
73,T73,T73,Colt Knost,26,46.7,122,261,+1.48
74,T73,T73,William McGirt,28,46.7,193,413,+0.78
75,76,76,Jordan Spieth,21,46.8,154,329,+0.39
76,T77,T77,Kevin Chappell,27,46.9,198,422,+0.86
77,T77,T77,Hideki Matsuyama,23,46.9,142,303,+0.56
78,79,79,Camilo Villegas,27,47.1,220,467,+3.00
79,80,80,Robert Garrigus,21,47.2,158,335,+1.08
80,81,81,Luke List,27,47.4,200,422,+0.75
81,82,82,John Senden,28,47.6,204,429,+1.13
82,T83,T83,Ken Duke,20,47.8,119,249,+1.43
83,T83,T83,Tom Hoge,26,47.8,186,389,+2.53
84,T83,T83,Troy Merritt,26,47.8,174,364,+1.78
85,T86,T86,Greg Owen,29,48.1,185,385,+2.00
86,T86,T86,Jhonattan Vegas,27,48.1,224,466,+0.76
87,88,88,Jason Dufner,28,48.2,201,417,+0.95
88,T89,T89,Matt Kuchar,26,48.3,174,360,+1.67
89,T89,T89,Ryan Moore,23,48.3,143,296,+1.54
90,T91,T91,Adam Hadwin,27,48.4,208,430,+2.55
91,T91,T91,Seung-Yul Noh,28,48.4,221,457,+1.09
92,T91,T91,Kevin Streelman,26,48.4,149,308,+1.41
93,T94,T94,Brian Harman,31,48.5,228,470,+0.83
94,T94,T94,Chez Reavie,27,48.5,164,338,+1.16
95,T96,T96,Alex Cejka,22,48.7,115,236,+2.09
96,T96,T96,J.B. Holmes,22,48.7,185,380,+1.57
97,T98,T98,Jason Day,20,48.9,175,358,-0.29
98,T98,T98,Freddie Jacobson,26,48.9,196,401,+1.48
99,T98,T98,Steve Stricker,15,48.9,112,229,+0.89
100,101,101,Shane Lowry,17,49.0,97,198,+2.27
101,T102,T102,Derek Fathauer,30,49.1,245,499,+1.96
102,T102,T102,Michael Kim,29,49.1,234,477,+1.41
103,104,104,Morgan Hoffmann,25,49.2,164,333,+1.89
104,T105,T105,Scott Brown,27,49.4,166,336,+1.02
105,T105,T105,Brendon Todd,29,49.4,161,326,+2.24
106,T107,T107,Paul Casey,22,49.6,138,278,+1.81
107,T107,T107,James Hahn,26,49.6,185,373,+1.46
108,109,109,Ángel Cabrera,22,49.8,142,285,+2.68
109,110,110,Brandt Snedeker,27,49.9,209,419,+0.96
110,T111,T111,Sergio Garcia,15,50.0,74,148,+0.14
111,T111,T111,Ben Martin,28,50.0,209,418,+1.96
112,T111,T111,Henrik Norlander,21,50.0,134,268,+2.46
113,T111,T111,Justin Thomas,28,50.0,229,458,+1.31
114,T111,T111,Tyrone Van Aswegen,31,50.0,273,546,+1.54
115,T111,T111,Dawie van der Walt,25,50.0,165,330,+1.70
116,T111,T111,Tim Wilkinson,22,50.0,137,274,+1.46
117,118,118,Brett Stegmaier,29,50.1,205,409,+1.80
118,T119,T119,Steven Bowditch,26,50.2,203,404,+3.74
119,T119,T119,Jamie Lovemark,27,50.2,233,464,+1.55
120,121,121,Rickie Fowler,23,50.3,176,350,+0.97
121,T122,T122,Luke Guthrie,19,50.4,138,274,+0.80
122,T122,T122,J.J. Henry,24,50.4,171,339,+0.99
123,124,124,Russell Knox,25,50.5,144,285,+2.15
124,T125,T125,Jason Bohn,21,50.6,134,265,+1.42
125,T125,T125,Ben Crane,27,50.6,165,326,+0.30
126,T125,T125,Kevin Na,26,50.6,170,336,+1.41
127,T125,T125,Scott Pinckney,29,50.6,183,362,+1.58
128,T129,T129,Harris English,27,50.7,230,454,+1.78
129,T129,T129,Jason Gore,27,50.7,154,304,+2.08
130,T129,T129,Chris Stroud,27,50.7,187,369,+1.93
131,T132,T132,Lucas Glover,23,50.9,167,328,+1.08
132,T132,T132,Bubba Watson,19,50.9,163,320,+0.55
133,T132,T132,Willy Wilcox,23,50.9,165,324,+1.27
134,T135,T135,Andres Gonzales,28,51.2,192,375,+1.56
135,T135,T135,Hunter Mahan,22,51.2,155,303,+1.87
136,T137,T137,Blayne Barber,27,51.3,195,380,+2.26
137,T137,T137,Brooks Koepka,21,51.3,174,339,+0.63
138,T137,T137,David Lingmerth,24,51.3,135,263,+2.52
139,T137,T137,Rory Sabbatini,20,51.3,102,199,+0.98
140,141,141,Louis Oosthuizen,17,51.4,113,220,+1.77
141,142,142,Daniel Summerhays,28,51.5,235,456,+1.62
142,143,143,Vaughn Taylor,24,51.7,183,354,+1.58
143,T144,T144,Retief Goosen,16,51.8,142,274,+1.62
144,T144,T144,Sam Saunders,24,51.8,146,282,+2.67
145,T144,T144,Hudson Swafford,30,51.8,247,477,+1.54
146,147,147,Gary Woodland,26,52.1,232,445,+0.22
147,T148,T148,Emiliano Grillo,25,52.2,177,339,+2.03
148,T148,T148,Shawn Stefani,29,52.2,223,427,+1.39
149,150,150,Zach Johnson,24,52.5,179,341,+1.23
150,151,151,Vijay Singh,22,52.6,202,384,+1.78
151,152,152,Robert Streb,27,52.7,204,387,+1.57
152,T153,T153,Will MacKenzie,26,53.0,195,368,+1.95
153,T153,T153,Adam Scott,20,53.0,175,330,+1.37
154,155,155,Abraham Ancer,19,53.7,95,177,+1.89
155,156,156,Chad Campbell,28,53.8,206,383,+0.58
156,157,157,Sung Kang,29,53.9,216,401,+1.53
157,T158,T158,Brendon de Jonge,30,54.0,191,354,+1.62
158,T158,T158,Jim Herman,29,54.0,187,346,+1.50
159,T158,T158,Jason Kokrak,28,54.0,228,422,+0.66
160,T158,T158,Rod Pampling,18,54.0,94,174,+1.70
161,T162,T162,Cameron Tringale,25,54.2,213,393,+1.31
162,T162,T162,Johnson Wagner,26,54.2,219,404,+1.46
163,164,164,D.A. Points,18,54.3,113,208,+1.86
164,165,165,Padraig Harrington,16,54.4,123,226,+2.20
165,166,166,Kevin Kisner,27,54.5,193,354,+1.71
166,167,167,Robert Allenby,23,55.3,136,246,+2.28
167,T168,T168,Danny Lee,28,55.6,185,333,+2.59
168,T168,T168,Michael Thompson,23,55.6,164,295,+2.68
169,170,170,Carlos Ortiz,29,55.9,212,379,+2.31
170,171,171,Luke Donald,23,56.0,190,339,+1.63
171,172,172,Stewart Cink,19,56.1,166,296,+1.63
172,173,173,Anirban Lahiri,21,56.4,167,296,+1.62
173,T174,T174,Billy Horschel,20,57.0,170,298,+1.71
174,T174,T174,Brian Stuard,20,57.0,138,242,+1.81
175,176,176,Martin Piller,22,57.1,153,268,+1.63
176,177,177,Chesson Hadley,27,57.3,228,398,+1.75
177,178,178,Keegan Bradley,26,57.6,178,309,+2.13
178,179,179,Jerry Kelly,23,57.7,142,246,+1.97
179,180,180,Jon Curran,30,58.0,239,412,+1.76
180,181,181,Erik Compton,24,58.5,183,313,+2.57
181,182,182,Phil Mickelson,22,59.7,221,370,+0.95
182,183,183,Spencer Levin,32,61.7,227,368,+2.20
183,184,184,Webb Simpson,20,63.8,192,301,+0.57
184,185,185,Billy Hurley III,20,66.9,186,278,+1.45
