,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
65,T65,T65,Michael Thompson,71,"104' 11""",5454',52,"127' 10""","79' 8"""
66,67,67,Geoff Ogilvy,63,"104' 10""","5977' 8""",57,"133' 0""","70' 11"""
67,68,68,Brendan Steele,88,"104' 8""","5967' 3""",57,"135' 7""","69' 11"""
68,69,69,Scott Stallings,74,"104' 7""","6902' 6""",66,"134' 4""","60' 2"""
69,70,70,Michael Kim,100,"104' 6""",9192',88,"133' 7""","73' 0"""
70,71,71,Jason Gore,78,"104' 5""","7099' 9""",68,"137' 6""","71' 7"""
71,72,72,Chris Stroud,82,"104' 4""","7093' 2""",68,"172' 1""","67' 3"""
72,T73,T73,Zach Johnson,90,"103' 11""","7377' 7""",71,"134' 3""","77' 9"""
73,T73,T73,Shane Lowry,57,"103' 11""",3948',38,"127' 6""","57' 10"""
74,T75,T75,David Lingmerth,84,"103' 10""","7165' 7""",69,"131' 9""","59' 1"""
75,T75,T75,Rory Sabbatini,57,"103' 10""","3012' 3""",29,"147' 2""","76' 6"""
76,T77,T77,Derek Fathauer,94,"103' 5""","8585' 5""",83,"155' 11""","49' 9"""
77,T77,T77,Will MacKenzie,84,"103' 5""","7134' 8""",69,"144' 1""","67' 6"""
78,79,79,Charl Schwartzel,73,"103' 4""","5372' 7""",52,"150' 0""","53' 3"""
79,80,80,Anirban Lahiri,72,"103' 1""",5566',54,"135' 1""","61' 3"""
80,81,81,D.H. Lee,61,"103' 0""",4427',43,"139' 10""","69' 3"""
81,82,82,Jonas Blixt,79,"102' 7""","7075' 9""",69,"136' 11""","44' 5"""
82,83,83,Webb Simpson,70,"102' 4""","5320' 5""",52,"132' 5""","76' 5"""
83,84,84,Matt Kuchar,100,"102' 3""","8694' 4""",85,"149' 4""","59' 2"""
84,85,85,Daniel Berger,92,"101' 10""","7228' 4""",71,"148' 2""","10' 6"""
85,86,86,Cameron Tringale,81,"101' 5""","7000' 3""",69,"131' 8""","64' 6"""
86,87,87,Alex Cejka,71,"101' 3""","5266' 4""",52,"131' 9""","68' 3"""
87,88,88,Scott Brown,88,"101' 2""","8295' 5""",82,"141' 9""","69' 6"""
88,89,89,Robert Garrigus,69,"101' 1""","5156' 1""",51,"132' 9""","60' 8"""
89,90,90,Marc Leishman,89,"101' 0""",6764',67,"148' 2""","46' 0"""
90,91,91,Harris English,97,"100' 9""",7150',71,"124' 11""","59' 11"""
91,T92,T92,Tyler Aldridge,83,"100' 7""",6537',65,"125' 3""","64' 7"""
92,T92,T92,K.J. Choi,73,"100' 7""","6942' 9""",69,"148' 0""","63' 10"""
93,T92,T92,Billy Hurley III,66,"100' 7""","5232' 5""",52,"121' 0""","74' 11"""
94,95,95,Wes Roach,59,"100' 6""","4120' 9""",41,"125' 7""","69' 0"""
95,96,96,Emiliano Grillo,93,"99' 11""","7193' 1""",72,"136' 1""","71' 10"""
96,97,97,Jimmy Walker,85,"99' 10""","6788' 8""",68,"158' 5""","53' 9"""
97,T98,T98,Aaron Baddeley,93,"99' 6""","6766' 5""",68,"127' 4""","67' 0"""
98,T98,T98,Mark Wilson,66,"99' 6""","5374' 7""",54,"131' 5""","78' 6"""
99,100,100,Sergio Garcia,54,"99' 5""","1988' 4""",20,"148' 3""","67' 6"""
100,T101,T101,Zac Blair,99,"99' 4""","7750' 8""",78,"122' 8""","71' 8"""
101,T101,T101,Russell Henley,76,"99' 4""","6754' 8""",68,"129' 1""","73' 9"""
102,103,103,Cameron Smith,73,"99' 0""","4256' 1""",43,"132' 11""","67' 11"""
103,T104,T104,Ernie Els,66,"98' 11""","5735' 2""",58,"145' 7""","58' 10"""
104,T104,T104,Si Woo Kim,113,"98' 11""","9201' 2""",93,"159' 2""","48' 3"""
105,T104,T104,Jeff Overton,69,"98' 11""","6923' 1""",70,"137' 2""","46' 9"""
106,107,107,Tom Hoge,81,"98' 10""","5833' 3""",59,"138' 7""","72' 10"""
107,108,108,Patton Kizzire,93,"98' 9""","7502' 9""",76,"152' 6""","59' 0"""
108,109,109,J.J. Henry,68,"98' 6""","5909' 0""",60,"136' 4""","59' 8"""
109,110,110,David Toms,62,"98' 5""","6199' 2""",63,"125' 11""","75' 5"""
110,111,111,Camilo Villegas,83,"98' 2""","7654' 0""",78,"141' 1""","40' 0"""
111,112,112,William McGirt,98,"98' 0""","7545' 1""",77,"124' 9""","67' 11"""
112,T113,T113,Kevin Kisner,97,"97' 3""","7199' 2""",74,"130' 4""","61' 9"""
113,T113,T113,Adam Scott,79,"97' 3""","5057' 5""",52,"127' 11""","61' 5"""
114,115,115,Troy Merritt,77,"97' 1""","6308' 7""",65,"138' 2""","71' 7"""
115,116,116,Johnson Wagner,86,"96' 11""","7655' 9""",79,"128' 11""","64' 8"""
116,117,117,John Huh,86,"96' 5""","7807' 1""",81,"122' 10""","65' 8"""
117,118,118,Chris Kirk,90,"96' 2""",7691',80,"138' 7""","49' 11"""
118,119,119,Dawie van der Walt,72,"96' 1""","4803' 0""",50,"121' 5""","57' 4"""
119,120,120,Chez Reavie,90,"96' 0""","7585' 9""",79,"121' 2""","64' 4"""
120,121,121,Roberto Castro,97,"95' 7""",8314',87,"133' 3""","59' 3"""
121,122,122,Fabián Gómez,82,"95' 3""","6951' 3""",73,"148' 2""","63' 5"""
122,T123,T123,Robert Allenby,51,"95' 2""","3805' 7""",40,"142' 8""","41' 11"""
123,T123,T123,Whee Kim,82,"95' 2""","6281' 9""",66,"120' 11""","70' 8"""
124,T123,T123,John Senden,88,"95' 2""","4756' 4""",50,"122' 6""","71' 10"""
125,T123,T123,Kevin Streelman,82,"95' 2""","5615' 6""",59,"125' 6""","42' 7"""
126,T123,T123,Tyrone Van Aswegen,105,"95' 2""","7710' 0""",81,"145' 6""","40' 8"""
127,128,128,Nick Taylor,83,"94' 11""","6076' 0""",64,"130' 6""","66' 11"""
128,T129,T129,Derek Ernst,59,"94' 5""",3965',42,"194' 4""","61' 10"""
129,T129,T129,Brian Harman,104,"94' 5""","8401' 0""",89,"146' 6""","60' 6"""
130,T131,T131,Graeme McDowell,63,"94' 3""","4711' 3""",50,"125' 9""","52' 11"""
131,T131,T131,D.A. Points,55,"94' 3""","3109' 2""",33,"135' 0""","55' 10"""
132,133,133,Stuart Appleby,71,"94' 0""","6676' 6""",71,"120' 7""","44' 2"""
133,134,134,Ryan Moore,86,"93' 9""","6092' 0""",65,"115' 7""","65' 4"""
134,T135,T135,Ben Crane,80,"93' 3""","6620' 7""",71,"117' 4""","65' 5"""
135,T135,T135,Steve Wheatcroft,85,"93' 3""","6807' 2""",73,"143' 3""","72' 4"""
136,137,137,Andres Gonzales,80,"93' 2""",5308',57,"187' 11""","61' 4"""
137,138,138,Brendon Todd,66,"93' 1""","5491' 1""",59,"124' 1""","62' 6"""
138,T139,T139,Charles Howell III,91,"92' 7""","7592' 9""",82,"134' 6""","37' 5"""
139,T139,T139,Louis Oosthuizen,63,"92' 7""","4167' 1""",45,"130' 2""","51' 4"""
140,141,141,Francesco Molinari,64,"92' 6""","5087' 8""",55,"121' 3""","67' 9"""
141,142,142,Kyle Reifers,115,"92' 3""","8952' 3""",97,"134' 3""","53' 10"""
142,143,143,Steven Bowditch,71,"92' 0""",5059',55,"149' 10""","40' 10"""
143,144,144,Ben Martin,92,"91' 10""","7713' 8""",84,"113' 4""","64' 5"""
144,145,145,Peter Malnati,85,"91' 8""","5684' 1""",62,"116' 10""","56' 0"""
145,146,146,Jhonattan Vegas,97,"91' 7""","6320' 1""",69,"119' 2""","58' 8"""
146,147,147,Stewart Cink,61,"91' 2""","4192' 4""",46,"121' 5""","64' 4"""
147,148,148,Matt Jones,83,"91' 0""","4095' 6""",45,"139' 5""","57' 5"""
148,149,149,Vijay Singh,72,"90' 10""","6721' 0""",74,"134' 2""","47' 0"""
149,150,150,Freddie Jacobson,86,"90' 9""","6806' 0""",75,"131' 2""","58' 5"""
150,151,151,Henrik Norlander,71,"90' 8""","4896' 8""",54,"130' 3""","36' 2"""
151,T152,T152,Jason Bohn,67,"90' 4""","3071' 3""",34,"122' 2""","71' 5"""
152,T152,T152,Kyle Stanley,92,"90' 4""","7499' 5""",83,"137' 2""","24' 5"""
153,154,154,Brian Stuard,66,"90' 2""","5231' 9""",58,"121' 5""","60' 8"""
154,155,155,Greg Owen,85,"89' 5""","6257' 5""",70,"124' 0""","58' 1"""
155,156,156,Brendon de Jonge,83,"89' 3""","5713' 6""",64,"122' 7""","47' 3"""
156,157,157,Erik Compton,65,"88' 11""","4624' 7""",52,"121' 7""","51' 4"""
157,158,158,Steve Stricker,53,"88' 9""",3992',45,"114' 11""","60' 1"""
158,159,159,Tim Wilkinson,72,"88' 5""","3891' 1""",44,"109' 3""","59' 3"""
159,160,160,Jerry Kelly,76,"88' 1""","5459' 2""",62,"122' 7""","47' 3"""
160,161,161,Paul Casey,77,"88' 0""","4753' 4""",54,"119' 6""","51' 11"""
161,162,162,Willy Wilcox,67,"87' 11""","4922' 5""",56,"129' 1""","9' 6"""
162,163,163,Scott Langley,65,"87' 10""",4478',51,"129' 5""","51' 10"""
163,164,164,Kevin Na,96,"87' 4""","5676' 7""",65,"115' 7""","56' 6"""
164,T165,T165,Chad Campbell,90,"87' 1""","6963' 7""",80,"123' 6""","36' 10"""
165,T165,T165,Russell Knox,92,"87' 1""","6357' 5""",73,"124' 7""","41' 8"""
166,167,167,Chad Collins,73,"86' 7""","5108' 9""",59,"140' 0""","47' 3"""
167,168,168,Ken Duke,58,"86' 4""","5182' 0""",60,"117' 1""","60' 3"""
168,169,169,Jim Herman,93,"85' 6""","5730' 9""",67,"117' 7""","52' 3"""
169,170,170,Daniel Summerhays,99,"85' 5""","6919' 4""",81,"124' 3""","45' 2"""
170,T171,T171,Abraham Ancer,51,"85' 0""","2720' 1""",32,"119' 8""","55' 5"""
171,T171,T171,Jason Dufner,105,"85' 0""","7138' 8""",84,"128' 3""","47' 8"""
172,173,173,Colt Knost,90,"84' 3""","6571' 9""",78,"118' 1""","54' 0"""
173,174,174,Lucas Glover,75,"83' 11""","6124' 1""",73,"135' 7""","37' 2"""
174,175,175,Rod Pampling,54,"83' 7""","2924' 5""",35,"123' 5""","46' 2"""
175,176,176,Dicky Pride,55,"83' 3""",3580',43,"105' 8""","67' 11"""
176,177,177,Robert Streb,87,"83' 1""","5814' 4""",70,"123' 8""","41' 6"""
177,178,178,George McNeill,51,"82' 6""","3960' 6""",48,"138' 7""","45' 11"""
178,179,179,Spencer Levin,104,"81' 11""","7290' 9""",89,"140' 11""","51' 8"""
179,180,180,Jim Furyk,52,"81' 4""","3008' 3""",37,"105' 6""","55' 11"""
180,181,181,Bryce Molder,80,"81' 2""","5922' 3""",73,"107' 0""","44' 2"""
181,182,182,Rob Oppenheim,67,"80' 6""",3943',49,"119' 3""","37' 10"""
182,183,183,Boo Weekley,83,"76' 8""","5829' 8""",76,"111' 9""","49' 2"""
183,184,184,Branden Grace,63,"72' 10""","2841' 1""",39,"122' 6""","23' 10"""
184,185,185,Ricky Barnes,97,"72' 8""","5450' 6""",75,"178' 3""","12' 10"""
