,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
27,28,28,Scott Piercy,87,63.31,261991.7,413819
28,29,29,Justin Rose,65,63.29,201517.0,318425
29,30,30,Andrew Landry,53,63.24,132467.3,209452
30,31,31,Harold Varner III,92,63.2,320484.9,507074
31,32,32,Greg Owen,85,63.14,273847.8,433695
32,33,33,Derek Ernst,59,63.13,172895.6,273863
33,34,34,Sergio Garcia,54,63.12,125935.6,199508
34,35,35,Charley Hoffman,91,63.07,284141.7,450483
35,36,36,Shane Lowry,57,63.05,146096.5,231731
36,37,37,Patrick Reed,105,63.03,317508.2,503714
37,38,38,Jordan Spieth,80,63.02,235963.9,374422
38,39,39,Martin Laird,82,62.99,283071.7,449368
39,40,40,Si Woo Kim,113,62.94,394218.8,626363
40,41,41,Steve Marino,72,62.93,220707.6,350697
41,42,42,Scott Stallings,74,62.91,248832.8,395533
42,43,43,Stewart Cink,61,62.89,194984.6,310028
43,44,44,Brendan Steele,88,62.88,276260.3,439328
44,45,45,Charl Schwartzel,73,62.86,226549.7,360422
45,46,46,Nick Taylor,83,62.85,264673.1,421123
46,T47,T47,Keegan Bradley,82,62.8,253492.2,403623
47,T47,T47,Dawie van der Walt,72,62.8,224169.2,356938
48,T49,T49,Russell Henley,76,62.77,275197.4,438453
49,T49,T49,Hunter Mahan,61,62.77,196600.4,313192
50,51,51,Brett Stegmaier,87,62.72,298687.2,476260
51,52,52,Morgan Hoffmann,71,62.68,235748.5,376140
52,53,53,Chesson Hadley,81,62.66,264145.3,421580
53,54,54,Harris English,97,62.64,289763.2,462565
54,55,55,Ernie Els,66,62.6,224389.1,358429
55,T56,T56,Steven Bowditch,71,62.56,220472.3,352442
56,T56,T56,Jason Dufner,105,62.56,314826.4,503207
57,T58,T58,Daniel Berger,92,62.54,289734.3,463280
58,T58,T58,Wes Roach,59,62.54,171457.4,274175
59,T60,T60,Andres Gonzales,80,62.53,254499.3,407008
60,T60,T60,Michael Thompson,71,62.53,211083.7,337573
61,T62,T62,Graham DeLaet,70,62.52,231503.8,370269
62,T62,T62,Phil Mickelson,75,62.52,239771.3,383520
63,64,64,Kelly Kraft,63,62.47,175206.6,280479
64,65,65,Boo Weekley,83,62.45,281655.7,451039
65,T66,T66,Lucas Glover,75,62.4,266973.4,427830
66,T66,T66,Brandt Snedeker,93,62.4,297438.3,476648
67,68,68,Seung-Yul Noh,85,62.39,273208.0,437935
68,69,69,Matt Jones,83,62.37,247943.1,397516
69,70,70,Hideki Matsuyama,76,62.35,234363.4,375913
70,T71,T71,Ángel Cabrera,62,62.34,191714.8,307532
71,T71,T71,Branden Grace,63,62.34,167929.5,269368
72,73,73,Paul Casey,77,62.28,229229.3,368090
73,T74,T74,Bronson Burgoon,83,62.25,252925.0,406307
74,T74,T74,Emiliano Grillo,93,62.25,294726.0,473427
75,T76,T76,Kevin Kisner,97,62.22,291891.7,469136
76,T76,T76,Shawn Stefani,91,62.22,304876.2,489981
77,78,78,Scott Brown,88,62.19,272444.0,438117
78,79,79,Rory Sabbatini,57,62.11,153468.3,247083
79,80,80,Martin Piller,59,62.09,182266.8,293561
80,81,81,Sung Kang,89,62.07,287984.3,463989
81,82,82,Tom Hoge,81,62.06,248386.2,400265
82,83,83,Marc Leishman,89,62.04,259240.4,417846
83,T84,T84,Rod Pampling,54,62.03,146855.1,236738
84,T84,T84,Robert Streb,87,62.03,260052.5,419218
85,86,86,Louis Oosthuizen,63,62.0,166735.1,268909
86,87,87,Willy Wilcox,67,61.99,224497.5,362172
87,88,88,Webb Simpson,70,61.98,229026.3,369492
88,T89,T89,Kevin Chappell,93,61.96,310385.8,500915
89,T89,T89,Whee Kim,82,61.96,256645.7,414183
90,91,91,Sam Saunders,69,61.95,200511.3,323649
91,T92,T92,James Hahn,85,61.9,276123.5,446106
92,T92,T92,Anirban Lahiri,72,61.9,192740.7,311382
93,T92,T92,Vijay Singh,72,61.9,256045.3,413649
94,95,95,Brian Harman,104,61.87,361974.2,585070
95,96,96,Henrik Norlander,71,61.82,204898.4,331444
96,97,97,J.J. Henry,68,61.79,237784.1,384832
97,98,98,Johnson Wagner,86,61.78,298884.4,483807
98,99,99,Matt Kuchar,100,61.77,303891.8,491944
99,100,100,Geoff Ogilvy,63,61.76,197238.8,319355
100,101,101,Derek Fathauer,94,61.74,295008.6,477822
101,102,102,Tyler Aldridge,83,61.73,261918.5,424311
102,103,103,Jason Gore,78,61.69,231700.7,375615
103,104,104,Jim Herman,93,61.68,277204.6,449411
104,105,105,Adam Hadwin,93,61.67,342973.8,556115
105,T106,T106,Billy Horschel,73,61.66,223314.8,362163
106,T106,T106,Kyle Stanley,92,61.66,306113.3,496449
107,108,108,Kevin Streelman,82,61.65,250372.4,406095
108,109,109,Padraig Harrington,54,61.63,173272.2,281133
109,110,110,Blayne Barber,84,61.62,290256.0,471074
110,111,111,John Senden,88,61.61,307905.4,499803
111,T112,T112,Bill Haas,86,61.58,253349.2,411405
112,T112,T112,Hiroshi Iwata,85,61.58,258221.7,419344
113,114,114,Luke Guthrie,57,61.56,176179.0,286196
114,115,115,Daniel Summerhays,99,61.5,310847.4,505482
115,T116,T116,Russell Knox,92,61.49,256332.6,416844
116,T116,T116,Chris Stroud,82,61.49,270175.1,439384
117,118,118,Aaron Baddeley,93,61.46,291312.5,474019
118,119,119,Steve Wheatcroft,85,61.44,273399.9,444965
119,120,120,Alex Cejka,71,61.43,200641.1,326605
120,121,121,Jeff Overton,69,61.42,226913.7,369466
121,122,122,Tyrone Van Aswegen,105,61.41,340604.0,554676
122,123,123,Fabián Gómez,82,61.4,289818.8,472023
123,124,124,Danny Lee,93,61.39,277331.0,451719
124,125,125,Erik Compton,65,61.38,196389.1,319944
125,126,126,Will MacKenzie,84,61.37,257491.0,419568
126,127,127,Troy Merritt,77,61.35,255738.8,416863
127,128,128,Michael Kim,100,61.33,333011.5,542966
128,129,129,Ben Martin,92,61.32,314668.4,513122
129,T130,T130,Chad Campbell,90,61.31,308087.3,502470
130,T130,T130,David Lingmerth,84,61.31,237531.2,387406
131,132,132,Vaughn Taylor,72,61.3,262706.3,428573
132,133,133,William McGirt,98,61.28,346895.3,566127
133,T134,T134,Jonas Blixt,79,61.27,261687.4,427093
134,T134,T134,Cameron Smith,73,61.27,179036.0,292192
135,136,136,Brendon de Jonge,83,61.25,254271.2,415121
136,137,137,Patton Kizzire,93,61.22,290410.7,474407
137,138,138,Ricky Barnes,97,61.17,310576.5,507690
138,T139,T139,Francesco Molinari,64,61.14,223219.6,365100
139,T139,T139,Chez Reavie,90,61.14,295779.1,483743
140,T141,T141,Retief Goosen,55,61.12,187370.5,306584
141,T141,T141,Camilo Villegas,83,61.12,277277.1,453641
142,143,143,Kyle Reifers,115,61.04,375566.8,615271
143,144,144,Thomas Aiken,70,61.02,185858.3,304582
144,145,145,Chris Kirk,90,61.01,289994.6,475349
145,146,146,Scott Langley,65,60.98,206965.0,339381
146,147,147,Roberto Castro,97,60.87,343523.5,564388
147,148,148,Abraham Ancer,51,60.85,146539.2,240807
148,149,149,Stuart Appleby,71,60.78,255159.1,419774
149,150,150,Peter Malnati,85,60.74,287295.7,472991
150,151,151,Tim Wilkinson,72,60.62,192554.0,317657
151,152,152,Ryan Moore,86,60.58,251840.1,415716
152,153,153,D.H. Lee,61,60.56,177831.4,293644
153,T154,T154,Robert Allenby,51,60.53,157568.3,260322
154,T154,T154,Ken Duke,58,60.53,184397.7,304618
155,156,156,Mark Hubbard,101,60.5,320991.2,530529
156,157,157,Freddie Jacobson,86,60.48,273354.1,452004
157,158,158,Zach Johnson,90,60.46,283092.5,468254
158,159,159,Graeme McDowell,63,60.36,174528.0,289136
159,160,160,Spencer Levin,104,60.32,315204.5,522552
160,161,161,D.A. Points,55,60.31,149898.6,248563
161,162,162,Jerry Kelly,76,60.23,228459.4,379300
162,163,163,Rob Oppenheim,67,60.16,192874.0,320597
163,164,164,Cameron Tringale,81,60.1,270915.1,450748
164,165,165,George McNeill,51,60.08,175741.3,292502
165,166,166,Ben Crane,80,60.07,249401.0,415169
166,167,167,Bryce Molder,80,60.06,256053.0,426326
167,168,168,John Huh,86,59.98,298577.2,497765
168,169,169,David Hearn,95,59.93,315123.0,525807
169,T170,T170,Dicky Pride,55,59.9,155901.5,260265
170,T170,T170,Brendon Todd,66,59.9,205453.0,343001
171,172,172,Billy Hurley III,66,59.88,226832.1,378803
172,173,173,Jason Bohn,67,59.87,225439.7,376539
173,174,174,Jim Furyk,52,59.8,168962.8,282549
174,175,175,Chad Collins,73,59.7,243431.3,407761
175,176,176,Mark Wilson,66,59.64,207511.1,347918
176,177,177,Kevin Na,96,59.63,263236.8,441442
177,178,178,Zac Blair,99,59.59,308322.8,517416
178,179,179,Luke Donald,81,59.56,224345.7,376668
179,180,180,Steve Stricker,53,59.54,170541.8,286449
180,181,181,Brian Stuard,66,59.41,228969.3,385394
181,182,182,K.J. Choi,73,58.95,249905.9,423952
182,183,183,Colt Knost,90,58.84,262661.0,446397
183,184,184,David Toms,62,58.65,201394.5,343384
184,185,185,Jon Curran,99,58.6,315445.4,538339
