,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
47,48,48,Scott Stallings,74,287.4,248912,866
48,T49,T49,Paul Casey,77,287.3,229253,798
49,T49,T49,Derek Ernst,59,287.3,172959,602
50,T49,T49,Emiliano Grillo,93,287.3,294756,1026
51,52,52,Nick Taylor,83,287.2,264767,922
52,53,53,Chesson Hadley,81,287.1,264178,920
53,54,54,Ernie Els,66,287.0,224454,782
54,55,55,Anirban Lahiri,72,286.8,192742,672
55,56,56,Andrew Landry,53,286.7,132475,462
56,57,57,Steve Marino,72,286.6,220719,770
57,58,58,Graham DeLaet,70,286.5,231519,808
58,59,59,Morgan Hoffmann,71,286.1,235778,824
59,T60,T60,Brandt Snedeker,93,286.0,297446,1040
60,T60,T60,Dawie van der Walt,72,286.0,224243,784
61,62,62,Robert Streb,87,285.8,260063,910
62,T63,T63,Jason Dufner,105,285.7,314848,1102
63,T63,T63,Matt Jones,83,285.7,247948,868
64,T65,T65,Steven Bowditch,71,285.6,220478,772
65,T65,T65,Brett Stegmaier,87,285.6,298777,1046
66,T67,T67,Russell Henley,76,285.5,275229,964
67,T67,T67,Louis Oosthuizen,63,285.5,166755,584
68,69,69,Ángel Cabrera,62,285.4,191773,672
69,T70,T70,Kevin Chappell,93,285.3,310435,1088
70,T70,T70,James Hahn,85,285.3,276169,968
71,T72,T72,Stewart Cink,61,285.2,195043,684
72,T72,T72,Lucas Glover,75,285.2,266973,936
73,T74,T74,Billy Horschel,73,284.9,223333,784
74,T74,T74,Marc Leishman,89,284.9,259246,910
75,T74,T74,Wes Roach,59,284.9,171496,602
76,77,77,Andres Gonzales,80,284.7,254539,894
77,T78,T78,Brian Harman,104,284.6,362030,1272
78,T78,T78,Kevin Streelman,82,284.6,250415,880
79,T78,T78,Michael Thompson,71,284.6,211143,742
80,81,81,Kevin Kisner,97,284.5,291893,1026
81,82,82,Kelly Kraft,63,284.4,175215,616
82,83,83,Seung-Yul Noh,85,284.0,273237,962
83,T84,T84,Shawn Stefani,91,283.9,304888,1074
84,T84,T84,Boo Weekley,83,283.9,281678,992
85,86,86,Rod Pampling,54,283.6,146895,518
86,87,87,Jim Herman,93,283.5,277260,978
87,88,88,Whee Kim,82,283.3,256667,906
88,T89,T89,Scott Brown,88,283.2,272444,962
89,T89,T89,Rory Sabbatini,57,283.2,153500,542
90,91,91,Martin Piller,59,283.1,182300,644
91,92,92,Matt Kuchar,100,283.0,303937,1074
92,T93,T93,Bronson Burgoon,83,282.9,252954,894
93,T93,T93,Sung Kang,89,282.9,287993,1018
94,T95,T95,Bill Haas,86,282.8,253369,896
95,T95,T95,Webb Simpson,70,282.8,229037,810
96,T95,T95,Willy Wilcox,67,282.8,224529,794
97,T98,T98,Danny Lee,93,282.7,277355,981
98,T98,T98,Vijay Singh,72,282.7,256090,906
99,100,100,Geoff Ogilvy,63,282.6,197244,698
100,T101,T101,Fabián Gómez,82,282.5,289836,1026
101,T101,T101,John Senden,88,282.5,307959,1090
102,103,103,Sam Saunders,69,282.4,200513,710
103,104,104,Tom Hoge,81,282.3,248399,880
104,T105,T105,Adam Hadwin,93,282.1,343015,1216
105,T105,T105,Daniel Summerhays,99,282.1,310866,1102
106,T107,T107,Jason Gore,78,281.9,231733,822
107,T107,T107,J.J. Henry,68,281.9,237884,844
108,109,109,Russell Knox,92,281.7,256338,910
109,110,110,William McGirt,98,281.6,346922,1232
110,T111,T111,Derek Fathauer,94,281.5,295037,1048
111,T111,T111,Henrik Norlander,71,281.5,204927,728
112,T113,T113,Erik Compton,65,281.4,196396,698
113,T113,T113,Patton Kizzire,93,281.4,290440,1032
114,T113,T113,David Lingmerth,84,281.4,237536,844
115,T113,T113,Kyle Stanley,92,281.4,306115,1088
116,T117,T117,Blayne Barber,84,281.3,290298,1032
117,T117,T117,Padraig Harrington,54,281.3,173273,616
118,119,119,Aaron Baddeley,93,281.2,291323,1036
119,120,120,Ben Martin,92,281.0,314688,1120
120,121,121,Johnson Wagner,86,280.9,298903,1064
121,T122,T122,Hiroshi Iwata,85,280.7,258236,920
122,T122,T122,Vaughn Taylor,72,280.7,262740,936
123,T124,T124,Tyler Aldridge,83,280.5,261942,934
124,T124,T124,Retief Goosen,55,280.5,187371,668
125,T124,T124,Francesco Molinari,64,280.5,223246,796
126,127,127,Troy Merritt,77,280.4,255739,912
127,T128,T128,Michael Kim,100,280.3,333044,1188
128,T128,T128,Kyle Reifers,115,280.3,375581,1340
129,T128,T128,Chris Stroud,82,280.3,270228,964
130,131,131,Jonas Blixt,79,280.2,261711,934
131,T132,T132,Brendon de Jonge,83,280.1,254286,908
132,T132,T132,Jeff Overton,69,280.1,226915,810
133,T132,T132,Tyrone Van Aswegen,105,280.1,340638,1216
134,T132,T132,Camilo Villegas,83,280.1,277296,990
135,T132,T132,Steve Wheatcroft,85,280.1,273401,976
136,T137,T137,Chris Kirk,90,279.9,289995,1036
137,T137,T137,Will MacKenzie,84,279.9,257506,920
138,139,139,Cameron Smith,73,279.8,179044,640
139,140,140,Luke Guthrie,57,279.7,176213,630
140,141,141,Alex Cejka,71,279.4,200644,718
141,142,142,Roberto Castro,97,279.3,343531,1230
142,143,143,Chad Campbell,90,279.1,308133,1104
143,144,144,Chez Reavie,90,279.0,295779,1060
144,145,145,Scott Langley,65,278.9,206972,742
145,146,146,Thomas Aiken,70,278.2,185861,668
146,147,147,Ryan Moore,86,278.0,251874,906
147,148,148,Ricky Barnes,97,277.8,310579,1118
148,149,149,Mark Hubbard,101,277.2,321009,1158
149,150,150,Cameron Tringale,81,277.0,270932,978
150,151,151,Peter Malnati,85,276.8,287306,1038
151,152,152,Stuart Appleby,71,276.7,255159,922
152,T153,T153,D.H. Lee,61,276.2,177845,644
153,T153,T153,Graeme McDowell,63,276.2,174544,632
154,T155,T155,Ken Duke,58,276.0,184398,668
155,T155,T155,Zach Johnson,90,276.0,283129,1026
156,T157,T157,Freddie Jacobson,86,275.6,273375,992
157,T157,T157,Rob Oppenheim,67,275.6,192888,700
158,T159,T159,Robert Allenby,51,275.5,157589,572
159,T159,T159,Abraham Ancer,51,275.5,146553,532
160,161,161,Billy Hurley III,66,275.3,226842,824
161,T162,T162,Spencer Levin,104,275.1,315244,1146
162,T162,T162,Tim Wilkinson,72,275.1,192554,700
163,164,164,David Hearn,95,275.0,315128,1146
164,T165,T165,Ben Crane,80,274.7,249405,908
165,T165,T165,George McNeill,51,274.7,175788,640
166,167,167,D.A. Points,55,274.5,149899,546
167,168,168,John Huh,86,274.4,298584,1088
168,169,169,Jim Furyk,52,274.3,168988,616
169,T170,T170,Bryce Molder,80,273.6,256066,936
170,T170,T170,Kevin Na,96,273.6,263237,962
171,172,172,Jerry Kelly,76,273.3,228473,836
172,T173,T173,Jason Bohn,67,272.9,225440,826
173,T173,T173,Luke Donald,81,272.9,224353,822
174,175,175,Brian Stuard,66,272.6,229010,840
175,T176,T176,Steve Stricker,53,272.5,170560,626
176,T176,T176,Brendon Todd,66,272.5,205453,754
177,178,178,Zac Blair,99,272.4,308367,1132
178,179,179,Chad Collins,73,272.3,243431,894
179,T180,T180,K.J. Choi,73,271.6,249907,920
180,T180,T180,Dicky Pride,55,271.6,155902,574
181,182,182,Mark Wilson,66,270.9,207515,766
182,183,183,Jon Curran,99,268.7,315445,1174
183,184,184,Colt Knost,90,268.6,262675,978
184,185,185,David Toms,62,267.1,201409,754
