,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
31,32,32,Marc Leishman,89,2722.0,163321,60,3644,1793
32,33,33,Adam Hadwin,93,2719.8,228467,84,3636,1758
33,34,34,Phil Mickelson,75,2709.4,108374,40,3552,2143
34,35,35,Ken Duke,58,2701.1,137756,51,3802,1516
35,36,36,Charl Schwartzel,73,2696.2,124025,46,3883,1520
36,37,37,Charles Howell III,91,2690.2,177553,66,4069,1441
37,38,38,Charley Hoffman,91,2686.3,185352,69,4611,1608
38,39,39,David Hearn,95,2670.6,189614,71,5863,1524
39,40,40,Ángel Cabrera,62,2669.3,109442,41,3791,1657
40,41,41,Ricky Barnes,97,2659.4,186155,70,3884,1625
41,42,42,Rhein Gibson,58,2656.4,90317,34,3351,1865
42,43,43,Cameron Tringale,81,2656.2,154062,58,3910,1630
43,44,44,Tom Hoge,81,2654.3,138026,52,3477,1959
44,45,45,Jamie Lovemark,91,2653.1,196326,74,3840,1690
45,46,46,Cameron Smith,73,2652.7,108762,41,3786,1835
46,47,47,Billy Hurley III,66,2651.3,114005,43,5773,1811
47,48,48,D.H. Lee,61,2637.4,105497,40,3525,1942
48,49,49,Rickie Fowler,80,2637.0,131852,50,3738,1512
49,50,50,Tony Finau,95,2632.7,179024,68,3627,1536
50,51,51,Willy Wilcox,67,2628.3,110387,42,3908,1744
51,52,52,Hideki Matsuyama,76,2625.5,120775,46,3457,1794
52,53,53,Brooks Koepka,75,2624.2,110216,42,3710,1818
53,54,54,Kevin Chappell,93,2621.2,157272,60,3759,1724
54,55,55,Thomas Aiken,70,2621.1,107467,41,3366,1452
55,56,56,Spencer Levin,104,2615.6,222328,85,3972,1655
56,57,57,Fabián Gómez,82,2613.8,159444,61,3888,1644
57,58,58,Seung-Yul Noh,85,2610.6,172302,66,3674,1543
58,59,59,Andres Gonzales,80,2610.5,130526,50,4710,1786
59,60,60,Dustin Johnson,87,2610.0,138330,53,4215,1635
60,61,61,Branden Grace,63,2608.9,80876,31,3579,1601
61,62,62,Michael Thompson,71,2607.0,109493,42,3400,1690
62,T63,T63,Steven Bowditch,71,2605.1,104205,40,4187,1632
63,T63,T63,Jim Furyk,52,2605.1,88575,34,3253,1772
64,65,65,Abraham Ancer,51,2604.7,72932,28,3591,1860
65,66,66,Graham DeLaet,70,2603.6,132786,51,3890,1519
66,67,67,Kevin Streelman,82,2603.5,132777,51,4954,1897
67,68,68,Brandt Snedeker,93,2602.1,145715,56,3250,1801
68,69,69,Jason Bohn,67,2592.4,85549,33,3377,1576
69,70,70,Greg Owen,85,2591.9,158103,61,3817,1787
70,71,71,Stuart Appleby,71,2586.1,149993,58,4880,1826
71,72,72,Hudson Swafford,104,2585.8,157734,61,3923,1859
72,73,73,Dicky Pride,55,2583.6,98177,38,3641,1948
73,74,74,Billy Horschel,73,2582.8,134308,52,5163,1591
74,75,75,Shane Lowry,57,2582.1,77464,30,3415,1545
75,76,76,Dawie van der Walt,72,2581.0,121305,47,3677,1899
76,77,77,David Lingmerth,84,2578.9,152153,59,3668,1755
77,78,78,Russell Knox,92,2574.5,149320,58,5783,1856
78,79,79,Aaron Baddeley,93,2573.2,144100,56,3672,1528
79,80,80,Matt Kuchar,100,2567.4,195126,76,3671,1591
80,81,81,Russell Henley,76,2566.7,148866,58,4164,1799
81,82,82,Rod Pampling,54,2566.1,79549,31,3359,1670
82,83,83,Shawn Stefani,91,2564.9,182111,71,3552,1713
83,84,84,Jason Gore,78,2562.4,138371,54,3709,1599
84,85,85,Adam Scott,79,2559.5,117737,46,5622,1616
85,86,86,Martin Piller,59,2553.2,99576,39,3134,1815
86,87,87,Chris Kirk,90,2553.1,173612,68,3697,1708
87,88,88,Emiliano Grillo,93,2552.4,155697,61,3653,1708
88,89,89,Luke List,79,2548.0,135043,53,3538,1804
89,90,90,Peter Malnati,85,2545.1,132346,52,3371,1908
90,91,91,Si Woo Kim,113,2543.2,213632,84,5208,1556
91,92,92,Bubba Watson,72,2541.1,91479,36,3839,1809
92,93,93,Carlos Ortiz,79,2540.3,124476,49,3889,1585
93,94,94,Chris Stroud,82,2538.4,142149,56,3375,1757
94,95,95,Harris English,97,2538.0,152277,60,3467,1822
95,96,96,Brian Stuard,66,2534.6,139404,55,3801,1716
96,97,97,Padraig Harrington,54,2531.8,91146,36,3551,1578
97,98,98,J.B. Holmes,77,2530.2,116387,46,3748,1584
98,99,99,Bryce Molder,80,2528.8,169429,67,3296,1605
99,100,100,Michael Kim,100,2521.5,181548,72,4005,1527
100,101,101,Brendon Todd,66,2521.2,128581,51,3645,1585
101,102,102,Stewart Cink,61,2520.6,98305,39,3863,1708
102,103,103,Jason Kokrak,89,2516.5,148473,59,3578,1637
103,104,104,Blayne Barber,84,2514.1,158386,63,3334,1770
104,105,105,Boo Weekley,83,2511.0,175772,70,3660,1500
105,106,106,Steve Wheatcroft,85,2510.9,140609,56,3658,1654
106,107,107,Danny Lee,93,2509.3,173139,69,3726,1813
107,108,108,Gary Woodland,95,2500.4,125021,50,3553,1647
108,109,109,Rory McIlroy,69,2494.8,104782,42,3306,1476
109,110,110,Daniel Summerhays,99,2494.6,172129,69,3373,1565
110,111,111,Tyler Aldridge,83,2493.5,132154,53,4180,1597
111,112,112,Patton Kizzire,93,2492.2,154519,62,3594,1416
112,113,113,Derek Fathauer,94,2486.6,174059,70,3500,1464
113,114,114,Bronson Burgoon,83,2484.4,109315,44,3167,1938
114,115,115,Martin Laird,82,2482.4,139017,56,3299,1649
115,116,116,Henrik Norlander,71,2481.3,116620,47,3888,1682
116,117,117,Jim Herman,93,2481.0,136453,55,3766,1522
117,118,118,Alex Cejka,71,2476.5,101536,41,4445,1801
118,119,119,Erik Compton,65,2475.8,94079,38,4623,1673
119,120,120,Jerry Kelly,76,2474.7,121258,49,5190,1551
120,121,121,Chad Campbell,90,2472.6,170606,69,3512,1444
121,122,122,Kelly Kraft,63,2472.0,91464,37,3310,1586
122,123,123,Webb Simpson,70,2466.6,123328,50,3306,1864
123,124,124,Morgan Hoffmann,71,2463.5,133029,54,3735,1581
124,125,125,Zac Blair,99,2462.4,157595,64,3391,1975
125,126,126,Louis Oosthuizen,63,2457.4,88465,36,3244,1574
126,127,127,Kyle Reifers,115,2452.6,213380,87,4267,1583
127,128,128,Patrick Rodgers,89,2440.5,139109,57,3672,1447
128,129,129,Paul Casey,77,2439.4,117090,48,3413,1698
129,130,130,K.J. Choi,73,2431.8,136182,56,3707,1607
130,131,131,Brett Stegmaier,87,2426.3,157707,65,5729,1444
131,132,132,Justin Thomas,99,2423.1,135692,56,4401,1660
132,133,133,Robert Allenby,51,2422.6,87214,36,3493,1909
133,134,134,Sung Kang,89,2421.8,128357,53,3434,1561
134,135,135,Brendan Steele,88,2419.9,123413,51,4187,1524
135,136,136,Keegan Bradley,82,2418.1,118488,49,3983,1582
136,137,137,Daniel Berger,92,2417.3,149873,62,5221,1517
137,138,138,Kevin Kisner,97,2413.0,159257,66,5374,1548
138,139,139,Jonas Blixt,79,2412.0,151956,63,4200,1715
139,140,140,Ben Crane,80,2410.8,147057,61,3083,1777
140,141,141,Scott Piercy,87,2407.7,134830,56,3701,1455
141,142,142,Jason Dufner,105,2406.0,170825,71,3893,1693
142,143,143,Camilo Villegas,83,2398.6,172697,72,3186,1505
143,144,144,James Hahn,85,2398.5,134316,56,3201,1485
144,145,145,Johnson Wagner,86,2394.6,174808,73,3227,1492
145,146,146,Harold Varner III,92,2391.1,167376,70,5279,1648
146,147,147,Sean O'Hair,89,2389.9,162513,68,7286,1611
147,148,148,J.J. Henry,68,2388.6,138541,58,3180,1854
148,149,149,Jeff Overton,69,2382.0,133391,56,3460,1594
149,150,150,Chez Reavie,90,2380.8,166654,70,2964,1700
150,151,151,Kyle Stanley,92,2380.7,169030,71,3173,1687
151,152,152,Scott Stallings,74,2372.2,123355,52,6232,1579
152,153,153,Mark Wilson,66,2371.8,106733,45,3721,1690
153,154,154,Tim Wilkinson,72,2369.6,94784,40,3397,1554
154,155,155,Vaughn Taylor,72,2357.8,150896,64,5335,1519
155,156,156,David Toms,62,2355.9,127220,54,3401,1517
156,157,157,Rory Sabbatini,57,2346.9,61020,26,3016,1695
157,158,158,Lucas Glover,75,2346.5,168947,72,4577,1663
158,159,159,Jimmy Walker,85,2344.2,138309,59,4755,1507
159,160,160,D.A. Points,55,2341.7,60885,26,3062,1624
160,161,161,Whee Kim,82,2338.3,133282,57,3403,1686
161,162,162,Hunter Mahan,61,2336.3,109805,47,3097,1503
162,163,163,Justin Rose,65,2332.9,76987,33,2967,1557
163,164,164,Tyrone Van Aswegen,105,2329.3,146746,63,3912,1573
164,165,165,Scott Brown,88,2327.1,158243,68,3165,1503
165,166,166,Scott Langley,65,2324.8,97643,42,5038,1784
166,167,167,Wes Roach,59,2323.0,95241,41,3511,1668
167,168,168,Anirban Lahiri,72,2316.5,101924,44,3751,1564
168,169,169,John Huh,86,2311.4,173357,75,3633,1540
169,170,170,Ryan Moore,86,2292.8,130688,57,4681,1542
170,171,171,Sam Saunders,69,2287.3,89205,39,3282,1587
171,172,172,Zach Johnson,90,2284.7,137080,60,3549,1511
172,173,173,Jordan Spieth,80,2268.7,106627,47,3955,1640
173,174,174,Nick Taylor,83,2255.5,128564,57,3562,1508
174,175,175,Ryan Palmer,86,2254.3,142018,63,3833,1528
175,176,176,Andrew Landry,53,2250.7,47265,21,2913,1663
176,177,177,Francesco Molinari,64,2243.3,105433,47,3040,1509
177,178,178,Will MacKenzie,84,2232.6,125026,56,3453,1501
178,179,179,Vijay Singh,72,2227.5,142563,64,3046,1624
179,180,180,Brian Harman,104,2212.6,172579,78,2879,1460
180,181,181,Retief Goosen,55,2210.6,121584,55,2890,1496
181,182,182,Chesson Hadley,81,2206.5,134596,61,3926,1496
182,183,183,Robert Garrigus,69,2176.1,73988,34,3038,1481
183,184,184,Jason Day,76,2118.5,103808,49,3206,1419
184,185,185,Ernie Els,66,1966.9,106213,54,3212,1586
