,Distance_to_Apex_RANK THIS WEEK,Distance_to_Apex_RANK LAST WEEK,Distance_to_Apex_PLAYER NAME,Distance_to_Apex_ROUNDS,Distance_to_Apex_AVG.,Distance_to_Apex_TOTAL APEX RANGE,Distance_to_Apex_TOTAL ATTEMPTS,Distance_to_Apex_LONGEST DIST. TO APEX,Distance_to_Apex_SHORTEST DIST. TO APEX
22,T22,T22,Justin Thomas,99,191.9,15156.8,79,204.4,178.0
23,24,24,Charl Schwartzel,73,191.7,9966.3,52,205.7,149.9
24,T25,T25,Rickie Fowler,80,191.3,11475.3,60,211.1,150.5
25,T25,T25,Brendan Steele,88,191.3,10906.4,57,213.2,166.5
26,27,27,Harris English,97,191.1,13566.6,71,203.8,173.0
27,T28,T28,Kevin Chappell,93,190.0,12540.3,66,208.1,164.9
28,T28,T28,Phil Mickelson,75,190.0,10068.2,53,205.7,170.3
29,30,30,Justin Rose,65,189.8,7590.5,40,204.7,168.9
30,31,31,Graham DeLaet,70,189.7,11001.7,58,204.8,171.5
31,T32,T32,Derek Ernst,59,189.1,7940.3,42,207.4,163.3
32,T32,T32,Carlos Ortiz,79,189.1,12105.4,64,207.9,143.5
33,34,34,Patrick Reed,105,188.8,15480.3,82,203.5,167.6
34,35,35,Ryan Palmer,86,188.7,14911.0,79,204.5,170.5
35,36,36,Greg Owen,85,188.5,13197.2,70,205.3,160.1
36,37,37,Aaron Baddeley,93,188.4,12809.9,68,202.8,167.9
37,38,38,Harold Varner III,92,188.3,14875.2,79,202.3,161.0
38,39,39,Seung-Yul Noh,85,188.2,13925.3,74,204.7,128.2
39,40,40,Matt Jones,83,188.1,8462.6,45,198.9,171.2
40,41,41,Charley Hoffman,91,187.8,14273.8,76,205.4,160.9
41,T42,T42,Robert Garrigus,69,187.2,9546.6,51,201.6,163.6
42,T42,T42,Rhein Gibson,58,187.2,7489.8,40,199.6,170.5
43,T44,T44,Hideki Matsuyama,76,186.9,10465.1,56,200.9,161.4
44,T44,T44,Sean O'Hair,89,186.9,13643.5,73,201.9,155.7
45,46,46,Billy Horschel,73,186.4,11371.2,61,198.1,168.1
46,47,47,Bill Haas,86,186.3,11549.0,62,195.9,161.9
47,48,48,Steve Marino,72,186.0,9113.6,49,198.2,159.5
48,49,49,Ángel Cabrera,62,185.8,9288.2,50,205.5,152.4
49,T50,T50,Russell Henley,76,185.7,12628.9,68,199.4,162.1
50,T50,T50,Marc Leishman,89,185.7,12440.5,67,199.6,161.8
51,T50,T50,Dawie van der Walt,72,185.7,9286.6,50,201.6,159.7
52,53,53,Ricky Barnes,97,185.6,13923.0,75,206.7,135.5
53,54,54,Paul Casey,77,185.5,10019.2,54,200.5,166.9
54,55,55,Andres Gonzales,80,185.3,10563.7,57,205.2,144.5
55,56,56,Shane Lowry,57,184.9,7025.7,38,197.6,163.0
56,57,57,Brett Stegmaier,87,184.8,15156.6,82,198.8,163.8
57,T58,T58,Andrew Landry,53,184.3,4975.4,27,196.3,170.4
58,T58,T58,Hunter Mahan,61,184.3,10318.0,56,200.8,164.4
59,T58,T58,Robert Streb,87,184.3,12901.5,70,197.1,152.9
60,T61,T61,Stewart Cink,61,184.2,8473.1,46,202.1,164.2
61,T61,T61,Scott Piercy,87,184.2,11605.7,63,201.5,164.9
62,T63,T63,Bronson Burgoon,83,183.8,10845.2,59,201.2,166.6
63,T63,T63,John Senden,88,183.8,9192.0,50,195.3,172.0
64,T63,T63,Shawn Stefani,91,183.8,15256.7,83,198.2,159.0
65,T66,T66,Si Woo Kim,113,183.6,17079.3,93,199.3,161.9
66,T66,T66,Jimmy Walker,85,183.6,12485.2,68,208.9,152.0
67,68,68,Scott Stallings,74,183.3,12095.8,66,198.7,151.6
68,T69,T69,Daniel Berger,92,183.1,13000.8,71,206.9,47.7
69,T69,T69,Ben Martin,92,183.1,15381.9,84,196.3,167.9
70,T71,T71,Steven Bowditch,71,183.0,10067.5,55,207.1,141.1
71,T71,T71,Adam Hadwin,93,183.0,16287.0,89,195.7,165.6
72,73,73,Wes Roach,59,182.9,7498.5,41,197.5,151.2
73,T74,T74,Luke Guthrie,57,182.7,8037.7,44,194.2,168.5
74,T74,T74,Louis Oosthuizen,63,182.7,8221.1,45,198.7,153.7
75,T74,T74,Michael Thompson,71,182.7,9500.4,52,195.0,160.7
76,77,77,James Hahn,85,182.5,11494.4,63,200.0,154.5
77,78,78,Patton Kizzire,93,182.4,13859.5,76,201.6,159.1
78,79,79,Padraig Harrington,54,182.3,7654.9,42,194.8,150.2
79,80,80,Jordan Spieth,80,182.2,10205.1,56,196.3,161.7
80,81,81,Hiroshi Iwata,85,182.1,13107.8,72,197.0,158.7
81,82,82,Lucas Glover,75,181.8,13269.6,73,200.6,156.1
82,83,83,Brandt Snedeker,93,181.0,12309.0,68,193.6,164.1
83,84,84,Chesson Hadley,81,180.9,13568.5,75,193.6,148.9
84,T85,T85,Tom Hoge,81,180.7,10661.0,59,190.6,163.4
85,T85,T85,Martin Piller,59,180.7,8129.6,45,190.4,163.6
86,T87,T87,Retief Goosen,55,180.5,10109.4,56,192.2,152.4
87,T87,T87,Jason Gore,78,180.5,12273.3,68,195.7,161.8
88,T87,T87,Emiliano Grillo,93,180.5,12996.3,72,199.0,161.7
89,T87,T87,William McGirt,98,180.5,13895.1,77,191.3,165.5
90,91,91,Sung Kang,89,180.4,12265.9,68,202.5,112.6
91,92,92,George McNeill,51,180.2,8648.2,48,194.4,155.4
92,T93,T93,Derek Fathauer,94,180.1,14944.9,83,195.7,141.4
93,T93,T93,Sam Saunders,69,180.1,9186.3,51,190.9,154.1
94,T93,T93,Willy Wilcox,67,180.1,10085.2,56,197.6,120.3
95,T96,T96,Luke Donald,81,179.8,11150.2,62,191.4,162.9
96,T96,T96,Chris Stroud,82,179.8,12228.0,68,201.8,146.2
97,T98,T98,Blayne Barber,84,179.7,12578.1,70,192.7,163.5
98,T98,T98,Geoff Ogilvy,63,179.7,10241.7,57,193.3,157.5
99,100,100,Fabián Gómez,82,179.5,13104.1,73,194.7,158.6
100,T101,T101,Branden Grace,63,179.4,6996.6,39,199.6,147.9
101,T101,T101,Morgan Hoffmann,71,179.4,11478.6,64,196.4,152.6
102,T101,T101,Mark Hubbard,101,179.4,16322.7,91,196.0,156.9
103,T101,T101,Camilo Villegas,83,179.4,13991.5,78,195.1,146.8
104,105,105,Nick Taylor,83,179.3,11476.8,64,196.4,153.4
105,106,106,Anirban Lahiri,72,179.2,9676.5,54,191.8,145.6
106,107,107,David Lingmerth,84,179.0,12349.5,69,189.3,150.4
107,108,108,Roberto Castro,97,178.9,15566.4,87,195.5,160.8
108,109,109,Danny Lee,93,178.8,13407.0,75,193.5,153.2
109,T110,T110,Jonas Blixt,79,178.7,12327.7,69,195.1,146.3
110,T110,T110,Rory Sabbatini,57,178.7,5182.4,29,191.1,166.3
111,112,112,Kelly Kraft,63,178.6,7679.7,43,190.3,137.6
112,113,113,Henrik Norlander,71,178.2,9620.6,54,191.5,147.0
113,114,114,Scott Brown,88,178.1,14601.1,82,198.6,152.9
114,T115,T115,J.J. Henry,68,178.0,10680.1,60,188.7,154.2
115,T115,T115,Matt Kuchar,100,178.0,15133.2,85,191.4,162.9
116,T115,T115,Tyrone Van Aswegen,105,178.0,14415.3,81,194.8,136.9
117,118,118,Rob Oppenheim,67,177.9,8715.1,49,195.6,152.3
118,119,119,Jim Herman,93,177.8,11914.0,67,193.7,150.0
119,120,120,Johnson Wagner,86,177.7,14039.0,79,190.2,148.2
120,121,121,Webb Simpson,70,177.6,9233.8,52,191.4,165.8
121,122,122,Kyle Stanley,92,177.5,14732.4,83,193.2,149.5
122,123,123,Cameron Smith,73,177.4,7628.5,43,195.5,156.5
123,124,124,Kevin Streelman,82,177.3,10459.6,59,191.5,130.7
124,125,125,Rod Pampling,54,177.2,6203.1,35,193.1,142.9
125,126,126,Tyler Aldridge,83,177.0,11504.9,65,189.5,149.6
126,127,127,Cameron Tringale,81,176.9,12207.9,69,189.8,152.1
127,128,128,Freddie Jacobson,86,176.8,13256.4,75,188.1,157.2
128,T129,T129,Thomas Aiken,70,176.7,8129.1,46,193.9,130.7
129,T129,T129,Whee Kim,82,176.7,11663.9,66,191.7,163.0
130,T129,T129,Chris Kirk,90,176.7,14139.1,80,193.1,154.3
131,132,132,Graeme McDowell,63,176.3,8813.2,50,191.2,150.6
132,133,133,Scott Langley,65,176.1,8979.3,51,190.5,152.4
133,134,134,Steve Wheatcroft,85,176.0,12845.5,73,186.8,159.0
134,135,135,Brendon de Jonge,83,175.6,11239.4,64,191.9,153.5
135,136,136,Russell Knox,92,175.3,12796.7,73,188.2,147.8
136,137,137,Kevin Na,96,175.2,11389.2,65,191.6,158.9
137,138,138,Boo Weekley,83,175.1,13306.9,76,193.7,145.2
138,139,139,David Hearn,95,175.0,15748.1,90,193.1,155.6
139,T140,T140,Erik Compton,65,174.9,9094.1,52,192.2,146.0
140,T140,T140,Troy Merritt,77,174.9,11371.7,65,188.4,159.4
141,T142,T142,Ernie Els,66,174.6,10129.3,58,192.8,153.0
142,T142,T142,Kevin Kisner,97,174.6,12921.6,74,186.0,152.8
143,144,144,Steve Stricker,53,174.5,7853.4,45,188.7,158.9
144,T145,T145,Billy Hurley III,66,174.1,9055.2,52,182.6,161.4
145,T145,T145,Kyle Reifers,115,174.1,16892.1,97,188.1,151.7
146,147,147,Michael Kim,100,174.0,15316.1,88,187.3,153.9
147,T148,T148,Alex Cejka,71,173.8,9037.0,52,183.8,158.8
148,T148,T148,Jason Dufner,105,173.8,14600.7,84,193.9,139.6
149,T148,T148,Daniel Summerhays,99,173.8,14080.1,81,186.8,140.6
150,T148,T148,Vaughn Taylor,72,173.8,12510.3,72,185.0,131.3
151,T152,T152,Will MacKenzie,84,173.7,11986.4,69,189.1,149.6
152,T152,T152,D.A. Points,55,173.7,5732.1,33,186.9,158.7
153,154,154,Chez Reavie,90,173.3,13690.1,79,184.4,158.1
154,155,155,Francesco Molinari,64,173.0,9517.6,55,186.5,155.3
155,156,156,Brian Harman,104,172.8,15381.8,89,187.5,139.1
156,157,157,Jeff Overton,69,172.3,12059.7,70,185.6,144.0
157,158,158,Bryce Molder,80,172.0,12553.1,73,183.9,152.9
158,159,159,Vijay Singh,72,171.7,12709.0,74,186.4,124.0
159,160,160,Stuart Appleby,71,171.0,12142.9,71,184.1,119.1
160,T161,T161,Chad Collins,73,170.9,10081.6,59,184.9,145.4
161,T161,T161,D.H. Lee,61,170.9,7346.9,43,181.4,150.4
162,163,163,Chad Campbell,90,170.8,13663.4,80,185.3,136.4
163,164,164,Ryan Moore,86,170.6,11089.1,65,183.9,153.1
164,165,165,John Huh,86,170.5,13807.3,81,186.0,142.1
165,166,166,Jon Curran,99,170.2,15316.8,90,190.3,153.7
166,167,167,Robert Allenby,51,170.0,6801.3,40,184.7,139.7
167,168,168,Ken Duke,58,169.7,10183.4,60,185.6,145.8
168,T169,T169,Peter Malnati,85,169.4,10501.1,62,186.6,154.0
169,T169,T169,Brendon Todd,66,169.4,9995.6,59,181.4,151.7
170,171,171,Ben Crane,80,169.3,12021.8,71,179.8,154.2
171,172,172,Abraham Ancer,51,169.1,5410.2,32,180.2,150.8
172,173,173,Tim Wilkinson,72,168.9,7432.8,44,179.8,143.5
173,T174,T174,K.J. Choi,73,168.4,11619.9,69,182.8,143.0
174,T174,T174,Zach Johnson,90,168.4,11953.5,71,183.4,152.0
175,176,176,Dicky Pride,55,168.1,7226.2,43,180.2,156.5
176,177,177,Jim Furyk,52,168.0,6216.6,37,179.6,150.3
177,178,178,Jason Bohn,67,167.7,5703.4,34,180.7,153.3
178,179,179,Brian Stuard,66,167.2,9695.4,58,177.0,150.1
179,180,180,Spencer Levin,104,166.9,14851.6,89,185.8,143.7
180,181,181,Zac Blair,99,164.9,12862.2,78,177.3,141.4
181,182,182,Mark Wilson,66,164.8,8900.1,54,176.1,149.2
182,183,183,Jerry Kelly,76,162.9,10101.9,62,177.4,126.8
183,184,184,David Toms,62,161.0,10140.2,63,171.6,146.0
184,185,185,Colt Knost,90,159.8,12460.7,78,171.7,141.7
