,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
115,T116,T116,Ricky Barnes,97,271.1,16268.6,60,300.2,226.1
116,T116,T116,Erik Compton,65,271.1,12200.7,45,308.7,229.2
117,T116,T116,William McGirt,98,271.1,18706.3,69,303.7,245.9
118,T119,T119,Kevin Streelman,82,270.9,12731.3,47,306.5,228.0
119,T119,T119,Johnson Wagner,86,270.9,18149.5,67,290.9,236.2
120,121,121,Kyle Stanley,92,270.3,18923.1,70,301.0,224.1
121,122,122,Chris Kirk,90,270.2,17564.3,65,305.4,238.1
122,123,123,Jim Herman,93,270.0,17279.0,64,296.4,240.0
123,124,124,Fabián Gómez,82,269.8,18345.0,68,297.3,239.8
124,125,125,Luke Donald,81,269.6,15634.7,58,298.0,241.1
125,126,126,Rob Oppenheim,67,269.4,9160.5,34,309.0,237.9
126,T127,T127,Brian Harman,104,269.3,20463.4,76,292.7,242.7
127,T127,T127,Kevin Kisner,97,269.3,17773.1,66,296.5,246.3
128,T127,T127,Vaughn Taylor,72,269.3,17232.9,64,292.3,244.0
129,130,130,Matt Kuchar,100,269.2,21263.4,79,312.1,236.2
130,T131,T131,Alex Cejka,71,269.1,12646.0,47,299.2,240.5
131,T131,T131,Scott Langley,65,269.1,12110.1,45,289.1,242.0
132,133,133,Mark Hubbard,101,268.9,20706.9,77,289.6,222.9
133,T134,T134,Brendon de Jonge,83,268.7,14778.6,55,289.2,233.5
134,T134,T134,Cameron Smith,73,268.7,10747.7,40,290.9,237.5
135,T134,T134,Cameron Tringale,81,268.7,16927.8,63,297.9,239.3
136,137,137,Roberto Castro,97,268.6,21491.3,80,306.0,242.6
137,138,138,David Lingmerth,84,268.5,16381.1,61,293.6,234.8
138,139,139,Jason Dufner,105,268.2,20918.9,78,304.4,222.0
139,140,140,Vijay Singh,72,268.0,16886.8,63,298.3,226.9
140,T141,T141,Rod Pampling,54,267.8,8570.3,32,285.6,226.6
141,T141,T141,Kyle Reifers,115,267.8,24369.7,91,291.5,232.3
142,T141,T141,Steve Wheatcroft,85,267.8,17677.9,66,288.1,237.8
143,144,144,Jeff Overton,69,267.7,17665.8,66,297.3,220.3
144,145,145,David Hearn,95,267.6,22481.4,84,298.6,243.0
145,T146,T146,Troy Merritt,77,267.5,15247.1,57,286.7,242.0
146,T146,T146,Boo Weekley,83,267.5,17389.0,65,292.2,229.5
147,148,148,John Huh,86,267.1,19501.4,73,295.7,225.3
148,T149,T149,Francesco Molinari,64,267.0,14420.5,54,289.2,232.6
149,T149,T149,Chez Reavie,90,267.0,18688.5,70,286.5,248.8
150,151,151,George McNeill,51,266.1,10379.4,39,296.8,229.1
151,152,152,Chad Campbell,90,266.0,19152.1,72,291.9,225.8
152,153,153,Tim Wilkinson,72,265.7,9298.9,35,290.6,235.0
153,154,154,Robert Allenby,51,265.3,8754.8,33,283.9,231.0
154,155,155,Ryan Moore,86,264.8,15889.3,60,295.8,235.2
155,T156,T156,Branden Grace,63,264.5,9522.5,36,292.4,221.9
156,T156,T156,Graeme McDowell,63,264.5,12168.1,46,287.6,232.4
157,158,158,Russell Knox,92,264.3,16650.9,63,299.7,224.7
158,159,159,Freddie Jacobson,86,263.9,17680.4,67,283.8,234.6
159,160,160,Daniel Summerhays,99,263.8,17939.1,68,287.0,238.5
160,161,161,D.H. Lee,61,263.4,9482.9,36,283.9,244.2
161,162,162,Stuart Appleby,71,263.3,16323.6,62,300.1,227.3
162,163,163,Billy Hurley III,66,263.1,12366.9,47,277.1,246.6
163,164,164,Chad Collins,73,262.7,12082.0,46,294.0,229.3
164,165,165,Zach Johnson,90,262.3,15738.7,60,290.8,228.4
165,166,166,Ben Crane,80,261.8,15185.6,58,278.5,234.3
166,167,167,Jason Bohn,67,261.5,7843.9,30,276.8,245.5
167,T168,T168,K.J. Choi,73,261.1,16713.1,64,289.8,232.2
168,T168,T168,Kevin Na,96,261.1,14619.7,56,294.7,225.6
169,170,170,Peter Malnati,85,260.9,14350.6,55,281.1,231.8
170,171,171,Bryce Molder,80,260.6,17722.9,68,283.9,225.4
171,172,172,Steve Stricker,53,259.9,10656.8,41,290.6,228.2
172,173,173,Jon Curran,99,259.4,21526.9,83,298.6,231.0
173,174,174,Brendon Todd,66,259.3,13744.4,53,284.8,236.9
174,175,175,Mark Wilson,66,259.2,12439.3,48,275.6,226.5
175,176,176,Ken Duke,58,258.9,14497.5,56,291.9,224.1
176,177,177,Brian Stuard,66,257.4,13125.4,51,277.0,236.1
177,178,178,Dicky Pride,55,257.2,10800.6,42,274.8,231.1
178,179,179,Zac Blair,99,256.9,17727.8,69,275.0,229.6
179,180,180,Abraham Ancer,51,256.4,7178.8,28,271.1,235.7
180,181,181,Spencer Levin,104,256.3,19990.2,78,282.2,222.1
181,182,182,Jerry Kelly,76,255.0,13514.8,53,285.6,230.1
182,183,183,Jim Furyk,52,254.8,9172.7,36,279.9,224.0
183,184,184,David Toms,62,253.4,14192.2,56,273.4,230.4
184,185,185,Colt Knost,90,248.3,17628.9,71,271.3,224.3
