,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
87,T86,T86,Steve Stricker,15,51.1,117,229,1.54
88,T89,T89,Alex Cejka,22,51.3,121,236,1.49
89,T89,T89,J.B. Holmes,22,51.3,195,380,1.79
90,T91,T91,Brian Harman,31,51.5,242,470,1.49
91,T91,T91,Chez Reavie,27,51.5,174,338,1.55
92,T93,T93,Adam Hadwin,27,51.6,222,430,1.67
93,T93,T93,Seung-Yul Noh,28,51.6,236,457,0.76
94,T93,T93,Kevin Streelman,26,51.6,159,308,0.75
95,T96,T96,Matt Kuchar,26,51.7,186,360,1.13
96,T96,T96,Ryan Moore,23,51.7,153,296,1.11
97,98,98,Jason Dufner,28,51.8,216,417,1.2
98,T99,T99,Greg Owen,29,51.9,200,385,1.0
99,T99,T99,Jhonattan Vegas,27,51.9,242,466,1.28
100,T101,T101,Ken Duke,20,52.2,130,249,1.31
101,T101,T101,Tom Hoge,26,52.2,203,389,1.03
102,T101,T101,Troy Merritt,26,52.2,190,364,2.16
103,104,104,John Senden,28,52.4,225,429,0.44
104,105,105,Luke List,27,52.6,222,422,-0.23
105,106,106,Robert Garrigus,21,52.8,177,335,0.96
106,107,107,Camilo Villegas,27,52.9,247,467,1.78
107,T108,T108,Kevin Chappell,27,53.1,224,422,1.21
108,T108,T108,Hideki Matsuyama,23,53.1,161,303,0.43
109,110,110,Jordan Spieth,21,53.2,175,329,0.57
110,T111,T111,Zac Blair,31,53.3,178,334,1.8
111,T111,T111,Colt Knost,26,53.3,139,261,1.94
112,T111,T111,William McGirt,28,53.3,220,413,1.09
113,114,114,Kyle Reifers,34,53.4,245,459,2.73
114,115,115,Steve Marino,24,53.5,167,312,1.56
115,T116,T116,Ricky Barnes,29,53.6,259,483,1.58
116,T116,T116,Sean O'Hair,27,53.6,241,450,0.58
117,T118,T118,Chris Kirk,28,53.7,203,378,0.69
118,T118,T118,Andrew Loupe,27,53.7,252,469,2.38
119,120,120,Russell Henley,25,53.8,186,346,0.97
120,T121,T121,Tony Finau,28,53.9,267,495,0.97
121,T121,T121,Geoff Ogilvy,22,53.9,145,269,1.59
122,123,123,Graeme McDowell,21,54.0,108,200,2.5
123,124,124,Andrew Landry,18,54.1,80,148,1.0
124,T125,T125,Patton Kizzire,27,54.2,238,439,1.64
125,T125,T125,Martin Laird,24,54.2,230,424,1.74
126,T125,T125,Wes Roach,21,54.2,129,238,1.24
127,T125,T125,Kyle Stanley,28,54.2,208,384,2.26
128,129,129,Jimmy Walker,25,54.3,265,488,0.6
129,130,130,Marc Leishman,25,54.4,193,355,0.73
130,T131,T131,Chad Collins,26,54.6,208,381,1.88
131,T131,T131,Charl Schwartzel,19,54.6,178,326,1.07
132,T131,T131,Harold Varner III,28,54.6,239,438,1.63
133,T134,T134,Jonas Blixt,26,54.8,211,385,1.0
134,T134,T134,Bill Haas,24,54.8,181,330,1.22
135,T134,T134,Rory McIlroy,18,54.8,136,248,0.22
136,T134,T134,Nick Taylor,26,54.8,206,376,2.14
137,T138,T138,Jim Furyk,14,55.0,99,180,3.23
138,T138,T138,David Hearn,29,55.0,208,378,1.73
139,T138,T138,Steve Wheatcroft,26,55.0,199,362,1.76
140,141,141,Graham DeLaet,21,55.2,175,317,1.71
141,142,142,Stuart Appleby,23,55.3,189,342,2.01
142,T143,T143,Rhein Gibson,20,55.4,159,287,1.51
143,T143,T143,Dustin Johnson,22,55.4,201,363,0.75
144,T145,T145,Tyler Aldridge,28,55.6,219,394,1.19
145,T145,T145,Peter Malnati,32,55.6,220,396,1.55
146,T145,T145,Justin Rose,18,55.6,150,270,1.0
147,148,148,Si Woo Kim,34,55.7,285,512,2.14
148,T149,T149,Roberto Castro,27,56.3,207,368,0.72
149,T149,T149,Patrick Rodgers,28,56.3,225,400,1.02
150,151,151,Fabián Gómez,26,56.7,217,383,1.75
151,152,152,Bronson Burgoon,27,56.8,221,389,1.67
152,153,153,Cameron Smith,24,57.1,149,261,2.01
153,154,154,Derek Ernst,20,57.4,132,230,1.29
154,T155,T155,Kelly Kraft,20,57.8,137,237,1.97
155,T155,T155,Rob Oppenheim,21,57.8,178,308,0.51
156,157,157,Ernie Els,21,57.9,202,349,1.83
157,158,158,Ryan Palmer,23,58.0,256,441,1.52
158,159,159,Boo Weekley,26,58.1,180,310,1.61
159,160,160,George McNeill,23,58.3,144,247,1.74
160,161,161,Brendan Steele,25,58.8,214,364,1.78
161,T162,T162,Matt Jones,27,59.0,217,368,1.94
162,T162,T162,Mark Wilson,21,59.0,151,256,1.72
163,164,164,Hiroshi Iwata,29,59.1,225,381,1.56
164,165,165,K.J. Choi,22,59.3,188,317,2.29
165,166,166,Aaron Baddeley,28,59.4,257,433,1.36
166,T167,T167,Branden Grace,18,59.5,154,259,0.91
167,T167,T167,Whee Kim,27,59.5,198,333,1.36
168,T167,T167,Patrick Reed,28,59.5,282,474,0.43
169,T170,T170,Daniel Berger,26,59.6,255,428,1.06
170,T170,T170,Mark Hubbard,30,59.6,242,406,1.74
171,T172,T172,D.H. Lee,22,59.8,147,246,2.18
172,T172,T172,Dicky Pride,21,59.8,110,184,1.45
173,174,174,Scott Piercy,24,60.2,212,352,1.37
174,175,175,John Huh,28,60.4,204,338,2.3
175,T176,T176,Smylie Kaufman,28,60.5,274,453,1.75
176,T176,T176,David Toms,19,60.5,144,238,1.04
177,178,178,Francesco Molinari,18,60.6,175,289,1.77
178,179,179,Charles Howell III,25,60.9,315,517,0.48
179,180,180,Charley Hoffman,26,63.9,273,427,1.36
180,181,181,Scott Stallings,27,65.1,231,355,1.43
181,182,182,Thomas Aiken,23,65.6,124,189,2.1
182,183,183,Scott Langley,22,65.7,174,265,0.98
183,184,184,Jeff Overton,25,68.0,219,322,1.6
184,185,185,Bryce Molder,26,68.8,243,353,1.81
