,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
28,29,29,John Senden,88,117.83,5891.35,50,122.61,113.86
29,30,30,Rickie Fowler,80,117.71,7180.38,61,123.03,114.52
30,31,31,Paul Casey,77,117.62,6469.22,55,121.93,109.94
31,32,32,Stewart Cink,61,117.28,5512.37,47,121.64,114.17
32,33,33,Dawie van der Walt,72,117.23,5978.52,51,123.86,113.38
33,34,34,Steven Bowditch,71,117.12,6792.76,58,121.64,113.4
34,35,35,Kevin Chappell,93,117.02,7723.17,66,122.64,113.03
35,36,36,Scott Pinckney,87,116.91,7950.19,68,121.19,112.97
36,37,37,Robert Garrigus,69,116.9,5962.06,51,122.73,111.54
37,38,38,Matt Jones,83,116.86,5375.76,46,119.61,112.53
38,39,39,Justin Thomas,99,116.79,9343.35,80,120.28,113.97
39,40,40,Keegan Bradley,82,116.67,7349.92,63,121.38,113.44
40,41,41,Daniel Berger,92,116.35,8260.89,71,122.64,112.77
41,42,42,Rhein Gibson,58,116.33,4769.41,41,120.09,112.92
42,43,43,Aaron Baddeley,93,116.2,7901.33,68,121.16,112.61
43,44,44,Robert Streb,87,116.17,8364.57,72,119.3,113.24
44,45,45,Charley Hoffman,91,116.05,8819.91,76,120.41,112.12
45,46,46,Carlos Ortiz,79,115.89,7532.65,65,122.29,110.18
46,47,47,Andres Gonzales,80,115.87,6604.58,57,122.63,111.95
47,48,48,Harris English,97,115.8,8337.75,72,118.16,112.1
48,49,49,Lucas Glover,75,115.63,8556.71,74,119.55,112.12
49,T50,T50,Ángel Cabrera,62,115.59,5895.21,51,118.79,111.79
50,T50,T50,Branden Grace,63,115.59,4508.06,39,123.24,111.42
51,52,52,Phil Mickelson,75,115.41,6232.38,54,121.56,111.35
52,53,53,Martin Laird,82,115.33,7380.85,64,118.35,111.86
53,54,54,Jimmy Walker,85,115.3,7840.6,68,118.94,111.75
54,55,55,Willy Wilcox,67,115.22,6567.36,57,117.55,112.06
55,56,56,Tom Hoge,81,115.18,6910.68,60,119.6,111.53
56,57,57,Marc Leishman,89,115.1,7711.79,67,121.25,112.44
57,58,58,Seung-Yul Noh,85,115.02,8741.54,76,119.47,111.45
58,59,59,George McNeill,51,114.96,5517.93,48,119.07,109.59
59,60,60,Ryan Palmer,86,114.93,9194.44,80,117.98,111.42
60,61,61,Si Woo Kim,113,114.75,10786.56,94,121.67,110.78
61,62,62,Emiliano Grillo,93,114.67,8370.64,73,117.94,110.49
62,63,63,Jim Herman,93,114.49,7785.65,68,120.14,111.41
63,64,64,Shawn Stefani,91,114.38,9493.16,83,118.81,110.86
64,65,65,Bill Haas,86,114.36,7204.9,63,117.62,109.94
65,66,66,Steve Marino,72,114.24,5940.69,52,118.03,109.98
66,67,67,Sean O'Hair,89,114.21,8451.64,74,120.56,109.92
67,68,68,Adam Hadwin,93,114.05,10150.47,89,119.3,107.37
68,69,69,Russell Henley,76,114.0,7865.75,69,117.19,111.26
69,70,70,Rod Pampling,54,113.74,3980.82,35,121.38,106.9
70,71,71,Jason Dufner,105,113.69,9777.02,86,117.54,110.44
71,72,72,Geoff Ogilvy,63,113.67,6479.37,57,119.38,109.26
72,73,73,Scott Piercy,87,113.64,7273.0,64,119.87,110.06
73,74,74,Ben Martin,92,113.57,9540.04,84,117.68,108.01
74,75,75,Shane Lowry,57,113.51,4313.53,38,116.45,110.29
75,76,76,Hunter Mahan,61,113.44,6352.44,56,115.71,109.93
76,77,77,Sung Kang,89,113.4,7824.5,69,119.56,106.74
77,78,78,Billy Horschel,73,113.38,7029.61,62,117.97,110.34
78,79,79,Louis Oosthuizen,63,113.34,5100.47,45,116.16,110.84
79,80,80,Patton Kizzire,93,113.2,8603.48,76,116.41,110.16
80,81,81,Hiroshi Iwata,85,113.1,8256.43,73,119.07,109.42
81,82,82,Rob Oppenheim,67,113.09,5541.25,49,116.68,109.68
82,83,83,James Hahn,85,113.08,7123.93,63,117.71,106.38
83,84,84,Henrik Norlander,71,113.05,6104.58,54,118.06,110.22
84,85,85,Hideki Matsuyama,76,112.84,6432.08,57,116.2,110.07
85,86,86,Freddie Jacobson,86,112.81,8573.54,76,116.22,109.54
86,87,87,Bronson Burgoon,83,112.71,6762.89,60,117.49,109.79
87,88,88,Fabián Gómez,82,112.61,8333.16,74,118.2,108.84
88,T89,T89,Brendon de Jonge,83,112.57,7429.41,66,116.32,108.95
89,T89,T89,Tyrone Van Aswegen,105,112.57,9230.57,82,117.5,109.01
90,91,91,Morgan Hoffmann,71,112.55,7203.36,64,117.1,108.9
91,92,92,Scott Stallings,74,112.45,7421.98,66,115.6,107.58
92,93,93,Jason Gore,78,112.44,7646.22,68,116.02,109.22
93,94,94,Padraig Harrington,54,112.36,4943.7,44,116.79,107.99
94,95,95,Brett Stegmaier,87,112.34,9436.35,84,116.68,108.72
95,96,96,Wes Roach,59,112.32,4605.05,41,115.99,108.06
96,97,97,Anirban Lahiri,72,112.26,6174.27,55,114.98,108.85
97,98,98,Kevin Na,96,112.24,7407.52,66,117.88,108.1
98,99,99,Michael Thompson,71,112.18,5833.39,52,114.99,108.31
99,100,100,Boo Weekley,83,112.17,8636.79,77,116.58,107.62
100,101,101,Mark Hubbard,101,112.15,10205.63,91,117.2,108.34
101,T102,T102,Chesson Hadley,81,112.12,8521.29,76,116.62,107.92
102,T102,T102,Chris Stroud,82,112.12,7624.41,68,122.68,107.78
103,104,104,Sam Saunders,69,112.1,5829.39,52,116.76,108.61
104,105,105,Erik Compton,65,112.04,5938.05,53,115.76,106.59
105,106,106,Steve Wheatcroft,85,111.95,8396.56,75,115.64,105.8
106,107,107,Brandt Snedeker,93,111.91,7833.37,70,115.46,107.86
107,108,108,Jordan Spieth,80,111.86,6263.96,56,115.52,108.21
108,109,109,Kevin Streelman,82,111.82,6709.13,60,116.7,107.75
109,T110,T110,William McGirt,98,111.72,8602.2,77,117.76,107.56
110,T110,T110,Francesco Molinari,64,111.72,6479.8,58,114.31,108.39
111,T112,T112,Retief Goosen,55,111.7,6478.49,58,116.4,108.15
112,T112,T112,Cameron Smith,73,111.7,4803.03,43,117.93,107.95
113,T114,T114,Scott Brown,88,111.69,9158.42,82,114.95,107.7
114,T114,T114,Webb Simpson,70,111.69,5919.35,53,114.81,107.73
115,116,116,Daniel Summerhays,99,111.66,9156.11,82,116.7,107.7
116,117,117,Kyle Stanley,92,111.6,9486.22,85,115.69,108.34
117,118,118,Thomas Aiken,70,111.53,5130.37,46,117.73,107.89
118,119,119,Nick Taylor,83,111.43,7354.68,66,115.57,107.99
119,120,120,Chad Campbell,90,111.38,9021.53,81,116.48,107.08
120,121,121,Russell Knox,92,111.37,8130.07,73,117.02,107.64
121,122,122,Whee Kim,82,111.35,7460.51,67,116.24,106.76
122,123,123,Roberto Castro,97,111.12,9889.73,89,117.29,106.61
123,T124,T124,J.J. Henry,68,111.1,6666.27,60,115.56,107.16
124,T124,T124,Graeme McDowell,63,111.1,5555.24,50,116.84,107.33
125,126,126,Kelly Kraft,63,111.0,4883.93,44,116.37,106.76
126,127,127,Rory Sabbatini,57,110.99,3218.63,29,115.52,107.34
127,128,128,Luke Guthrie,57,110.89,4879.01,44,116.61,107.82
128,129,129,Jonas Blixt,79,110.86,7649.54,69,114.13,107.28
129,130,130,Kyle Reifers,115,110.82,10860.14,98,114.88,106.65
130,131,131,Scott Langley,65,110.79,5650.05,51,114.49,107.27
131,T132,T132,Derek Fathauer,94,110.78,9416.3,85,115.46,107.88
132,T132,T132,Michael Kim,100,110.78,10080.88,91,114.42,106.95
133,134,134,Johnson Wagner,86,110.66,8741.83,79,115.49,107.49
134,135,135,Brian Harman,104,110.49,10054.78,91,116.74,106.56
135,T136,T136,Luke Donald,81,110.43,6846.94,62,116.8,106.48
136,T136,T136,Cameron Tringale,81,110.43,7950.85,72,114.46,105.73
137,138,138,Troy Merritt,77,110.41,7286.9,66,118.0,106.47
138,139,139,Andrew Landry,53,110.35,3089.92,28,112.55,108.34
139,T140,T140,Ernie Els,66,110.18,6390.55,58,114.37,106.89
140,T140,T140,Kevin Kisner,97,110.18,8153.54,74,113.12,106.19
141,142,142,Tyler Aldridge,83,110.09,7266.22,66,113.78,106.38
142,143,143,Camilo Villegas,83,110.06,8584.89,78,116.42,106.55
143,144,144,Danny Lee,93,110.04,8363.41,76,115.49,105.63
144,145,145,Bryce Molder,80,110.03,8032.44,73,120.1,105.93
145,146,146,Chris Kirk,90,109.99,8799.0,80,114.8,106.36
146,147,147,Chad Collins,73,109.98,6708.95,61,114.27,106.95
147,148,148,Vijay Singh,72,109.93,8135.06,74,113.4,106.0
148,149,149,Will MacKenzie,84,109.77,7683.67,70,127.54,104.8
149,150,150,Blayne Barber,84,109.64,8113.58,74,112.96,105.55
150,151,151,Martin Piller,59,109.62,5042.64,46,112.55,106.41
151,152,152,David Lingmerth,84,109.41,7549.19,69,112.64,105.78
152,153,153,John Huh,86,109.32,8855.2,81,115.08,105.07
153,154,154,Steve Stricker,53,109.23,4915.49,45,111.6,106.51
154,155,155,Matt Kuchar,100,108.89,9255.97,85,114.05,104.94
155,156,156,Billy Hurley III,66,108.82,5767.66,53,112.48,105.16
156,157,157,Jon Curran,99,108.71,9784.21,90,113.17,104.8
157,158,158,D.A. Points,55,108.7,3587.14,33,113.33,105.46
158,159,159,Spencer Levin,104,108.68,9781.29,90,114.13,105.36
159,160,160,Chez Reavie,90,108.67,8693.86,80,111.74,105.81
160,161,161,Jeff Overton,69,108.6,7601.98,70,111.93,105.88
161,162,162,Jim Furyk,52,108.27,4114.2,38,113.54,104.59
162,163,163,Stuart Appleby,71,108.07,7673.18,71,112.79,104.95
163,164,164,Peter Malnati,85,107.95,6800.85,63,112.22,104.76
164,165,165,D.H. Lee,61,107.94,4749.25,44,111.17,104.92
165,T166,T166,Jason Bohn,67,107.76,3771.66,35,111.9,104.71
166,T166,T166,Alex Cejka,71,107.76,5603.33,52,113.71,104.8
167,168,168,David Hearn,95,107.75,9697.57,90,112.55,102.7
168,169,169,Ken Duke,58,107.56,6453.76,60,112.67,104.01
169,170,170,Brendon Todd,66,107.49,6342.14,59,113.13,101.87
170,171,171,Dicky Pride,55,107.35,4616.07,43,110.24,104.01
171,172,172,Robert Allenby,51,107.32,4400.06,41,113.01,103.64
172,173,173,Mark Wilson,66,107.22,5897.34,55,112.35,103.06
173,174,174,Ryan Moore,86,107.18,6966.93,65,110.88,103.24
174,175,175,Vaughn Taylor,72,107.07,7708.76,72,110.28,102.83
175,176,176,Zac Blair,99,107.01,8453.99,79,111.54,103.3
176,177,177,Abraham Ancer,51,106.9,3527.59,33,112.04,103.45
177,178,178,Tim Wilkinson,72,106.69,4694.39,44,111.74,102.6
178,179,179,K.J. Choi,73,106.23,7329.77,69,112.63,101.49
179,180,180,Zach Johnson,90,106.13,7641.01,72,108.64,102.74
180,181,181,Jerry Kelly,76,105.99,6677.21,63,110.12,101.98
181,182,182,Ben Crane,80,105.86,7728.1,73,111.04,103.3
182,183,183,Colt Knost,90,105.28,8211.96,78,108.97,101.01
183,184,184,Brian Stuard,66,104.54,6168.08,59,108.54,101.07
184,185,185,David Toms,62,100.91,6458.01,64,106.63,96.6
