,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
26,27,27,J.B. Holmes,77,11.98,742.84,62,6.88,16.89
27,28,28,Anirban Lahiri,72,11.95,657.45,55,8.61,16.29
28,29,29,John Huh,86,11.93,965.94,81,8.75,15.17
29,30,30,Jeff Overton,69,11.89,832.62,70,6.24,15.94
30,T31,T31,Padraig Harrington,54,11.88,522.82,44,6.85,15.45
31,T31,T31,Sam Saunders,69,11.88,617.54,52,8.38,15.62
32,33,33,Rory Sabbatini,57,11.85,343.53,29,8.27,17.0
33,34,34,Andrew Landry,53,11.78,329.91,28,9.39,14.21
34,35,35,Jordan Spieth,80,11.67,653.38,56,7.58,14.97
35,36,36,Ryan Moore,86,11.66,758.2,65,8.05,14.64
36,T37,T37,Justin Rose,65,11.63,476.97,41,7.3,15.78
37,T37,T37,Brandt Snedeker,93,11.63,814.3,70,5.95,15.09
38,T39,T39,Rickie Fowler,80,11.62,708.6,61,5.63,15.75
39,T39,T39,Sean O'Hair,89,11.62,859.59,74,4.24,16.06
40,T39,T39,Ryan Palmer,86,11.62,929.56,80,8.84,14.35
41,42,42,Hunter Mahan,61,11.57,647.74,56,4.99,16.2
42,43,43,Phil Mickelson,75,11.55,623.75,54,6.77,14.9
43,44,44,Jerry Kelly,76,11.53,726.64,63,7.27,15.81
44,45,45,Kevin Kisner,97,11.52,852.57,74,6.59,15.24
45,46,46,Martin Piller,59,11.51,529.57,46,7.74,13.72
46,T47,T47,Robert Allenby,51,11.5,471.67,41,7.41,15.79
47,T47,T47,Scott Stallings,74,11.5,759.25,66,6.71,14.29
48,49,49,Jason Gore,78,11.47,780.0,68,7.8,16.5
49,50,50,Brian Harman,104,11.45,1041.75,91,7.34,15.41
50,51,51,D.A. Points,55,11.42,376.81,33,6.62,15.18
51,T52,T52,Billy Horschel,73,11.34,703.11,62,5.8,15.72
52,T52,T52,Hiroshi Iwata,85,11.34,828.14,73,7.02,14.14
53,T54,T54,J.J. Henry,68,11.32,679.28,60,7.23,14.83
54,T54,T54,Smylie Kaufman,91,11.32,758.4,67,5.49,14.73
55,56,56,Shawn Stefani,91,11.29,936.81,83,7.15,16.26
56,57,57,Hideki Matsuyama,76,11.27,642.53,57,3.68,14.46
57,T58,T58,Scott Brown,88,11.26,923.01,82,6.73,14.34
58,T58,T58,Chez Reavie,90,11.26,900.49,80,7.88,15.08
59,60,60,Jonas Blixt,79,11.25,776.01,69,6.1,14.36
60,61,61,Tyler Aldridge,83,11.23,741.0,66,7.46,15.79
61,62,62,Bronson Burgoon,83,11.22,673.03,60,7.05,15.01
62,T63,T63,Stuart Appleby,71,11.2,795.2,71,7.51,15.84
63,T63,T63,Sung Kang,89,11.2,772.82,69,1.2,16.07
64,65,65,Blayne Barber,84,11.19,828.37,74,5.25,14.54
65,66,66,Jason Bohn,67,11.16,390.48,35,7.17,14.25
66,T67,T67,Webb Simpson,70,11.14,590.66,53,7.96,14.2
67,T67,T67,Vijay Singh,72,11.14,824.06,74,7.19,15.44
68,69,69,Peter Malnati,85,11.13,701.0,63,6.23,15.19
69,70,70,Charley Hoffman,91,11.12,844.95,76,5.08,15.14
70,T71,T71,Patrick Rodgers,89,11.11,699.78,63,4.97,17.05
71,T71,T71,Tim Wilkinson,72,11.11,488.9,44,8.03,14.87
72,T73,T73,Troy Merritt,77,11.1,732.91,66,8.45,14.03
73,T73,T73,Brendon Todd,66,11.1,655.15,59,7.57,14.49
74,75,75,Derek Fathauer,94,11.08,941.89,85,5.05,15.54
75,76,76,Wes Roach,59,11.06,453.6,41,8.1,14.06
76,T77,T77,Carlos Ortiz,79,11.04,717.62,65,3.92,14.06
77,T77,T77,Chris Stroud,82,11.04,750.46,68,7.46,15.97
78,79,79,Whee Kim,82,11.02,738.31,67,6.93,14.4
79,80,80,Ben Crane,80,11.01,782.05,71,7.5,13.95
80,T81,T81,Billy Hurley III,66,10.98,581.97,53,7.28,14.51
81,T81,T81,Francesco Molinari,64,10.98,636.97,58,6.66,14.24
82,T81,T81,Tyrone Van Aswegen,105,10.98,900.09,82,7.39,15.1
83,84,84,Nick Taylor,83,10.95,722.88,66,7.68,14.6
84,85,85,Brian Stuard,66,10.9,643.3,59,7.84,13.8
85,86,86,Luke Donald,81,10.88,674.75,62,7.67,15.54
86,87,87,Colt Knost,90,10.86,846.69,78,6.83,13.63
87,88,88,Jamie Lovemark,91,10.85,846.46,78,4.4,15.61
88,89,89,Michael Thompson,71,10.84,563.45,52,7.27,14.75
89,T90,T90,Geoff Ogilvy,63,10.83,617.37,57,6.31,13.61
90,T90,T90,Cameron Tringale,81,10.83,779.68,72,7.02,14.2
91,T90,T90,Harold Varner III,92,10.83,855.2,79,7.09,15.2
92,93,93,Jimmy Walker,85,10.8,734.41,68,4.85,15.31
93,94,94,Matt Kuchar,100,10.77,915.14,85,5.67,15.14
94,95,95,Bill Haas,86,10.73,676.0,63,7.12,15.31
95,96,96,David Lingmerth,84,10.65,734.86,69,6.53,16.13
96,97,97,Gary Woodland,95,10.63,691.03,65,5.95,13.64
97,98,98,Chris Kirk,90,10.61,848.55,80,2.15,15.11
98,99,99,Ángel Cabrera,62,10.6,540.58,51,5.24,14.79
99,100,100,Camilo Villegas,83,10.56,823.48,78,4.13,14.62
100,101,101,Hudson Swafford,104,10.55,738.74,70,6.06,14.45
101,102,102,Emiliano Grillo,93,10.54,769.74,73,5.02,15.43
102,103,103,Daniel Berger,92,10.53,737.32,70,4.4,15.99
103,104,104,Tom Hoge,81,10.51,630.73,60,8.24,14.78
104,105,105,Adam Hadwin,93,10.49,933.33,89,7.25,13.76
105,106,106,Chad Campbell,90,10.48,849.14,81,5.66,14.3
106,107,107,Kevin Chappell,93,10.45,689.83,66,6.68,13.16
107,108,108,Steve Marino,72,10.41,541.52,52,5.49,13.93
108,109,109,Kyle Reifers,115,10.4,1019.64,98,5.61,13.8
109,110,110,Robert Garrigus,69,10.39,529.88,51,6.1,15.56
110,111,111,Cameron Smith,73,10.37,445.85,43,6.96,15.26
111,112,112,Johnson Wagner,86,10.36,818.22,79,6.89,13.59
112,113,113,Mark Hubbard,101,10.32,939.14,91,6.87,13.22
113,114,114,Seung-Yul Noh,85,10.3,782.62,76,6.83,13.28
114,115,115,Luke List,79,10.29,710.1,69,6.18,13.91
115,116,116,Kevin Streelman,82,10.2,601.68,59,4.63,14.56
116,117,117,Shane Lowry,57,10.18,386.89,38,5.39,13.08
117,T118,T118,Brendan Steele,88,10.15,609.29,60,5.58,13.25
118,T118,T118,Steve Wheatcroft,85,10.15,750.88,74,6.11,15.91
119,120,120,Patton Kizzire,93,10.06,764.38,76,4.86,15.37
120,121,121,Erik Compton,65,10.03,531.57,53,4.77,14.63
121,122,122,Dustin Johnson,87,10.01,630.6,63,5.15,13.41
122,123,123,Kyle Stanley,92,9.95,845.99,85,1.26,14.77
123,124,124,Martin Laird,82,9.94,635.93,64,6.5,13.39
124,125,125,Ken Duke,58,9.9,594.19,60,4.76,14.16
125,126,126,Luke Guthrie,57,9.87,434.29,44,6.95,13.35
126,127,127,Brooks Koepka,75,9.84,521.49,53,5.19,13.47
127,128,128,Si Woo Kim,113,9.83,924.06,94,4.0,14.8
128,129,129,Dicky Pride,55,9.82,422.05,43,6.59,14.35
129,130,130,Spencer Levin,104,9.8,882.12,90,6.33,16.5
130,131,131,Rory McIlroy,69,9.79,489.72,50,4.55,12.97
131,132,132,Scott Langley,65,9.76,497.51,51,6.1,13.53
132,133,133,Jason Dufner,105,9.75,838.21,86,4.36,14.07
133,134,134,Bubba Watson,72,9.73,447.45,46,5.08,14.17
134,135,135,Chad Collins,73,9.72,592.8,61,5.29,14.16
135,T136,T136,Abraham Ancer,51,9.71,320.35,33,6.12,13.3
136,T136,T136,Russell Henley,76,9.71,670.06,69,5.83,13.2
137,138,138,Graham DeLaet,70,9.7,572.24,59,4.98,14.8
138,139,139,Graeme McDowell,63,9.69,484.69,50,4.77,14.3
139,140,140,Brendon de Jonge,83,9.67,637.93,66,5.43,15.86
140,141,141,Fabián Gómez,82,9.63,712.42,74,6.67,13.78
141,142,142,William McGirt,98,9.59,738.57,77,5.13,13.06
142,143,143,Harris English,97,9.54,686.63,72,5.26,12.47
143,144,144,Henrik Norlander,71,9.53,514.42,54,4.28,13.86
144,145,145,Scott Pinckney,87,9.49,645.35,68,4.99,13.01
145,146,146,Marc Leishman,89,9.38,628.19,67,4.5,13.68
146,147,147,Patrick Reed,105,9.36,786.63,84,5.21,14.74
147,148,148,Stewart Cink,61,9.24,434.2,47,5.89,11.9
148,149,149,Daniel Summerhays,99,9.21,755.01,82,5.09,13.03
149,150,150,Aaron Baddeley,93,9.19,625.17,68,3.92,11.95
150,T151,T151,Russell Knox,92,9.17,669.39,73,4.22,12.5
151,T151,T151,Jason Kokrak,89,9.17,632.64,69,6.0,13.81
152,153,153,Louis Oosthuizen,63,9.12,410.37,45,5.18,13.16
153,154,154,Jim Furyk,52,9.07,344.53,38,5.99,12.74
154,T155,T155,Roberto Castro,97,9.05,805.1,89,5.07,13.62
155,T155,T155,Adam Scott,79,9.05,470.5,52,4.6,12.54
156,157,157,Andres Gonzales,80,8.95,510.35,57,4.23,13.7
157,158,158,Steven Bowditch,71,8.93,517.73,58,4.15,13.39
158,159,159,Dawie van der Walt,72,8.91,454.19,51,4.09,14.85
159,160,160,Bryce Molder,80,8.9,649.9,73,3.87,13.15
160,T161,T161,Rod Pampling,54,8.87,310.29,35,5.42,14.08
161,T161,T161,Charl Schwartzel,73,8.87,461.23,52,5.69,11.45
162,163,163,Jim Herman,93,8.79,597.6,68,4.86,11.1
163,164,164,Freddie Jacobson,86,8.75,665.19,76,5.25,13.72
164,165,165,John Senden,88,8.62,431.17,50,4.72,12.72
165,166,166,Tony Finau,95,8.6,619.09,72,3.66,12.79
166,167,167,Lucas Glover,75,8.57,634.41,74,3.8,13.14
167,168,168,Andrew Loupe,75,8.54,597.46,70,3.75,13.36
168,169,169,Derek Ernst,59,8.52,357.99,42,5.23,10.7
169,170,170,Steve Stricker,53,8.5,382.6,45,4.82,11.51
170,171,171,Willy Wilcox,67,8.49,475.61,56,2.05,12.31
171,172,172,Kevin Na,96,8.37,552.69,66,3.64,12.02
172,T173,T173,Paul Casey,77,8.35,459.49,55,4.34,11.62
173,T173,T173,Ben Martin,92,8.35,700.99,84,4.92,11.66
174,175,175,Boo Weekley,83,8.21,632.04,77,3.57,12.11
175,176,176,Greg Owen,85,8.09,566.18,70,4.41,11.39
176,177,177,Matt Jones,83,8.04,369.84,46,4.47,12.03
177,178,178,Charles Howell III,91,7.93,658.37,83,4.03,11.62
178,179,179,Rob Oppenheim,67,7.85,384.6,49,3.58,11.97
179,180,180,Sergio Garcia,54,7.76,155.13,20,3.83,12.78
180,181,181,George McNeill,51,7.69,369.01,48,4.33,12.08
181,182,182,Robert Streb,87,7.58,545.76,72,3.37,11.5
182,183,183,Jhonattan Vegas,97,6.9,483.32,70,4.37,10.43
183,184,184,Branden Grace,63,6.6,250.86,38,2.54,11.99
184,185,185,Ricky Barnes,97,5.57,423.25,76,1.58,9.77
