,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
136,137,137,Roland Thatcher,26701
137,138,138,Brad Lardon,25332
138,139,139,Danny Ellis,25021
139,140,140,James Driscoll,24169
140,141,141,Chris Anderson,22710
141,142,142,Paul Goydos,20594
142,143,143,Donnie Hammond,20150
143,144,144,Andrew Magee,19688
144,145,145,Kirk Triplett,18188
145,146,146,Todd Hamilton,16938
146,147,147,Mark Brooks,16459
147,148,148,Bob Burns,15636
148,149,149,Craig Stadler,12720
149,150,150,Jason Allred,12360
150,T151,T151,Brett Quigley,9070
151,T151,T151,Rob Rashell,9070
152,153,153,Mike Standly,8904
153,154,154,Skip Kendall,8756
154,155,155,Brian Watts,8170
155,T156,T156,Matt Davidson,7630
156,T156,T156,David Duval,7630
157,158,158,Guy Boros,7485
158,159,159,John Elliott,7315
159,160,160,Brian Henninger,7236
160,161,161,Gary Hallberg,7160
161,162,162,Tripp Isenhour,7000
162,163,163,Garrett Willis,6945
163,164,164,Danny Briggs,6750
164,165,165,Hal Sutton,6720
165,166,166,Blaine McCallister,6270
