,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
46,47,47,Charl Schwartzel,58,0.94,54.46,-26.58,32.83
47,48,48,Thaworn Wiratchant,47,0.93,43.94,-14.46,31.63
48,49,49,Ryuji Imada,50,0.93,46.73,-9.8,41.9
49,50,50,Arjun Atwal,57,0.92,52.31,-21.33,42.94
50,51,51,Toshi Izawa,43,0.91,39.02,-41.73,13.56
51,52,52,Brendan Jones,61,0.88,53.98,-40.05,19.09
52,53,53,James Kingston,55,0.88,48.38,-25.48,29.0
53,54,54,Hidemasa Hoshino,55,0.82,45.24,-17.24,27.56
54,55,55,Steven Bowditch,40,0.82,32.77,-7.88,21.51
55,56,56,Brett Rumford,53,0.82,43.22,-28.77,19.08
56,57,57,Hideto Tanihara,60,0.79,47.52,-31.54,17.71
57,58,58,WC Liang,40,0.79,31.56,-9.69,18.93
58,59,59,José Coceres,40,0.78,31.11,-23.29,11.36
59,60,60,Peter Senior,40,0.77,30.82,-16.72,12.3
60,61,61,Eduardo Romero,40,0.76,30.59,-33.32,4.79
61,62,62,Tomohiro Kondo,56,0.75,41.92,-18.63,16.77
62,63,63,Takashi Kamiyama,40,0.74,29.65,-14.32,1.23
63,64,64,Andrew McLardy,48,0.74,35.46,-14.73,29.53
64,65,65,Yasuharu Imano,55,0.71,39.22,-16.56,25.3
65,66,66,Dinesh Chand,55,0.71,39.18,-19.36,15.07
66,67,67,Katsumasa Miyamoto,53,0.71,37.64,-32.92,12.09
67,68,68,Hidemichi Tanaka,59,0.69,40.81,-32.87,16.42
68,69,69,Hideki Kase,56,0.66,37.15,-22.92,2.93
69,70,70,Andre Stolz,47,0.66,30.92,-27.56,5.06
70,71,71,Terry Price,57,0.63,36.07,-23.75,13.56
71,72,72,Marc Cayeux,54,0.63,33.93,-8.26,25.16
72,73,73,Marcus Fraser,56,0.63,35.13,-28.53,19.42
73,74,74,Kazuhiko Hosokawa,54,0.62,33.57,-11.83,22.61
74,75,75,Tatsuhiko Takahashi,40,0.6,24.11,-2.55,22.9
75,76,76,Kaname Yokoo,54,0.58,31.41,-13.85,12.15
76,77,77,Prayad Marksaeng,60,0.58,34.79,-24.62,11.7
77,78,78,Kiyoshi Maita,48,0.58,27.69,-12.22,14.86
78,79,79,I J Jang,40,0.57,22.79,0.0,22.79
79,80,80,Chawalit Plaphol,54,0.57,30.76,-9.47,12.61
80,81,81,Ricardo Gonzalez,43,0.57,24.46,-33.17,2.15
81,82,82,Wei-tze Yeh,49,0.57,27.77,-19.13,5.54
82,83,83,Louis Oosthuizen,52,0.56,29.35,-15.87,14.76
83,84,84,Jarrod Lyle,40,0.56,22.26,-4.86,25.78
84,85,85,Satoru Hirota,50,0.55,27.74,-4.68,22.34
85,86,86,Daisuke Maruyama,58,0.55,31.9,-21.36,18.45
86,87,87,Katsumune Imai,55,0.54,29.79,-18.64,6.77
87,88,88,Peter Fowler,60,0.54,32.43,-28.14,13.97
88,89,89,Shinichi Yokota,53,0.54,28.39,-11.8,15.44
89,90,90,Darren Fichardt,54,0.53,28.57,-26.92,9.97
90,91,91,Steve Allan,65,0.53,34.27,-24.01,15.95
91,92,92,Craig Jones,47,0.52,24.64,-8.86,15.43
92,93,93,Takuya Taniguchi,48,0.52,24.9,-13.27,9.38
93,94,94,Ryuichi Oda,46,0.52,23.73,-9.12,11.43
94,95,95,Wade Ormsby,57,0.51,29.24,-7.58,20.61
95,96,96,Scott Hend,59,0.51,30.17,-13.92,19.65
96,97,97,Camilo Villegas,40,0.5,19.89,-6.15,14.22
97,98,98,David Frost,55,0.48,26.54,-20.33,9.54
98,99,99,David McKenzie,55,0.48,26.2,-12.51,8.13
99,100,100,Kiyoshi Miyazato,49,0.48,23.31,-7.35,8.83
100,101,101,Toru Suzuki,58,0.47,27.54,-21.6,1.4
101,102,102,Keng-Chi Lin,60,0.46,27.87,-9.52,18.61
102,103,103,Jong-Duck Kim,50,0.46,23.02,-19.07,2.48
103,104,104,Greg Chalmers,62,0.45,27.86,-17.18,6.31
104,105,105,Boonchu Ruangkit,40,0.43,17.08,-11.27,6.22
105,106,106,T.C. Wang,40,0.42,16.93,-4.39,11.5
106,107,107,Craig Perks,54,0.42,22.83,-12.29,8.0
107,108,108,Nozomi Kawahara,56,0.42,23.6,-13.98,13.88
108,109,109,Takao Nogami,40,0.42,16.82,-0.49,16.0
109,110,110,Brenden Pappas,58,0.42,24.12,-29.66,8.63
110,111,111,Nobuhito Sato,60,0.41,24.68,-15.22,13.1
111,112,112,Paul Gow,59,0.41,24.09,-11.58,13.99
112,113,113,Taichi Teshima,54,0.41,21.87,-30.36,5.79
113,114,114,Thammanoon Sriroj,61,0.4,24.65,-10.38,5.52
114,115,115,Charlie Wi,44,0.4,17.51,-9.43,2.49
115,116,116,Nobuhiro Masuda,52,0.39,20.53,-13.59,4.98
116,117,117,Hennie Otto,41,0.39,16.17,-17.14,12.3
117,118,118,Jeev Milkha Singh,69,0.39,27.05,-10.18,11.97
118,119,119,Tsuyoshi Yoneyama,40,0.39,15.62,-22.39,
119,120,120,David Hearn,46,0.39,17.81,-7.32,6.3
120,121,121,James Nitties,40,0.39,15.41,-5.39,5.54
121,122,122,Brad Kennedy,53,0.38,20.27,-13.15,3.42
122,123,123,Scott Laycock,41,0.38,15.44,-11.54,6.19
123,124,124,Kiyoshi Murota,56,0.38,21.05,-19.82,8.72
124,125,125,Keith Horne,40,0.37,14.95,-6.02,12.0
125,126,126,Gavin Coles,55,0.37,20.45,-6.66,11.85
126,127,127,Jon Mills,48,0.37,17.78,-5.09,16.32
127,128,128,Lian-Wei Zhang,53,0.37,19.61,-16.71,12.37
128,129,129,Warren Abery,40,0.37,14.73,-2.91,12.0
129,130,130,Martin Maritz,60,0.35,21.16,-16.95,4.36
130,131,131,Nic Henning,40,0.35,14.09,-5.34,15.0
131,132,132,Yusaku Miyazato,42,0.35,14.61,-10.45,6.39
132,133,133,Marcus Both,44,0.35,15.22,-6.13,11.16
133,134,134,Stephen Scahill,59,0.34,20.09,-15.3,11.92
134,135,135,Tatsuya Mitsuhashi,44,0.34,14.82,-9.65,
135,136,136,Kim Felton,43,0.34,14.44,-3.99,11.96
136,137,137,Glen Hnatiuk,40,0.33,13.25,-10.56,10.67
137,138,138,Jarrod Moseley,57,0.32,18.42,-17.04,10.71
138,139,139,Takashi Kanemoto,53,0.32,17.12,-10.84,8.83
139,140,140,Rafael Gómez,40,0.32,12.9,-3.84,7.88
140,141,141,Titch Moore,54,0.32,17.33,-11.01,14.4
141,142,142,Makoto Inoue,42,0.32,13.47,-8.58,
142,143,143,Shinichi Akiba,42,0.31,12.89,-2.11,11.92
143,144,144,Adam Groom,40,0.31,12.25,-4.69,7.66
144,145,145,Ariel Cañete,43,0.3,13.06,-2.61,9.92
145,146,146,Hisayuki Sasaki,51,0.29,14.94,-11.99,
146,147,147,Tommy Nakajima,41,0.28,11.67,-8.3,
147,148,148,Tjaart van der Walt,43,0.28,11.88,-9.24,10.88
148,149,149,Rick Gibson,43,0.27,11.48,-4.13,8.11
149,150,150,Andrew Buckle,40,0.26,10.28,-3.34,10.06
150,151,151,Katsuya Nakagawa,52,0.26,13.28,-5.52,6.37
151,152,152,Bradley Hughes,56,0.26,14.28,-7.81,1.26
152,153,153,Katsunori Kuwabara,53,0.25,13.51,-9.94,1.23
153,154,154,Yasuhiko Takashima,40,0.25,10.13,-0.53,9.6
154,155,155,Mamo Osanai,52,0.25,13.06,-6.05,2.66
155,156,156,Scott Barr,40,0.25,10.04,-3.98,6.72
156,157,157,Jun Kikuchi,51,0.25,12.7,-7.78,6.88
157,158,158,Eddie Lee,40,0.24,9.76,-2.8,10.26
158,159,159,,40,0.24,9.56,-4.36,6.59
159,160,160,Nathan Green,51,0.24,12.18,-5.72,7.26
160,161,161,Marco Ruiz,40,0.24,9.42,-3.96,4.86
161,162,162,Masashi Jumbo Ozaki,51,0.23,11.92,-14.9,2.24
162,163,163,Martin Doyle,40,0.23,9.22,-5.13,4.13
163,164,164,Sebastián Fernández,50,0.23,11.47,-6.48,7.34
164,165,165,Jason Dawes,46,0.23,10.49,-5.23,3.84
165,166,166,Scott Gardiner,40,0.22,8.92,-8.29,2.82
166,167,167,Scott Strange,40,0.22,8.84,-1.26,10.1
167,168,168,Simon Nash,40,0.22,8.75,-2.92,8.4
168,169,169,Masayuki Kawamura,48,0.22,10.36,-6.84,4.22
169,170,170,Wook-Soon Kang,40,0.21,8.34,-2.43,6.27
170,171,171,Michael Kirk,63,0.21,13.12,-7.29,8.44
171,172,172,Matt McQuillan,40,0.21,8.28,-1.71,6.0
172,173,173,Richard Lee,40,0.21,8.25,-4.38,6.0
173,174,174,David Bransdon,40,0.2,8.14,-3.31,6.48
174,175,175,Hendrick Buhrmann,43,0.2,8.64,-3.81,5.74
175,176,176,Stephen Gangluff,40,0.2,8.02,-2.35,5.34
176,177,177,Euan Walters,47,0.2,9.37,-7.94,
177,179,179,Daniel Alfredo Vancsik,57,0.2,11.25,-4.5,9.75
178,180,180,Mathew Goggin,57,0.19,11.09,-9.11,5.82
179,181,181,Mardan Mamat,40,0.19,7.63,-5.8,3.1
180,182,182,Derek Gillespie,40,0.19,7.58,-5.11,6.3
181,183,183,Desvonde Botes,40,0.19,7.52,-7.26,1.34
182,184,184,Michael Long,64,0.19,11.94,-6.53,4.56
183,185,185,Masaya Tomida,40,0.18,7.26,-0.98,5.37
184,186,186,Mitsuhiro Tateyama,52,0.18,9.42,-8.8,4.06
185,187,187,Richard Moir,40,0.18,7.14,-2.66,4.62
186,188,188,Choi Sang-ho,40,0.18,7.14,-0.77,6.0
187,189,189,Shigeru Nonaka,52,0.18,9.15,-6.28,2.69
188,190,190,Nick Flanagan,40,0.17,6.94,-2.86,5.03
189,191,191,Prom Meesawat,40,0.17,6.94,-1.16,6.9
190,192,192,Jaco Van Zyl,40,0.17,6.88,-1.29,8.18
191,193,193,Brad Fritsch,40,0.17,6.76,-1.76,4.5
192,194,194,Esteban Toledo,65,0.17,10.94,-7.85,8.73
193,195,195,Yoshiaki Mano,51,0.17,8.53,-8.78,1.4
194,196,196,Chris Downes,40,0.17,6.68,-8.1,
195,197,197,César Monasterio,54,0.17,9.0,-4.02,7.22
196,198,198,Stuart Anderson,40,0.16,6.51,-2.34,6.0
197,199,199,Yoichi Shimizu,40,0.16,6.4,0.0,6.4
198,200,200,Adam Fraser,40,0.16,6.28,-1.93,6.4
199,201,201,Soushi Tajima,56,0.16,8.74,-9.98,4.48
200,202,202,Katsuyoshi Tomori,48,0.16,7.49,-11.23,
201,203,203,Massy Kuramoto,50,0.15,7.74,-6.95,
202,204,204,Deane Pappas,52,0.15,7.97,-8.56,
203,205,205,Lee Williamson,40,0.15,6.0,-1.05,6.0
204,206,206,Adam Le Vesconte,40,0.15,6.0,0.0,6.0
205,207,207,Jet Ozaki,42,0.15,6.25,-2.78,3.68
206,208,208,Frankie Minoza,43,0.15,6.35,-3.39,4.32
207,209,209,Grant Muller,40,0.15,5.85,-2.48,7.2
208,210,210,Amandeep Johl,45,0.14,6.43,-4.5,
209,211,211,Gary Simpson,40,0.14,5.7,-1.48,4.06
210,212,212,Yutaka Horinouchi,40,0.14,5.6,-0.49,4.95
211,213,213,Kazuhiro Takami,40,0.14,5.58,-2.95,
212,214,214,Wen-Teh Lu,40,0.14,5.52,-2.22,4.62
213,215,215,Angelo Que,40,0.14,5.44,-2.81,2.25
214,216,216,Hiroaki Iijima,40,0.14,5.41,-2.86,
215,217,217,Alistair Presnell,40,0.13,5.37,-2.26,
216,218,218,Des Terblanche,40,0.13,5.2,-2.49,3.4
217,219,219,Tsukasa Watanabe,52,0.13,6.74,-8.1,2.59
218,220,220,Chung Joon,40,0.13,5.01,-4.01,
219,221,221,Kurt Barnes,40,0.12,4.96,-1.65,
220,222,222,Christopher Williams,40,0.12,4.89,-2.28,2.52
221,223,223,Chen Yuan-chi,40,0.12,4.86,-3.38,1.38
222,224,224,Kazuhiro Kinjo,40,0.12,4.8,-5.84,
223,225,225,Rob McMillan,40,0.12,4.76,-2.96,3.0
224,226,226,Paul Marantz,40,0.12,4.72,-3.16,2.78
225,227,227,Azuma Yano,53,0.12,6.22,-9.46,1.2
226,228,228,Mark Murless,40,0.11,4.6,-3.42,2.34
227,229,229,Bobby Lincoln,40,0.11,4.57,-2.4,5.54
228,230,230,Andres Romero,40,0.11,4.57,-0.58,3.54
229,231,231,Yumihiko Hatone,40,0.11,4.56,-0.48,5.04
230,232,232,Wes Heffernan,40,0.11,4.5,-0.97,3.46
231,233,233,Takenori Hiraishi,52,0.11,5.82,-4.58,
232,234,234,Ulrich Van den Berg,40,0.11,4.45,-2.84,3.54
233,235,235,Wayne Grady,40,0.11,4.45,-2.57,2.28
234,236,236,Kohki Idoki,53,0.11,5.87,-5.35,
235,237,237,Rahil Gangjee,40,0.11,4.28,-2.93,
236,238,238,Miguel Angel Carballo,40,0.11,4.26,-0.85,3.82
237,239,239,Toshinori Muto,40,0.1,4.16,0.0,4.16
238,240,240,Ricky Schmidt,40,0.1,4.11,-1.17,3.58
239,241,241,Koumei Oda,40,0.1,4.08,-3.66,
240,242,242,Pablo Del Olmo,40,0.1,4.06,-3.59,
241,243,243,Steven Alker,51,0.1,5.17,-4.9,3.52
242,244,244,Gerald Rosales,40,0.1,3.93,-0.65,3.6
243,245,245,Ian Leggatt,40,0.1,3.8,-5.05,4.06
244,246,246,Grant Waite,55,0.09,5.17,-6.29,
245,247,247,Alex Quiroz,40,0.09,3.71,-3.02,2.7
246,248,248,Adam Crawford,40,0.09,3.69,-2.33,
247,249,249,Matthew Ecob,40,0.09,3.61,-2.95,1.74
248,250,250,Graham DeLaet,40,0.09,3.6,0.0,3.6
249,251,251,Johan Kok,42,0.09,3.74,-0.92,2.53
250,252,252,Unho Park,65,0.09,5.73,-5.98,2.99
251,253,253,Shigemasa Higaki,55,0.09,4.81,-7.58,
252,254,254,Kenichi Kuboya,55,0.09,4.81,-6.78,1.49
253,255,255,Craig Lile,53,0.08,4.5,-6.98,
254,256,256,Yoshikazu Haku,40,0.08,3.39,-0.48,2.75
255,257,257,Rodger Davis,40,0.08,3.36,-1.12,
256,258,258,Ashok Kumar,40,0.08,3.2,-0.8,2.8
257,259,259,Yuudai Maeda,40,0.08,3.2,-1.44,1.28
258,260,260,Greg Norman,40,0.08,3.19,-4.0,1.5
259,261,261,Craig Spence,40,0.08,3.19,-2.89,
260,262,262,Wayne Perske,40,0.08,3.16,-2.29,
261,263,263,Anthony Painter,58,0.08,4.56,-4.53,
262,264,264,Thomas Aiken,40,0.08,3.14,-2.06,1.44
263,265,265,Warrick Druian,40,0.08,3.0,-4.5,
264,266,266,Park Boo-won,40,0.07,2.94,-0.42,3.36
265,267,267,Henk Alberts,40,0.07,2.93,-0.75,3.68
266,268,268,Hirofumi Miyase,58,0.07,4.21,-14.05,
267,269,269,Arjun Singh,40,0.07,2.89,-1.33,3.05
268,270,270,Sung Lee,40,0.07,2.88,-1.38,
269,271,271,Hisao Ahara,40,0.07,2.8,-2.1,
270,272,272,Eduardo Herrera,40,0.07,2.7,-1.22,
271,273,273,Nobuo Serizawa,48,0.07,3.24,-3.81,
272,274,274,Harmeet Kahlon,40,0.07,2.67,-1.59,1.44
273,275,275,Toyokazu Fujishima,40,0.07,2.66,-0.38,3.04
274,276,276,Mitsuo Harada,40,0.07,2.65,-0.38,3.03
275,277,277,Chris Baryla,40,0.07,2.63,-0.38,3.0
276,278,278,Stephen Collins,40,0.06,2.56,-1.31,1.91
277,279,279,Juvic Pagunsan,40,0.06,2.55,-0.9,1.2
278,280,280,Ben Bunny,40,0.06,2.52,-0.19,2.71
279,281,281,Eiji Mizoguchi,45,0.06,2.8,-0.4,3.2
280,282,282,Craig Kamps,40,0.06,2.47,-2.31,
281,283,283,David Morland IV,55,0.06,3.33,-4.47,
282,284,284,Katsunari Takahashi,40,0.06,2.42,0.0,2.42
283,285,285,Bradley Heaven,40,0.06,2.4,-3.6,
284,286,286,Daniel DeLeon,40,0.06,2.4,0.0,2.4
285,287,287,Sung Si-woo,40,0.06,2.4,0.0,2.4
286,288,288,Yoshinobu Tsukada,40,0.06,2.37,-1.06,2.16
287,289,289,Larry Austin,40,0.06,2.36,-0.34,2.7
288,290,290,Gaurav Ghei,40,0.06,2.36,-0.68,1.2
289,291,291,Shane Tait,40,0.06,2.34,-1.68,
290,292,292,No-Seok Park,40,0.06,2.34,-0.46,1.2
291,294,294,Naomi Ohta,40,0.06,2.29,-0.33,2.61
292,295,295,Shiv Kapur,40,0.06,2.28,-0.33,2.6
293,296,296,Leonard Loxton,40,0.06,2.25,-1.5,
294,297,297,Juan Abbate,40,0.06,2.25,-1.8,
295,298,298,Tadahisa Inoue,40,0.05,2.19,-2.38,
296,299,299,Hiroshi Goda,54,0.05,2.95,-3.4,
297,300,300,Steven Jeffress,40,0.05,2.17,-0.31,2.48
298,301,301,Craig Carmichael,40,0.05,2.16,-1.24,1.68
299,302,302,Gustavo Rojas,42,0.05,2.24,-3.56,
300,303,303,Chang Tse-peng,40,0.05,2.14,-1.02,
301,304,304,John Wade,40,0.05,2.1,-0.3,2.4
302,305,305,Matthew Keegan,40,0.05,2.1,0.0,2.1
303,306,306,Werner Geyer,40,0.05,2.1,-0.7,2.8
304,307,307,Satoshi Higashi,44,0.05,2.28,-1.61,1.23
305,308,308,Adam Blyth,40,0.05,2.05,-0.29,2.34
306,309,309,Yui Ueda,40,0.05,2.01,-1.98,
307,310,310,Hernán Rey,40,0.05,2.0,-1.34,
308,311,311,Lin Wen-ko,40,0.05,1.97,-2.13,1.21
309,312,312,Adam Short,40,0.05,1.95,-1.2,
310,313,313,Lin Chie-hsiang,40,0.05,1.88,-0.48,1.2
311,314,314,Jorge Berendt,40,0.05,1.87,-2.83,
312,315,315,Kim Dae-sub,40,0.05,1.87,-0.7,1.96
313,316,316,Naruhito Ueda,40,0.05,1.85,-1.08,
314,317,317,Darren Griff,40,0.05,1.84,-0.8,1.2
315,318,318,Kosaku Makisaka,40,0.05,1.83,-1.26,
316,319,319,James Lepp,40,0.05,1.8,-3.15,
317,320,320,Masanori Kijima,40,0.04,1.76,-1.32,
318,321,321,Mike Lamb,40,0.04,1.76,-0.59,2.34
319,322,322,Michiel Bothma,40,0.04,1.75,-2.63,
320,323,323,Kyi Hla Han,40,0.04,1.7,-0.94,
321,324,324,Brad Lamb,40,0.04,1.66,-0.55,2.22
322,325,325,Marcus Cain,40,0.04,1.66,-0.71,
323,326,326,Nobumitsu Yuhara,48,0.04,1.97,-0.71,2.08
324,327,327,Kim Kyung-min,40,0.04,1.62,-0.32,1.62
325,328,328,Kim Hyung-Tae,40,0.04,1.62,0.0,1.62
326,329,329,Matt Jones,40,0.04,1.62,-1.22,
327,330,330,Naoya Sugiyama,40,0.04,1.58,-0.46,1.29
328,331,331,Rodolfo Gonzalez,40,0.04,1.58,-0.53,2.1
329,332,332,Andrew Tschudin,40,0.04,1.55,-1.09,1.22
330,333,333,Tim Wilkinson,40,0.04,1.54,-0.77,
331,334,334,Ippei Sadanobu,40,0.04,1.52,0.0,1.52
332,335,335,Lu Wei-chih,40,0.04,1.5,-0.6,
333,336,336,Miguel Fernandez,40,0.04,1.5,-2.25,
334,337,337,Seiki Okuda,40,0.04,1.49,-0.33,1.49
335,338,338,Shintaro Iizuka,40,0.04,1.48,0.0,1.48
336,339,339,Tatsuo Takasaki,40,0.04,1.46,-1.41,
337,340,340,Jean Hugo,40,0.04,1.44,-1.94,1.27
338,341,341,Scott Hawley,40,0.04,1.44,-0.58,
339,343,343,Syuji Ito,40,0.03,1.34,-0.19,1.54
340,344,344,Kyoji Hirota,40,0.03,1.34,-0.19,1.54
341,345,345,Craig Matthew,40,0.03,1.3,-0.19,1.48
342,346,346,Jim Rutledge,50,0.03,1.62,-0.65,
343,347,347,Callie Swart,40,0.03,1.28,-0.86,1.2
344,348,348,Jason Day,40,0.03,1.27,-0.42,
345,349,349,Suk Joug-yul,40,0.03,1.27,-0.18,1.45
346,350,350,Katsufumi Okino,40,0.03,1.25,-0.75,
347,351,351,Richard Best,40,0.03,1.24,-1.35,
348,352,352,Sushi Ishigaki,40,0.03,1.24,-0.41,
349,353,353,Kyung-Nam Kang,40,0.03,1.23,-0.18,1.4
350,354,354,Kim Su-nam,40,0.03,1.23,-0.18,1.4
351,355,355,Mike Beldin,40,0.03,1.23,0.0,1.23
352,356,356,Park Do-kyu,40,0.03,1.23,-0.18,1.4
353,357,357,Pat Giles,40,0.03,1.22,-0.67,
354,358,358,Sangmoon Bae,40,0.03,1.2,0.0,1.2
355,359,359,Matthew Millar,40,0.03,1.19,-1.35,
356,360,360,Bradford Vaughan,40,0.03,1.18,-2.01,1.34
357,361,361,Ashley Roestoff,40,0.03,1.18,-0.17,1.34
358,362,362,Fulton Allem,40,0.03,1.17,-0.56,1.56
359,363,363,Chris Davison,40,0.03,1.17,-0.39,1.56
360,364,364,Shin Yong-jin,40,0.03,1.13,-2.34,
361,365,365,Kazuhiro Fukunaga,40,0.03,1.12,-0.56,
362,366,366,Pablo Del Grosso,40,0.03,1.12,-0.16,1.28
363,367,367,Matthew Kent,40,0.03,1.11,-0.16,1.27
364,368,368,James McLean,40,0.03,1.11,-2.16,
365,369,369,Yoshiaki Kimura,40,0.03,1.08,-0.65,
366,370,370,Dean Alaban,40,0.03,1.08,-0.36,
367,371,371,Craig Scott,40,0.03,1.05,-0.79,
368,372,372,Brennan Webb,40,0.03,1.05,-0.15,1.2
369,373,373,Barry Painting,40,0.03,1.01,-0.95,
370,374,374,Chang-Ting Yeh,40,0.02,0.99,-1.03,
