,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_POINTS
238,239,,Chiragh Kumar,0.24
239,240,,Shintaro Kobayashi,0.24
240,241,,Yanwei Liu,0.24
241,242,,Jae-Min Hwang,0.24
242,243,,José Toledo,0.24
243,244,,Louis de Jager,0.24
244,245,,Chanachok Dejpiratan,0.24
245,246,,Rahil Gangjee,0.24
246,247,,Alex Haindl,0.24
247,248,,Jinichiro Kozuma,0.24
248,249,,Panawat Muenlek,0.23
249,250,,Carlos Ortiz,0.23
250,251,,Kodai Ichihara,0.23
251,252,,Daisuke Maruyama,0.23
252,253,,Keenan Davidse,0.23
253,254,,Takashi Iwamoto,0.23
254,255,,Taichi Teshima,0.23
255,256,,Huilin Zhang,0.23
256,257,,Supakorn Utaipat,0.23
257,258,,Hong-taek Kim,0.23
258,259,,Justin Harding,0.22
259,260,,Chapchai Nirat,0.22
260,261,,Woo-Hyun Kim,0.22
261,262,,Kazuhiro Yamashita,0.22
262,263,,Vaughn Groenewald,0.22
263,264,,Tae-woo KIM,0.22
264,265,,JJ Senekal,0.22
265,266,,Jake Roos,0.22
266,267,,Chris Swanepoel,0.22
267,268,,Brett Drewitt,0.22
268,269,,NattawatSuvana Suvanajanak,0.21
269,270,,Thitiphun Chuayprakong,0.21
270,271,,Doyeob Mun,0.21
271,272,,Travis Smyth,0.21
272,273,,Jamie Arnold,0.21
273,274,,Miguel Angel Carballo,0.21
274,275,,James Marchesani,0.21
275,276,,Max McCardle,0.21
276,277,,Netipong Sritonginn,0.2
277,278,,Shunya Takeyasu,0.2
278,279,,Sangyeop Lee,0.2
279,280,,Minkyu Kim,0.2
280,281,,Nelson Ledesma,0.2
281,282,,Matthew Giles,0.2
282,283,,Wang Wei Lun,0.2
283,284,,Thaworn Wiratchant,0.2
284,285,,Mikumu Horikawa,0.2
285,286,,Rikuya Hoshino,0.2
286,287,,Ben Eccles,0.2
287,288,,Jacobus Prinsloo,0.19
288,289,,Jin Park,0.19
289,290,,Yosuke Tsukada,0.19
290,291,,Seung-taek Lee,0.19
291,292,,Taewoo Kim,0.19
292,293,,Han Min-kyu,0.19
293,294,,Neil Schietekat,0.19
294,295,,Mark Williams,0.19
295,296,,Scott Strange,0.19
296,297,,Nathan Holman,0.19
297,298,,IlHwan Park,0.19
298,299,,Martin Dive,0.19
299,300,,Jakraphan Premsirigorn,0.18
300,301,,Antonio Lascuna,0.18
301,302,,I J Jang,0.18
302,303,,Byung-Jun Kim,0.18
303,304,,Ángel Cabrera,0.18
304,305,,Inn Choon Hwang,0.18
305,306,,Terry Pilkadaris,0.17
306,307,,Christiaan Basson,0.17
307,308,,Michael Gligic,0.17
308,309,,Anthony Michael,0.17
309,310,,Ricardo Gonzalez,0.17
310,311,,Hyowon Park,0.17
311,312,,Titch Moore,0.17
312,313,,Adam Svensson,0.17
313,314,,Rory Bourke,0.17
314,315,,Nicolás Geyger,0.17
315,316,,Itthipat Buranatanya,0.17
316,317,,Bio Kim,0.16
317,318,,Josh Geary,0.16
318,319,,Scott Barr,0.16
319,320,,Hendrik Du Plessis,0.16
320,321,,Steven Alker,0.16
321,322,,Andrés Echavarría,0.16
322,323,,Marius Meyer,0.16
323,324,,Tjaart van der Walt,0.16
324,325,,Armando Favela,0.15
325,326,,Brett Rankin,0.15
326,327,,Gareth Paddison,0.15
327,328,,Daijiro Izumida,0.15
328,329,,Rodolfo Cazaubón,0.15
329,330,,Rak Cho,0.15
330,331,,Wolmer Murillo,0.15
331,332,,Robert Allenby,0.15
332,333,,Tae Hee Lee,0.15
333,334,,Jeonghyeob Hyun,0.15
334,335,,Steven Jeffress,0.14
335,336,,Mardan Mamat,0.14
336,337,,Kim Tae-hoon,0.14
337,338,,Daniel Nisbet,0.14
338,339,,Go-woong Choi,0.14
339,340,,Puma Dominguez,0.14
340,341,,Wallie Coetsee,0.14
341,342,,Sebastián Vázquez,0.14
342,343,,Peter Wilson,0.14
343,344,,Cory Crawford,0.14
344,345,,Ajeetesh Sandhu,0.14
345,346,,Jeev Milkha Singh,0.14
346,347,,Jorge Fernández-Valdés,0.14
347,348,,Bong-Sub Kim,0.13
348,349,,Herman Loubser,0.13
349,350,,Chinnarat Phadungsil,0.13
350,351,,Tyrone Ferreira,0.13
351,352,,Koichi Kitamura,0.13
352,353,,Darren Beck,0.13
353,354,,Tim Hart,0.13
354,355,,Makgetha Mazibuko,0.13
355,356,,Jack Wilson,0.13
356,357,,Rourke Van der Spuy,0.13
357,358,,Son Joon-eob,0.13
358,359,,Ji-hoon Lee,0.13
359,360,,Junsung Kim,0.13
360,361,,Merrick Bremner,0.13
361,362,,Yoshitaka Takeya,0.13
362,363,,Mathiam Keyser,0.12
363,364,,James Nitties,0.12
364,365,,CJ Plessis,0.12
365,366,,Piya Swangarunporn,0.12
366,367,,Michael Wright,0.12
367,368,,Zihao Chen,0.12
368,369,,Rohan Blizard,0.12
369,370,,Akio Sadakata,0.12
370,371,,Shota Akiyoshi,0.12
371,372,,Thriston Lawrence,0.12
372,373,,Joong Kyung Mo,0.12
373,374,,Ryuichi Oda,0.11
374,375,,Honney Baisoya,0.11
375,376,,Anthony Quayle,0.11
376,377,,Todd Baek,0.11
377,378,,Hidemasa Hoshino,0.11
378,379,,Bryce Easton,0.11
379,380,,Jay Bayron,0.11
380,381,,Andre De Decker,0.11
381,382,,Lee Se-Ho,0.11
382,383,,Albin Choi,0.11
383,384,,Jean-Paul Strydom,0.11
384,385,,Daniel Fox,0.11
385,386,,Matias Simaski,0.11
386,387,,Choi Min-Chel,0.11
387,388,,Mark Brown,0.11
388,389,,Michael Sim,0.11
389,390,,Namchoak Tantipokakul,0.11
390,391,,Adam Cornelson,0.11
391,392,,Richard Lee,0.11
392,393,,Madalitso Muthiya,0.11
393,394,,Brendon de Jonge,0.11
