,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
42,43,43,Lucas Glover,26,1085,,4.0,5196.0,
43,44,44,Charl Schwartzel,18,1081,,3.0,5200.0,
44,45,45,Kevin Na,26,1073,,5.0,5208.0,
45,46,46,Cameron Smith,26,1065,1.0,4.0,5216.0,
46,47,47,Keegan Bradley,29,1029,,5.0,5252.0,
47,48,48,Zach Johnson,23,1017,,4.0,5264.0,
48,49,49,Bryson DeChambeau,31,1017,1.0,2.0,5264.0,
49,50,50,Luke List,31,1011,,3.0,5270.0,
50,51,51,Anirban Lahiri,22,989,,3.0,5292.0,
51,52,52,Ian Poulter,20,985,,2.0,5296.0,
52,53,53,Stewart Cink,26,958,,3.0,5323.0,
53,54,54,Si Woo Kim,30,956,1.0,2.0,5325.0,
54,55,55,Scott Brown,29,951,,2.0,5330.0,
55,56,56,Martin Laird,25,937,,5.0,5344.0,
56,57,57,Jamie Lovemark,28,919,,4.0,5362.0,
57,58,58,Rory McIlroy,14,901,,6.0,5380.0,
58,59,59,Sung Kang,32,899,,3.0,5382.0,
59,60,60,Ollie Schniederjans,28,897,,5.0,5384.0,
60,61,61,Rafa Cabrera Bello,19,880,,4.0,5401.0,
61,62,62,Sean O'Hair,25,877,,5.0,5404.0,
62,63,63,Robert Streb,30,861,,3.0,5420.0,
63,64,64,Ryan Moore,24,859,,2.0,5422.0,
64,65,65,Bud Cauley,28,816,,5.0,5465.0,
65,66,66,Grayson Murray,30,816,1.0,2.0,5465.0,
66,67,67,Emiliano Grillo,25,812,,2.0,5469.0,
67,68,68,James Hahn,28,801,,4.0,5480.0,
68,69,69,Kevin Tway,27,740,,3.0,5541.0,
69,70,70,Danny Lee,32,697,,4.0,5584.0,
70,71,71,Russell Knox,24,687,,4.0,5594.0,
71,72,72,Kelly Kraft,27,684,,3.0,5597.0,
72,73,73,Brandt Snedeker,15,663,,4.0,5618.0,
73,74,74,Rod Pampling,22,660,1.0,1.0,5621.0,
74,75,75,Bubba Watson,22,658,,4.0,5623.0,
75,76,76,Graham DeLaet,25,650,,6.0,5631.0,
76,77,77,Jason Kokrak,28,649,,1.0,5632.0,
77,78,78,Patrick Rodgers,27,649,,3.0,5632.0,
78,79,79,Adam Scott,16,642,,4.0,5639.0,
79,80,80,Branden Grace,20,640,,2.0,5641.0,
80,81,81,Morgan Hoffmann,29,632,,1.0,5649.0,
81,82,82,Jonas Blixt,25,631,1.0,1.0,5650.0,
82,83,83,Chad Campbell,29,630,,3.0,5651.0,
83,84,84,Chris Stroud,22,627,1.0,3.0,5654.0,
84,85,85,William McGirt,28,621,,3.0,5660.0,
85,86,86,Kevin Streelman,26,617,,2.0,5664.0,
86,87,87,Cody Gribble,28,614,1.0,2.0,5667.0,
87,88,88,C.T. Pan,29,594,,3.0,5687.0,
88,89,89,Whee Kim,27,583,,2.0,5698.0,
89,90,90,Harold Varner III,31,574,,1.0,5707.0,
90,91,91,Jim Herman,25,565,,2.0,5716.0,
91,92,92,Chris Kirk,28,562,,3.0,5719.0,
92,93,93,Nick Taylor,29,554,,4.0,5727.0,
93,94,94,David Lingmerth,23,546,,1.0,5735.0,
94,95,95,J.B. Holmes,23,543,,2.0,5738.0,
95,96,96,Camilo Villegas,25,542,,2.0,5739.0,
96,97,97,J.J. Spaun,29,541,,3.0,5740.0,
97,98,98,Scott Piercy,22,532,,4.0,5749.0,
98,99,99,Patton Kizzire,28,519,,3.0,5762.0,
99,100,100,Michael Kim,28,483,,1.0,5798.0,
100,101,101,Scott Stallings,27,482,,3.0,5799.0,
101,102,102,Byeong Hun An,22,468,,3.0,5813.0,
102,103,103,Martin Flores,27,461,,2.0,5820.0,
103,104,104,D.A. Points,22,457,1.0,1.0,5824.0,
104,105,105,Luke Donald,18,456,,1.0,5825.0,
105,106,106,Richy Werenski,26,455,,3.0,5826.0,
106,107,107,Ryan Blaum,29,451,,2.0,5830.0,
107,108,108,Geoff Ogilvy,25,450,,1.0,5831.0,
108,109,109,Robert Garrigus,26,448,,3.0,5833.0,
109,110,110,Seung-Yul Noh,31,446,,3.0,5835.0,
110,111,111,Jimmy Walker,21,439,,1.0,5842.0,
111,112,112,Brian Gay,25,426,,3.0,5855.0,
112,113,113,Brandon Hagy,26,419,,1.0,5862.0,
113,114,114,Vaughn Taylor,26,413,,,5868.0,
114,115,115,Steve Stricker,13,410,,2.0,5871.0,
115,116,116,Derek Fathauer,27,408,,2.0,5873.0,
116,117,117,Tyrone Van Aswegen,32,407,,1.0,5874.0,
117,118,118,Harris English,27,397,,2.0,5884.0,
118,119,119,Dominic Bozzelli,24,394,,3.0,5887.0,
119,120,120,Nick Watney,23,386,,1.0,5895.0,
120,121,121,John Huh,28,382,,2.0,5899.0,
121,122,122,Blayne Barber,25,381,,1.0,5900.0,
122,123,123,Ben Martin,27,378,,2.0,5903.0,
123,124,124,Rory Sabbatini,23,375,,1.0,5906.0,
124,125,125,J.J. Henry,29,365,,2.0,5916.0,
125,126,126,Zac Blair,32,364,,1.0,5917.0,
126,127,127,Shane Lowry,16,361,,1.0,5920.0,
127,128,128,David Hearn,29,359,,2.0,5922.0,
128,129,129,Sam Saunders,24,354,,2.0,5927.0,
129,130,130,Seamus Power,25,350,,1.0,5931.0,
130,131,131,Daniel Summerhays,29,348,,1.0,5933.0,
131,132,132,J.T. Poston,28,340,,1.0,5941.0,
132,133,133,Cameron Tringale,28,337,,3.0,5944.0,
133,134,134,Ryan Palmer,20,336,,3.0,5945.0,
134,135,135,Billy Hurley III,25,333,,1.0,5948.0,
135,136,136,Graeme McDowell,17,331,,,5950.0,
136,137,137,Trey Mullinax,28,330,,1.0,5951.0,
137,138,138,Aaron Baddeley,20,325,,2.0,5956.0,
138,139,139,Ricky Barnes,31,324,,,5957.0,
139,140,140,Johnson Wagner,26,321,,2.0,5960.0,
140,141,141,Smylie Kaufman,26,316,,1.0,5965.0,
141,142,142,Greg Owen,17,314,,2.0,5967.0,
142,143,143,Chad Collins,26,305,,2.0,5976.0,
143,144,144,Cameron Percy,23,291,,1.0,5990.0,
144,145,145,Brian Stuard,31,285,,,5996.0,
145,146,146,Søren Kjeldsen,17,283,,1.0,5998.0,
146,147,147,Ben Crane,26,281,,1.0,6000.0,
147,148,148,Michael Thompson,21,278,,1.0,6003.0,
148,149,149,Alex Cejka,28,276,,1.0,6005.0,
149,150,150,Rick Lamb,19,269,,1.0,6012.0,
150,151,151,Troy Merritt,28,265,,1.0,6016.0,
151,152,152,Matt Jones,20,248,,,6033.0,
152,153,153,Sebastián Muñoz,17,241,,1.0,6040.0,
153,154,154,Kyle Reifers,32,241,,,6040.0,
154,155,155,Tag Ridings,20,237,,1.0,6044.0,
155,156,156,Tim Wilkinson,22,233,,,6048.0,
156,157,157,Jim Furyk,18,232,,1.0,6049.0,
157,158,158,Andres Gonzales,24,226,,1.0,6055.0,
158,159,159,Ryan Armour,20,222,,1.0,6059.0,
159,160,160,Jonathan Randolph,22,221,,1.0,6060.0,
160,161,161,Julián Etulain,22,220,,1.0,6061.0,
161,162,162,Retief Goosen,19,205,,1.0,6076.0,
162,163,163,Spencer Levin,31,201,,1.0,6080.0,
163,164,164,Ryan Brehm,25,188,,,6093.0,
164,165,165,Shawn Stefani,26,188,,1.0,6093.0,
165,166,166,Tom Hoge,17,187,,2.0,6094.0,
166,167,167,Peter Malnati,29,182,,,6099.0,
167,168,168,Matt Every,30,175,,,6106.0,
168,169,169,Boo Weekley,27,173,,1.0,6108.0,
169,170,170,Jonathan Byrd,9,172,,1.0,6109.0,
170,171,171,Fabián Gómez,21,168,,,6113.0,
171,172,172,Roberto Castro,25,164,,,6117.0,
172,173,173,Greg Chalmers,28,156,,,6125.0,
173,174,174,John Peterson,15,153,,,6128.0,
174,175,175,Ryo Ishikawa,20,148,,1.0,6133.0,
175,176,176,Joel Dahmen,16,143,,1.0,6138.0,
176,177,177,K.J. Choi,25,143,,,6138.0,
177,178,178,Vijay Singh,18,140,,,6141.0,
178,179,179,Steve Wheatcroft,17,138,,1.0,6143.0,
179,180,180,Brian Campbell,20,132,,,6149.0,
180,181,181,Brett Stegmaier,27,131,,,6150.0,
181,182,182,Hunter Mahan,26,130,,,6151.0,
182,183,183,Will MacKenzie,16,127,,,6154.0,
183,184,184,Mark Hubbard,27,124,,,6157.0,
184,185,185,Davis Love III,13,124,,1.0,6157.0,
185,186,186,Steven Alker,23,121,,,6160.0,
186,187,187,Bill Lunde,8,121,,1.0,6160.0,
187,188,188,Gonzalo Fernandez-Castaño,22,118,,,6163.0,
188,189,189,Andrew Johnston,13,112,,1.0,6169.0,
189,190,190,Bryce Molder,26,109,,,6172.0,
190,191,191,Andrew Loupe,21,105,,1.0,6176.0,
191,192,192,Stuart Appleby,16,104,,1.0,6177.0,
192,193,193,Ken Duke,26,98,,,6183.0,
193,194,194,Mark Anderson,20,98,,1.0,6183.0,
194,195,195,Ángel Cabrera,16,96,,1.0,6185.0,
195,196,196,Brett Drewitt,19,95,,,6186.0,
196,197,197,Nicholas Lindheim,21,93,,,6188.0,
197,198,198,Andres Romero,10,91,,,6190.0,
198,199,199,Dicky Pride,7,85,,,6196.0,
199,200,200,Padraig Harrington,11,82,,,6199.0,
200,201,201,Miguel Angel Carballo,22,81,,,6200.0,
201,202,202,Willy Wilcox,14,81,,,6200.0,
202,203,203,Hiroshi Iwata,10,76,,1.0,6205.0,
203,204,204,Brad Fritsch,18,74,,,6207.0,
204,205,205,Carl Pettersson,27,74,,,6207.0,
205,206,206,Jason Bohn,28,73,,,6208.0,
206,207,207,Jon Curran,11,60,,,6221.0,
207,208,208,Jason Gore,5,56,,,6225.0,
208,209,209,John Senden,14,55,,,6226.0,
209,210,210,Mark Wilson,15,54,,,6227.0,
210,211,211,Chesson Hadley,8,53,,,6228.0,
211,212,212,Fred Couples,1,52,,,6229.0,
212,213,213,Ernie Els,20,50,,,6231.0,
213,214,214,Steve Marino,15,45,,,6236.0,
214,215,215,Bob Estes,15,41,,,6240.0,
215,216,216,John Merrick,9,40,,,6241.0,
216,217,217,Y.E. Yang,9,39,,,6242.0,
217,218,218,Charlie Wi,6,39,,,6242.0,
218,219,219,Jerry Kelly,7,34,,,6247.0,
219,220,220,Freddie Jacobson,9,32,,,6249.0,
220,221,221,Brendon de Jonge,14,31,,,6250.0,
221,222,222,Tyler Aldridge,14,30,,,6251.0,
222,223,223,Craig Barlow,3,29,,,6252.0,
223,224,224,Danny Willett,11,26,,,6255.0,
224,225,225,Arjun Atwal,6,20,,,6261.0,
225,226,226,Robert Allenby,4,19,,,6262.0,
226,227,227,Zack Sucher,14,18,,,6263.0,
227,228,228,"Ted Potter, Jr.",2,16,,,6265.0,
228,229,229,Tim Herron,8,11,,,6270.0,
229,230,230,Bobby Wyatt,20,10,,,6271.0,
230,T231,T231,Steven Bowditch,27,9,,,6272.0,
231,T231,T231,Larry Mize,1,9,,,6272.0,
232,233,233,Shane Bertsch,9,7,,,6274.0,
233,234,234,Michael Bradley,3,7,,,6274.0,
234,235,235,D.J. Trahan,5,6,,,6275.0,
235,236,236,Tommy Gainey,8,6,,,6275.0,
236,237,237,Justin Leonard,1,5,,,6276.0,
237,238,238,Troy Matteson,4,5,,,6276.0,
238,T239,T239,George McNeill,7,4,,,6277.0,
239,T239,T239,Tim Petrovic,2,4,,,6277.0,
240,T239,T239,David Toms,3,4,,,6277.0,
241,242,242,Charlie Beljan,8,4,,,6277.0,
242,243,243,Peter Lonard,1,4,,,6277.0,
243,244,244,Max Homa,17,3,,,6278.0,
244,245,245,Eric Axley,4,3,,,6278.0,
245,246,246,Omar Uresti,2,3,,,6278.0,
246,247,247,Brendon Todd,9,3,,,6278.0,
247,248,248,Colt Knost,5,3,,,6278.0,
248,249,249,Fred Funk,1,2,,,6279.0,
249,250,250,John Rollins,6,2,,,6279.0,
250,251,251,Chris Smith,2,2,,,6279.0,
251,252,252,Shaun Micheel,3,1,,,6280.0,
