,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
141,142,,Paul Lawrie,11.6
142,143,,Lorenzo Gagli,11.58
143,144,,Sam Walker,11.51
144,145,,Sebastian Heisele,11.34
145,146,,Dominic Foos,11.25
146,147,,Josh Loughrey,11.18
147,148,,Scott Henry,11.09
148,149,,Jens Fahrbring,10.87
149,150,,Mark Foster,10.35
150,151,,Roope Kakko,10.19
151,152,,Moritz Lampert,10.0
152,153,,Matthew Cort,9.6
153,154,,Chris Selfridge,9.38
154,155,,Scott Jamieson,9.14
155,156,,Jens Dantorp,8.87
156,157,,Simon Khan,8.73
157,158,,Javier Colomo,8.61
158,159,,James Robinson,8.59
159,160,,Tom Lewis,8.52
160,161,,Alessandro Tadini,8.5
161,162,,Stuart Manley,8.36
162,163,,Darren Clarke,8.29
163,164,,Andrea Pavan,8.15
164,165,,Mikael Lundberg,8.1
165,166,,Niall Turner,8.03
166,167,,Pablo Martin Benavides,7.82
167,168,,Mads Sogaard,7.8
168,169,,Manuel Trappel,7.6
169,170,,Daniel Lokke,7.6
170,171,,Johan Edfors,7.56
171,172,,Enrico Di Nitto,7.33
172,173,,David Law,7.2
173,174,,Eirik Tage Johansen,7.14
174,175,,Edouard Dubois,6.94
175,176,,Rhys Davies,6.83
176,177,,Bernhard Langer,6.73
177,178,,Ricardo Santos,6.72
178,179,,Joel Girrbach,6.6
179,180,,Edouard Espana,6.51
180,181,,Anton Karlsson,6.48
181,182,,Tom Shadbolt,6.41
182,183,,Anders Hansen,6.35
183,184,,Steven Brown,5.66
184,185,,Tapio Pulkkanen,5.6
185,186,,Toby Tree,5.55
186,187,,Oskar Henningsson,5.52
187,188,,Paul Maddy,5.44
188,189,,Robert Coles,5.4
189,190,,Ruaidhri McGee,5.33
190,191,,Morten Orum Madsen,5.28
191,192,,Florian Fritsch,5.19
192,193,,Francesco Laporta,5.08
193,194,,Joel Sjöholm,4.94
194,195,,Philipp Mejow,4.82
195,196,,Steve Webster,4.58
196,197,,Julien Guerrier,4.4
197,198,,Edoardo Molinari,4.39
198,199,,David Dixon,4.32
199,200,,Charlie Ford,4.26
