,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
100,101,,Scott Stallings,27,482,,3.0,4939.0,
101,102,,Byeong Hun An,22,468,,3.0,4953.0,
102,103,,Martin Flores,27,461,,2.0,4960.0,
103,104,,D.A. Points,22,457,1.0,1.0,4964.0,
104,105,,Luke Donald,18,456,,1.0,4965.0,
105,106,,Richy Werenski,26,455,,3.0,4966.0,
106,107,,Ryan Blaum,29,451,,2.0,4970.0,
107,108,,Geoff Ogilvy,25,450,,1.0,4971.0,
108,109,,Robert Garrigus,26,448,,3.0,4973.0,
109,110,,Seung-Yul Noh,31,446,,3.0,4975.0,
110,111,,Jimmy Walker,21,439,,1.0,4982.0,
111,112,,Brian Gay,25,426,,3.0,4995.0,
112,113,,Brandon Hagy,26,419,,1.0,5002.0,
113,114,,Vaughn Taylor,26,413,,,5008.0,
114,115,,Steve Stricker,13,410,,2.0,5011.0,
115,116,,Derek Fathauer,27,408,,2.0,5013.0,
116,117,,Tyrone Van Aswegen,32,407,,1.0,5014.0,
117,118,,Harris English,27,397,,2.0,5024.0,
118,119,,Dominic Bozzelli,24,394,,3.0,5027.0,
119,120,,Nick Watney,23,386,,1.0,5035.0,
120,121,,John Huh,28,382,,2.0,5039.0,
121,122,,Blayne Barber,25,381,,1.0,5040.0,
122,123,,Ben Martin,27,378,,2.0,5043.0,
123,124,,Rory Sabbatini,23,375,,1.0,5046.0,
124,125,,J.J. Henry,29,365,,2.0,5056.0,
125,126,,Zac Blair,32,364,,1.0,5057.0,
126,127,,Shane Lowry,16,361,,1.0,5060.0,
127,128,,David Hearn,29,359,,2.0,5062.0,
128,129,,Sam Saunders,24,354,,2.0,5067.0,
129,130,,Seamus Power,25,350,,1.0,5071.0,
130,131,,Daniel Summerhays,29,348,,1.0,5073.0,
131,132,,J.T. Poston,28,340,,1.0,5081.0,
132,133,,Cameron Tringale,28,337,,3.0,5084.0,
133,134,,Ryan Palmer,20,336,,3.0,5085.0,
134,135,,Billy Hurley III,25,333,,1.0,5088.0,
135,136,,Graeme McDowell,17,331,,,5090.0,
136,137,,Trey Mullinax,28,330,,1.0,5091.0,
137,138,,Aaron Baddeley,20,325,,2.0,5096.0,
138,139,,Ricky Barnes,31,324,,,5097.0,
139,140,,Johnson Wagner,26,321,,2.0,5100.0,
140,141,,Smylie Kaufman,26,316,,1.0,5105.0,
141,142,,Greg Owen,17,314,,2.0,5107.0,
142,143,,Chad Collins,26,305,,2.0,5116.0,
143,144,,Cameron Percy,23,291,,1.0,5130.0,
144,145,,Brian Stuard,31,285,,,5136.0,
145,146,,Søren Kjeldsen,17,283,,1.0,5138.0,
146,147,,Ben Crane,26,281,,1.0,5140.0,
147,148,,Michael Thompson,21,278,,1.0,5143.0,
148,149,,Alex Cejka,28,276,,1.0,5145.0,
149,150,,Rick Lamb,19,269,,1.0,5152.0,
