,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
132,133,,Cameron Tringale,28,32000
133,134,,Ryan Palmer,20,32000
134,135,,Billy Hurley III,25,32000
135,136,,Graeme McDowell,17,32000
136,137,,Trey Mullinax,28,32000
137,138,,Aaron Baddeley,20,32000
138,139,,Ricky Barnes,31,32000
139,140,,Johnson Wagner,26,32000
140,141,,Smylie Kaufman,26,32000
141,142,,Greg Owen,17,32000
142,143,,Chad Collins,26,32000
143,144,,Cameron Percy,23,32000
144,145,,Brian Stuard,31,32000
145,146,,Søren Kjeldsen,17,32000
146,147,,Ben Crane,26,32000
147,148,,Michael Thompson,21,32000
148,149,,Alex Cejka,28,32000
149,150,,Rick Lamb,19,32000
