,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
115,116,,Geoff Ogilvy,24,390,,1.0,2479.0,
116,117,,Nick Watney,22,386,,1.0,2483.0,
117,118,,Martin Flores,26,383,,2.0,2486.0,
118,119,,John Huh,27,382,,2.0,2487.0,
119,120,,Blayne Barber,24,381,,1.0,2488.0,
120,121,,Ben Martin,26,378,,2.0,2491.0,
121,122,,Rory Sabbatini,22,375,,1.0,2494.0,
122,123,,Harold Varner III,29,375,,1.0,2494.0,
123,124,,Vaughn Taylor,25,369,,,2500.0,
124,125,,J.J. Henry,28,365,,2.0,2504.0,
125,126,,Zac Blair,32,364,,1.0,2505.0,
126,127,,Shane Lowry,16,361,,1.0,2508.0,
127,128,,David Hearn,29,359,,2.0,2510.0,
128,129,,Sam Saunders,24,354,,2.0,2515.0,
129,130,,Seamus Power,25,350,,1.0,2519.0,
130,131,,Daniel Summerhays,29,348,,1.0,2521.0,
131,132,,J.T. Poston,28,340,,1.0,2529.0,
132,133,,Cameron Tringale,28,337,,3.0,2532.0,
133,134,,Ryan Palmer,20,336,,3.0,2533.0,
134,135,,Billy Hurley III,25,333,,1.0,2536.0,
135,136,,Graeme McDowell,17,331,,,2538.0,
136,137,,Trey Mullinax,28,330,,1.0,2539.0,
137,138,,Aaron Baddeley,20,325,,2.0,2544.0,
138,139,,Ricky Barnes,31,324,,,2545.0,
139,140,,Johnson Wagner,26,321,,2.0,2548.0,
140,141,,Smylie Kaufman,26,316,,1.0,2553.0,
141,142,,Greg Owen,17,314,,2.0,2555.0,
142,143,,Chad Collins,26,305,,2.0,2564.0,
143,144,,Cameron Percy,23,291,,1.0,2578.0,
144,145,,Brian Stuard,31,285,,,2584.0,
145,146,,Søren Kjeldsen,17,283,,1.0,2586.0,
146,147,,Ben Crane,26,281,,1.0,2588.0,
147,148,,Michael Thompson,21,278,,1.0,2591.0,
148,149,,Alex Cejka,28,276,,1.0,2593.0,
149,150,,Rick Lamb,19,269,,1.0,2600.0,
150,151,,Troy Merritt,28,265,,1.0,2604.0,
151,152,,Matt Jones,20,248,,,2621.0,
152,153,,Sebastián Muñoz,17,241,,1.0,2628.0,
153,154,,Kyle Reifers,32,241,,,2628.0,
154,155,,Tag Ridings,20,237,,1.0,2632.0,
155,156,,Tim Wilkinson,22,233,,,2636.0,
156,157,,Jim Furyk,18,232,,1.0,2637.0,
157,158,,Andres Gonzales,24,226,,1.0,2643.0,
158,159,,Ryan Armour,20,222,,1.0,2647.0,
159,160,,Jonathan Randolph,22,221,,1.0,2648.0,
160,161,,Julián Etulain,22,220,,1.0,2649.0,
161,162,,Retief Goosen,19,205,,1.0,2664.0,
162,163,,Spencer Levin,31,201,,1.0,2668.0,
163,164,,Ryan Brehm,25,188,,,2681.0,
164,165,,Shawn Stefani,26,188,,1.0,2681.0,
165,166,,Tom Hoge,17,187,,2.0,2682.0,
166,167,,Peter Malnati,29,182,,,2687.0,
167,168,,Matt Every,30,175,,,2694.0,
168,169,,Boo Weekley,27,173,,1.0,2696.0,
169,170,,Jonathan Byrd,9,172,,1.0,2697.0,
170,171,,Fabián Gómez,21,168,,,2701.0,
171,172,,Roberto Castro,25,164,,,2705.0,
172,173,,Greg Chalmers,28,156,,,2713.0,
173,174,,John Peterson,15,153,,,2716.0,
174,175,,Ryo Ishikawa,20,148,,1.0,2721.0,
175,176,,Joel Dahmen,16,143,,1.0,2726.0,
176,177,,K.J. Choi,25,143,,,2726.0,
177,178,,Vijay Singh,18,140,,,2729.0,
178,179,,Steve Wheatcroft,17,138,,1.0,2731.0,
179,180,,Brian Campbell,20,132,,,2737.0,
180,181,,Brett Stegmaier,27,131,,,2738.0,
181,182,,Hunter Mahan,26,130,,,2739.0,
182,183,,Will MacKenzie,16,127,,,2742.0,
183,184,,Mark Hubbard,27,124,,,2745.0,
184,185,,Davis Love III,13,124,,1.0,2745.0,
185,186,,Steven Alker,23,121,,,2748.0,
186,187,,Bill Lunde,8,121,,1.0,2748.0,
187,188,,Gonzalo Fernandez-Castaño,22,118,,,2751.0,
188,189,,Andrew Johnston,13,112,,1.0,2757.0,
189,190,,Bryce Molder,26,109,,,2760.0,
190,191,,Andrew Loupe,21,105,,1.0,2764.0,
191,192,,Stuart Appleby,16,104,,1.0,2765.0,
192,193,,Ken Duke,26,98,,,2771.0,
193,194,,Mark Anderson,20,98,,1.0,2771.0,
194,195,,Ángel Cabrera,16,96,,1.0,2773.0,
195,196,,Brett Drewitt,19,95,,,2774.0,
196,197,,Nicholas Lindheim,21,93,,,2776.0,
197,198,,Andres Romero,10,91,,,2778.0,
198,199,,Dicky Pride,7,85,,,2784.0,
199,200,,Padraig Harrington,11,82,,,2787.0,
200,201,,Miguel Angel Carballo,22,81,,,2788.0,
201,202,,Willy Wilcox,14,81,,,2788.0,
202,203,,Hiroshi Iwata,10,76,,1.0,2793.0,
203,204,,Brad Fritsch,18,74,,,2795.0,
204,205,,Carl Pettersson,27,74,,,2795.0,
205,206,,Jason Bohn,28,73,,,2796.0,
206,207,,Jon Curran,11,60,,,2809.0,
207,208,,Jason Gore,5,56,,,2813.0,
208,209,,John Senden,14,55,,,2814.0,
209,210,,Mark Wilson,15,54,,,2815.0,
210,211,,Chesson Hadley,8,53,,,2816.0,
211,212,,Fred Couples,1,52,,,2817.0,
212,213,,Ernie Els,20,50,,,2819.0,
213,214,,Steve Marino,15,45,,,2824.0,
214,215,,Bob Estes,15,41,,,2828.0,
215,216,,John Merrick,9,40,,,2829.0,
216,217,,Y.E. Yang,9,39,,,2830.0,
217,218,,Charlie Wi,6,39,,,2830.0,
218,219,,Jerry Kelly,7,34,,,2835.0,
219,220,,Freddie Jacobson,9,32,,,2837.0,
220,221,,Brendon de Jonge,14,31,,,2838.0,
221,222,,Tyler Aldridge,14,30,,,2839.0,
222,223,,Craig Barlow,3,29,,,2840.0,
223,224,,Danny Willett,11,26,,,2843.0,
224,225,,Arjun Atwal,6,20,,,2849.0,
225,226,,Robert Allenby,4,19,,,2850.0,
226,227,,Zack Sucher,14,18,,,2851.0,
227,228,,"Ted Potter, Jr.",2,16,,,2853.0,
228,229,,Tim Herron,8,11,,,2858.0,
229,230,,Bobby Wyatt,20,10,,,2859.0,
230,T231,,Steven Bowditch,27,9,,,2860.0,
231,T231,,Larry Mize,1,9,,,2860.0,
232,233,,Shane Bertsch,9,7,,,2862.0,
233,234,,Michael Bradley,3,7,,,2862.0,
234,235,,D.J. Trahan,5,6,,,2863.0,
235,236,,Tommy Gainey,8,6,,,2863.0,
236,237,,Justin Leonard,1,5,,,2864.0,
237,238,,Troy Matteson,4,5,,,2864.0,
238,T239,,George McNeill,7,4,,,2865.0,
239,T239,,Tim Petrovic,2,4,,,2865.0,
240,T239,,David Toms,3,4,,,2865.0,
241,242,,Charlie Beljan,8,4,,,2865.0,
242,243,,Peter Lonard,1,4,,,2865.0,
243,244,,Max Homa,17,3,,,2866.0,
244,245,,Eric Axley,4,3,,,2866.0,
245,246,,Omar Uresti,2,3,,,2866.0,
246,247,,Brendon Todd,9,3,,,2866.0,
247,248,,Colt Knost,5,3,,,2866.0,
248,249,,Fred Funk,1,2,,,2867.0,
249,250,,John Rollins,6,2,,,2867.0,
250,251,,Chris Smith,2,2,,,2867.0,
251,252,,Shaun Micheel,3,1,,,2868.0,
