,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
56,57,,Lucas Glover,26,6.14,706,11500,,4.0
57,58,,Sean O'Hair,25,6.1,707,11600,,5.0
58,59,,Ryan Moore,24,6.04,671,11100,,2.0
59,60,,Keegan Bradley,29,6.01,794,13200,,5.0
60,T61,,Bryson DeChambeau,31,5.95,836,14050,1.0,2.0
61,T61,,Si Woo Kim,30,5.95,839,14100,1.0,2.0
62,63,,Martin Laird,25,5.93,676,11400,,5.0
63,64,,Graham DeLaet,25,5.82,640,11000,,6.0
64,65,,Russell Knox,24,5.77,669,11600,,4.0
65,66,,James Hahn,28,5.52,711,12900,,4.0
66,67,,Sung Kang,32,5.5,798,14500,,3.0
67,T68,,Kelly Kraft,27,5.47,672,12300,,3.0
68,T68,,Kevin Tway,27,5.47,619,11300,,3.0
69,70,,Luke List,31,5.45,741,13600,,3.0
70,71,,Branden Grace,20,5.31,510,9600,,2.0
71,72,,Bud Cauley,28,5.29,666,12600,,5.0
72,73,,Chez Reavie,28,5.24,666,12700,,3.0
73,T74,,Jonas Blixt,25,5.07,578,11400,1.0,1.0
74,T74,,Patrick Rodgers,27,5.07,639,12600,,3.0
75,76,,Scott Brown,29,5.01,646,12900,,2.0
76,77,,Stewart Cink,26,4.99,583,11700,,3.0
77,78,,Luke Donald,18,4.93,424,8600,,1.0
78,79,,Danny Lee,32,4.84,697,14400,,4.0
79,80,,Grayson Murray,30,4.83,638,13200,1.0,2.0
80,81,,Kevin Na,26,4.81,584,12150,,4.0
81,82,,Jim Herman,25,4.77,553,11600,,2.0
82,83,,J.B. Holmes,23,4.68,543,11600,,2.0
83,84,,Jonathan Byrd,9,4.66,172,3700,,1.0
84,85,,Scott Piercy,22,4.65,532,11450,,4.0
85,86,,Chad Campbell,29,4.59,616,13400,,3.0
86,87,,Kevin Streelman,26,4.58,541,11800,,2.0
87,88,,Emiliano Grillo,25,4.43,518,11700,,2.0
88,T89,,Byeong Hun An,22,4.28,468,10950,,3.0
89,T89,,Morgan Hoffmann,29,4.28,565,13200,,1.0
90,T91,,D.A. Points,22,4.22,435,10300,1.0,1.0
91,T91,,Camilo Villegas,25,4.22,464,11000,,2.0
92,93,,Robert Streb,30,4.21,577,13700,,2.0
93,94,,Shane Lowry,16,4.2,361,8600,,1.0
94,T95,,Whee Kim,27,4.18,505,12100,,2.0
95,T95,,Patton Kizzire,28,4.18,519,12400,,3.0
96,97,,Jimmy Walker,21,4.1,439,10700,,1.0
97,98,,Nick Taylor,29,4.09,532,13000,,4.0
98,99,,David Lingmerth,23,4.08,437,10700,,1.0
99,100,,Greg Owen,17,4.03,314,7800,,2.0
100,101,,Cody Gribble,28,3.99,514,12900,1.0,2.0
101,102,,J.J. Spaun,29,3.98,510,12800,,3.0
102,103,,C.T. Pan,29,3.96,527,13300,,3.0
103,104,,Graeme McDowell,17,3.85,331,8600,,
104,105,,Bill Lunde,8,3.78,121,3200,,1.0
105,106,,Robert Garrigus,26,3.77,448,11900,,3.0
106,107,,Bubba Watson,22,3.75,397,10600,,3.0
107,108,,Chris Kirk,28,3.74,467,12500,,3.0
108,T109,,Michael Kim,28,3.72,483,13000,,1.0
109,T109,,Rory Sabbatini,23,3.72,375,10100,,1.0
110,111,,William McGirt,28,3.7,499,13500,,3.0
111,112,,Jason Kokrak,28,3.67,490,13350,,1.0
112,113,,Richy Werenski,26,3.65,423,11600,,3.0
113,114,,Brian Gay,25,3.64,426,11700,,3.0
114,115,,Scott Stallings,27,3.62,438,12100,,3.0
115,T116,,Brandon Hagy,26,3.61,419,11600,,1.0
116,T116,,Nick Watney,23,3.61,386,10700,,1.0
117,118,,Dominic Bozzelli,24,3.49,394,11300,,3.0
118,T119,,Geoff Ogilvy,25,3.39,390,11500,,1.0
119,T119,,Ryan Palmer,20,3.39,336,9900,,3.0
120,121,,Blayne Barber,25,3.34,381,11400,,1.0
121,122,,Ryan Blaum,29,3.26,434,13300,,2.0
122,123,,Aaron Baddeley,20,3.25,325,10000,,2.0
123,124,,Derek Fathauer,27,3.24,408,12600,,2.0
124,125,,Craig Barlow,3,3.22,29,900,,
125,T126,,Søren Kjeldsen,17,3.19,283,8850,,1.0
126,T126,,Sam Saunders,24,3.19,354,11100,,2.0
127,128,,Martin Flores,27,3.16,383,12100,,2.0
128,129,,Dicky Pride,7,3.15,85,2700,,
129,130,,Seung-Yul Noh,31,3.14,446,14200,,3.0
130,131,,Rick Lamb,19,3.09,269,8700,,1.0
131,132,,Harris English,27,3.08,397,12900,,2.0
132,133,,Ben Martin,27,3.05,378,12400,,2.0
133,134,,Seamus Power,25,3.02,350,11600,,1.0
134,135,,Sebastián Muñoz,17,3.01,241,8000,,1.0
135,136,,Vaughn Taylor,26,3.0,369,12300,,
136,137,,John Huh,28,2.85,382,13400,,2.0
137,T138,,J.J. Henry,29,2.75,365,13300,,2.0
138,T138,,Cameron Percy,23,2.75,291,10600,,1.0
139,T140,,Michael Thompson,21,2.73,278,10200,,1.0
140,T140,,Tyrone Van Aswegen,32,2.73,407,14900,,1.0
141,142,,Matt Jones,20,2.72,248,9100,,
142,143,,Billy Hurley III,25,2.63,333,12700,,1.0
143,144,,Harold Varner III,31,2.62,375,14350,,1.0
144,145,,Tag Ridings,20,2.6,237,9100,,1.0
145,146,,David Hearn,29,2.58,359,13900,,2.0
146,147,,J.T. Poston,28,2.57,340,13200,,1.0
147,T148,,Chad Collins,26,2.52,305,12100,,2.0
148,T148,,Cameron Tringale,28,2.52,337,13400,,3.0
149,150,,Johnson Wagner,26,2.51,321,12800,,2.0
150,T151,,Smylie Kaufman,26,2.5,316,12600,,1.0
151,T151,,Trey Mullinax,28,2.5,330,13200,,1.0
152,153,,Jim Furyk,18,2.49,232,9300,,1.0
153,154,,Tom Hoge,17,2.46,187,7600,,2.0
154,155,,Jason Gore,5,2.45,56,2300,,
155,T156,,Ryan Armour,20,2.41,222,9200,,1.0
156,T156,,Daniel Summerhays,29,2.41,348,14400,,1.0
157,158,,Retief Goosen,19,2.38,205,8600,,1.0
158,159,,Zac Blair,32,2.36,364,15400,,1.0
159,160,,Ben Crane,26,2.27,281,12400,,1.0
160,161,,Tim Wilkinson,22,2.26,233,10300,,
161,T162,,Ricky Barnes,31,2.18,324,14900,,
162,T162,,Julián Etulain,22,2.18,220,10100,,1.0
163,164,,Jonathan Randolph,22,2.16,221,10200,,1.0
164,165,,John Peterson,15,2.12,153,7200,,
165,166,,Alex Cejka,28,2.06,276,13400,,1.0
166,167,,Andres Gonzales,24,2.04,226,11100,,1.0
167,T168,,Joel Dahmen,16,1.99,143,7200,,1.0
168,T168,,Davis Love III,13,1.99,124,6200,,1.0
169,T168,,Andres Romero,10,1.99,91,4550,,
170,171,,Troy Merritt,28,1.96,265,13500,,1.0
171,172,,Brian Stuard,31,1.86,285,15300,,
172,173,,Steve Wheatcroft,17,1.8,138,7700,,1.0
173,174,,Hiroshi Iwata,10,1.73,76,4400,,1.0
174,175,,Andrew Johnston,13,1.71,112,6550,,1.0
175,T176,,Chesson Hadley,8,1.67,53,3200,,
176,T176,,Charlie Wi,6,1.67,39,2300,,
177,178,,Will MacKenzie,16,1.65,127,7700,,
178,179,,Fabián Gómez,21,1.63,168,10300,,
179,180,,Ryan Brehm,25,1.61,188,11700,,
180,181,,Kyle Reifers,32,1.56,241,15400,,
181,182,,Ryo Ishikawa,20,1.55,148,9600,,1.0
182,183,,Shawn Stefani,26,1.54,188,12200,,1.0
183,184,,Vijay Singh,18,1.5,140,9300,,
184,185,,Padraig Harrington,11,1.49,82,5500,,
185,186,,Brian Campbell,20,1.45,132,9100,,
186,187,,Stuart Appleby,16,1.44,104,7200,,1.0
187,188,,Larry Mize,1,1.42,9,600,,
188,189,,"Ted Potter, Jr.",2,1.41,16,1100,,
189,190,,Spencer Levin,31,1.37,201,14700,,1.0
190,191,,Robert Allenby,4,1.36,19,1400,,
191,192,,Boo Weekley,27,1.34,173,12900,,1.0
192,T193,,Ángel Cabrera,16,1.31,96,7300,,1.0
193,T193,,Peter Malnati,29,1.31,182,13900,,
194,195,,Willy Wilcox,14,1.28,81,6300,,
195,196,,Roberto Castro,25,1.27,164,12900,,
196,197,,Peter Lonard,1,1.22,4,300,,
197,198,,Matt Every,30,1.21,175,14400,,
198,199,,K.J. Choi,25,1.2,143,11900,,
199,200,,Gonzalo Fernandez-Castaño,22,1.16,118,10100,,
200,T201,,Steven Alker,23,1.14,121,10600,,
201,T201,,Greg Chalmers,28,1.14,156,13700,,
202,T203,,Jon Curran,11,1.09,60,5500,,
203,T203,,Brett Drewitt,19,1.09,95,8700,,
204,205,,John Merrick,9,1.07,40,3700,,
205,206,,Mark Anderson,20,1.06,98,9200,,1.0
206,207,,Hunter Mahan,26,1.05,130,12400,,
207,T208,,Jerry Kelly,7,1.02,34,3300,,
208,T208,,Justin Leonard,1,1.02,5,500,,
209,T208,,Andrew Loupe,21,1.02,105,10300,,1.0
210,211,,Brett Stegmaier,27,0.99,131,13200,,
211,212,,Y.E. Yang,9,0.97,39,4000,,
212,T213,,Mark Hubbard,27,0.96,124,12900,,
213,T213,,Nicholas Lindheim,21,0.96,93,9700,,
214,215,,Brad Fritsch,18,0.9,74,8200,,
215,216,,Bryce Molder,26,0.86,109,12700,,
216,217,,Arjun Atwal,6,0.85,20,2400,,
217,T218,,John Senden,14,0.82,55,6800,,
218,T218,,Mark Wilson,15,0.82,54,6600,,
219,220,,Miguel Angel Carballo,22,0.8,81,10100,,
220,221,,Ken Duke,26,0.79,98,12300,,
221,222,,Michael Bradley,3,0.77,7,900,,
222,223,,Freddie Jacobson,9,0.75,32,4300,,
223,224,,Tim Petrovic,2,0.73,4,600,,
224,225,,Steve Marino,15,0.63,45,7200,,
225,226,,Carl Pettersson,27,0.58,74,12600,,
226,227,,Jason Bohn,28,0.55,73,13400,,
227,228,,Bob Estes,15,0.54,41,7500,,
228,229,,Brendon de Jonge,14,0.49,31,6200,,
229,T230,,Tyler Aldridge,14,0.48,30,6200,,
230,T230,,Ernie Els,20,0.48,50,10500,,
231,T230,,Fred Funk,1,0.48,2,500,,
232,233,,Danny Willett,11,0.41,26,6200,,
233,T234,,Troy Matteson,4,0.34,5,1400,,
234,T234,,David Toms,3,0.34,4,1300,,
235,T236,,D.J. Trahan,5,0.33,6,1900,,
236,T236,,Omar Uresti,2,0.33,3,900,,
237,238,,Tim Herron,8,0.32,11,3400,,
238,239,,Zack Sucher,14,0.27,18,6600,,
239,240,,Chris Smith,2,0.26,2,600,,
240,241,,Eric Axley,4,0.19,3,1600,,
241,242,,Tommy Gainey,8,0.18,6,3400,,
242,243,,Shane Bertsch,9,0.17,7,4100,,
243,244,,George McNeill,7,0.15,4,2900,,
244,245,,Colt Knost,5,0.11,3,2500,,
245,T246,,Shaun Micheel,3,0.1,1,1200,,
246,T246,,John Rollins,6,0.1,2,2300,,
247,T246,,Bobby Wyatt,20,0.1,10,9100,,
248,249,,Charlie Beljan,8,0.09,4,4000,,
249,250,,Brendon Todd,9,0.08,3,3800,,
250,251,,Steven Bowditch,27,0.07,9,12800,,
251,252,,Max Homa,17,0.04,3,7700,,
