,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
139,140,140,Shane Lowry,19,32000
140,141,141,Jim Furyk,15,32000
141,142,142,Michael Thompson,19,32000
142,143,143,David Lingmerth,26,32000
143,144,144,Graeme McDowell,20,32000
144,145,145,Steve Stricker,12,32000
145,146,146,Nicholas Lindheim,26,32000
146,147,147,Shawn Stefani,25,32000
147,148,148,Ben Crane,21,32000
148,149,149,Denny McCarthy,22,32000
149,150,150,Ben Martin,20,32000
