,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
109,110,110,Juvic Pagunsan,1,5,
110,111,111,Chris Wilson,1,5,
111,112,112,Jesse Mueller,2,5,
112,113,113,Hyungjoon Lee,1,5,
113,114,114,Curtis Luck,1,5,
114,T115,T115,Marcus Kinhult,1,5,
115,T115,T115,Shaun Norris,1,5,
116,117,117,Vince India,2,5,
117,118,118,Cameron Wilson,1,5,
118,119,119,Mike Hendry,2,4,4.0
119,120,120,Andrew Dorn,1,4,
120,T121,T121,James Driscoll,2,4,
121,T121,T121,Grant Hirschman,1,4,
122,T123,T123,Danny Chia,1,4,
123,T123,T123,Ryan Hogue,1,4,
124,T125,T125,Matthew Griffin,1,4,4.0
125,T125,T125,Adrian Otaegui,1,4,
126,127,127,Joshua Creel,1,4,
127,T128,T128,Taylor Moore,2,4,
128,T128,T128,David Skinns,2,4,
129,130,130,Kodai Ichihara,2,4,4.0
130,131,131,Tom Whitney,3,4,
131,T132,T132,Rhys Enoch,1,3,
132,T132,T132,Zander Lombard,1,3,
133,T134,T134,Will Cannon,1,3,
134,T134,T134,Cooper Musselman,1,3,
135,136,136,Dawie van der Walt,1,3,
136,137,137,Jaco Ahlers,1,3,3.0
137,138,138,Graeme Storm,1,3,3.0
138,139,139,Casey Wittenberg,1,3,
139,140,140,Will Zalatoris,6,3,
140,141,141,Yanwei Liu,1,3,3.0
141,142,142,Steve Allan,2,3,
142,143,143,Ashley Hall,1,3,3.0
143,T144,T144,Spencer Levin,2,3,
144,T144,T144,Chip McDaniel,1,3,
145,146,146,Augusto Núñez,1,3,
146,147,147,Andrew Dodt,1,3,3.0
147,148,148,Junghwan Lee,1,3,
148,149,149,Cameron Champ,6,3,
149,150,150,Yi Cao,1,3,3.0
150,151,151,Grant Booth,1,3,
151,152,152,Jeunghun Wang,1,3,
152,153,153,Nicholas Fung,1,2,
153,154,154,Nicholas Thompson,1,2,
154,155,155,Sean McCarty,2,2,
155,156,156,Grady Brame Jr.,1,2,
156,157,157,Julio Santos,1,2,
