,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
91,92,92,Tyrrell Hatton,13,550,,4.0,2167.0,
92,93,93,Patrick Rodgers,30,541,,3.0,2176.0,
93,94,94,Brandon Harkins,29,528,,3.0,2189.0,
94,95,95,Trey Mullinax,23,528,,3.0,2189.0,
95,96,96,Charl Schwartzel,19,528,,3.0,2189.0,
96,97,97,Rory Sabbatini,26,521,,1.0,2196.0,
97,98,98,Charley Hoffman,23,515,,,2202.0,
98,99,99,Alex Cejka,23,502,,2.0,2215.0,
99,100,100,Ryan Palmer,19,500,,2.0,2217.0,
100,101,101,Richy Werenski,31,498,,2.0,2219.0,
101,102,102,Nick Watney,24,491,,1.0,2226.0,
102,103,103,Danny Lee,28,481,,3.0,2236.0,
103,104,104,Sung Kang,28,480,,2.0,2237.0,
104,105,105,John Huh,28,480,,2.0,2237.0,
105,106,106,Harold Varner III,26,474,,3.0,2243.0,
106,107,107,Scott Stallings,28,470,,2.0,2247.0,
107,108,108,Tyler Duncan,30,457,,2.0,2260.0,
108,109,109,William McGirt,25,449,,3.0,2268.0,
109,110,110,J.T. Poston,21,448,,2.0,2269.0,
110,111,111,Bronson Burgoon,22,446,,2.0,2271.0,
111,112,112,Vaughn Taylor,24,445,,3.0,2272.0,
112,113,113,Martin Laird,21,443,,3.0,2274.0,
113,114,114,Sam Ryder,25,442,,3.0,2275.0,
114,115,115,Grayson Murray,21,438,,2.0,2279.0,
115,116,116,Ryan Blaum,27,433,,2.0,2284.0,
116,117,117,Scott Brown,31,422,,2.0,2295.0,
117,118,118,Brian Stuard,30,421,,3.0,2296.0,
118,119,119,Nick Taylor,29,420,,2.0,2297.0,
119,120,120,Sam Saunders,25,420,,4.0,2297.0,
120,121,121,Sean O'Hair,21,417,,2.0,2300.0,
121,122,122,Bud Cauley,17,405,,2.0,2312.0,
122,123,123,Jhonattan Vegas,25,394,,1.0,2323.0,
123,124,124,Harris English,30,383,,2.0,2334.0,
124,125,125,Seamus Power,27,377,,2.0,2340.0,
125,126,126,Martin Piller,28,371,,2.0,2346.0,
126,127,127,Tyrone Van Aswegen,31,364,,1.0,2353.0,
127,128,128,Sergio Garcia,15,362,,3.0,2355.0,
128,129,129,Chad Campbell,28,361,,2.0,2356.0,
129,130,130,Corey Conners,28,353,,1.0,2364.0,
130,131,131,Robert Garrigus,27,353,,1.0,2364.0,
131,132,132,Aaron Baddeley,27,342,,1.0,2375.0,
132,133,133,Johnson Wagner,21,338,,,2379.0,
133,134,134,Tom Lovelady,28,332,,2.0,2385.0,
134,135,135,Lucas Glover,18,324,,1.0,2393.0,
135,136,136,Ben Silverman,28,323,,2.0,2394.0,
136,137,137,Derek Fathauer,28,316,,1.0,2401.0,
137,138,138,David Hearn,21,315,,2.0,2402.0,
138,139,139,Talor Gooch,27,308,,,2409.0,
139,140,140,Shane Lowry,19,296,,,2421.0,
140,141,141,Jim Furyk,15,291,,2.0,2426.0,
141,142,142,Michael Thompson,19,280,,,2437.0,
142,143,143,David Lingmerth,26,274,,,2443.0,
143,144,144,Graeme McDowell,20,274,,1.0,2443.0,
144,145,145,Steve Stricker,12,274,,,2443.0,
145,146,146,Nicholas Lindheim,26,272,,1.0,2445.0,
146,147,147,Shawn Stefani,25,268,,1.0,2449.0,
147,148,148,Ben Crane,21,267,,1.0,2450.0,
148,149,149,Denny McCarthy,22,267,,1.0,2450.0,
149,150,150,Ben Martin,20,266,,1.0,2451.0,
150,151,151,Matt Jones,23,264,,,2453.0,
151,152,152,Bill Haas,25,262,,1.0,2455.0,
152,153,153,Retief Goosen,20,261,,1.0,2456.0,
153,154,154,Thomas Pieters,11,260,,1.0,2457.0,
154,155,155,Chris Stroud,27,255,,1.0,2462.0,
155,156,156,Hudson Swafford,22,245,,,2472.0,
156,157,157,Adam Schenk,28,239,,1.0,2478.0,
157,158,158,J.J. Henry,28,239,,1.0,2478.0,
158,159,159,Hunter Mahan,21,234,,1.0,2483.0,
159,160,160,Mackenzie Hughes,28,227,,1.0,2490.0,
160,161,161,Peter Malnati,28,226,,,2491.0,
161,162,162,Fabián Gómez,28,221,,,2496.0,
162,163,163,Wesley Bryan,23,219,,,2498.0,
163,164,164,Martin Flores,29,215,,,2502.0,
164,165,165,Stephan Jaeger,26,211,,,2506.0,
165,166,166,Blayne Barber,22,202,,,2515.0,
166,167,167,Xinjun Zhang,28,195,,1.0,2522.0,
167,168,168,Cameron Percy,16,191,,2.0,2526.0,
168,169,169,Dominic Bozzelli,20,190,,,2527.0,
169,170,170,Zac Blair,20,176,,,2541.0,
170,171,171,Lanto Griffin,26,175,,,2542.0,
171,172,172,Nate Lashley,17,168,,,2549.0,
172,173,173,Jonas Blixt,23,167,,,2550.0,
173,174,174,Jonathan Randolph,25,166,,1.0,2551.0,
174,175,175,Ricky Barnes,22,164,,1.0,2553.0,
175,176,176,D.A. Points,25,162,,1.0,2555.0,
176,177,177,Ethan Tracy,23,157,,,2560.0,
177,178,178,Robert Streb,29,155,,1.0,2562.0,
178,179,179,Brett Stegmaier,21,149,,,2568.0,
179,180,180,Rob Oppenheim,26,148,,,2569.0,
180,181,181,Jonathan Byrd,24,147,,,2570.0,
181,182,182,Cody Gribble,25,141,,,2576.0,
182,183,183,Steve Wheatcroft,20,138,,1.0,2579.0,
183,184,184,Greg Chalmers,20,133,,1.0,2584.0,
184,185,185,Ross Fisher,13,119,,,2598.0,
185,186,186,Matt Every,30,113,,1.0,2604.0,
186,187,187,Graham DeLaet,3,111,,1.0,2606.0,
187,188,188,K.J. Choi,14,110,,1.0,2607.0,
188,189,189,Roberto Díaz,25,107,,,2610.0,
189,190,190,Andres Romero,6,104,,1.0,2613.0,
190,191,191,Parker McLachlin,11,92,,,2625.0,
191,192,192,Conrad Shindler,20,92,,,2625.0,
192,193,193,Camilo Villegas,14,90,,,2627.0,
193,194,194,Daniel Summerhays,19,89,,1.0,2628.0,
194,195,195,Cameron Tringale,26,88,,,2629.0,
195,196,196,Tim Herron,12,87,,,2630.0,
196,197,197,Stuart Appleby,12,84,,,2633.0,
197,198,198,Morgan Hoffmann,9,81,,,2636.0,
198,199,199,John Merrick,11,79,,,2638.0,
199,200,200,Smylie Kaufman,22,74,,1.0,2643.0,
200,201,201,Billy Hurley III,27,73,,,2644.0,
201,202,202,Sangmoon Bae,17,71,,,2646.0,
202,203,203,Rod Pampling,20,64,,,2653.0,
203,204,204,Bernhard Langer,2,57,,,2660.0,
204,205,205,Jerry Kelly,3,54,,,2663.0,
205,206,206,Brendon de Jonge,14,49,,1.0,2668.0,
206,207,207,Geoff Ogilvy,18,48,,,2669.0,
207,208,208,D.J. Trahan,8,46,,,2671.0,
208,209,209,Ernie Els,15,46,,,2671.0,
209,210,210,Davis Love III,12,45,,,2672.0,
210,211,211,Matt Atkins,21,44,,,2673.0,
211,212,212,George McNeill,10,42,,,2675.0,
212,213,213,Martin Kaymer,11,42,,,2675.0,
213,214,214,Luke Donald,9,42,,,2675.0,
214,215,215,Brandon Hagy,3,39,,,2678.0,
215,216,216,Steve Marino,6,36,,,2681.0,
216,217,217,Eric Axley,7,33,,,2684.0,
217,218,218,Ken Duke,15,33,,,2684.0,
218,219,219,Dicky Pride,11,30,,,2687.0,
219,220,220,Padraig Harrington,16,29,,,2688.0,
220,221,221,Troy Matteson,7,28,,,2689.0,
221,222,222,Jason Bohn,9,27,,,2690.0,
222,223,223,Tommy Gainey,10,26,,,2691.0,
223,224,224,John Senden,7,25,,,2692.0,
224,225,225,Heath Slocum,5,24,,,2693.0,
225,226,226,Vijay Singh,10,24,,,2693.0,
226,227,227,Zecheng Dou,23,21,,,2696.0,
227,228,228,Brian Davis,12,20,,,2697.0,
228,229,229,Seung-Yul Noh,1,19,,,2698.0,
229,230,230,Fred Couples,1,18,,,2699.0,
230,231,231,Andrew Yun,22,16,,,2701.0,
231,232,232,Colt Knost,10,13,,,2704.0,
232,233,233,Jim Herman,9,13,,,2704.0,
233,T234,T234,Ángel Cabrera,5,11,,,2706.0,
234,T234,T234,Derek Ernst,3,11,,,2706.0,
235,236,236,Kyle Thompson,22,10,,,2707.0,
236,237,237,Mark Wilson,11,9,,,2708.0,
237,238,238,Bob Estes,8,7,,,2710.0,
238,T239,T239,Charlie Beljan,9,7,,,2710.0,
239,T239,T239,Charlie Wi,6,7,,,2710.0,
240,241,241,Daniel Chopra,6,6,,,2711.0,
241,242,242,Kris Blanks,6,6,,,2711.0,
242,243,243,Rick Lamb,10,6,,,2711.0,
243,244,244,Omar Uresti,10,6,,,2711.0,
244,245,245,Andrew Johnston,2,5,,,2712.0,
245,246,246,John Daly,7,5,,,2712.0,
246,247,247,John Rollins,9,4,,,2713.0,
247,248,248,Cameron Beckman,6,4,,,2713.0,
248,249,249,Arjun Atwal,6,4,,,2713.0,
249,250,250,Robert Allenby,8,4,,,2713.0,
250,251,251,Paul Goydos,1,3,,,2714.0,
251,252,252,Chris Couch,5,3,,,2714.0,
252,T253,T253,Jay Don Blake,1,3,,,2714.0,
253,T253,T253,Michael Bradley,1,3,,,2714.0,
254,255,255,Olin Browne,1,3,,,2714.0,
255,256,256,Jonathan Kaye,3,2,,,2715.0,
256,T257,T257,Neal Lancaster,1,2,,,2715.0,
257,T257,T257,Shaun Micheel,4,2,,,2715.0,
258,259,259,Mike Weir,6,2,,,2715.0,
259,260,260,Trevor Immelman,2,1,,,2716.0,
