,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
59,60,60,Branden Grace,18,6.78,590,8700,,2.0
60,61,61,Stewart Cink,25,6.71,758,11300,,3.0
61,62,62,Hideki Matsuyama,21,6.64,607,9150,,2.0
62,63,63,Jimmy Walker,23,6.59,719,10900,,4.0
63,64,64,Adam Scott,21,6.49,623,9600,,2.0
64,65,65,Si Woo Kim,31,6.31,893,14150,,5.0
65,66,66,Chris Kirk,29,6.2,756,12200,,4.0
66,67,67,Matt Kuchar,24,6.12,679,11100,,4.0
67,68,68,"Ted Potter, Jr.",28,6.07,744,12250,1.0,1.0
68,69,69,J.B. Holmes,24,5.76,640,11100,,3.0
69,T70,T70,Whee Kim,30,5.7,764,13400,,3.0
70,T70,T70,Kevin Streelman,27,5.7,673,11800,,5.0
71,72,72,Ryan Palmer,22,5.68,500,8800,,2.0
72,73,73,Michael Kim,27,5.62,675,12000,1.0,1.0
73,74,74,Kevin Chappell,23,5.6,597,10650,,4.0
74,75,75,Joel Dahmen,28,5.58,676,12100,,3.0
75,76,76,Jason Dufner,22,5.57,557,10000,,2.0
76,77,77,Jason Kokrak,29,5.55,700,12600,,4.0
77,78,78,Charl Schwartzel,20,5.5,528,9600,,3.0
78,79,79,Adam Hadwin,25,5.48,638,11650,,3.0
79,80,80,Keith Mitchell,29,5.45,659,12100,,4.0
80,81,81,C.T. Pan,30,5.42,693,12800,,1.0
81,82,82,Troy Merritt,27,5.18,616,11900,1.0,3.0
82,83,83,James Hahn,26,5.16,596,11550,,1.0
83,84,84,Anirban Lahiri,24,5.11,555,10850,,4.0
84,85,85,Russell Henley,23,5.1,569,11150,,3.0
85,86,86,Daniel Berger,23,5.09,565,11100,,1.0
86,87,87,Bud Cauley,17,5.06,405,8000,,2.0
87,88,88,Peter Uihlein,26,5.01,593,11850,,4.0
88,89,89,Brice Garnett,30,4.99,634,12700,1.0,2.0
89,90,90,Trey Mullinax,24,4.8,528,11000,,3.0
90,91,91,Jamie Lovemark,26,4.76,576,12100,,3.0
91,92,92,Bernhard Langer,2,4.75,57,1200,,
92,93,93,Ollie Schniederjans,27,4.74,573,12100,,3.0
93,94,94,Russell Knox,27,4.73,585,12350,,3.0
94,95,95,J.T. Poston,22,4.57,448,9800,,2.0
95,96,96,Alex Cejka,24,4.56,502,11000,,2.0
96,97,97,Martin Laird,22,4.52,443,9800,,3.0
97,98,98,Andres Romero,6,4.51,104,2300,,1.0
98,T99,T99,Sergio Garcia,15,4.49,362,8050,,3.0
99,T99,T99,Steve Stricker,12,4.49,274,6100,,
100,T101,T101,Abraham Ancer,30,4.48,589,13150,,4.0
101,T101,T101,Kelly Kraft,31,4.48,627,14000,,3.0
102,103,103,Charley Hoffman,25,4.46,515,11550,,
103,104,104,Tom Hoge,31,4.37,594,13600,,3.0
104,105,105,Thomas Pieters,11,4.36,260,5950,,1.0
105,106,106,Grayson Murray,22,4.34,438,10100,,2.0
106,107,107,Kevin Tway,31,4.25,577,13600,,3.0
107,108,108,Rory Sabbatini,27,4.24,521,12300,,1.0
108,109,109,Nick Watney,26,4.23,491,11600,,1.0
109,110,110,Jim Furyk,15,4.21,291,6900,,2.0
110,111,111,Sean O'Hair,22,4.17,417,10000,,2.0
111,112,112,Bronson Burgoon,24,4.16,446,10700,,2.0
112,113,113,Vaughn Taylor,25,3.97,445,11200,,3.0
113,114,114,William McGirt,26,3.94,449,11400,,3.0
114,115,115,Sam Ryder,26,3.91,442,11300,,3.0
115,116,116,Brandon Harkins,30,3.88,528,13600,,3.0
116,117,117,Jerry Kelly,3,3.86,54,1400,,
117,118,118,Harold Varner III,27,3.82,474,12400,,3.0
118,119,119,Lucas Glover,18,3.75,324,8650,,1.0
119,120,120,Seung-Yul Noh,1,3.7,19,500,,
120,121,121,Patrick Rodgers,30,3.66,541,14800,,3.0
121,T122,T122,John Huh,29,3.61,480,13300,,2.0
122,T122,T122,Danny Lee,30,3.61,481,13300,,3.0
123,124,124,Sam Saunders,26,3.59,420,11700,,4.0
124,125,125,Scott Stallings,30,3.56,470,13200,,2.0
125,126,126,Sung Kang,29,3.53,480,13600,,2.0
126,127,127,Johnson Wagner,21,3.52,338,9600,,
127,128,128,Richy Werenski,32,3.48,498,14300,,2.0
128,129,129,David Hearn,21,3.47,315,9100,,2.0
129,130,130,Ryan Blaum,28,3.44,433,12600,,2.0
130,131,131,Michael Thompson,19,3.22,280,8700,,
131,132,132,Tyler Duncan,31,3.17,457,14400,,2.0
132,133,133,Shane Lowry,19,3.09,296,9600,,
133,134,134,Nick Taylor,30,3.07,420,13700,,2.0
134,135,135,Brian Stuard,32,3.03,421,13900,,3.0
135,136,136,Graeme McDowell,20,3.01,274,9100,,1.0
136,T137,T137,Brandon Hagy,3,3.0,39,1300,,
137,T137,T137,Seamus Power,28,3.0,377,12600,,2.0
138,139,139,Jhonattan Vegas,27,2.99,394,13200,,1.0
139,140,140,Fred Couples,1,2.93,18,600,,
140,141,141,Robert Garrigus,27,2.89,353,12200,,1.0
141,T142,T142,Scott Brown,32,2.83,422,14900,,2.0
142,T142,T142,Ben Martin,20,2.83,266,9400,,1.0
143,T144,T144,Corey Conners,28,2.8,353,12600,,1.0
144,T144,T144,Harris English,31,2.8,383,13700,,2.0
145,T146,T146,Retief Goosen,20,2.77,261,9400,,1.0
146,T146,T146,Martin Piller,28,2.77,371,13400,,2.0
147,148,148,Aaron Baddeley,27,2.76,342,12400,,1.0
148,149,149,Chad Campbell,28,2.75,361,13100,,2.0
149,150,150,Ben Crane,21,2.73,267,9800,,1.0
150,151,151,Cameron Percy,16,2.69,191,7100,,2.0
151,152,152,Denny McCarthy,22,2.59,267,10300,,1.0
152,T153,T153,Tom Lovelady,28,2.53,332,13100,,2.0
153,T153,T153,Tyrone Van Aswegen,31,2.53,364,14400,,1.0
154,155,155,Derek Fathauer,28,2.47,316,12800,,1.0
155,156,156,Ben Silverman,28,2.43,323,13300,,2.0
156,157,157,Hunter Mahan,21,2.42,234,9700,,1.0
157,158,158,Matt Jones,23,2.4,264,11000,,
158,T159,T159,Talor Gooch,27,2.37,308,13000,,
159,T159,T159,Hudson Swafford,22,2.37,245,10350,,
160,161,161,David Lingmerth,26,2.31,274,11900,,
161,162,162,Shawn Stefani,25,2.27,268,11800,,1.0
162,163,163,Nicholas Lindheim,26,2.21,272,12300,,1.0
163,164,164,Bill Haas,25,2.16,262,12150,,1.0
164,165,165,Nate Lashley,17,2.1,168,8000,,
165,T166,T166,Blayne Barber,22,2.0,202,10100,,
166,T166,T166,Wesley Bryan,23,2.0,219,10950,,
167,T168,T168,Dominic Bozzelli,20,1.98,190,9600,,
168,T168,T168,Chris Stroud,27,1.98,255,12900,,1.0
169,170,170,Parker McLachlin,11,1.97,92,4700,,
170,171,171,Zac Blair,20,1.94,176,9100,,
171,172,172,J.J. Henry,28,1.88,239,12700,,1.0
172,173,173,Adam Schenk,28,1.83,239,13100,,1.0
173,T174,T174,Ross Fisher,13,1.8,119,6600,,
174,T174,T174,Morgan Hoffmann,9,1.8,81,4500,,
175,176,176,K.J. Choi,14,1.77,110,6200,,1.0
176,T177,T177,Fabián Gómez,28,1.76,221,12600,,
177,T177,T177,Peter Malnati,28,1.76,226,12800,,
178,179,179,Stephan Jaeger,26,1.74,211,12100,,
179,180,180,John Merrick,11,1.73,79,4600,,
180,181,181,Mackenzie Hughes,28,1.72,227,13200,,1.0
181,182,182,Tim Herron,12,1.67,87,5200,,
182,T183,T183,Stuart Appleby,12,1.62,84,5200,,
183,T183,T183,Ricky Barnes,22,1.62,164,10100,,1.0
184,185,185,Martin Flores,29,1.6,215,13400,,
185,186,186,Jonas Blixt,23,1.54,167,10900,,
186,187,187,Brett Stegmaier,21,1.52,149,9800,,
187,188,188,Steve Wheatcroft,20,1.5,138,9200,,1.0
188,189,189,Greg Chalmers,20,1.48,133,9000,,1.0
189,190,190,Ethan Tracy,23,1.47,157,10700,,
190,191,191,Xinjun Zhang,28,1.46,195,13350,,1.0
191,T192,T192,Lanto Griffin,26,1.43,175,12200,,
192,T192,T192,D.J. Trahan,8,1.43,46,3200,,
193,194,194,Steve Marino,6,1.42,36,2500,,
194,195,195,Jonathan Randolph,25,1.41,166,11800,,1.0
195,196,196,D.A. Points,25,1.4,162,11600,,1.0
196,197,197,Heath Slocum,5,1.39,24,1700,,
197,198,198,Jonathan Byrd,24,1.38,147,10600,,
198,199,199,Camilo Villegas,14,1.28,90,7000,,
199,200,200,Cody Gribble,25,1.24,141,11400,,
200,201,201,Rob Oppenheim,26,1.23,148,12100,,
201,202,202,Robert Streb,29,1.15,155,13500,,1.0
202,T203,T203,Eric Axley,7,1.04,33,3200,,
203,T203,T203,Luke Donald,9,1.04,42,4000,,
204,205,205,Daniel Summerhays,19,1.03,89,8600,,1.0
205,206,206,George McNeill,10,1.0,42,4200,,
206,207,207,Conrad Shindler,20,0.99,92,9200,,
207,T208,T208,Jay Don Blake,1,0.98,3,300,,
208,T208,T208,Michael Bradley,1,0.98,3,300,,
209,210,210,Roberto Díaz,25,0.92,107,11600,,
210,211,211,Troy Matteson,7,0.9,28,3100,,
211,212,212,Davis Love III,12,0.89,45,5000,,
212,213,213,Derek Ernst,3,0.86,11,1300,,
213,214,214,Olin Browne,1,0.85,3,300,,
214,T215,T215,Sangmoon Bae,17,0.83,71,8500,,
215,T215,T215,Matt Every,30,0.83,113,13600,,1.0
216,T215,T215,John Senden,7,0.83,25,3000,,
217,218,218,Brendon de Jonge,14,0.81,49,6100,,1.0
218,219,219,Martin Kaymer,11,0.76,42,5500,,
219,220,220,Jason Bohn,9,0.74,27,3700,,
220,221,221,Cameron Tringale,26,0.72,88,12100,,
221,222,222,Smylie Kaufman,22,0.7,74,10500,,1.0
222,223,223,Rod Pampling,20,0.68,64,9400,,
223,224,224,Dicky Pride,11,0.63,30,4700,,
224,225,225,Paul Goydos,1,0.62,3,500,,
225,226,226,Tommy Gainey,10,0.61,26,4200,,
226,T227,T227,Billy Hurley III,27,0.6,73,12300,,
227,T227,T227,Neal Lancaster,1,0.6,2,300,,
228,229,229,Ernie Els,15,0.59,46,7700,,
229,230,230,Geoff Ogilvy,18,0.58,48,8200,,
230,231,231,Ángel Cabrera,5,0.51,11,2200,,
231,232,232,Ken Duke,15,0.49,33,6700,,
232,233,233,Andrew Johnston,2,0.47,5,1100,,
233,234,234,Matt Atkins,21,0.46,44,9600,,
234,235,235,Vijay Singh,10,0.45,24,5200,,
235,236,236,Brian Davis,12,0.38,20,5200,,
236,237,237,Padraig Harrington,16,0.37,29,7900,,
237,238,238,Colt Knost,10,0.3,13,4400,,
238,T239,T239,Jim Herman,9,0.29,13,4500,,
239,T239,T239,Charlie Wi,6,0.29,7,2300,,
240,241,241,Daniel Chopra,6,0.26,6,2400,,
241,242,242,Jonathan Kaye,3,0.25,2,900,,
242,243,243,Kris Blanks,6,0.22,6,2800,,
243,T244,T244,Bob Estes,8,0.2,7,3500,,
244,T244,T244,Mark Wilson,11,0.2,9,4700,,
245,246,246,Zecheng Dou,23,0.19,21,10850,,
246,T247,T247,Arjun Atwal,6,0.17,4,2200,,
247,T247,T247,Chris Couch,5,0.17,3,1800,,
248,T249,T249,Cameron Beckman,6,0.16,4,2400,,
249,T249,T249,Charlie Beljan,9,0.16,7,4100,,
250,T249,T249,Andrew Yun,22,0.16,16,10100,,
251,T252,T252,John Daly,7,0.15,5,3300,,
252,T252,T252,Trevor Immelman,2,0.15,1,900,,
253,254,254,Omar Uresti,10,0.13,6,4300,,
254,T255,T255,Robert Allenby,8,0.12,4,3200,,
255,T255,T255,Rick Lamb,10,0.12,6,4800,,
256,T255,T255,Shaun Micheel,4,0.12,2,1500,,
257,258,258,John Rollins,9,0.11,4,3600,,
258,259,259,Kyle Thompson,22,0.1,10,10100,,
259,260,260,Mike Weir,6,0.06,2,2700,,
