,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
38,39,39,Brett Wetterich,76,16.55,24,145
39,40,40,Lucas Glover,88,16.54,22,133
40,41,41,Carl Pettersson,109,16.47,28,170
41,42,42,Phillip Price,77,16.22,18,111
42,T43,T43,Kent Jones,99,16.2,23,142
43,T43,T43,Bo Van Pelt,112,16.2,29,179
44,45,45,Charles Howell III,95,16.18,28,173
45,46,46,Patrick Sheehan,114,16.07,27,168
46,47,47,Doug Barron,70,16.0,16,100
47,T48,T48,Briny Baird,98,15.94,22,138
48,T48,T48,Brent Geiberger,61,15.94,11,69
49,T48,T48,Jeff Maggert,79,15.94,11,69
50,T48,T48,Rod Pampling,89,15.94,22,138
51,52,52,Will MacKenzie,75,15.93,18,113
52,53,53,Aaron Baddeley,84,15.92,32,201
53,T54,T54,Marco Dawson,82,15.91,21,132
54,T54,T54,Kenny Perry,82,15.91,14,88
55,56,56,Gavin Coles,70,15.89,17,107
56,57,57,Peter Lonard,85,15.84,16,101
57,58,58,D.A. Points,94,15.83,19,120
58,59,59,Daniel Chopra,108,15.74,31,197
59,60,60,Michael Allen,90,15.7,27,172
60,61,61,Dean Wilson,86,15.67,21,134
61,62,62,Stuart Appleby,84,15.63,20,128
62,63,63,David Hearn,68,15.53,16,103
63,64,64,Tim Petrovic,97,15.38,28,182
64,65,65,Tom Pernice Jr.,111,15.34,27,176
65,66,66,Bob Tway,87,15.32,17,111
66,67,67,Tim Clark,92,15.31,15,98
67,68,68,Dennis Paulson,63,15.27,20,131
68,69,69,Scott McCarron,78,15.25,18,118
69,70,70,Kevin Sutherland,89,15.2,19,125
70,71,71,Jay Haas,54,15.15,10,66
71,72,72,Darron Stiles,78,15.13,18,119
72,73,73,Tom Gillis,77,15.09,16,106
73,74,74,Mark Wilson,74,15.05,14,93
74,75,75,Jeff Brehaut,71,15.0,15,100
75,76,76,Bob Estes,92,14.97,22,147
76,77,77,Dudley Hart,84,14.96,19,127
77,78,78,Scott Verplank,87,14.95,16,107
78,79,79,Hank Kuehne,84,14.88,25,168
79,80,80,Frank Lickliter II,100,14.65,23,157
80,81,81,José María Olazábal,55,14.61,13,89
81,82,82,Neal Lancaster,95,14.57,22,151
82,T83,T83,Ben Crane,78,14.56,23,158
83,T83,T83,Charles Warren,89,14.56,23,158
84,85,85,Carlos Franco,78,14.52,18,124
85,T86,T86,Joe Ogilvie,103,14.47,22,152
86,T86,T86,Nick Watney,91,14.47,23,159
87,T88,T88,Chris Anderson,66,14.29,15,105
88,T88,T88,Chris Smith,93,14.29,22,154
89,90,90,Robert Damron,89,14.15,15,106
90,91,91,Mike Weir,71,14.12,12,85
91,92,92,Heath Slocum,103,14.06,18,128
92,93,93,Rocco Mediate,73,13.97,19,136
93,94,94,Scott Hend,75,13.95,24,172
94,95,95,Richard Johnson,50,13.89,10,72
95,96,96,Rory Sabbatini,81,13.82,17,123
96,T97,T97,Paul Claxton,79,13.73,14,102
97,T97,T97,Glen Hnatiuk,59,13.73,14,102
98,T97,T97,David Toms,87,13.73,14,102
99,100,100,John Senden,101,13.7,20,146
100,101,101,Rob Rashell,65,13.68,16,117
101,102,102,Jonathan Kaye,77,13.59,14,103
102,103,103,Bradley Hughes,52,13.58,11,81
103,T104,T104,Tommy Armour III,103,13.51,20,148
104,T104,T104,Brian Davis,75,13.51,15,111
105,106,106,Zach Johnson,96,13.49,17,126
106,T107,T107,Brian Gay,101,13.33,16,120
107,T107,T107,Brandt Jobe,96,13.33,28,210
108,T107,T107,Hunter Mahan,103,13.33,22,165
109,T107,T107,Jesper Parnevik,84,13.33,16,120
110,T111,T111,Arron Oberholser,65,13.25,11,83
111,T111,T111,Chris Riley,67,13.25,11,83
112,113,113,Pat Perez,89,13.1,19,145
113,T114,T114,Craig Barlow,81,13.04,12,92
114,T114,T114,José Coceres,56,13.04,12,92
115,116,116,Kevin Stadler,96,12.98,17,131
116,117,117,Larry Mize,54,12.9,8,62
117,118,118,Harrison Frazar,105,12.88,21,163
118,119,119,Michael Long,72,12.84,14,109
119,120,120,Retief Goosen,71,12.82,10,78
120,121,121,Brad Faxon,75,12.8,16,125
121,122,122,Todd Hamilton,94,12.75,19,149
122,123,123,Stephen Leaney,89,12.73,14,110
123,124,124,John Daly,78,12.71,15,118
124,125,125,Bernhard Langer,67,12.66,10,79
125,126,126,Sean O'Hair,103,12.58,19,151
126,T127,T127,Jonathan Byrd,103,12.5,25,200
127,T127,T127,Andrew Magee,82,12.5,18,144
128,T127,T127,Greg Owen,84,12.5,17,136
129,T127,T127,Lee Westwood,50,12.5,8,64
130,131,131,Jason Allred,75,12.42,20,161
131,132,132,John Huston,90,12.41,17,137
132,133,133,Ian Poulter,62,12.35,10,81
133,T134,T134,Freddie Jacobson,72,12.28,14,114
134,T134,T134,Davis Love III,80,12.28,14,114
135,136,136,Corey Pavin,77,12.17,14,115
136,137,137,Brett Quigley,96,12.16,18,148
137,138,138,John Cook,72,11.96,11,92
138,T139,T139,Adam Scott,72,11.86,14,118
139,T139,T139,Charlie Wi,67,11.86,14,118
140,141,141,Todd Fischer,99,11.84,18,152
141,T142,T142,Olin Browne,99,11.83,11,93
142,T142,T142,J.P. Hayes,63,11.83,11,93
143,144,144,Craig Perks,67,11.82,13,110
144,T145,T145,Chad Campbell,95,11.81,15,127
145,T145,T145,John Rollins,97,11.81,17,144
146,T147,T147,Steve Elkington,67,11.76,12,102
147,T147,T147,Mark Hensby,70,11.76,8,68
148,T147,T147,Skip Kendall,80,11.76,10,85
149,150,150,Vaughn Taylor,99,11.72,17,145
150,151,151,Joey Sindelar,104,11.56,20,173
151,152,152,Mark Brooks,72,11.36,10,88
152,153,153,Bob Heintz,67,11.3,13,115
153,154,154,Jeff Hart,63,11.29,7,62
154,155,155,Padraig Harrington,50,11.25,9,80
155,156,156,Woody Austin,100,11.17,20,179
156,T157,T157,Jason Bohn,91,11.11,16,144
157,T157,T157,Tom Byrum,83,11.11,13,117
158,T157,T157,Luke Donald,67,11.11,7,63
159,T157,T157,Shaun Micheel,81,11.11,12,108
160,161,161,J.J. Henry,102,11.04,17,154
161,162,162,Jeff Sluman,94,11.02,13,118
162,163,163,Hideto Tanihara,50,10.99,10,91
163,164,164,Len Mattiace,86,10.76,17,158
164,165,165,Alex Cejka,84,10.71,9,84
165,166,166,Shigeki Maruyama,99,10.69,17,159
166,167,167,Omar Uresti,84,10.68,11,103
167,T168,T168,Cameron Beckman,96,10.66,13,122
168,T168,T168,Stewart Cink,98,10.66,13,122
169,170,170,Steve Flesch,90,10.64,10,94
170,171,171,Matt Kuchar,60,10.45,7,67
171,172,172,Brian Bateman,98,10.29,14,136
172,T173,T173,Paul Gow,78,10.08,13,129
173,T173,T173,Tjaart van der Walt,56,10.08,12,119
174,175,175,Robert Gamez,91,10.0,14,140
175,176,176,Thomas Levet,54,9.84,6,61
176,177,177,Billy Andrade,83,9.77,13,133
177,178,178,Brendan Jones,81,9.74,15,154
178,T179,T179,Bart Bryant,91,9.73,11,113
179,T179,T179,J.L. Lewis,98,9.73,11,113
180,181,181,Robert Allenby,95,9.6,12,125
181,182,182,K.J. Choi,78,9.57,9,94
182,183,183,Matt Davidson,53,9.52,8,84
183,184,184,Chris DiMarco,83,9.48,11,116
184,185,185,Jerry Kelly,101,9.17,11,120
185,186,186,Duffy Waldorf,86,8.43,7,83
186,187,187,Jay Williamson,53,8.22,6,73
187,188,188,Justin Leonard,78,8.14,7,86
188,189,189,Bill Glasson,54,8.11,6,74
189,190,190,Lee Janzen,75,8.0,8,100
190,191,191,Matt Gogel,78,7.96,9,113
191,192,192,James Driscoll,73,7.91,11,139
192,T193,T193,Mark O'Meara,66,7.61,7,92
193,T193,T193,Loren Roberts,54,7.61,7,92
194,195,195,Ben Curtis,65,7.59,6,79
195,196,196,Steve Jones,56,7.23,6,83
196,197,197,Justin Bolli,65,6.48,7,108
197,198,198,Tom Lehman,69,6.42,7,109
198,199,199,Jim Carter,62,6.25,5,80
199,T200,T200,Stephen Ames,82,5.05,5,99
200,T200,T200,Fred Funk,102,5.05,5,99
201,202,202,Jim Furyk,94,4.2,5,119
