,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
169,170,170,Mike Weir,71,18.18,216,1188,171
170,171,171,Ian Poulter,62,18.15,183,1008,172
171,172,172,Shaun Micheel,81,18.14,258,1422,100
172,173,173,Alex Cejka,84,18.11,264,1458,95
173,174,174,Michael Long,72,18.1,228,1260,111
174,175,175,Paul Claxton,79,18.07,257,1422,110
175,176,176,Tom Byrum,83,18.01,269,1494,105
176,177,177,D.J. Brigman,76,17.98,233,1296,138
177,178,178,Dennis Paulson,63,17.9,203,1134,164
178,179,179,Matt Kuchar,60,17.69,191,1080,150
179,180,180,Larry Mize,54,17.67,159,900,165
180,181,181,Rich Beem,66,17.65,197,1116,143
181,182,182,Jason Allred,75,17.58,231,1314,198
182,183,183,Brent Geiberger,61,17.42,185,1062,141
183,184,184,Bradley Hughes,52,17.41,163,936,107
184,185,185,Fred Funk,102,17.27,314,1818,68
185,186,186,Matt Davidson,53,17.19,164,954,192
186,187,187,Skip Kendall,80,17.17,241,1404,153
187,188,188,Danny Briggs,70,17.16,210,1224,133
188,189,189,Franklin Langham,91,17.05,267,1566,158
189,190,190,Bill Glasson,54,16.99,159,936,118
190,191,191,Hideto Tanihara,50,16.9,146,864,187
191,192,192,Craig Perks,67,16.75,196,1170,167
192,T193,T193,Jeff Hart,63,16.67,183,1098,160
193,T193,T193,Thomas Levet,54,16.67,159,954,179
194,T195,T195,Rob Rashell,65,16.58,194,1170,200
195,T195,T195,Chris Riley,67,16.58,191,1152,199
196,197,197,Mark Brooks,72,16.51,214,1296,197
197,T198,T198,Ben Curtis,65,16.41,192,1170,175
198,T198,T198,Mark O'Meara,66,16.41,195,1188,196
199,200,200,Len Mattiace,86,16.34,247,1512,202
200,201,201,Steve Jones,56,14.71,143,972,182
201,202,202,Jim Carter,62,14.63,158,1080,176
