,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
105,T105,T105,D.J. Trahan,71.1,3697,52
106,107,107,Brian Bateman,71.11,4551,64
107,108,108,Joe Durant,71.12,3698,52
108,T109,T109,Stephen Ames,71.13,3272,46
109,T109,T109,Aaron Baddeley,71.13,3841,54
110,T109,T109,Cameron Beckman,71.13,4410,62
111,T109,T109,Gavin Coles,71.13,3201,45
112,113,113,Rod Pampling,71.15,3415,48
113,114,114,Fred Couples,71.16,3060,43
114,T115,T115,Carlos Franco,71.17,3416,48
115,T115,T115,John Huston,71.17,4199,59
116,117,117,Tom Byrum,71.18,3915,55
117,118,118,Kirk Triplett,71.19,2563,36
118,T119,T119,Robert Damron,71.2,4201,59
119,T119,T119,Hunter Haas,71.2,3916,55
120,T121,T121,Todd Fischer,71.22,4914,69
121,T121,T121,Neal Lancaster,71.22,4487,63
122,T121,T121,Omar Uresti,71.22,3917,55
123,124,124,Brian Gay,71.23,4630,65
124,125,125,Mark Wilson,71.24,3491,49
125,T126,T126,Jonathan Kaye,71.27,3136,44
126,T126,T126,Will MacKenzie,71.27,3492,49
127,T128,T128,Paul Gow,71.28,3564,50
128,T128,T128,Brett Wetterich,71.28,3849,54
129,130,130,Brendan Jones,71.3,3850,54
130,T131,T131,Glen Day,71.31,3708,52
131,T131,T131,David Hearn,71.31,3494,49
132,T131,T131,Frank Lickliter II,71.31,4421,62
133,T131,T131,John Rollins,71.31,4207,59
134,T135,T135,Brent Geiberger,71.37,2926,41
135,T135,T135,Jay Williamson,71.37,2498,35
136,T137,T137,John Daly,71.39,3498,49
137,T137,T137,Freddie Jacobson,71.39,3284,46
138,T139,T139,Michael Allen,71.4,4427,62
139,T139,T139,Brad Faxon,71.4,3356,47
140,T139,T139,Lee Janzen,71.4,3784,53
141,T139,T139,Scott McCarron,71.4,3356,47
142,T143,T143,Bill Glasson,71.45,2715,38
143,T143,T143,Mark Hensby,71.45,2715,38
144,145,145,Padraig Harrington,71.46,2001,28
145,146,146,Alex Cejka,71.5,4147,58
146,147,147,Michael Long,71.51,3647,51
147,T148,T148,Doug Barron,71.54,3434,48
148,T148,T148,Tim Petrovic,71.54,4650,65
149,150,150,Steve Lowery,71.58,4581,64
150,T151,T151,Jay Haas,71.59,2291,32
151,T151,T151,Roland Thatcher,71.59,3508,49
152,153,153,Rory Sabbatini,71.6,3580,50
153,154,154,Kevin Na,71.62,4154,58
154,155,155,Charles Warren,71.64,4370,61
155,T156,T156,Steve Allan,71.67,4587,64
156,T156,T156,Steve Flesch,71.67,4085,57
157,T156,T156,Tom Gillis,71.67,3942,55
158,159,159,Mark O'Meara,71.69,3226,45
159,T160,T160,John Cook,71.71,3729,52
160,T160,T160,Todd Hamilton,71.71,4231,59
161,T160,T160,Shaun Micheel,71.71,4159,58
162,T160,T160,Tjaart van der Walt,71.71,2725,38
163,164,164,Larry Mize,71.74,2511,35
164,T165,T165,Chris Anderson,71.77,3445,48
165,T165,T165,Ian Poulter,71.77,2799,39
166,167,167,Matt Gogel,71.79,4092,57
167,168,168,Paul Azinger,71.8,3303,46
168,169,169,Kevin Stadler,71.81,4811,67
169,170,170,Matt Kuchar,71.84,3089,43
170,T171,T171,Bob Heintz,71.86,3521,49
171,T171,T171,Skip Kendall,71.86,4599,64
172,173,173,D.A. Points,71.88,4672,65
173,174,174,Mike Weir,71.89,3235,45
174,175,175,Glen Hnatiuk,71.9,3020,42
175,176,176,Andrew Magee,71.91,4099,57
176,177,177,James Driscoll,71.92,3668,51
177,178,178,Justin Bolli,71.96,3382,47
178,T179,T179,Paul Claxton,71.98,4319,60
179,T179,T179,Franklin Langham,71.98,4463,62
180,181,181,Mark Brooks,72.04,3962,55
181,182,182,D.J. Brigman,72.08,3676,51
182,183,183,José Coceres,72.1,3028,42
183,184,184,Hank Kuehne,72.12,4183,58
184,185,185,Chris Riley,72.13,3462,48
185,T186,T186,Jeff Hart,72.18,3176,44
186,T186,T186,Bradley Hughes,72.18,2887,40
187,T188,T188,Danny Briggs,72.19,3898,54
188,T188,T188,Jim Carter,72.19,3465,48
189,190,190,Steve Jones,72.23,2889,40
190,191,191,Scott Hend,72.25,3974,55
191,192,192,Dennis Paulson,72.44,3477,48
192,193,193,Hideto Tanihara,72.51,2828,39
193,194,194,Rob Rashell,72.53,3844,53
194,195,195,Len Mattiace,72.6,4864,67
195,196,196,Jason Allred,72.66,4287,59
196,197,197,Ben Curtis,72.68,3634,50
197,T198,T198,Rich Beem,72.8,3713,51
198,T198,T198,Matt Davidson,72.8,2985,41
199,200,200,John Elliott,72.83,3423,47
200,201,201,Thomas Levet,72.97,2700,37
201,202,202,Craig Perks,73.04,3871,53
