,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
47,48,48,Kenny Perry,23,2.58,206,80
48,T49,T49,Tommy Armour III,29,2.59,267,103
49,T49,T49,Bart Bryant,26,2.59,236,91
50,T49,T49,Bo Van Pelt,33,2.59,290,112
51,T52,T52,Briny Baird,33,2.6,250,96
52,T52,T52,Jason Bohn,28,2.6,237,91
53,T52,T52,Bob Estes,25,2.6,239,92
54,T52,T52,Tim Herron,28,2.6,257,99
55,T52,T52,Matt Kuchar,21,2.6,156,60
56,T57,T57,Chad Campbell,27,2.61,240,92
57,T57,T57,Tim Petrovic,32,2.61,243,93
58,T57,T57,David Toms,25,2.61,201,77
59,T60,T60,Ryuji Imada,25,2.62,204,78
60,T60,T60,Tom Pernice Jr.,32,2.62,280,107
61,T60,T60,Scott Verplank,25,2.62,225,86
62,T63,T63,Stuart Appleby,25,2.63,210,80
63,T63,T63,Joe Durant,25,2.63,213,81
64,T63,T63,Bob Heintz,24,2.63,176,67
65,T63,T63,J.J. Henry,32,2.63,263,100
66,T63,T63,Brendan Jones,28,2.63,208,79
67,T63,T63,Geoff Ogilvy,26,2.63,245,93
68,T63,T63,Corey Pavin,23,2.63,192,73
69,T63,T63,Hidemichi Tanaka,34,2.63,268,102
70,T63,T63,Mario Tiziani,23,2.63,171,65
71,72,72,Sean O'Hair,29,2.64,261,99
72,T73,T73,Neal Lancaster,31,2.65,252,95
73,T73,T73,Justin Leonard,24,2.65,199,75
74,T75,T75,Gavin Coles,22,2.66,186,70
75,T75,T75,Greg Owen,24,2.66,213,80
76,77,77,Scott Gutschewski,27,2.67,219,82
77,T78,T78,José Coceres,22,2.69,145,54
78,T78,T78,Tag Ridings,31,2.69,245,91
79,T78,T78,Brett Wetterich,28,2.69,199,74
80,T81,T81,K.J. Choi,24,2.7,197,73
81,T81,T81,Retief Goosen,18,2.7,165,61
82,T81,T81,Jonathan Kaye,24,2.7,200,74
83,84,84,Carlos Franco,25,2.71,206,76
84,T85,T85,Tim Clark,26,2.72,237,87
85,T85,T85,Mathias Grönberg,19,2.72,158,58
86,T85,T85,Jesper Parnevik,24,2.72,223,82
87,T85,T85,D.A. Points,33,2.72,245,90
88,T89,T89,Charles Howell III,29,2.73,246,90
89,T89,T89,Roland Thatcher,26,2.73,199,73
90,T89,T89,Omar Uresti,27,2.73,229,84
91,T92,T92,Robert Allenby,31,2.74,244,89
92,T92,T92,Aaron Baddeley,27,2.74,225,82
93,T94,T94,James Driscoll,26,2.75,195,71
94,T94,T94,Will MacKenzie,25,2.75,201,73
95,T96,T96,Glen Hnatiuk,21,2.76,152,55
96,T96,T96,Kevin Stadler,33,2.76,254,92
97,T98,T98,Ben Crane,21,2.77,205,74
98,T98,T98,J.L. Lewis,30,2.77,271,98
99,T98,T98,Rocco Mediate,24,2.77,202,73
100,T98,T98,Charlie Wi,23,2.77,180,65
101,T102,T102,Robert Gamez,28,2.78,253,91
102,T102,T102,Stephen Leaney,29,2.78,239,86
103,T102,T102,Hunter Mahan,34,2.78,281,101
104,T102,T102,Adam Scott,19,2.78,189,68
105,T106,T106,Brian Davis,23,2.79,209,75
106,T106,T106,Tom Lehman,20,2.79,187,67
107,T106,T106,Frank Lickliter II,33,2.79,268,96
108,T106,T106,Joe Ogilvie,30,2.79,276,99
109,T110,T110,Jonathan Byrd,31,2.8,277,99
110,T110,T110,Tom Byrum,27,2.8,232,83
111,T110,T110,Matt Gogel,28,2.8,213,76
112,T110,T110,Hunter Haas,28,2.8,221,79
113,T110,T110,Kevin Na,32,2.8,241,86
114,T110,T110,Patrick Sheehan,35,2.8,308,110
115,T116,T116,Stephen Ames,24,2.81,222,79
116,T116,T116,Ryan Palmer,32,2.81,273,97
117,T116,T116,Joey Snyder III,31,2.81,275,98
118,T119,T119,Craig Barlow,26,2.82,217,77
119,T119,T119,Steve Lowery,32,2.82,271,96
120,T121,T121,Mark Calcavecchia,27,2.83,255,90
121,T121,T121,Freddie Jacobson,23,2.83,201,71
122,T121,T121,Rod Pampling,26,2.83,238,84
123,T121,T121,Vaughn Taylor,32,2.83,280,99
124,T125,T125,Lee Janzen,26,2.84,207,73
125,T125,T125,Kent Jones,32,2.84,275,97
126,T125,T125,Brenden Pappas,15,2.84,145,51
127,T128,T128,Arjun Atwal,17,2.85,185,65
128,T128,T128,Cameron Beckman,31,2.85,262,92
129,T128,T128,Brad Faxon,23,2.85,202,71
130,T128,T128,Bill Glasson,21,2.85,148,52
131,T128,T128,Duffy Waldorf,28,2.85,234,82
132,T133,T133,Billy Andrade,26,2.86,237,83
133,T133,T133,Brent Geiberger,21,2.86,169,59
134,135,135,Fred Couples,22,2.87,195,68
135,T136,T136,Paul Gow,27,2.88,213,74
136,T136,T136,David Hearn,24,2.88,196,68
137,T136,T136,John Huston,31,2.88,248,86
138,T136,T136,Brandt Jobe,27,2.88,265,92
139,T136,T136,John Rollins,30,2.88,274,95
140,T136,T136,Tjaart van der Walt,19,2.88,161,56
141,T142,T142,Woody Austin,30,2.89,289,100
142,T142,T142,J.P. Hayes,22,2.89,182,63
143,144,144,Bernhard Langer,19,2.9,194,67
144,T145,T145,Tom Gillis,28,2.91,218,75
145,T145,T145,Jeff Maggert,25,2.91,215,74
146,T145,T145,Mark O'Meara,21,2.91,192,66
147,T145,T145,Charles Warren,31,2.91,253,87
148,T149,T149,Larry Mize,18,2.92,146,50
149,T149,T149,Chris Smith,32,2.92,272,93
150,T149,T149,D.J. Trahan,28,2.92,225,77
151,152,152,Robert Damron,28,2.93,261,89
152,153,153,Paul Azinger,22,2.94,194,66
153,154,154,Michael Allen,30,2.96,266,90
154,155,155,Todd Fischer,35,2.98,289,97
155,156,156,Brian Bateman,32,2.99,281,94
156,T157,T157,Mark Brooks,28,3.01,217,72
157,T157,T157,Alex Cejka,31,3.01,244,81
158,T157,T157,Skip Kendall,32,3.01,235,78
159,T157,T157,Shaun Micheel,29,3.01,238,79
160,T161,T161,Justin Bolli,24,3.02,190,63
161,T161,T161,Bradley Hughes,20,3.02,157,52
162,T161,T161,Lee Westwood,15,3.02,145,48
163,164,164,Peter Lonard,27,3.04,255,84
164,T165,T165,Jeff Hart,23,3.05,186,61
165,T165,T165,Franklin Langham,31,3.05,265,87
166,T165,T165,Mike Weir,23,3.05,201,66
167,T168,T168,Paul Claxton,29,3.06,242,79
168,T168,T168,Ben Curtis,24,3.06,199,65
169,T170,T170,Todd Hamilton,31,3.08,280,91
170,T170,T170,Ted Purdy,34,3.08,376,122
171,T170,T170,Rory Sabbatini,26,3.08,240,78
172,173,173,Glen Day,27,3.09,241,78
173,T174,T174,Michael Long,26,3.1,217,70
174,T174,T174,Andrew Magee,29,3.1,242,78
175,T176,T176,Steve Allan,32,3.11,305,98
176,T176,T176,John Daly,25,3.11,236,76
177,T176,T176,Hank Kuehne,30,3.11,249,80
178,179,179,Scott McCarron,24,3.12,231,74
179,180,180,Danny Briggs,29,3.13,213,68
180,181,181,Chris Riley,25,3.14,201,64
181,182,182,Jay Haas,16,3.16,161,51
182,T183,T183,Steve Flesch,30,3.19,271,85
183,T183,T183,Steve Jones,20,3.19,172,54
184,T185,T185,Len Mattiace,34,3.21,270,84
185,T185,T185,Ian Poulter,20,3.21,180,56
186,187,187,Jim Carter,25,3.22,193,60
187,T188,T188,Chris Anderson,25,3.23,200,62
188,T188,T188,Padraig Harrington,15,3.23,155,48
189,T188,T188,Scott Hend,28,3.23,236,73
190,191,191,Mark Hensby,21,3.24,220,68
191,192,192,Hideto Tanihara,20,3.25,156,48
192,193,193,Rob Rashell,25,3.28,213,65
193,T194,T194,Rich Beem,26,3.29,204,62
194,T194,T194,John Cook,26,3.29,230,70
195,196,196,Dennis Paulson,24,3.32,209,63
196,197,197,John Elliott,25,3.48,195,56
197,198,198,Jason Allred,29,3.52,257,73
198,199,199,Matt Davidson,20,3.53,187,53
199,200,200,D.J. Brigman,26,3.57,257,72
200,201,201,Thomas Levet,20,3.68,195,53
201,202,202,Craig Perks,27,3.69,240,65
