,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
112,T112,T112,Charles Howell III,95,19.69,319,1620
113,114,114,Joe Durant,81,19.68,287,1458
114,115,115,Kevin Sutherland,89,19.67,308,1566
115,116,116,Kirk Triplett,55,19.66,184,936
116,117,117,Todd Fischer,99,19.64,343,1746
117,118,118,J.J. Henry,102,19.56,352,1800
118,T119,T119,Carlos Franco,78,19.52,267,1368
119,T119,T119,Scott McCarron,78,19.52,260,1332
120,121,121,Steve Allan,102,19.5,344,1764
121,122,122,Brendan Jones,81,19.48,277,1422
122,T123,T123,Luke Donald,67,19.44,210,1080
123,T123,T123,Bob Estes,92,19.44,322,1656
124,T123,T123,Padraig Harrington,50,19.44,168,864
125,T123,T123,Stephen Leaney,89,19.44,301,1548
126,T127,T127,Lee Janzen,75,19.41,255,1314
127,T127,T127,Rocco Mediate,73,19.41,255,1314
128,129,129,Arron Oberholser,65,19.4,220,1134
129,130,130,David Hearn,68,19.36,237,1224
130,131,131,Roland Thatcher,75,19.33,254,1314
131,132,132,Kevin Na,88,19.32,299,1548
132,133,133,Jesper Parnevik,84,19.31,285,1476
133,134,134,Jerry Kelly,101,19.25,343,1782
134,135,135,Tom Lehman,69,19.24,232,1206
135,136,136,Todd Hamilton,94,19.23,315,1638
136,137,137,Justin Bolli,65,19.22,218,1134
137,T138,T138,Gavin Coles,70,19.21,242,1260
138,T138,T138,Jeff Sluman,94,19.21,325,1692
139,140,140,D.A. Points,94,19.2,311,1620
140,T141,T141,Peter Lonard,85,19.18,290,1512
141,T141,T141,Corey Pavin,77,19.18,252,1314
142,T141,T141,Loren Roberts,54,19.18,183,954
143,144,144,Freddie Jacobson,72,19.17,245,1278
144,145,145,Charlie Wi,67,19.15,224,1170
145,146,146,Tjaart van der Walt,56,19.05,192,1008
146,147,147,Paul Gow,78,18.99,253,1332
147,148,148,Tim Petrovic,97,18.94,317,1674
148,149,149,José Coceres,56,18.93,184,972
149,150,150,Mario Tiziani,67,18.89,221,1170
150,T151,T151,Glen Day,80,18.87,265,1404
151,T151,T151,Andrew Magee,82,18.87,265,1404
152,153,153,Stephen Ames,82,18.85,268,1422
153,154,154,Tom Gillis,77,18.81,254,1350
154,155,155,Bernhard Langer,67,18.74,226,1206
155,156,156,Chris Anderson,66,18.73,209,1116
156,157,157,Glen Hnatiuk,59,18.69,185,990
157,T158,T158,Tommy Armour III,103,18.66,346,1854
158,T158,T158,Jay Williamson,53,18.66,178,954
159,T160,T160,John Cook,72,18.65,235,1260
160,T160,T160,John Elliott,58,18.65,188,1008
161,162,162,Brian Gay,101,18.57,331,1782
162,163,163,James Driscoll,73,18.54,237,1278
163,T164,T164,Jay Haas,54,18.52,170,918
164,T164,T164,Lee Westwood,50,18.52,160,864
165,166,166,Steve Elkington,67,18.49,223,1206
166,167,167,Steve Flesch,90,18.3,280,1530
167,168,168,Matt Gogel,78,18.27,250,1368
168,169,169,Robert Damron,89,18.23,292,1602
169,170,170,Mike Weir,71,18.18,216,1188
170,171,171,Ian Poulter,62,18.15,183,1008
171,172,172,Shaun Micheel,81,18.14,258,1422
172,173,173,Alex Cejka,84,18.11,264,1458
173,174,174,Michael Long,72,18.1,228,1260
174,175,175,Paul Claxton,79,18.07,257,1422
175,176,176,Tom Byrum,83,18.01,269,1494
176,177,177,D.J. Brigman,76,17.98,233,1296
177,178,178,Dennis Paulson,63,17.9,203,1134
178,179,179,Matt Kuchar,60,17.69,191,1080
179,180,180,Larry Mize,54,17.67,159,900
180,181,181,Rich Beem,66,17.65,197,1116
181,182,182,Jason Allred,75,17.58,231,1314
182,183,183,Brent Geiberger,61,17.42,185,1062
183,184,184,Bradley Hughes,52,17.41,163,936
184,185,185,Fred Funk,102,17.27,314,1818
185,186,186,Matt Davidson,53,17.19,164,954
186,187,187,Skip Kendall,80,17.17,241,1404
187,188,188,Danny Briggs,70,17.16,210,1224
188,189,189,Franklin Langham,91,17.05,267,1566
189,190,190,Bill Glasson,54,16.99,159,936
190,191,191,Hideto Tanihara,50,16.9,146,864
191,192,192,Craig Perks,67,16.75,196,1170
192,T193,T193,Jeff Hart,63,16.67,183,1098
193,T193,T193,Thomas Levet,54,16.67,159,954
194,T195,T195,Rob Rashell,65,16.58,194,1170
195,T195,T195,Chris Riley,67,16.58,191,1152
196,197,197,Mark Brooks,72,16.51,214,1296
197,T198,T198,Ben Curtis,65,16.41,192,1170
198,T198,T198,Mark O'Meara,66,16.41,195,1188
199,200,200,Len Mattiace,86,16.34,247,1512
200,201,201,Steve Jones,56,14.71,143,972
201,202,202,Jim Carter,62,14.63,158,1080
