,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
111,T111,T111,D.J. Trahan,81,71.31,927,13
112,T113,T113,Rory Sabbatini,81,71.33,642,9
113,T113,T113,Adam Scott,72,71.33,428,6
114,115,115,Charles Warren,89,71.36,1570,22
115,116,116,Mark Wilson,74,71.38,1142,16
116,T117,T117,Joe Ogilvie,103,71.4,1071,15
117,T117,T117,Mike Weir,71,71.4,1071,15
118,119,119,Chris Smith,93,71.42,1357,19
119,T120,T120,Cameron Beckman,96,71.44,1786,25
120,T120,T120,Glen Day,80,71.44,1286,18
121,T120,T120,Tom Gillis,77,71.44,1286,18
122,T120,T120,Hank Kuehne,84,71.44,1286,18
123,T120,T120,Jeff Maggert,79,71.44,1143,16
124,125,125,Michael Allen,90,71.46,929,13
125,126,126,Carlos Franco,78,71.47,1215,17
126,T127,T127,Frank Lickliter II,100,71.53,1359,19
127,T127,T127,Andrew Magee,82,71.53,1359,19
128,129,129,Freddie Jacobson,72,71.54,930,13
129,130,130,Rocco Mediate,73,71.56,644,9
130,131,131,Tjaart van der Walt,56,71.57,1002,14
131,132,132,James Driscoll,73,71.58,1360,19
132,133,133,Larry Mize,54,71.6,716,10
133,134,134,Robert Gamez,91,71.63,1361,19
134,135,135,John Rollins,97,71.64,1003,14
135,136,136,Omar Uresti,84,71.65,1218,17
136,T137,T137,D.J. Brigman,76,71.67,860,12
137,T137,T137,Shigeki Maruyama,99,71.67,860,12
138,T137,T137,Greg Owen,84,71.67,1505,21
139,140,140,Steve Lowery,100,71.68,1577,22
140,141,141,Tom Byrum,83,71.69,1147,16
141,142,142,Kent Jones,99,71.7,1649,23
142,143,143,Jeff Hart,63,71.71,1219,17
143,144,144,Kevin Stadler,96,71.72,1291,18
144,145,145,Brian Bateman,98,71.73,1578,22
145,146,146,Franklin Langham,91,71.74,1363,19
146,147,147,Steve Jones,56,71.77,933,13
147,148,148,Bob Tway,87,71.79,1005,14
148,T149,T149,John Cook,72,71.8,718,10
149,T149,T149,Matt Kuchar,60,71.8,718,10
150,151,151,Daniel Chopra,108,71.81,1508,21
151,152,152,Peter Lonard,85,71.82,1221,17
152,153,153,Glen Hnatiuk,59,71.83,862,12
153,154,154,Shaun Micheel,81,71.85,934,13
154,155,155,David Toms,87,71.86,503,7
155,156,156,Mark Brooks,72,71.88,1222,17
156,157,157,Jay Haas,54,71.9,719,10
157,158,158,Ted Purdy,122,71.91,1582,22
158,T159,T159,Chris Anderson,66,71.94,1223,17
159,T159,T159,Hunter Mahan,103,71.94,1295,18
160,T161,T161,Hunter Haas,83,72.0,792,11
161,T161,T161,Rob Rashell,65,72.0,1008,14
162,T163,T163,Scott McCarron,78,72.08,865,12
163,T163,T163,Chris Riley,67,72.08,937,13
164,165,165,Mark Hensby,70,72.11,649,9
165,166,166,Michael Long,72,72.13,1082,15
166,167,167,Bradley Hughes,52,72.14,1010,14
167,T168,T168,Doug Barron,70,72.18,794,11
168,T168,T168,Tom Lehman,69,72.18,1227,17
169,T168,T168,Charlie Wi,67,72.18,794,11
170,171,171,Brad Faxon,75,72.22,650,9
171,172,172,Len Mattiace,86,72.26,1373,19
172,173,173,José Coceres,56,72.31,1157,16
173,174,174,Dennis Paulson,63,72.33,651,9
174,175,175,Todd Hamilton,94,72.36,796,11
175,176,176,Will MacKenzie,75,72.38,941,13
176,T177,T177,Danny Briggs,70,72.42,869,12
177,T177,T177,Paul Gow,78,72.42,869,12
178,179,179,Alex Cejka,84,72.43,1014,14
179,T180,T180,Bob Heintz,67,72.5,1450,20
180,T180,T180,Skip Kendall,80,72.5,1160,16
181,182,182,Craig Perks,67,72.53,1378,19
182,183,183,Paul Claxton,79,72.63,1162,16
183,T184,T184,Hideto Tanihara,50,72.67,654,9
184,T184,T184,Roland Thatcher,75,72.67,1090,15
185,T184,T184,Tiger Woods,76,72.67,436,6
186,T187,T187,Jim Carter,62,72.69,945,13
187,T187,T187,John Elliott,58,72.69,945,13
188,189,189,J.P. Hayes,63,72.71,1018,14
189,190,190,Craig Barlow,81,72.73,800,11
190,191,191,Ben Curtis,65,72.77,946,13
191,T192,T192,Bart Bryant,91,72.86,1020,14
192,T192,T192,Ryuji Imada,78,72.86,1020,14
193,T194,T194,Jason Allred,75,72.94,1240,17
194,T194,T194,Matt Davidson,53,72.94,1167,16
195,196,196,Rich Beem,66,73.08,950,13
196,197,197,Mark O'Meara,66,73.23,952,13
197,198,198,Steve Flesch,90,73.53,1250,17
198,199,199,Brett Wetterich,76,73.6,736,10
199,200,200,John Daly,78,73.67,1105,15
200,201,201,Padraig Harrington,50,73.71,516,7
201,202,202,Scott Hend,75,75.0,975,13
