,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
55,T55,T55,Corey Pavin,77,70.81,5169,73
56,57,57,Stuart Appleby,84,70.83,5666,80
57,58,58,Phillip Price,77,70.84,5171,73
58,T59,T59,Sean O'Hair,103,70.85,7014,99
59,T59,T59,Brett Quigley,96,70.85,6518,92
60,61,61,Omar Uresti,84,70.86,5952,84
61,62,62,Adam Scott,72,70.87,4819,68
62,T63,T63,Robert Allenby,95,70.89,6309,89
63,T63,T63,Fred Funk,102,70.89,7160,101
64,T63,T63,Hidemichi Tanaka,106,70.89,7231,102
65,66,66,Ryuji Imada,78,70.92,5532,78
66,67,67,Stephen Leaney,89,70.93,6100,86
67,T68,T68,Woody Austin,100,70.94,7094,100
68,T68,T68,Fred Couples,72,70.94,4824,68
69,T68,T68,Brad Faxon,75,70.94,5037,71
70,T68,T68,Lucas Glover,88,70.94,6101,86
71,T68,T68,D.J. Trahan,81,70.94,5462,77
72,T73,T73,Tom Pernice Jr.,111,70.95,7592,107
73,T73,T73,Joey Sindelar,104,70.95,7379,104
74,75,75,Daniel Chopra,108,70.96,7380,104
75,76,76,Jeff Sluman,94,70.97,6671,94
76,T77,T77,Jerry Kelly,101,70.99,7028,99
77,T77,T77,Mark Wilson,74,70.99,4969,70
78,T79,T79,Doug Barron,70,71.0,4970,70
79,T79,T79,J.L. Lewis,98,71.0,6958,98
80,T79,T79,Brenden Pappas,51,71.0,3621,51
81,T82,T82,Joe Durant,81,71.01,5752,81
82,T82,T82,Brett Wetterich,76,71.01,5255,74
83,84,84,Ryan Palmer,101,71.02,6889,97
84,85,85,Rocco Mediate,73,71.03,5185,73
85,T86,T86,Robert Gamez,91,71.04,6465,91
86,T86,T86,Tag Ridings,93,71.04,6465,91
87,T88,T88,Neal Lancaster,95,71.06,6751,95
88,T88,T88,Joey Snyder III,102,71.06,6964,98
89,T90,T90,Tommy Armour III,103,71.07,7320,103
90,T90,T90,Brian Davis,75,71.07,5330,75
91,T90,T90,Carlos Franco,78,71.07,5401,76
92,T90,T90,Tom Lehman,69,71.07,4762,67
93,94,94,Nick Watney,91,71.08,6326,89
94,T95,T95,Bernhard Langer,67,71.09,4763,67
95,T95,T95,Jesper Parnevik,84,71.09,5829,82
96,T95,T95,John Rollins,97,71.09,6754,95
97,98,98,Pat Perez,89,71.11,6329,89
98,T99,T99,Billy Andrade,83,71.12,5903,83
99,T99,T99,K.J. Choi,78,71.12,5192,73
100,T99,T99,Mario Tiziani,67,71.12,4623,65
101,T102,T102,J.P. Hayes,63,71.13,4481,63
102,T102,T102,John Huston,90,71.13,6117,86
103,T104,T104,Jonathan Byrd,103,71.14,7043,99
104,T104,T104,Jonathan Kaye,77,71.14,5264,74
105,T104,T104,Greg Owen,84,71.14,5691,80
106,T107,T107,Aaron Baddeley,84,71.15,5834,82
107,T107,T107,Kent Jones,99,71.15,6902,97
108,T107,T107,Rod Pampling,89,71.15,5977,84
109,110,110,Hunter Haas,83,71.16,5622,79
110,111,111,Steve Lowery,100,71.17,6832,96
111,T112,T112,Glen Day,80,71.21,5554,78
112,T112,T112,Brian Gay,101,71.21,7050,99
113,T112,T112,Hunter Mahan,103,71.21,7192,101
114,115,115,Stephen Ames,82,71.22,5626,79
115,T116,T116,Ted Purdy,122,71.23,8690,122
116,T116,T116,Duffy Waldorf,86,71.23,5841,82
117,T118,T118,Todd Fischer,99,71.25,6911,97
118,T118,T118,Tim Petrovic,97,71.25,6626,93
119,120,120,Cameron Beckman,96,71.26,6556,92
120,T121,T121,Jeff Maggert,79,71.27,5274,74
121,T121,T121,Kirk Triplett,55,71.27,3706,52
122,123,123,Charles Warren,89,71.28,6201,87
123,124,124,Craig Barlow,81,71.29,5489,77
124,T125,T125,Brian Bateman,98,71.31,6703,94
125,T125,T125,Peter Lonard,85,71.31,5990,84
126,T125,T125,Joe Ogilvie,103,71.31,7060,99
127,128,128,Chris Smith,93,71.33,6634,93
128,129,129,Brendan Jones,81,71.34,5636,79
129,T130,T130,Tom Byrum,83,71.37,5924,83
130,T130,T130,D.A. Points,94,71.37,6423,90
131,132,132,Matt Kuchar,60,71.38,4283,60
132,133,133,John Cook,72,71.39,4997,70
133,T134,T134,David Hearn,68,71.4,4855,68
134,T134,T134,Kevin Na,88,71.4,6140,86
135,136,136,Rory Sabbatini,81,71.41,5570,78
136,T137,T137,Freddie Jacobson,72,71.44,5072,71
137,T137,T137,Roland Thatcher,75,71.44,5215,73
138,T139,T139,Bob Heintz,67,71.45,4787,67
139,T139,T139,Patrick Sheehan,114,71.45,7860,110
140,T139,T139,Jay Williamson,53,71.45,3787,53
141,T142,T142,Kevin Stadler,96,71.46,6574,92
142,T142,T142,Tjaart van der Walt,56,71.46,4002,56
143,144,144,Michael Allen,90,71.47,6432,90
144,145,145,Gavin Coles,70,71.5,5005,70
145,146,146,James Driscoll,73,71.51,5077,71
146,T147,T147,Padraig Harrington,50,71.52,3433,48
147,T147,T147,Frank Lickliter II,100,71.52,6866,96
148,149,149,Glen Hnatiuk,59,71.53,3934,55
149,150,150,Scott McCarron,78,71.54,5294,74
150,T151,T151,Robert Damron,89,71.56,6369,89
151,T151,T151,Lee Janzen,75,71.56,5224,73
152,153,153,Brent Geiberger,61,71.58,4223,59
153,T154,T154,Alex Cejka,84,71.59,5799,81
154,T154,T154,Matt Gogel,78,71.59,5441,76
155,156,156,Larry Mize,54,71.6,3580,50
156,157,157,Will MacKenzie,75,71.62,5228,73
157,158,158,Charlie Wi,67,71.63,4656,65
158,159,159,Paul Gow,78,71.65,5302,74
159,160,160,Paul Claxton,79,71.66,5661,79
160,161,161,Justin Bolli,65,71.7,4517,63
161,T162,T162,Tom Gillis,77,71.71,5378,75
162,T162,T162,Michael Long,72,71.71,5020,70
163,T164,T164,Steve Allan,102,71.72,7029,98
164,T164,T164,Shaun Micheel,81,71.72,5666,79
165,T166,T166,Todd Hamilton,94,71.79,6533,91
166,T166,T166,Mark Hensby,70,71.79,4882,68
167,168,168,Mike Weir,71,71.8,4739,66
168,T169,T169,John Daly,78,71.83,5459,76
169,T169,T169,Franklin Langham,91,71.83,6249,87
170,T169,T169,Lee Westwood,50,71.83,3448,48
171,172,172,Paul Azinger,66,71.86,4743,66
172,173,173,Chris Anderson,66,71.87,4456,62
173,174,174,Andrew Magee,82,71.88,5607,78
174,T175,T175,Bill Glasson,54,71.9,3739,52
175,T175,T175,Jay Haas,54,71.9,3667,51
176,177,177,Jeff Hart,63,71.92,4387,61
177,178,178,Skip Kendall,80,71.96,5613,78
178,T179,T179,José Coceres,56,72.0,3888,54
179,T179,T179,Steve Flesch,90,72.0,6120,85
180,181,181,Bradley Hughes,52,72.04,3746,52
181,182,182,Hank Kuehne,84,72.08,5766,80
182,183,183,Ian Poulter,62,72.09,4037,56
183,184,184,Danny Briggs,70,72.13,4905,68
184,185,185,D.J. Brigman,76,72.14,5194,72
185,T186,T186,Mark Brooks,72,72.17,5196,72
186,T186,T186,Mark O'Meara,66,72.17,4763,66
187,188,188,Rich Beem,66,72.32,4484,62
188,T189,T189,Steve Jones,56,72.37,3908,54
189,T189,T189,Rob Rashell,65,72.37,4704,65
190,T191,T191,Jim Carter,62,72.38,4343,60
191,T191,T191,Matt Davidson,53,72.38,3836,53
192,193,193,Dennis Paulson,63,72.41,4562,63
193,T194,T194,Scott Hend,75,72.45,5289,73
194,T194,T194,Chris Riley,67,72.45,4637,64
195,196,196,Hideto Tanihara,50,72.5,3480,48
196,197,197,Jason Allred,75,72.53,5295,73
197,198,198,John Elliott,58,72.59,4065,56
198,199,199,Ben Curtis,65,72.63,4721,65
199,200,200,Len Mattiace,86,72.79,6114,84
200,T201,T201,Thomas Levet,54,72.89,3863,53
201,T201,T201,Craig Perks,67,72.89,4738,65
