,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
129,130,130,Ben Crane,78,13.21,37,280
130,131,131,John Daly,78,13.19,31,235
131,T132,T132,Brad Faxon,75,13.15,28,213
132,T132,T132,Mathias Grönberg,60,13.15,28,213
133,T132,T132,Adam Scott,72,13.15,28,213
134,T135,T135,Greg Owen,84,13.11,32,244
135,T135,T135,Rob Rashell,65,13.11,27,206
136,T137,T137,Brian Davis,75,13.1,22,168
137,T137,T137,David Hearn,68,13.1,22,168
138,139,139,Patrick Sheehan,114,13.08,42,321
139,140,140,Jay Haas,54,13.04,15,115
140,141,141,Tommy Armour III,103,13.0,39,300
141,142,142,Brian Bateman,98,12.96,39,301
142,143,143,Vaughn Taylor,99,12.95,36,278
143,144,144,Andrew Magee,82,12.86,36,280
144,145,145,Rory Sabbatini,81,12.8,32,250
145,146,146,Dudley Hart,84,12.77,30,235
146,147,147,Shigeki Maruyama,99,12.73,41,322
147,148,148,Frank Lickliter II,100,12.63,36,285
148,149,149,Tom Gillis,77,12.62,26,206
149,150,150,Joey Sindelar,104,12.54,37,295
150,151,151,Luke Donald,67,12.5,17,136
151,152,152,Stewart Cink,98,12.45,31,249
152,T153,T153,Paul Azinger,66,12.44,26,209
153,T153,T153,Mark Wilson,74,12.44,25,201
154,155,155,Tim Petrovic,97,12.38,39,315
155,T156,T156,Carlos Franco,78,12.3,31,252
156,T156,T156,Craig Perks,67,12.3,31,252
157,158,158,Brian Gay,101,12.13,33,272
158,T159,T159,Steve Flesch,90,12.12,24,198
159,T159,T159,Todd Hamilton,94,12.12,32,264
160,161,161,Bart Bryant,91,12.11,23,190
161,162,162,Jeff Sluman,94,12.1,30,248
162,163,163,James Driscoll,73,12.08,32,265
163,164,164,John Cook,72,12.07,21,174
164,165,165,Sean O'Hair,103,11.99,38,317
165,166,166,Brendan Jones,81,11.95,35,293
166,T167,T167,Robert Damron,89,11.94,24,201
167,T167,T167,Thomas Levet,54,11.94,16,134
168,169,169,Joe Ogilvie,103,11.91,33,277
169,170,170,Mark Brooks,72,11.89,22,185
170,171,171,Chad Campbell,95,11.83,31,262
171,172,172,Jay Williamson,53,11.68,16,137
172,173,173,Bradley Hughes,52,11.49,17,148
173,174,174,Matt Gogel,78,11.48,24,209
174,175,175,J.L. Lewis,98,11.35,26,229
175,176,176,Mark Hensby,70,11.25,18,160
176,T177,T177,Paul Claxton,79,11.11,19,171
177,T177,T177,Steve Elkington,67,11.11,20,180
178,T177,T177,Chris Riley,67,11.11,15,135
179,180,180,Loren Roberts,54,11.03,16,145
180,181,181,Charlie Wi,67,11.0,22,200
181,182,182,Hideto Tanihara,50,10.91,18,165
182,183,183,Justin Bolli,65,10.73,22,205
183,T184,T184,Paul Gow,78,10.39,24,231
184,T184,T184,Jerry Kelly,101,10.39,24,231
185,186,186,Jim Furyk,94,10.28,22,214
186,187,187,Tom Byrum,83,10.22,23,225
187,188,188,Matt Kuchar,60,10.07,14,139
188,189,189,Robert Gamez,91,10.0,24,240
189,190,190,Corey Pavin,77,9.9,19,192
190,191,191,Lee Westwood,50,9.84,12,122
191,192,192,Alex Cejka,84,9.76,20,205
192,193,193,Bill Glasson,54,9.74,15,154
193,194,194,Stephen Ames,82,9.5,21,221
194,195,195,Chris DiMarco,83,9.05,20,221
195,196,196,Steve Jones,56,8.97,13,145
196,197,197,K.J. Choi,78,8.74,16,183
197,198,198,Tom Lehman,69,7.87,14,178
198,199,199,Mark O'Meara,66,7.43,13,175
199,200,200,Fred Funk,102,7.41,14,189
200,201,201,Ben Curtis,65,7.38,11,149
201,202,202,Jim Carter,62,6.94,12,173
