,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
75,T75,T75,Hideki Matsuyama,76,85.0,40,34
76,T75,T75,Scott Pinckney,87,85.0,40,34
77,T75,T75,Camilo Villegas,83,85.0,40,34
78,79,79,Stuart Appleby,71,84.78,46,39
79,T80,T80,Kevin Kisner,97,84.62,39,33
80,T80,T80,Jimmy Walker,85,84.62,52,44
81,T80,T80,Tim Wilkinson,72,84.62,26,22
82,T83,T83,Bryce Molder,80,84.38,32,27
83,T83,T83,Brendan Steele,88,84.38,32,27
84,T85,T85,Jason Day,76,84.21,38,32
85,T85,T85,Jim Furyk,52,84.21,19,16
86,T85,T85,Andrew Landry,53,84.21,19,16
87,88,88,Brett Stegmaier,87,84.09,44,37
88,89,89,D.H. Lee,61,84.0,25,21
89,90,90,Ryan Moore,86,83.72,43,36
90,T91,T91,Robert Allenby,51,83.33,18,15
91,T91,T91,Ángel Cabrera,62,83.33,30,25
92,93,93,Tyrone Van Aswegen,105,83.02,53,44
93,94,94,Jamie Lovemark,91,82.98,47,39
94,95,95,Justin Rose,65,82.93,41,34
95,T96,T96,Jim Herman,93,82.86,35,29
96,T96,T96,Freddie Jacobson,86,82.86,35,29
97,T98,T98,Ken Duke,58,82.76,29,24
98,T98,T98,Branden Grace,63,82.76,29,24
99,T98,T98,Anirban Lahiri,72,82.76,29,24
100,101,101,James Hahn,85,82.5,40,33
101,T102,T102,Chad Campbell,90,82.46,57,47
102,T102,T102,Kevin Chappell,93,82.46,57,47
103,104,104,Jerry Kelly,76,82.35,34,28
104,T105,T105,Sergio Garcia,54,81.82,22,18
105,T105,T105,Russell Knox,92,81.82,33,27
106,T105,T105,Rory Sabbatini,57,81.82,22,18
107,T105,T105,Cameron Tringale,81,81.82,44,36
108,109,109,Patrick Rodgers,89,81.4,43,35
109,110,110,Paul Casey,77,81.25,32,26
110,111,111,Brooks Koepka,75,81.08,37,30
111,T112,T112,K.J. Choi,73,80.95,42,34
112,T112,T112,Shane Lowry,57,80.95,21,17
113,T114,T114,Billy Horschel,73,80.85,47,38
114,T114,T114,Kyle Reifers,115,80.85,47,38
115,116,116,Wes Roach,59,80.77,26,21
116,117,117,Rory McIlroy,69,80.56,36,29
117,118,118,Scott Piercy,87,80.49,41,33
118,119,119,Vaughn Taylor,72,80.43,46,37
119,T120,T120,Thomas Aiken,70,80.0,30,24
120,T120,T120,Patton Kizzire,93,80.0,45,36
121,T120,T120,Ben Martin,92,80.0,50,40
122,T120,T120,Dicky Pride,55,80.0,20,16
123,T120,T120,Sam Saunders,69,80.0,30,24
124,T120,T120,Scott Stallings,74,80.0,45,36
125,T126,T126,Russell Henley,76,79.55,44,35
126,T126,T126,Zach Johnson,90,79.55,44,35
127,T126,T126,Jason Kokrak,89,79.55,44,35
128,T129,T129,Luke Donald,81,79.31,29,23
129,T129,T129,George McNeill,51,79.31,29,23
130,131,131,Louis Oosthuizen,63,79.17,24,19
131,132,132,Shawn Stefani,91,79.07,43,34
132,133,133,Geoff Ogilvy,63,78.95,38,30
133,134,134,Blayne Barber,84,78.79,33,26
134,135,135,John Huh,86,78.72,47,37
135,136,136,Smylie Kaufman,91,78.57,42,33
136,137,137,Luke List,79,78.43,51,40
137,138,138,Bronson Burgoon,83,78.38,37,29
138,139,139,Boo Weekley,83,78.33,60,47
139,T140,T140,Steven Bowditch,71,78.26,23,18
140,T140,T140,Luke Guthrie,57,78.26,23,18
141,T142,T142,Hiroshi Iwata,85,78.05,41,32
142,T142,T142,Justin Thomas,99,78.05,41,32
143,144,144,Roberto Castro,97,77.94,68,53
144,T145,T145,Jason Gore,78,77.78,27,21
145,T145,T145,J.B. Holmes,77,77.78,45,35
146,T145,T145,Willy Wilcox,67,77.78,36,28
147,148,148,Tony Finau,95,77.55,49,38
148,T149,T149,Zac Blair,99,77.5,40,31
149,T149,T149,Matt Jones,83,77.5,40,31
150,151,151,Rob Oppenheim,67,77.27,22,17
151,152,152,Steve Wheatcroft,85,77.14,35,27
152,T153,T153,Mark Hubbard,101,76.92,39,30
153,T153,T153,Carlos Ortiz,79,76.92,39,30
154,155,155,Chris Stroud,82,76.74,43,33
155,T156,T156,D.A. Points,55,76.67,30,23
156,T156,T156,Webb Simpson,70,76.67,30,23
157,158,158,Si Woo Kim,113,75.81,62,47
158,159,159,Robert Garrigus,69,75.76,33,25
159,160,160,Robert Streb,87,75.68,37,28
160,161,161,Johnson Wagner,86,75.56,45,34
161,T162,T162,Tyler Aldridge,83,75.0,28,21
162,T162,T162,Abraham Ancer,51,75.0,24,18
163,164,164,Steve Marino,72,74.19,31,23
164,T165,T165,Rod Pampling,54,73.91,23,17
165,T165,T165,Brian Stuard,66,73.91,46,34
166,167,167,Scott Brown,88,73.81,42,31
167,168,168,Rhein Gibson,58,73.33,30,22
168,169,169,Fabián Gómez,82,73.17,41,30
169,170,170,Mark Wilson,66,73.08,26,19
170,171,171,Seung-Yul Noh,85,72.97,37,27
171,172,172,Charl Schwartzel,73,72.73,33,24
172,173,173,Alex Cejka,71,72.41,29,21
173,174,174,Harold Varner III,92,72.34,47,34
174,175,175,William McGirt,98,72.09,43,31
175,T176,T176,Tom Hoge,81,71.05,38,27
176,T176,T176,Greg Owen,85,71.05,38,27
177,178,178,Adam Scott,79,70.73,41,29
178,179,179,Chad Collins,73,68.57,35,24
