,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
168,169,169,Jason Dufner,28,307.0
169,170,170,Jim Herman,29,308.2
170,171,171,Shawn Stefani,29,308.3
171,172,172,Will MacKenzie,26,308.7
172,173,173,Robert Garrigus,21,308.9
173,174,174,Michael Thompson,23,309.1
174,175,175,George McNeill,23,309.7
175,176,176,Harold Varner III,28,312.1
176,177,177,Padraig Harrington,16,315.2
177,178,178,Stewart Cink,19,316.1
178,179,179,Ken Duke,20,319.3
179,180,180,Derek Ernst,20,320.3
180,181,181,Greg Owen,29,323.1
181,182,182,Robert Streb,27,323.8
182,183,183,Jeff Overton,25,330.8
183,184,184,Rory Sabbatini,20,339.8
184,185,185,D.A. Points,18,340.7
