,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
148,149,149,Charlie Wi,72,60.41,249407.9,412876
149,T150,T150,John Huh,87,60.39,269653.1,446508
150,T150,T150,Spencer Levin,59,60.39,190640.4,315705
151,152,152,Briny Baird,50,60.36,171321.1,283836
152,153,153,Brian Davis,93,60.34,310228.2,514153
153,154,154,"Ted Potter, Jr.",68,60.25,228684.9,379529
154,155,155,Ken Duke,80,60.19,250938.6,416942
155,156,156,Kevin Na,94,60.17,299711.3,498081
156,T157,T157,David Hearn,97,60.16,314200.0,522303
157,T157,T157,Jerry Kelly,80,60.16,250920.7,417097
158,159,159,Stuart Appleby,92,60.11,320606.2,533326
159,160,160,Woody Austin,63,60.05,217899.9,362873
160,161,161,Brendon Todd,108,60.04,348901.3,581089
161,162,162,Billy Hurley III,86,60.03,273909.4,456323
162,T163,T163,Jason Bohn,81,60.0,279657.5,466123
163,T163,T163,David Toms,64,60.0,204429.5,340695
164,165,165,Ben Crane,81,59.89,297077.0,496016
165,166,166,Bryce Molder,77,59.8,243620.2,407392
166,167,167,Graeme McDowell,66,59.72,175917.1,294567
167,168,168,Ben Curtis,77,59.65,243520.9,408228
168,169,169,K.J. Choi,80,59.64,255783.3,428871
169,170,170,Tim Clark,75,59.55,233063.0,391406
170,171,171,Brian Gay,81,59.43,237139.4,399007
171,172,172,Chad Collins,78,59.35,229622.4,386908
172,173,173,Jim Furyk,84,59.34,251448.4,423727
173,174,174,D.H. Lee,54,59.22,170388.8,287727
174,175,175,Mike Weir,69,58.51,197332.4,337236
175,176,176,Luke Donald,57,58.38,164647.0,282031
176,177,177,Justin Leonard,75,58.27,229794.6,394329
