,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
44,T45,T45,Bronson La'Cassie,18,47.5,96,202,+1.25
45,T45,T45,John Peterson,25,47.5,126,265,+1.75
46,47,47,Paul Casey,16,47.7,115,241,+0.78
47,48,48,Zach Johnson,26,47.8,164,343,+2.01
48,49,49,Ben Martin,26,48.0,144,300,+1.94
49,T50,T50,Chad Campbell,18,48.1,112,233,+2.05
50,T50,T50,Brendon de Jonge,31,48.1,191,397,+2.57
51,T52,T52,Roberto Castro,27,48.3,143,296,+1.75
52,T52,T52,Sean O'Hair,25,48.3,195,404,+1.85
53,T52,T52,Y.E. Yang,28,48.3,139,288,+1.29
54,T55,T55,Keegan Bradley,26,48.4,164,339,+0.67
55,T55,T55,Brian Stuard,29,48.4,166,343,+0.60
56,T55,T55,Daniel Summerhays,27,48.4,193,399,+0.36
57,58,58,Jeff Maggert,19,48.5,97,200,+1.34
58,59,59,Ryan Moore,24,48.6,123,253,+0.98
59,T60,T60,Ricky Barnes,27,48.7,233,478,+1.46
60,T60,T60,Bud Cauley,19,48.7,129,265,+1.47
61,62,62,Robert Garrigus,25,48.8,197,404,+2.08
62,T63,T63,Scott Brown,30,48.9,183,374,+1.75
63,T63,T63,Lucas Glover,26,48.9,112,229,+2.95
64,65,65,Jason Kokrak,19,49.0,173,353,+0.52
65,T66,T66,Luke Guthrie,26,49.1,207,422,+1.59
66,T66,T66,William McGirt,29,49.1,191,389,+1.10
67,68,68,Nicholas Thompson,30,49.2,153,311,+2.35
68,T69,T69,Russell Henley,29,49.3,175,355,+1.20
69,T69,T69,David Lingmerth,26,49.3,176,357,+0.97
70,T71,T71,Harris English,28,49.5,195,394,+1.33
71,T71,T71,Brian Gay,26,49.5,162,327,+1.36
72,T73,T73,Justin Leonard,22,49.7,156,314,+3.14
73,T73,T73,Ryan Palmer,23,49.7,181,364,+0.88
74,T73,T73,Michael Putnam,30,49.7,230,463,+2.70
75,76,76,Justin Hicks,30,49.8,165,331,+0.73
76,77,77,Scott Stallings,28,49.9,180,361,+1.44
77,T78,T78,Will MacKenzie,27,50.0,177,354,+1.58
78,T78,T78,Chris Stroud,25,50.0,178,356,+1.97
79,80,80,Charles Howell III,29,50.2,303,604,+1.25
80,T81,T81,Jerry Kelly,23,50.3,155,308,+2.13
81,T81,T81,Kevin Na,27,50.3,185,368,+0.81
82,T81,T81,Jeff Overton,24,50.3,188,374,+2.23
83,T84,T84,James Driscoll,25,50.4,189,375,+1.64
84,T84,T84,Brooks Koepka,16,50.4,122,242,+0.74
85,86,86,Hudson Swafford,26,50.5,146,289,+3.22
86,87,87,Ángel Cabrera,23,50.6,167,330,+0.48
87,88,88,Morgan Hoffmann,32,50.7,277,546,+1.88
88,T89,T89,Stuart Appleby,29,50.8,227,447,+1.10
89,T89,T89,Chris Kirk,28,50.8,226,445,+1.37
