,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
61,62,62,Cameron Tringale,111,122,70,52
62,T63,T63,Rory McIlroy,66,125,64,61
63,T63,T63,Brendan Steele,89,125,47,78
64,65,65,K.J. Choi,80,130,115,15
65,66,66,Tyrone Van Aswegen,79,134,56,78
66,67,67,Andres Romero,81,137,70,67
67,68,68,Chesson Hadley,84,141,74,67
68,69,69,Kyle Stanley,87,142,38,104
69,70,70,D.H. Lee,54,144,54,90
70,71,71,Graham DeLaet,80,145,36,109
71,T72,T72,Charles Howell III,106,147,69,78
72,T72,T72,David Toms,64,147,47,100
73,74,74,Matt Kuchar,91,149,92,57
74,T75,T75,Rickie Fowler,91,150,42,108
75,T75,T75,Justin Hicks,103,150,108,42
76,77,77,Troy Matteson,62,153,81,72
77,78,78,Brian Stuard,91,159,101,58
78,T79,T79,Lucas Glover,68,160,111,49
79,T79,T79,Andrew Loupe,65,160,53,107
80,81,81,Kevin Kisner,85,163,93,70
81,T82,T82,Steven Bowditch,93,165,101,64
82,T82,T82,Jim Herman,62,165,101,64
83,T82,T82,Jerry Kelly,80,165,123,42
84,85,85,Brad Fritsch,50,168,49,119
85,T86,T86,Danny Lee,84,172,86,86
86,T86,T86,Marc Leishman,81,172,75,97
87,88,88,Camilo Villegas,95,174,101,73
88,89,89,Kevin Streelman,79,176,77,99
89,T90,T90,Chad Campbell,57,177,91,86
90,T90,T90,D.A. Points,75,177,60,117
91,92,92,Robert Garrigus,80,179,65,114
92,T93,T93,Jason Kokrak,65,181,98,83
93,T93,T93,Phil Mickelson,71,181,28,153
94,T93,T93,Brendon Todd,108,181,122,59
95,96,96,Ángel Cabrera,69,184,60,124
96,97,97,Daniel Summerhays,98,185,115,70
97,98,98,Rory Sabbatini,82,194,109,85
98,99,99,John Huh,87,195,95,100
99,100,100,Matt Jones,83,199,95,104
100,101,101,Johnson Wagner,69,200,89,111
101,102,102,Harris English,95,201,81,120
102,103,103,Scott Langley,95,204,169,35
103,104,104,Troy Merritt,62,208,115,93
104,T105,T105,Retief Goosen,94,209,84,125
105,T105,T105,Charlie Wi,72,209,123,86
106,107,107,Jonathan Byrd,76,215,78,137
107,T108,T108,Jeff Overton,80,217,141,76
108,T108,T108,Patrick Reed,92,217,81,136
109,110,110,Luke Guthrie,85,219,97,122
110,111,111,Justin Leonard,75,220,142,78
111,112,112,Jim Renner,61,221,90,131
112,113,113,Michael Thompson,74,226,93,133
113,T114,T114,Chad Collins,78,227,131,96
114,T114,T114,Jim Furyk,84,227,150,77
115,116,116,Shawn Stefani,60,230,101,129
116,117,117,Jason Bohn,81,231,129,102
117,T118,T118,Graeme McDowell,66,234,109,125
118,T118,T118,William McGirt,96,234,144,90
119,T118,T118,Willy Wilcox,51,234,101,133
120,121,121,Bryce Molder,77,236,146,90
121,T122,T122,Brooks Koepka,56,238,78,160
122,T122,T122,Robert Streb,75,238,113,125
123,124,124,Lee Westwood,57,239,119,120
124,125,125,Woody Austin,63,244,127,117
125,126,126,Martin Kaymer,65,245,134,111
126,127,127,Billy Hurley III,86,249,154,95
127,128,128,Aaron Baddeley,74,250,98,152
128,129,129,Henrik Stenson,56,252,139,113
129,T130,T130,Kevin Chappell,100,254,115,139
130,T130,T130,John Merrick,87,254,160,94
131,T130,T130,John Peterson,62,254,111,143
132,133,133,Bronson La'Cassie,51,258,119,139
133,134,134,Russell Knox,92,261,164,97
134,T135,T135,Luke Donald,57,262,101,161
135,T135,T135,Nick Watney,80,262,113,149
136,137,137,Seung-Yul Noh,92,263,98,165
137,T138,T138,Erik Compton,88,265,123,142
138,T138,T138,Adam Scott,68,265,135,130
139,T138,T138,Andrew Svoboda,77,265,142,123
140,T141,T141,Greg Chalmers,85,272,158,114
141,T141,T141,Spencer Levin,59,272,168,104
142,143,143,Ben Martin,80,273,140,133
143,144,144,Y.E. Yang,79,274,165,109
144,145,145,Hudson Swafford,75,275,121,154
145,146,146,Michael Putnam,106,279,136,143
146,147,147,Sangmoon Bae,76,282,151,131
147,148,148,Martin Flores,85,283,132,151
148,149,149,Boo Weekley,73,284,146,138
149,150,150,Matt Every,85,286,123,163
150,151,151,Jhonattan Vegas,77,287,128,159
151,152,152,Ken Duke,80,289,175,114
152,153,153,Derek Ernst,80,290,132,158
153,154,154,Kevin Na,94,291,148,143
154,T155,T155,"Ted Potter, Jr.",68,295,156,139
155,T155,T155,Mike Weir,69,295,170,125
156,T155,T155,Gary Woodland,93,295,129,166
157,158,158,John Senden,99,297,154,143
158,T159,T159,George McNeill,79,305,156,149
159,T159,T159,John Rollins,84,305,144,161
160,161,161,Gonzalo Fernandez-Castaño,83,306,138,168
161,162,162,Stuart Appleby,92,307,152,155
162,163,163,Stewart Cink,91,310,137,173
163,164,164,Kevin Tway,64,315,158,157
164,165,165,Ricky Barnes,92,320,173,147
165,166,166,Trevor Immelman,84,321,174,147
166,167,167,Ryo Ishikawa,75,322,153,169
167,168,168,Charlie Beljan,76,323,148,175
168,169,169,Charl Schwartzel,64,330,163,167
169,170,170,Jason Dufner,57,331,176,155
170,T171,T171,Briny Baird,50,333,170,163
171,T171,T171,Paul Casey,56,333,162,171
172,173,173,Pat Perez,84,334,165,169
173,174,174,James Driscoll,71,338,161,177
174,175,175,Sergio Garcia,61,340,165,175
175,176,176,Brendon de Jonge,109,344,172,172
176,177,177,Freddie Jacobson,91,351,177,174
