,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
58,T58,T58,Tyrone Van Aswegen,79,"104' 1""","4684' 1""",45,"146' 9""","68' 0"""
59,60,60,Jonathan Byrd,76,"103' 11""","6859' 3""",66,"143' 11""","58' 6"""
60,61,61,Stewart Cink,91,"103' 10""","6956' 9""",67,"144' 4""","69' 1"""
61,62,62,Kevin Tway,64,"103' 8""","4976' 7""",48,"144' 1""","67' 10"""
62,63,63,Jonas Blixt,64,"103' 6""","3830' 8""",37,"140' 5""","69' 7"""
63,64,64,Brad Fritsch,50,"103' 3""","3510' 9""",34,"127' 1""","79' 7"""
64,T65,T65,Matt Every,85,"103' 1""","6805' 1""",66,"133' 1""","69' 5"""
65,T65,T65,Luke Guthrie,85,"103' 1""","8452' 9""",82,"139' 4""","63' 3"""
66,T65,T65,David Hearn,97,"103' 1""","9176' 2""",89,"127' 0""","77' 10"""
67,T68,T68,Kevin Chappell,100,"103' 0""","9165' 0""",89,"129' 9""","71' 4"""
68,T68,T68,Lee Westwood,57,"103' 0""","4222' 9""",41,"131' 2""","75' 11"""
69,70,70,Seung-Yul Noh,92,"102' 10""","7507' 5""",73,"136' 1""","53' 9"""
70,71,71,Patrick Reed,92,"102' 9""","6884' 9""",67,"138' 7""","72' 2"""
71,72,72,Kevin Streelman,79,"102' 8""",6879',67,"141' 10""","60' 7"""
72,73,73,Chris Kirk,105,"102' 1""","8574' 5""",84,"131' 2""","54' 4"""
73,T74,T74,Aaron Baddeley,74,"101' 9""","5596' 3""",55,"139' 6""","68' 1"""
74,T74,T74,Wes Roach,67,"101' 9""","5289' 2""",52,"146' 9""","59' 1"""
75,T76,T76,Paul Casey,56,"101' 8""","4474' 3""",44,"135' 4""","72' 0"""
76,T76,T76,Pat Perez,84,"101' 8""","7525' 5""",74,"132' 11""","73' 8"""
77,T76,T76,Michael Thompson,74,"101' 8""","5591' 1""",55,"133' 3""","69' 6"""
78,79,79,John Huh,87,"101' 7""","7209' 7""",71,"129' 2""","61' 6"""
79,80,80,D.A. Points,75,"101' 1""",5053',50,"134' 9""","65' 3"""
80,81,81,Martin Laird,66,"100' 8""","4429' 7""",44,"137' 6""","60' 6"""
81,82,82,Kevin Kisner,85,"100' 2""",7512',75,"135' 8""","54' 11"""
82,83,83,Jason Kokrak,65,"99' 11""","5696' 6""",57,"147' 4""","51' 2"""
83,84,84,Andres Romero,81,"99' 10""","5690' 9""",57,"141' 1""","44' 6"""
84,85,85,Brandt Snedeker,89,"99' 9""","6583' 4""",66,"131' 4""","59' 8"""
85,T86,T86,John Peterson,62,"99' 6""","5771' 9""",58,"133' 8""","63' 1"""
86,T86,T86,Cameron Tringale,111,"99' 6""","449' 8""",105,"137' 7""","64' 2"""
87,T86,T86,Bo Van Pelt,83,"99' 6""",6863',69,"144' 8""","74' 2"""
88,T89,T89,Tommy Gainey,73,"99' 5""","5865' 0""",59,"129' 2""","66' 7"""
89,T89,T89,Henrik Stenson,56,"99' 5""","2685' 2""",27,"122' 11""","74' 6"""
90,91,91,David Toms,64,"99' 1""","5550' 2""",56,"123' 0""","73' 7"""
91,92,92,Brian Davis,93,"98' 9""","8590' 4""",87,"139' 7""","70' 10"""
92,T93,T93,Martin Kaymer,65,"98' 7""","4928' 6""",50,"135' 10""","62' 5"""
93,T93,T93,Charl Schwartzel,64,"98' 7""",4831',49,"140' 4""","41' 5"""
94,T95,T95,Brice Garnett,92,"98' 2""","7853' 9""",80,"135' 10""","66' 10"""
95,T95,T95,Kevin Stadler,90,"98' 2""","6478' 5""",66,"136' 6""","57' 1"""
96,T95,T95,Johnson Wagner,69,"98' 2""",5691',58,"134' 4""","55' 4"""
97,98,98,Matt Jones,83,"97' 11""",6659',68,"136' 2""","64' 7"""
98,99,99,Jeff Maggert,54,"97' 9""","4398' 6""",45,"120' 0""","65' 0"""
99,100,100,Charles Howell III,106,"97' 8""",9672',99,"151' 6""","61' 8"""
100,T101,T101,Chesson Hadley,84,"97' 7""","7706' 0""",79,"146' 5""","65' 3"""
101,T101,T101,Zach Johnson,97,"97' 7""","8688' 3""",89,"122' 3""","71' 6"""
102,103,103,Roberto Castro,76,"97' 6""",5847',60,"124' 11""","64' 1"""
103,104,104,Ian Poulter,57,"97' 3""","4084' 3""",42,"122' 6""","70' 8"""
104,T105,T105,Troy Merritt,62,"97' 0""","5919' 6""",61,"127' 4""","62' 2"""
105,T105,T105,Carl Pettersson,91,"97' 0""","8631' 3""",89,"126' 7""","70' 1"""
106,107,107,Gonzalo Fernandez-Castaño,83,"96' 11""","6977' 2""",72,"152' 1""","34' 11"""
107,108,108,Briny Baird,50,"96' 6""","3667' 1""",38,"158' 7""","58' 6"""
108,109,109,Scott Brown,100,"96' 4""","7993' 4""",83,"130' 0""","59' 2"""
109,T110,T110,Heath Slocum,71,"96' 2""","6153' 8""",64,"133' 3""","65' 4"""
110,T110,T110,Willy Wilcox,51,"96' 2""","3942' 6""",41,"136' 10""","38' 4"""
111,112,112,Michael Putnam,106,"95' 11""","8726' 4""",91,"147' 0""","48' 11"""
112,113,113,Ben Martin,80,"95' 7""","5925' 0""",62,"120' 9""","57' 8"""
113,114,114,D.H. Lee,54,"95' 3""","4571' 5""",48,"119' 7""","58' 6"""
114,115,115,Chad Campbell,57,"95' 2""","4379' 6""",46,"125' 1""","54' 3"""
115,T116,T116,Lucas Glover,68,"95' 0""","4559' 9""",48,"124' 7""","55' 2"""
116,T116,T116,Tim Wilkinson,86,"95' 0""","7411' 2""",78,"130' 5""","63' 9"""
117,118,118,Jim Renner,61,"94' 10""","4836' 6""",51,"132' 2""","59' 5"""
118,119,119,Bronson La'Cassie,51,"94' 8""",3690',39,"131' 10""","60' 10"""
119,120,120,Ben Curtis,77,"94' 4""","6509' 0""",69,"129' 3""","64' 5"""
120,121,121,John Senden,99,"94' 3""",8388',89,"125' 9""","61' 5"""
121,122,122,Jordan Spieth,102,"94' 1""",7905',84,"135' 10""","54' 8"""
122,123,123,Robert Allenby,83,"94' 0""","5923' 6""",63,"134' 9""","54' 4"""
123,124,124,Brian Harman,111,"93' 0""","9581' 7""",103,"127' 1""","60' 7"""
124,T125,T125,Steven Bowditch,93,"92' 7""","7221' 6""",78,"132' 6""","47' 0"""
125,T125,T125,Erik Compton,88,"92' 7""","7595' 1""",82,"135' 0""","40' 3"""
126,T125,T125,Nick Watney,80,"92' 7""",4998',54,"122' 3""","61' 10"""
127,128,128,Kevin Na,94,"92' 6""","7957' 8""",86,"135' 0""","63' 4"""
128,129,129,Matt Kuchar,91,"92' 1""","7277' 8""",79,"122' 8""","50' 11"""
129,130,130,Ryan Moore,86,"91' 11""","6157' 3""",67,"124' 2""","47' 9"""
130,131,131,Chris Stroud,88,"91' 10""","6614' 9""",72,"120' 6""","50' 4"""
131,T132,T132,Brian Gay,81,"91' 8""","5957' 1""",65,"119' 7""","66' 6"""
132,T132,T132,Jeff Overton,80,"91' 8""","6232' 4""",68,"131' 11""","37' 7"""
133,T132,T132,Andrew Svoboda,77,"91' 8""",6781',74,"115' 10""","68' 7"""
134,135,135,Graeme McDowell,66,"91' 3""","4379' 9""",48,"120' 5""","49' 4"""
135,136,136,Rory Sabbatini,82,"90' 11""","6090' 7""",67,"130' 8""","41' 8"""
136,137,137,Billy Hurley III,86,"90' 10""","7082' 4""",78,"113' 7""","63' 8"""
137,138,138,Jim Herman,62,"90' 6""","4253' 7""",47,"126' 11""","39' 9"""
138,139,139,Adam Scott,68,"90' 5""","4702' 4""",52,"126' 8""","55' 3"""
139,140,140,Brian Stuard,91,"90' 0""","7468' 6""",83,"137' 4""","43' 8"""
140,141,141,Charlie Wi,72,"89' 10""","6018' 5""",67,"120' 8""","58' 8"""
141,142,142,Martin Flores,85,"89' 7""","6450' 5""",72,"144' 5""","58' 6"""
142,143,143,Brendon de Jonge,109,"89' 6""","8141' 9""",91,"118' 10""","54' 4"""
143,144,144,Justin Hicks,103,"89' 2""","8918' 6""",100,"121' 7""","50' 6"""
144,145,145,Chad Collins,78,"88' 9""",4793',54,"130' 5""","56' 7"""
145,146,146,Sangmoon Bae,76,"88' 5""",5833',66,"121' 8""","51' 8"""
146,T147,T147,Jason Bohn,81,"88' 3""","7410' 8""",84,"125' 3""","40' 3"""
147,T147,T147,James Driscoll,71,"88' 3""","4236' 0""",48,"123' 11""","45' 6"""
148,T147,T147,Robert Streb,75,"88' 3""","6001' 7""",68,"129' 4""","61' 1"""
149,150,150,Daniel Summerhays,98,"88' 1""","8459' 2""",96,"134' 4""","50' 2"""
150,151,151,George McNeill,79,"87' 7""","6041' 2""",69,"125' 6""","56' 2"""
151,152,152,Ryo Ishikawa,75,"86' 5""","4751' 0""",55,"141' 4""","56' 8"""
152,153,153,"Ted Potter, Jr.",68,"86' 2""","5429' 8""",63,"121' 3""","55' 3"""
153,T154,T154,Stuart Appleby,92,"86' 1""","7490' 3""",87,"134' 5""","52' 10"""
154,T154,T154,Brendon Todd,108,"86' 1""","7836' 3""",91,"119' 11""","61' 10"""
155,156,156,Tim Clark,75,"85' 5""","5554' 3""",65,"121' 9""","65' 2"""
156,157,157,Camilo Villegas,95,"85' 4""","7768' 2""",91,"127' 7""","32' 3"""
157,158,158,Jerry Kelly,80,"85' 1""",6038',71,"125' 0""","47' 6"""
158,159,159,Woody Austin,63,"84' 11""","5012' 5""",59,"112' 3""","51' 4"""
159,160,160,William McGirt,96,"84' 3""","7831' 5""",93,"113' 6""","53' 3"""
160,161,161,Jim Furyk,84,"84' 2""","6228' 6""",74,"121' 7""","44' 7"""
161,162,162,K.J. Choi,80,"83' 10""","5783' 8""",69,"114' 5""","57' 2"""
162,163,163,Bryce Molder,77,"82' 10""",5716',69,"114' 6""","50' 5"""
163,164,164,Greg Chalmers,85,"82' 8""","6528' 1""",79,"109' 6""","39' 4"""
164,165,165,Mike Weir,69,"81' 11""","4507' 0""",55,"121' 10""","36' 4"""
165,166,166,Justin Leonard,75,"81' 5""","5373' 2""",66,"104' 7""","60' 5"""
166,167,167,Boo Weekley,73,"81' 3""","4305' 5""",53,"107' 7""","45' 4"""
167,168,168,Russell Knox,92,"78' 2""","7270' 7""",93,"111' 0""","38' 4"""
168,169,169,Trevor Immelman,84,"77' 0""","4925' 7""",64,"118' 5""","44' 2"""
169,170,170,John Merrick,87,"76' 4""","5646' 0""",74,"112' 9""","46' 1"""
170,171,171,Y.E. Yang,79,"76' 3""","4576' 8""",60,"106' 9""","41' 2"""
171,172,172,Freddie Jacobson,91,"75' 4""","5575' 1""",74,"115' 11""","19' 10"""
172,173,173,Jason Dufner,57,"75' 0""",3150',42,"109' 0""","18' 11"""
173,174,174,Spencer Levin,59,"74' 4""","3717' 9""",50,"108' 9""","37' 5"""
174,175,175,Ken Duke,80,"72' 11""","4448' 5""",61,"104' 5""","26' 3"""
175,176,176,Ricky Barnes,92,"72' 10""","5463' 0""",75,"124' 6""","41' 9"""
176,177,177,Scott Langley,95,"66' 6""","5518' 9""",83,"107' 6""","25' 7"""
