,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
144,T144,T144,Greg Chalmers,77,71.77,1579,22
145,146,146,Richard Lee,81,71.78,1938,27
146,147,147,Steven Bowditch,67,71.79,1364,19
147,148,148,Rod Pampling,46,71.81,1149,16
148,149,149,Graeme McDowell,53,71.82,790,11
149,150,150,Carl Pettersson,82,71.83,3017,42
150,151,151,Seung-Yul Noh,71,71.85,1437,20
151,T152,T152,Brian Gay,79,71.86,2587,36
152,T152,T152,Mark Wilson,56,71.86,1006,14
153,T154,T154,Trevor Immelman,73,71.88,1869,26
154,T154,T154,Scott Langley,79,71.88,1797,25
155,T154,T154,Michael Thompson,66,71.88,1725,24
156,157,157,Shawn Stefani,63,71.91,1582,22
157,158,158,David Toms,49,71.92,863,12
158,159,159,Bo Van Pelt,72,71.93,2014,28
159,160,160,Robert Garrigus,69,71.96,1655,23
160,T161,T161,Justin Bolli,59,72.0,1080,15
161,T161,T161,Bud Cauley,67,72.0,1368,19
162,T161,T161,John Rollins,77,72.0,1152,16
163,164,164,Scott Gardiner,61,72.05,1441,20
164,165,165,Colt Knost,69,72.12,1803,25
165,166,166,Tommy Gainey,84,72.13,1659,23
166,167,167,Josh Teater,86,72.14,2092,29
167,168,168,Martin Kaymer,61,72.25,1445,20
168,T169,T169,Sean O'Hair,56,72.33,1085,15
169,T169,T169,Scott Stallings,79,72.33,2170,30
170,171,171,Eric Meierdierks,48,72.36,796,11
171,172,172,Ben Curtis,59,72.45,1449,20
172,173,173,Kyle Stanley,71,72.47,1377,19
173,174,174,Nicolas Colsaerts,50,72.55,798,11
174,175,175,Casey Wittenberg,72,72.6,1452,20
175,176,176,Geoff Ogilvy,57,72.61,1670,23
176,177,177,Derek Ernst,58,72.65,1235,17
177,178,178,Lucas Glover,65,72.94,1240,17
178,179,179,Michael Bradley,56,73.24,1245,17
179,180,180,Bobby Gates,49,73.5,588,8
