,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
121,T122,T122,John Huh,88,71.31,3209,45
122,T122,T122,Richard Lee,81,71.31,2995,42
123,124,124,David Toms,49,71.32,1569,22
124,125,125,Jin Park,52,71.33,1926,27
125,T126,T126,Will Claxton,67,71.39,2570,36
126,T126,T126,Robert Garrigus,69,71.39,2570,36
127,T128,T128,Stewart Cink,71,71.4,2856,40
128,T128,T128,Bo Van Pelt,72,71.4,3070,43
129,130,130,Martin Kaymer,61,71.41,2285,32
130,131,131,Ernie Els,63,71.42,2571,36
131,T132,T132,David Lynn,70,71.43,2500,35
132,T132,T132,Eric Meierdierks,48,71.43,1500,21
133,T132,T132,Y.E. Yang,56,71.43,2143,30
134,135,135,Fabián Gómez,65,71.45,2358,33
135,136,136,Stephen Ames,49,71.46,1715,24
136,T137,T137,Troy Matteson,68,71.48,2216,31
137,T137,T137,Darron Stiles,51,71.48,1787,25
138,T139,T139,Jonas Blixt,76,71.5,3003,42
139,T139,T139,John Rollins,77,71.5,2288,32
140,141,141,Scott Piercy,78,71.51,2646,37
141,142,142,Peter Hanson,45,71.52,1502,21
142,T143,T143,Steven Bowditch,67,71.53,2575,36
143,T143,T143,Luke List,65,71.53,2575,36
144,T143,T143,Shawn Stefani,63,71.53,2289,32
145,146,146,Scott Brown,65,71.55,2361,33
146,T147,T147,Ben Crane,62,71.58,1861,26
147,T147,T147,Martin Laird,68,71.58,2577,36
148,T147,T147,Josh Teater,86,71.58,3221,45
149,T147,T147,Mark Wilson,56,71.58,1861,26
150,T151,T151,Greg Chalmers,77,71.59,2792,39
151,T151,T151,Carl Pettersson,82,71.59,3651,51
152,153,153,Robert Karlsson,56,71.62,2077,29
153,154,154,Tommy Gainey,84,71.63,3080,43
154,T155,T155,Padraig Harrington,52,71.67,1935,27
155,T155,T155,D.A. Points,87,71.67,3225,45
156,157,157,Geoff Ogilvy,57,71.74,2439,34
157,T158,T158,David Mathis,71,71.78,2584,36
158,T158,T158,Seung-Yul Noh,71,71.78,2584,36
159,T160,T160,Scott Gardiner,61,71.79,2010,28
160,T160,T160,Scott Langley,79,71.79,2800,39
161,162,162,Colt Knost,69,71.82,2729,38
162,T163,T163,Charlie Beljan,62,71.84,2299,32
163,T163,T163,Greg Owen,73,71.84,2730,38
164,165,165,Nicolas Colsaerts,50,71.87,1653,23
165,T166,T166,Scott Stallings,79,71.88,3091,43
166,T166,T166,Casey Wittenberg,72,71.88,2300,32
167,T168,T168,Trevor Immelman,73,71.97,2447,34
168,T168,T168,Michael Thompson,66,71.97,2447,34
169,170,170,Sean O'Hair,56,72.0,2016,28
170,171,171,Robert Allenby,58,72.06,2306,32
171,172,172,Ben Curtis,59,72.17,2165,30
172,173,173,Alistair Presnell,59,72.18,2021,28
173,174,174,Michael Bradley,56,72.22,1950,27
174,175,175,Derek Ernst,58,72.3,2169,30
175,176,176,Kyle Stanley,71,72.35,2460,34
176,177,177,Johnson Wagner,64,72.36,2026,28
177,178,178,Bobby Gates,49,72.48,1522,21
178,179,179,Lucas Glover,65,72.55,2249,31
179,180,180,Justin Bolli,59,72.71,2036,28
