,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
109,T110,T110,Rickie Fowler,75,13.39,15,112
110,T110,T110,Chris Stroud,88,13.39,17,127
111,112,112,Tim Herron,45,13.25,11,83
112,113,113,Mark Wilson,56,13.21,7,53
113,T114,T114,Jason Day,86,12.96,14,108
114,T114,T114,Cameron Percy,68,12.96,14,108
115,T116,T116,Lucas Glover,65,12.87,13,101
116,T116,T116,Troy Matteson,68,12.87,13,101
117,118,118,Johnson Wagner,64,12.82,15,117
118,119,119,Derek Ernst,58,12.79,11,86
119,120,120,David Lynn,70,12.75,13,102
120,121,121,Shawn Stefani,63,12.71,15,118
121,122,122,Robert Karlsson,56,12.68,9,71
122,T123,T123,Keegan Bradley,88,12.5,15,120
123,T123,T123,Bobby Gates,49,12.5,10,80
124,125,125,J.J. Henry,83,12.4,16,129
125,126,126,Jordan Spieth,82,12.36,11,89
126,T127,T127,Ben Curtis,59,12.35,10,81
127,T127,T127,Jim Furyk,80,12.35,10,81
128,129,129,Greg Owen,73,12.31,16,130
129,130,130,Richard Lee,81,12.26,13,106
130,131,131,Roberto Castro,97,12.17,14,115
131,132,132,Trevor Immelman,73,12.15,13,107
132,133,133,Brendon de Jonge,110,12.1,15,124
133,134,134,Scott Gardiner,61,12.09,11,91
134,135,135,Casey Wittenberg,72,12.08,18,149
135,136,136,Scott Brown,65,12.05,10,83
136,137,137,Nick Watney,88,12.04,13,108
137,T138,T138,Brian Gay,79,11.76,12,102
138,T138,T138,Darron Stiles,51,11.76,6,51
139,T138,T138,Andrew Svoboda,46,11.76,8,68
140,141,141,Stephen Ames,49,11.69,9,77
141,142,142,Colt Knost,69,11.39,9,79
142,143,143,Brian Stuard,78,11.21,12,107
143,T144,T144,Nicolas Colsaerts,50,11.11,8,72
144,T144,T144,Carl Pettersson,82,11.11,14,126
145,146,146,Michael Bradley,56,11.0,11,100
146,147,147,Justin Hicks,79,10.99,10,91
147,148,148,John Huh,88,10.89,11,101
148,149,149,Tim Clark,64,10.77,7,65
149,150,150,Doug LaBelle II,72,10.75,10,93
150,151,151,Ian Poulter,59,10.71,6,56
151,152,152,Fabián Gómez,65,10.59,9,85
152,153,153,Will Claxton,67,10.58,11,104
153,154,154,Michael Thompson,66,10.47,9,86
154,155,155,Jerry Kelly,75,10.42,10,96
155,156,156,Brad Fritsch,81,10.08,13,129
156,T157,T157,Scott Langley,79,10.0,8,80
157,T157,T157,Camilo Villegas,79,10.0,12,120
158,159,159,Brian Harman,89,9.93,15,151
159,160,160,David Hearn,88,9.9,10,101
160,T161,T161,Steven Bowditch,67,9.57,11,115
161,T161,T161,David Mathis,71,9.57,9,94
162,163,163,Jeff Overton,78,9.52,14,147
163,T164,T164,Eric Meierdierks,48,9.41,8,85
164,T164,T164,Ryan Moore,72,9.41,8,85
165,T164,T164,Vijay Singh,61,9.41,8,85
166,167,167,Vaughn Taylor,50,9.38,6,64
167,168,168,Bob Estes,66,8.64,7,81
168,169,169,Robert Allenby,58,8.55,10,117
169,170,170,Mike Weir,60,8.43,7,83
170,171,171,Dicky Pride,71,7.69,7,91
171,172,172,Sean O'Hair,56,7.27,8,110
172,173,173,Alistair Presnell,59,7.06,6,85
173,174,174,Lee Williams,62,6.9,6,87
174,175,175,David Toms,49,6.67,3,45
175,176,176,Robert Streb,75,6.15,8,130
176,177,177,Y.E. Yang,56,5.97,4,67
177,178,178,Ben Kohles,75,4.35,4,92
178,179,179,Rod Pampling,46,3.92,2,51
179,180,180,Tom Gillis,69,3.57,4,112
