,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
40,T40,T40,Derek Ernst,70.43,493,7
41,42,42,Matt Kuchar,70.45,1550,22
42,T43,T43,Stewart Cink,70.46,916,13
43,T43,T43,Jason Kokrak,70.46,916,13
44,T45,T45,David Hearn,70.47,1198,17
45,T45,T45,Ryan Palmer,70.47,1198,17
46,T45,T45,Adam Scott,70.47,1057,15
47,48,48,Charles Howell III,70.5,1269,18
48,49,49,Brian Davis,70.53,1199,17
49,50,50,Billy Horschel,70.55,1552,22
50,51,51,Steve Stricker,70.58,847,12
51,52,52,Chris Stroud,70.59,1200,17
52,T53,T53,Aaron Baddeley,70.6,706,10
53,T53,T53,Dustin Johnson,70.6,1059,15
54,T53,T53,D.A. Points,70.6,1059,15
55,T53,T53,"Ted Potter, Jr.",70.6,706,10
56,T53,T53,Camilo Villegas,70.6,1059,15
57,58,58,Harris English,70.62,1483,21
58,T59,T59,Brendan Steele,70.63,1130,16
59,T59,T59,Lee Williams,70.63,565,8
60,61,61,Chris Kirk,70.65,1413,20
61,T62,T62,Stephen Ames,70.67,424,6
62,T62,T62,Geoff Ogilvy,70.67,636,9
63,64,64,Nick Watney,70.72,1273,18
64,T65,T65,Kevin Chappell,70.73,1061,15
65,T65,T65,Jerry Kelly,70.73,1061,15
66,67,67,Jason Bohn,70.75,849,12
67,T68,T68,Luke Donald,70.77,920,13
68,T68,T68,William McGirt,70.77,920,13
69,70,70,Jim Herman,70.78,637,9
70,71,71,Roberto Castro,70.79,1345,19
71,72,72,Matt Every,70.8,1062,15
72,73,73,Jason Dufner,70.83,1275,18
73,T74,T74,Martin Kaymer,70.85,921,13
74,T74,T74,Martin Laird,70.85,921,13
75,T74,T74,Scott Stallings,70.85,921,13
76,77,77,Bob Estes,70.87,1063,15
77,T78,T78,Steven Bowditch,70.91,780,11
78,T78,T78,Scott Brown,70.91,780,11
79,T78,T78,Morgan Hoffmann,70.91,780,11
80,81,81,Chad Campbell,70.92,922,13
81,82,82,George McNeill,70.93,993,14
82,83,83,Charl Schwartzel,70.94,1135,16
83,84,84,K.J. Choi,70.95,1348,19
84,T85,T85,Erik Compton,71.0,852,12
85,T85,T85,Bobby Gates,71.0,213,3
86,T85,T85,Andres Romero,71.0,639,9
87,88,88,Stuart Appleby,71.06,1279,18
88,89,89,Bo Van Pelt,71.07,995,14
89,90,90,Freddie Jacobson,71.08,853,12
90,91,91,Shawn Stefani,71.09,782,11
91,92,92,Graeme McDowell,71.11,640,9
92,T93,T93,Brian Gay,71.13,1138,16
93,T93,T93,Daniel Summerhays,71.13,1067,15
94,T93,T93,Tiger Woods,71.13,1067,15
95,T96,T96,Brian Harman,71.14,996,14
96,T96,T96,Mike Weir,71.14,498,7
97,98,98,James Driscoll,71.15,925,13
98,T99,T99,Jim Furyk,71.17,1281,18
99,T99,T99,Bill Haas,71.17,1281,18
100,101,101,Tim Clark,71.18,783,11
101,102,102,Darron Stiles,71.2,356,5
102,T103,T103,Jonas Blixt,71.21,997,14
103,T103,T103,Chez Reavie,71.21,997,14
104,105,105,Brandt Jobe,71.27,784,11
105,T106,T106,Rickie Fowler,71.31,1141,16
106,T106,T106,Pat Perez,71.31,927,13
107,T108,T108,Robert Garrigus,71.33,856,12
108,T108,T108,James Hahn,71.33,856,12
109,T108,T108,Greg Owen,71.33,856,12
110,T111,T111,David Lingmerth,71.36,785,11
111,T111,T111,Henrik Norlander,71.36,785,11
112,113,113,Justin Leonard,71.37,1356,19
113,T114,T114,Marc Leishman,71.38,1142,16
114,T114,T114,David Lynn,71.38,928,13
115,116,116,David Mathis,71.4,714,10
116,117,117,Charlie Beljan,71.43,500,7
117,T118,T118,J.J. Henry,71.44,1143,16
118,T118,T118,Troy Matteson,71.44,643,9
119,120,120,Bubba Watson,71.47,1215,17
120,T121,T121,Lucas Glover,71.5,715,10
121,T121,T121,John Huh,71.5,1144,16
122,T121,T121,Hunter Mahan,71.5,1287,18
123,T121,T121,Ian Poulter,71.5,858,12
124,T121,T121,Mark Wilson,71.5,572,8
125,126,126,John Merrick,71.56,1145,16
126,T127,T127,Robert Allenby,71.6,358,5
127,T127,T127,Steve LeBrun,71.6,716,10
128,T129,T129,Sangmoon Bae,71.63,1146,16
129,T129,T129,Robert Karlsson,71.63,573,8
130,T129,T129,Vaughn Taylor,71.63,573,8
131,T132,T132,Justin Hicks,71.64,1003,14
132,T132,T132,Jeff Maggert,71.64,788,11
133,134,134,Colt Knost,71.67,645,9
134,135,135,Charlie Wi,71.69,932,13
135,136,136,Ken Duke,71.73,1076,15
136,T137,T137,Ángel Cabrera,71.75,1148,16
137,T137,T137,Will Claxton,71.75,574,8
138,T137,T137,Peter Hanson,71.75,574,8
139,T140,T140,Tag Ridings,71.78,646,9
140,T140,T140,Y.E. Yang,71.78,646,9
141,T142,T142,Jin Park,71.8,359,5
142,T142,T142,Andrew Svoboda,71.8,359,5
143,T144,T144,Scott Gardiner,71.86,503,7
144,T144,T144,Tim Herron,71.86,503,7
145,146,146,Cameron Percy,71.92,935,13
146,147,147,Josh Teater,71.94,1223,17
147,T148,T148,Tommy Gainey,72.0,936,13
148,T148,T148,Sergio Garcia,72.0,1080,15
149,T148,T148,Scott Langley,72.0,792,11
150,T148,T148,Richard Lee,72.0,1152,16
151,T148,T148,Kyle Stanley,72.0,792,11
152,153,153,Ben Kohles,72.09,793,11
153,T154,T154,Nicolas Colsaerts,72.14,505,7
154,T154,T154,Johnson Wagner,72.14,505,7
155,156,156,Greg Chalmers,72.15,938,13
156,T157,T157,Brad Fritsch,72.2,1083,15
157,T157,T157,Ryan Moore,72.2,1083,15
158,159,159,Gary Woodland,72.21,1372,19
159,160,160,Ryo Ishikawa,72.25,867,12
160,161,161,Carl Pettersson,72.28,1301,18
161,162,162,Nicholas Thompson,72.3,1446,20
162,163,163,Padraig Harrington,72.33,651,9
163,164,164,Lee Westwood,72.41,1231,17
164,165,165,Fabián Gómez,72.44,652,9
165,166,166,Vijay Singh,72.45,797,11
166,167,167,Luke Guthrie,72.5,1015,14
167,T168,T168,Michael Bradley,72.6,363,5
168,T168,T168,Ben Curtis,72.6,726,10
169,T170,T170,Seung-Yul Noh,72.67,654,9
170,T170,T170,Rod Pampling,72.67,436,6
171,172,172,John Senden,72.73,1091,15
172,T173,T173,Ben Crane,72.75,582,8
173,T173,T173,Eric Meierdierks,72.75,291,4
174,175,175,Charley Hoffman,72.79,1383,19
175,176,176,Tom Gillis,72.91,802,11
176,177,177,Trevor Immelman,73.09,804,11
177,178,178,Sean O'Hair,73.71,516,7
178,179,179,Alistair Presnell,74.14,519,7
179,180,180,Casey Wittenberg,74.88,599,8
