,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
324,T313,T313,Kevin Carll,1
325,T313,T313,Alex Cejka,2
326,T313,T313,Darren Clarke,3
327,T313,T313,Corey Conners,1
328,T313,T313,Jeff Curl,1
329,T313,T313,Eduardo De La Riva,1
330,T313,T313,David Duval,8
331,T313,T313,Brad Faxon,1
332,T313,T313,Fred Funk,1
333,T313,T313,Andrew Georgiou,1
334,T313,T313,Mathew Goggin,1
335,T313,T313,Scott Harrington,1
336,T313,T313,Mike Hendry,1
337,T313,T313,Mark Hensby,1
338,T313,T313,John Hurley,1
339,T313,T313,Steven Ihm,1
340,T313,T313,Yuta Ikeda,1
341,T313,T313,Stephan Jaeger,1
342,T313,T313,Thongchai Jaidee,4
343,T313,T313,Andrew Johnson,1
344,T313,T313,Shiv Kapur,1
345,T313,T313,Shingo Katayama,1
346,T313,T313,Frank Lickliter II,3
347,T313,T313,Steve Lowery,1
348,T313,T313,Randy Lowry,1
349,T313,T313,Sandy Lyle,2
350,T313,T313,Michael McCabe,1
351,T313,T313,Parker McLachlin,2
352,T313,T313,Jay McLuen,1
353,T313,T313,Shaun Micheel,5
354,T313,T313,Chris Naegel,1
355,T313,T313,Bret Nutt,1
356,T313,T313,Mark O'Meara,3
357,T313,T313,Arron Oberholser,2
358,T313,T313,Corey Pavin,2
359,T313,T313,David Peoples,1
360,T313,T313,Rod Perry,3
361,T313,T313,Ted Purdy,3
362,T313,T313,Brett Quigley,1
363,T313,T313,Richie Ramsay,4
364,T313,T313,Mark Silvers,2
365,T313,T313,Jesse Smith,2
366,T313,T313,Nate Smith,1
367,T313,T313,Guan Tian Liang,5
368,T313,T313,Omar Uresti,1
369,T313,T313,T.J. Vogel,3
370,T313,T313,Danny Willett,2
371,T313,T313,Eugene Wong,1
