,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
140,T139,T139,Robert Streb,75,71.45,786,11
141,142,142,D.A. Points,87,71.46,929,13
142,T143,T143,Ben Crane,62,71.5,572,8
143,T143,T143,Rory McIlroy,56,71.5,715,10
144,145,145,Tom Gillis,69,71.55,1431,20
145,T146,T146,Scott Brown,65,71.6,358,5
146,T146,T146,Ben Curtis,59,71.6,716,10
147,T146,T146,"Ted Potter, Jr.",65,71.6,716,10
148,149,149,Sean O'Hair,56,71.62,931,13
149,150,150,Scott Langley,79,71.64,1003,14
150,151,151,Tim Herron,45,71.67,645,9
151,152,152,Seung-Yul Noh,71,71.69,1147,16
152,T153,T153,Andres Romero,63,71.73,1076,15
153,T153,T153,Andrew Svoboda,46,71.73,789,11
154,T155,T155,Fabián Gómez,65,71.76,1220,17
155,T155,T155,Luke List,65,71.76,1220,17
156,157,157,Ricky Barnes,74,71.78,1292,18
157,T158,T158,Derek Ernst,58,71.85,934,13
158,T158,T158,Bobby Gates,49,71.85,934,13
159,T160,T160,Aaron Baddeley,68,71.91,791,11
160,T160,T160,Troy Matteson,68,71.91,791,11
161,162,162,Brandt Jobe,62,71.94,1151,16
162,163,163,Charlie Beljan,62,72.0,720,10
163,T164,T164,Lucas Glover,65,72.07,1009,14
164,T164,T164,Kyle Stanley,71,72.07,1009,14
165,166,166,Aaron Watkins,46,72.08,937,13
166,167,167,Michael Thompson,66,72.2,722,10
167,168,168,Jonas Blixt,76,72.22,1300,18
168,169,169,Trevor Immelman,73,72.25,578,8
169,170,170,Y.E. Yang,56,72.27,795,11
170,171,171,Jin Park,52,72.5,725,10
171,172,172,David Mathis,71,72.72,1309,18
172,173,173,Darron Stiles,51,72.75,582,8
173,174,174,Stephen Ames,49,72.88,583,8
174,175,175,Greg Owen,73,72.93,1021,14
175,176,176,Alistair Presnell,59,73.17,878,12
176,177,177,Ryan Moore,72,73.5,588,8
177,178,178,Justin Bolli,59,73.54,956,13
178,179,179,Robert Allenby,58,73.58,883,12
179,180,180,Johnson Wagner,64,73.6,736,10
