,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
93,T92,T92,Justin Leonard,89,"73' 5""",63424,72,"4' 2""","146' 2"""
94,T92,T92,Jerod Turner,54,"73' 5""",35239,40,"4' 1""","114' 6"""
95,T96,T96,J.B. Holmes,100,"73' 4""",77398,88,"4' 1""","150' 7"""
96,T96,T96,Jimmy Walker,82,"73' 4""",61595,70,"4' 1""","125' 4"""
97,98,98,Cameron Beckman,68,"73' 2""",51817,59,"4' 1""","140' 3"""
98,T99,T99,Graham DeLaet,88,"73' 0""",66552,76,"4' 1""","142' 0"""
99,T99,T99,Hunter Mahan,85,"73' 0""",58703,67,"4' 1""","142' 6"""
100,T99,T99,Scott McCarron,90,"73' 0""",72709,83,"4' 1""","158' 11"""
101,T99,T99,Mark Wilson,87,"73' 0""",69167,79,"4' 1""","116' 9"""
102,103,103,Skip Kendall,58,"72' 11""",42885,49,"4' 1""","131' 7"""
103,104,104,Webb Simpson,98,"72' 9""",80294,92,"4' 1""","135' 3"""
104,T105,T105,Rickie Fowler,98,"72' 8""",72339,83,"4' 1""","142' 5"""
105,T105,T105,Chris Stroud,90,"72' 8""",62772,72,"4' 1""","134' 3"""
106,107,107,Jeff Maggert,76,"72' 6""",54797,63,"4' 1""","176' 6"""
107,T108,T108,Stuart Appleby,101,"72' 5""",76480,88,"4' 1""","137' 0"""
108,T108,T108,Vaughn Taylor,87,"72' 5""",68641,79,"4' 1""","154' 9"""
109,T108,T108,Jay Williamson,76,"72' 5""",53000,61,"4' 1""","155' 8"""
110,T111,T111,Mathew Goggin,85,"72' 4""",65945,76,"4' 1""","182' 5"""
111,T111,T111,Mathias Grönberg,61,"72' 4""",43397,50,"4' 1""","124' 0"""
112,T111,T111,Trevor Immelman,55,"72' 4""",37340,43,"4' 1""","114' 7"""
113,114,114,Steve Flesch,78,"72' 3""",56360,65,"4' 1""","140' 9"""
114,T115,T115,Michael Bradley,77,"72' 2""",58876,68,"4' 1""","156' 3"""
115,T115,T115,Adam Scott,70,"72' 2""",45036,52,"4' 0""","127' 10"""
116,T115,T115,Garrett Willis,82,"72' 2""",61520,71,"4' 1""","142' 5"""
117,118,118,Ryan Moore,80,"72' 1""",52755,61,"4' 1""","116' 2"""
118,119,119,Brendon de Jonge,114,"72' 0""",78658,91,"4' 0""","135' 10"""
119,120,120,Brenden Pappas,66,"71' 11""",47472,55,"4' 1""","137' 2"""
120,T121,T121,Jonathan Byrd,85,"71' 9""",70562,82,"4' 0""","144' 6"""
121,T121,T121,Steve Elkington,74,"71' 9""",50826,59,"4' 0""","161' 0"""
122,T121,T121,John Rollins,81,"71' 9""",64563,75,"4' 1""","151' 7"""
123,124,124,Kenny Perry,69,"71' 8""",48180,56,"4' 0""","134' 10"""
124,T125,T125,Ernie Els,72,"71' 7""",47268,55,"4' 0""","137' 10"""
125,T125,T125,John Senden,103,"71' 7""",74691,87,"4' 0""","152' 3"""
126,T127,T127,Joe Durant,67,"71' 4""",48820,57,"4' 0""","175' 5"""
127,T127,T127,Alex Prugh,88,"71' 4""",68494,80,"3' 12""","165' 2"""
128,129,129,Chris DiMarco,88,"71' 1""",66542,78,"3' 12""","130' 3"""
129,T130,T130,Will MacKenzie,72,"71' 0""",57905,68,"3' 12""","125' 11"""
130,T130,T130,Bubba Watson,77,"71' 0""",57063,67,"3' 12""","139' 8"""
131,132,132,Phil Mickelson,76,"70' 11""",48511,57,"4' 0""","139' 5"""
132,T133,T133,Lee Janzen,77,"70' 8""",59345,70,"3' 12""","139' 7"""
133,T133,T133,John Mallinger,78,"70' 8""",55140,65,"3' 12""","119' 9"""
134,T135,T135,Steve Lowery,67,"70' 7""",47420,56,"3' 12""","141' 9"""
135,T135,T135,Ted Purdy,86,"70' 7""",63493,75,"3' 11""","120' 10"""
136,T137,T137,Josh Teater,101,"70' 6""",77836,92,"3' 11""","135' 6"""
137,T137,T137,Camilo Villegas,78,"70' 6""",47378,56,"3' 11""","138' 5"""
138,T139,T139,Ángel Cabrera,64,"70' 5""",43080,51,"3' 11""","167' 10"""
139,T139,T139,Tom Pernice Jr.,74,"70' 5""",49024,58,"3' 12""","124' 3"""
140,T141,T141,Padraig Harrington,57,"70' 4""",37116,44,"3' 12""","163' 0"""
141,T141,T141,Greg Kraft,52,"70' 4""",32920,39,"3' 12""","120' 1"""
142,T141,T141,D.J. Trahan,92,"70' 4""",69217,82,"3' 11""","155' 5"""
143,T141,T141,Vance Veazey,58,"70' 4""",40531,48,"3' 11""","140' 4"""
144,T145,T145,Charles Howell III,103,"70' 2""",75735,90,"3' 11""","136' 2"""
145,T145,T145,Martin Laird,91,"70' 2""",66494,79,"3' 11""","114' 2"""
146,T145,T145,Charles Warren,64,"70' 2""",46304,55,"3' 11""","153' 3"""
147,T148,T148,Tim Petrovic,105,"70' 1""",79037,94,"3' 11""","130' 11"""
148,T148,T148,Kevin Stadler,86,"70' 1""",60559,72,"3' 11""","178' 11"""
149,150,150,Chris Riley,73,"69' 11""",52876,63,"3' 11""","119' 0"""
150,151,151,Bill Haas,87,"69' 10""",62826,75,"3' 11""","129' 5"""
151,T152,T152,Ben Curtis,78,"69' 9""",55245,66,"3' 11""","135' 8"""
152,T152,T152,Jim Furyk,76,"69' 9""",50195,60,"3' 11""","130' 4"""
153,154,154,Spencer Levin,110,"69' 8""",81914,98,"3' 11""","137' 1"""
154,155,155,Alex Cejka,81,"69' 7""",56779,68,"3' 11""","115' 6"""
155,156,156,Henrik Bjornstad,72,"69' 6""",49187,59,"3' 11""","166' 8"""
156,157,157,Marc Leishman,87,"69' 4""",59907,72,"3' 11""","136' 8"""
157,158,158,Roland Thatcher,72,"69' 3""",56540,68,"3' 11""","121' 11"""
158,159,159,Briny Baird,87,"69' 2""",65575,79,"3' 11""","123' 3"""
159,T160,T160,Jerry Kelly,99,"69' 1""",67951,82,"3' 11""","151' 0"""
160,T160,T160,Andrew McLardy,52,"69' 1""",36491,44,"3' 11""","118' 5"""
161,T162,T162,Troy Matteson,84,"69' 0""",64621,78,"3' 10""","130' 6"""
162,T162,T162,Vijay Singh,75,"69' 0""",47203,57,"3' 11""","152' 8"""
163,T162,T162,Kevin Sutherland,86,"69' 0""",64612,78,"3' 11""","160' 3"""
164,165,165,Jeev Milkha Singh,59,"68' 10""",42956,52,"3' 10""","115' 11"""
165,T166,T166,Craig Bowden,56,"68' 8""",39554,48,"3' 10""","132' 1"""
166,T166,T166,Kevin Johnson,62,"68' 8""",40374,49,"3' 10""","129' 8"""
167,T166,T166,Jarrod Lyle,54,"68' 8""",37896,46,"3' 10""","134' 0"""
168,169,169,Ricky Barnes,103,"68' 6""",68259,83,"3' 10""","123' 8"""
169,T170,T170,J.J. Henry,92,"68' 3""",64721,79,"3' 10""","120' 10"""
170,T170,T170,Heath Slocum,97,"68' 3""",59790,73,"3' 10""","134' 0"""
171,T172,T172,Jason Dufner,87,"68' 2""",56459,69,"3' 10""","142' 6"""
172,T172,T172,Cameron Tringale,55,"68' 2""",36830,45,"3' 10""","136' 7"""
173,T172,T172,Mike Weir,59,"68' 2""",32723,40,"3' 10""","147' 2"""
174,T175,T175,Chad Campbell,94,"67' 10""",65904,81,"3' 10""","140' 9"""
175,T175,T175,Davis Love III,79,"67' 10""",53733,66,"3' 10""","116' 9"""
176,T177,T177,Billy Mayfair,78,"67' 8""",52751,65,"3' 10""","114' 10"""
177,T177,T177,Greg Owen,69,"67' 8""",50369,62,"3' 10""","150' 2"""
178,179,179,Cliff Kresge,50,"67' 5""",36426,45,"3' 9""","113' 9"""
179,T180,T180,Rod Pampling,77,"67' 4""",56552,70,"3' 9""","145' 5"""
180,T180,T180,Chris Wilson,65,"67' 4""",41994,52,"3' 9""","127' 3"""
181,T182,T182,John Merrick,109,"67' 1""",74062,92,"3' 9""","116' 4"""
182,T182,T182,Cameron Percy,73,"67' 1""",47504,59,"3' 9""","145' 6"""
183,184,184,Kris Blanks,91,"67' 0""",59460,74,"3' 9""","121' 7"""
184,185,185,Nicholas Thompson,88,"66' 5""",61400,77,"3' 9""","133' 6"""
185,186,186,Justin Bolli,55,"66' 4""",33436,42,"3' 8""","134' 10"""
186,187,187,Rocco Mediate,71,"66' 2""",48433,61,"3' 9""","137' 7"""
187,188,188,Roger Tambellini,77,"65' 5""",48641,62,"3' 8""","139' 4"""
188,189,189,Garth Mulroy,53,"65' 0""",32760,42,"3' 8""","124' 1"""
189,190,190,Jeff Gove,57,"64' 8""",34161,44,"3' 7""","138' 7"""
190,191,191,Sergio Garcia,58,"64' 3""",27764,36,"3' 7""","120' 0"""
191,192,192,Omar Uresti,74,"63' 0""",46126,61,"3' 6""","136' 6"""
