,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL PUTTS GAINED,SG_Putting_MEASURED ROUNDS
100,101,101,Bob Estes,79,0.013999999999999999,0.986,71
101,102,102,Brendon de Jonge,114,0.0,0.04,91
102,103,103,Jerod Turner,54,-0.002,-0.062,40
103,104,104,Tim Petrovic,105,-0.006,-0.589,94
104,105,105,Jason Day,82,-0.009000000000000001,-0.655,71
105,106,106,Bill Lunde,79,-0.012,-0.777,67
106,107,107,Mike Weir,59,-0.018000000000000002,-0.711,40
107,108,108,Briny Baird,87,-0.026000000000000002,-2.022,79
108,109,109,Jeev Milkha Singh,59,-0.045,-2.362,52
109,T110,T110,Stuart Appleby,101,-0.055999999999999994,-4.902,88
110,T110,T110,Vaughn Taylor,87,-0.055999999999999994,-4.426,79
111,112,112,Chris DiMarco,88,-0.057999999999999996,-4.5089999999999995,78
112,113,113,Woody Austin,93,-0.063,-5.218,83
113,114,114,Bill Haas,87,-0.065,-4.91,75
114,T115,T115,Michael Letzig,84,-0.071,-5.6770000000000005,80
115,T115,T115,Sean O'Hair,84,-0.071,-4.591,65
116,117,117,Bubba Watson,77,-0.077,-5.184,67
117,118,118,Steve Flesch,78,-0.078,-5.05,65
118,119,119,Michael Bradley,77,-0.084,-5.705,68
119,120,120,Brenden Pappas,66,-0.091,-5.007,55
120,121,121,Kevin Sutherland,86,-0.094,-7.316,78
121,122,122,D.A. Points,90,-0.1,-7.872000000000001,79
122,T123,T123,Chad Campbell,95,-0.106,-8.582,81
123,T123,T123,Martin Flores,75,-0.106,-6.795,64
124,125,125,Vance Veazey,58,-0.109,-5.2379999999999995,48
125,126,126,Ted Purdy,86,-0.114,-8.531,75
126,127,127,Lucas Glover,75,-0.115,-6.763999999999999,59
127,T128,T128,John Merrick,109,-0.126,-11.561,92
128,T128,T128,Brett Wetterich,54,-0.126,-6.664,53
129,130,130,Garrett Willis,82,-0.13699999999999998,-9.756,71
130,131,131,John Senden,103,-0.139,-12.097000000000001,87
131,132,132,Marc Leishman,87,-0.146,-10.517000000000001,72
132,133,133,Phil Mickelson,76,-0.147,-8.369,57
133,134,134,Ángel Cabrera,64,-0.14800000000000002,-7.566,51
134,135,135,Paul Goydos,78,-0.158,-10.405999999999999,66
135,136,136,Robert Garrigus,71,-0.16399999999999998,-9.996,61
136,137,137,Tom Pernice Jr.,74,-0.165,-9.561,58
137,138,138,Andrew McLardy,52,-0.172,-7.5760000000000005,44
138,139,139,Jay Williamson,76,-0.174,-10.642999999999999,61
139,140,140,Greg Kraft,52,-0.182,-7.082999999999999,39
140,141,141,Mathias Grönberg,61,-0.184,-9.18,50
141,142,142,Rory Sabbatini,79,-0.20199999999999999,-13.534,67
142,143,143,Henrik Bjornstad,72,-0.21100000000000002,-12.472999999999999,59
143,144,144,John Rollins,81,-0.21600000000000003,-16.209,75
144,145,145,Rory McIlroy,54,-0.225,-9.005,40
145,146,146,Kenny Perry,69,-0.244,-13.649000000000001,56
146,147,147,Rod Pampling,77,-0.247,-17.257,70
147,148,148,Brian Davis,101,-0.249,-22.147,89
148,149,149,Heath Slocum,97,-0.259,-18.872,73
149,150,150,Kevin Stadler,86,-0.275,-19.789,72
150,151,151,Joe Durant,67,-0.292,-16.658,57
151,152,152,Cameron Beckman,68,-0.297,-17.494,59
152,153,153,Lee Janzen,77,-0.302,-21.116999999999997,70
153,154,154,Martin Laird,91,-0.304,-24.041999999999998,79
154,155,155,Josh Teater,101,-0.314,-28.926,92
155,156,156,David Lutterus,69,-0.33,-18.474,56
156,157,157,Kevin Johnson,62,-0.35,-17.142,49
157,158,158,Jeff Maggert,76,-0.35700000000000004,-22.488000000000003,63
158,T159,T159,Graham DeLaet,88,-0.36,-27.381999999999998,76
159,T159,T159,Sergio Garcia,58,-0.36,-12.952,36
160,161,161,Boo Weekley,88,-0.376,-27.840999999999998,74
161,162,162,Mathew Goggin,85,-0.377,-28.658,76
162,163,163,Roland Thatcher,72,-0.384,-26.107,68
163,164,164,Steve Lowery,67,-0.386,-21.616,56
164,165,165,Camilo Villegas,78,-0.396,-22.197,56
165,166,166,Craig Bowden,56,-0.40399999999999997,-19.382,48
166,167,167,Charles Warren,64,-0.41100000000000003,-22.599,55
167,168,168,Jerry Kelly,99,-0.444,-36.437,82
168,169,169,Troy Matteson,84,-0.445,-34.73,78
169,170,170,Will MacKenzie,72,-0.44799999999999995,-30.43,68
170,171,171,Alex Cejka,81,-0.466,-31.717,68
171,172,172,D.J. Trahan,92,-0.467,-38.329,82
172,173,173,Cameron Percy,73,-0.491,-28.971,59
173,174,174,Davis Love III,79,-0.51,-33.646,66
174,175,175,Rocco Mediate,71,-0.5429999999999999,-33.116,61
175,176,176,Justin Bolli,55,-0.5579999999999999,-23.421999999999997,42
176,177,177,Kris Blanks,91,-0.568,-42.058,74
177,178,178,Cliff Kresge,50,-0.573,-25.787,45
178,179,179,Garth Mulroy,53,-0.586,-24.594,42
179,180,180,Jason Dufner,87,-0.6,-41.371,69
180,181,181,Greg Owen,69,-0.6409999999999999,-39.748000000000005,62
181,182,182,John Daly,63,-0.653,-30.703000000000003,47
182,183,183,Chris Wilson,65,-0.6679999999999999,-34.735,52
183,184,184,Cameron Tringale,55,-0.711,-31.980999999999998,45
184,185,185,Vijay Singh,75,-0.7390000000000001,-42.12,57
185,186,186,Adam Scott,70,-0.746,-38.766999999999996,52
186,187,187,Omar Uresti,74,-0.757,-46.167,61
187,188,188,Roger Tambellini,77,-0.789,-48.908,62
188,189,189,Mark Calcavecchia,50,-0.871,-28.726999999999997,33
189,190,190,Nicholas Thompson,88,-0.885,-68.132,77
190,191,191,Jeff Gove,57,-0.9470000000000001,-41.651,44
191,192,192,Billy Mayfair,78,-1.008,-65.514,65
