,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
82,83,83,Tim Clark,88,242,500,48.4
83,T84,T84,Nicholas Thompson,88,241,481,50.1
84,T84,T84,Nick Watney,91,241,486,49.6
85,T86,T86,Richard Johnson,90,240,474,50.6
86,T86,T86,Boo Weekley,88,240,473,50.7
87,88,88,Derek Lamely,81,239,450,53.1
88,89,89,George McNeill,79,238,492,48.4
89,90,90,Troy Matteson,84,236,456,51.8
90,T91,T91,Steve Flesch,78,235,463,50.8
91,T91,T91,Will MacKenzie,72,235,449,52.3
92,T91,T91,D.A. Points,90,235,508,46.3
93,T91,T91,Brian Stuard,81,235,491,47.9
94,T91,T91,Chris Tidland,77,235,463,50.8
95,T96,T96,Bob Estes,79,234,479,48.9
96,T96,T96,Jim Furyk,76,234,436,53.7
97,T96,T96,Paul Goydos,78,234,472,49.6
98,99,99,Stewart Cink,84,231,464,49.8
99,T100,T100,Chris Riley,73,229,443,51.7
100,T100,T100,Roland Thatcher,72,229,443,51.7
101,102,102,K.J. Choi,82,228,437,52.2
102,103,103,Ben Crane,85,227,475,47.8
103,104,104,Stephen Ames,75,226,482,46.9
104,105,105,Hunter Mahan,85,225,461,48.8
105,T106,T106,Dustin Johnson,83,224,456,49.1
106,T106,T106,Scott Verplank,74,224,420,53.3
107,T106,T106,Bubba Watson,77,224,448,50.0
108,T106,T106,Garrett Willis,82,224,467,48.0
109,T110,T110,Kris Blanks,91,222,442,50.2
110,T110,T110,Omar Uresti,74,222,382,58.1
111,112,112,J.P. Hayes,79,221,474,46.6
112,T113,T113,Alex Cejka,81,220,440,50.0
113,T113,T113,Mathew Goggin,85,220,450,48.9
114,T113,T113,Steve Marino,81,220,447,49.2
115,T113,T113,Phil Mickelson,76,220,406,54.2
116,T113,T113,Camilo Villegas,78,220,394,55.8
117,T118,T118,Ben Curtis,78,219,439,49.9
118,T118,T118,Martin Flores,75,219,442,49.5
119,T118,T118,John Mallinger,78,219,449,48.8
120,T121,T121,Michael Bradley,77,218,446,48.9
121,T121,T121,Chris Stroud,90,218,472,46.2
122,123,123,Davis Love III,79,217,405,53.6
123,124,124,Chris Couch,66,215,417,51.6
124,T125,T125,Steve Elkington,74,214,401,53.4
125,T125,T125,Jeff Maggert,76,214,425,50.4
126,T127,T127,Greg Owen,69,213,386,55.2
127,T127,T127,Michael Sim,64,213,405,52.6
128,T129,T129,Ernie Els,72,210,400,52.5
129,T129,T129,Vijay Singh,75,210,383,54.8
130,131,131,Luke Donald,71,209,411,50.9
131,132,132,Sean O'Hair,84,208,428,48.6
132,133,133,Ryan Moore,80,207,431,48.0
133,134,134,Cameron Percy,73,206,374,55.1
134,T135,T135,Rich Barcelo,70,205,400,51.3
135,T135,T135,Shaun Micheel,70,205,385,53.2
136,137,137,Tom Pernice Jr.,74,202,387,52.2
137,138,138,Robert Allenby,76,201,413,48.7
138,139,139,Cameron Beckman,68,199,389,51.2
139,T140,T140,Padraig Harrington,57,198,338,58.6
140,T140,T140,Steve Stricker,73,198,412,48.1
141,142,142,Steve Wheatcroft,74,195,404,48.3
142,T143,T143,Billy Mayfair,78,194,387,50.1
143,T143,T143,Jay Williamson,76,194,397,48.9
144,T145,T145,Robert Garrigus,71,193,405,47.7
145,T145,T145,Retief Goosen,75,193,387,49.9
146,T145,T145,Aron Price,70,193,412,46.8
147,T148,T148,Lucas Glover,75,192,400,48.0
148,T148,T148,Brenden Pappas,66,192,361,53.2
149,T150,T150,Mike Weir,59,191,322,59.3
150,T150,T150,Y.E. Yang,72,191,410,46.6
151,152,152,Chris Wilson,65,190,346,54.9
152,153,153,Jeev Milkha Singh,59,187,364,51.4
153,154,154,Ángel Cabrera,64,185,353,52.4
154,T155,T155,David Lutterus,69,183,363,50.4
155,T155,T155,Rocco Mediate,71,183,374,48.9
156,157,157,Roger Tambellini,77,182,361,50.4
157,158,158,Henrik Bjornstad,72,181,354,51.1
158,T159,T159,Joe Durant,67,180,364,49.5
159,T159,T159,David Duval,71,180,388,46.4
160,T159,T159,Mathias Grönberg,61,180,344,52.3
161,162,162,Skip Kendall,58,177,348,50.9
162,163,163,Charles Warren,64,176,360,48.9
163,164,164,Adam Scott,70,175,352,49.7
164,165,165,Steve Lowery,67,174,351,49.6
165,166,166,Geoff Ogilvy,62,172,363,47.4
166,T167,T167,Craig Bowden,56,169,319,53.0
167,T167,T167,Paul Stankowski,62,169,359,47.1
168,169,169,Brad Faxon,58,168,344,48.8
169,T170,T170,John Daly,63,165,311,53.1
170,T170,T170,Matt Every,60,165,364,45.3
171,T170,T170,Kevin Johnson,62,165,320,51.6
172,T170,T170,Jarrod Lyle,54,165,319,51.7
173,T170,T170,Kenny Perry,69,165,353,46.7
174,T170,T170,Dean Wilson,54,165,342,48.2
175,176,176,Brett Wetterich,54,160,340,47.1
176,T177,T177,Cliff Kresge,50,159,285,55.8
177,T177,T177,Vance Veazey,58,159,329,48.3
178,179,179,Jerod Turner,54,156,289,54.0
179,180,180,Cameron Tringale,55,153,273,56.0
180,181,181,Paul Casey,64,152,324,46.9
181,182,182,Rory McIlroy,54,149,286,52.1
182,183,183,Andrew McLardy,52,145,288,50.3
183,184,184,Brent Delahoussaye,57,144,302,47.7
184,185,185,Justin Bolli,55,143,272,52.6
185,T186,T186,Trevor Immelman,55,142,283,50.2
186,T186,T186,Greg Kraft,52,142,262,54.2
187,188,188,Ian Poulter,55,141,257,54.9
188,T189,T189,Jeff Gove,57,135,258,52.3
189,T189,T189,Garth Mulroy,53,135,262,51.5
190,191,191,Sergio Garcia,58,128,235,54.5
191,192,192,Mark Calcavecchia,50,108,213,50.7
