,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
158,159,159,Nicholas Thompson,88,33.33,528,1584
159,160,160,Kevin Johnson,62,33.24,371,1116
160,161,161,Mathew Goggin,85,33.14,507,1530
161,162,162,John Merrick,109,33.13,650,1962
162,163,163,Richard Johnson,90,33.09,536,1620
163,164,164,Steve Lowery,67,33.08,399,1206
164,165,165,Paul Stankowski,62,33.06,369,1116
165,T166,T166,Rocco Mediate,71,33.02,422,1278
166,T166,T166,Chris Stroud,90,33.02,535,1620
167,168,168,Andrew McLardy,52,32.91,308,936
168,169,169,Charles Warren,64,32.9,379,1152
169,170,170,Jarrod Lyle,54,32.82,319,972
170,171,171,J.J. Henry,92,32.67,541,1656
171,172,172,Troy Matteson,84,32.61,493,1512
172,173,173,Cliff Kresge,50,32.56,293,900
173,174,174,Garth Mulroy,53,32.49,310,954
174,T175,T175,Joe Durant,67,32.42,391,1206
175,T175,T175,Cameron Percy,73,32.42,426,1314
176,177,177,David Lutterus,69,32.37,402,1242
177,178,178,Tom Pernice Jr.,74,32.36,431,1332
178,179,179,Jay Williamson,76,32.31,442,1368
179,180,180,Omar Uresti,74,32.28,430,1332
180,181,181,Greg Kraft,52,32.26,302,936
181,182,182,Boo Weekley,88,32.2,510,1584
182,183,183,John Daly,63,31.83,361,1134
183,184,184,Justin Bolli,55,31.82,315,990
184,185,185,Brent Delahoussaye,57,31.58,324,1026
185,186,186,Henrik Bjornstad,72,30.86,400,1296
186,187,187,Mark Calcavecchia,50,30.11,271,900
187,188,188,Billy Mayfair,78,29.91,420,1404
188,189,189,Cameron Tringale,55,29.9,296,990
189,190,190,Kris Blanks,91,29.85,489,1638
190,191,191,Roger Tambellini,77,28.93,401,1386
191,192,192,Jeff Gove,57,28.36,291,1026
