,Overall_Putting_Average_RANK THIS WEEK,Overall_Putting_Average_RANK LAST WEEK,Overall_Putting_Average_PLAYER NAME,Overall_Putting_Average_ROUNDS,Overall_Putting_Average_AVG,Overall_Putting_Average_# OF PUTTS,Overall_Putting_Average_# OF HOLES
102,T103,T103,David Duval,71,1.5919999999999999,2034,1278
103,T103,T103,Retief Goosen,75,1.5919999999999999,2034,1278
104,T103,T103,Matt Jones,89,1.5919999999999999,2550,1602
105,106,106,Steve Stricker,73,1.594,2066,1296
106,T107,T107,Zach Johnson,93,1.5959999999999999,2614,1638
107,T107,T107,Matt Kuchar,97,1.5959999999999999,2730,1710
108,T107,T107,Webb Simpson,98,1.5959999999999999,2816,1764
109,T110,T110,Jim Furyk,76,1.597,2127,1332
110,T110,T110,Tom Gillis,97,1.597,2789,1746
111,T110,T110,Michael Sim,64,1.597,1811,1134
112,T110,T110,Scott Verplank,74,1.597,2099,1314
113,114,114,Chris Couch,66,1.598,1899,1188
114,T115,T115,Phil Mickelson,76,1.599,2188,1368
115,T115,T115,Ryan Palmer,84,1.599,2417,1512
116,117,117,Alex Prugh,88,1.6,2534,1584
117,118,118,Nicholas Thompson,88,1.6019999999999999,2537,1584
118,119,119,J.B. Holmes,100,1.6030000000000002,2886,1800
119,T120,T120,Daniel Chopra,74,1.604,2137,1332
120,T120,T120,Tim Clark,88,1.604,2454,1530
121,T120,T120,Brian Davis,101,1.604,2916,1818
122,T123,T123,Ian Poulter,55,1.605,1416,882
123,T123,T123,David Toms,86,1.605,2456,1530
124,125,125,Pat Perez,90,1.6059999999999999,2602,1620
125,T126,T126,Freddie Jacobson,83,1.607,2401,1494
126,T126,T126,Andres Romero,73,1.607,2112,1314
127,128,128,Nathan Green,86,1.608,2489,1548
128,129,129,Alex Cejka,81,1.609,2346,1458
129,T130,T130,Ernie Els,72,1.61,2029,1260
130,T130,T130,Scott McCarron,90,1.61,2608,1620
131,132,132,Justin Leonard,89,1.6119999999999999,2554,1584
132,133,133,Ryan Moore,80,1.614,2295,1422
133,T134,T134,Paul Casey,64,1.615,1686,1044
134,T134,T134,Ben Crane,85,1.615,2384,1476
135,T134,T134,Paul Goydos,78,1.615,2268,1404
136,T134,T134,Y.E. Yang,72,1.615,2035,1260
137,138,138,Scott Piercy,88,1.617,2562,1584
138,T139,T139,Stephen Ames,75,1.619,2157,1332
139,T139,T139,Jason Day,82,1.619,2390,1476
140,T139,T139,Josh Teater,101,1.619,2944,1818
141,142,142,Geoff Ogilvy,62,1.6230000000000002,1753,1080
142,143,143,Tim Petrovic,105,1.624,3069,1890
143,144,144,Jason Bohn,84,1.625,2457,1512
144,145,145,Rory McIlroy,54,1.626,1522,936
145,T146,T146,Robert Allenby,76,1.6280000000000001,2169,1332
146,T146,T146,James Driscoll,78,1.6280000000000001,2286,1404
147,T146,T146,Rickie Fowler,98,1.6280000000000001,2871,1764
148,T146,T146,Bo Van Pelt,104,1.6280000000000001,3048,1872
149,T150,T150,Ricky Barnes,103,1.629,3020,1854
150,T150,T150,George McNeill,79,1.629,2316,1422
151,T150,T150,Nick Watney,91,1.629,2580,1584
152,153,153,Dustin Johnson,83,1.631,2408,1476
153,154,154,Lee Janzen,77,1.632,2262,1386
154,T155,T155,Vaughn Taylor,87,1.633,2557,1566
155,T155,T155,Bubba Watson,77,1.633,2264,1386
156,157,157,Michael Letzig,84,1.6340000000000001,2471,1512
157,T158,T158,Marc Leishman,87,1.635,2561,1566
158,T158,T158,Rocco Mediate,71,1.635,2089,1278
159,T158,T158,Camilo Villegas,78,1.635,2119,1296
160,T161,T161,Ángel Cabrera,64,1.6380000000000001,1857,1134
161,T161,T161,Stewart Cink,84,1.6380000000000001,2358,1440
162,T161,T161,Bill Haas,87,1.6380000000000001,2565,1566
163,164,164,Rod Pampling,77,1.639,2271,1386
164,T165,T165,Jonathan Byrd,85,1.641,2511,1530
165,T165,T165,Chad Campbell,94,1.641,2747,1674
166,T165,T165,Steve Marino,81,1.641,2392,1458
167,T168,T168,Bob Estes,79,1.6440000000000001,2338,1422
168,T168,T168,Hunter Mahan,85,1.6440000000000001,2486,1512
169,T168,T168,John Rollins,81,1.6440000000000001,2397,1458
170,171,171,Ben Curtis,78,1.645,2309,1404
171,172,172,Brett Quigley,96,1.646,2844,1728
172,173,173,Lucas Glover,75,1.6469999999999998,2194,1332
173,174,174,Martin Laird,91,1.649,2701,1638
174,175,175,Roland Thatcher,72,1.65,2138,1296
175,176,176,D.A. Points,90,1.652,2677,1620
176,177,177,Will MacKenzie,72,1.6540000000000001,2144,1296
177,178,178,Brett Wetterich,54,1.655,1609,972
178,T179,T179,Jason Dufner,87,1.656,2594,1566
179,T179,T179,Sean O'Hair,84,1.656,2444,1476
180,181,181,Vijay Singh,75,1.6580000000000001,2208,1332
181,182,182,Sergio Garcia,58,1.66,1554,936
182,T183,T183,Trevor Immelman,55,1.661,1644,990
183,T183,T183,Kevin Sutherland,86,1.661,2571,1548
184,185,185,Kenny Perry,69,1.665,2038,1224
185,186,186,D.J. Trahan,92,1.6680000000000001,2762,1656
186,T187,T187,Adam Scott,70,1.671,2045,1224
187,T187,T187,John Senden,103,1.671,3098,1854
188,189,189,Greg Owen,69,1.672,2077,1242
189,190,190,Davis Love III,79,1.68,2389,1422
190,191,191,Mathew Goggin,85,1.685,2578,1530
191,192,192,Troy Matteson,84,1.6909999999999998,2557,1512
