,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
109,110,110,John Rollins,92,19.63,325,1656,134
110,111,111,J.B. Holmes,74,19.59,261,1332,176
111,112,112,Brian Gay,96,19.56,338,1728,168
112,113,113,Bill Lunde,83,19.54,292,1494,46
113,114,114,Patrick Sheehan,51,19.5,179,918,15
114,115,115,Corey Pavin,73,19.48,256,1314,158
115,T116,T116,Bob Estes,78,19.44,273,1404,129
116,T116,T116,Sergio Garcia,59,19.44,203,1044,95
117,T116,T116,Cliff Kresge,78,19.44,273,1404,141
118,T119,T119,Colt Knost,71,19.41,248,1278,73
119,T119,T119,Johnson Wagner,81,19.41,283,1458,89
120,121,121,Mathew Goggin,76,19.37,258,1332,93
121,122,122,Nick O'Hern,90,19.32,313,1620,54
122,123,123,Heath Slocum,95,19.3,330,1710,32
123,124,124,Jimmy Walker,74,19.29,257,1332,149
124,125,125,Leif Olson,51,19.28,177,918,177
125,T126,T126,Retief Goosen,74,19.25,253,1314,170
126,T126,T126,Ian Poulter,59,19.25,194,1008,178
127,128,128,Vijay Singh,71,19.24,239,1242,75
128,129,129,Padraig Harrington,66,19.23,225,1170,175
129,130,130,Jeff Maggert,79,19.2,273,1422,22
130,T131,T131,Tommy Armour III,58,19.16,200,1044,44
131,T131,T131,Cameron Beckman,87,19.16,300,1566,98
132,133,133,Steve Elkington,70,19.13,241,1260,33
133,134,134,Tom Pernice Jr.,82,19.11,282,1476,118
134,135,135,Scott Sterling,51,19.06,175,918,13
135,T136,T136,Ryuji Imada,85,19.02,291,1530,172
136,T136,T136,Richard Johnson,85,19.02,291,1530,103
137,138,138,Jason Gore,74,18.99,253,1332,93
138,139,139,David Duval,56,18.95,191,1008,179
139,140,140,Parker McLachlin,71,18.94,242,1278,182
140,141,141,Will MacKenzie,69,18.92,235,1242,26
141,142,142,Jeff Klauk,97,18.9,330,1746,66
142,143,143,Kevin Stadler,65,18.89,221,1170,51
143,144,144,J.J. Henry,97,18.73,327,1746,24
144,145,145,Chris DiMarco,97,18.67,326,1746,125
145,146,146,Derek Fathauer,63,18.61,211,1134,180
146,147,147,Jay Williamson,69,18.6,231,1242,5
147,T148,T148,Adam Scott,53,18.59,174,936,162
148,T148,T148,Darron Stiles,52,18.59,174,936,90
149,150,150,Nathan Green,104,18.54,347,1872,161
150,151,151,Peter Tomasulo,61,18.49,203,1098,121
151,152,152,Carl Pettersson,86,18.48,286,1548,167
152,153,153,David Mathis,82,18.43,272,1476,154
153,154,154,Brian Vranesh,51,18.41,169,918,140
154,155,155,Chez Reavie,81,18.38,268,1458,83
155,T156,T156,Glen Day,79,18.35,261,1422,62
156,T156,T156,Rocco Mediate,79,18.35,261,1422,90
157,T156,T156,Aron Price,89,18.35,294,1602,86
158,159,159,Steve Flesch,77,18.33,254,1386,57
159,160,160,Spencer Levin,75,18.3,247,1350,34
160,T161,T161,Stewart Cink,79,18.26,240,1314,144
161,T161,T161,Kent Jones,73,18.26,240,1314,96
162,163,163,Robert Allenby,71,18.25,230,1260,24
163,164,164,K.J. Choi,65,18.06,208,1152,81
164,165,165,Casey Wittenberg,71,17.92,229,1278,31
165,166,166,Bart Bryant,58,17.91,187,1044,163
166,167,167,Mark Brooks,55,17.88,177,990,137
167,168,168,Ken Duke,87,17.82,279,1566,153
168,169,169,Rick Price,54,17.8,173,972,69
169,170,170,Brad Adamonis,70,17.7,223,1260,158
170,171,171,Todd Hamilton,83,17.67,264,1494,143
171,172,172,Ben Curtis,63,17.56,196,1116,129
172,173,173,Peter Lonard,86,17.51,271,1548,114
173,174,174,Ricky Barnes,67,17.5,211,1206,23
174,175,175,Brian Bateman,55,17.27,171,990,119
175,176,176,Billy Mayfair,83,17.2,257,1494,68
176,177,177,Stuart Appleby,79,16.95,238,1404,150
177,178,178,Eric Axley,71,16.9,216,1278,183
178,179,179,Jarrod Lyle,65,16.67,195,1170,108
179,180,180,Brendon Todd,53,16.35,156,954,172
180,181,181,Marc Turnesa,77,16.09,223,1386,158
181,182,182,Greg Kraft,51,15.9,146,918,165
182,183,183,Tom Lehman,55,15.56,154,990,10
183,184,184,Brad Faxon,59,15.54,165,1062,184
