,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
78,79,79,D.J. Trahan,96,70.69,2050,29
79,80,80,Jason Dufner,90,70.74,2405,34
80,T81,T81,Michael Letzig,96,70.75,2264,32
81,T81,T81,Pat Perez,74,70.75,1698,24
82,83,83,Heath Slocum,95,70.77,2477,35
83,84,84,Mike Weir,85,70.79,2053,29
84,T85,T85,Ted Purdy,101,70.8,2124,30
85,T85,T85,Patrick Sheehan,51,70.8,1062,15
86,T85,T85,Charlie Wi,92,70.8,1770,25
87,T88,T88,Ángel Cabrera,55,70.81,1487,21
88,T88,T88,Scott McCarron,91,70.81,2266,32
89,T90,T90,Michael Allen,73,70.82,1558,22
90,T90,T90,Todd Hamilton,83,70.82,1558,22
91,92,92,Jay Williamson,69,70.83,1700,24
92,93,93,Glen Day,79,70.85,1417,20
93,94,94,Jason Day,61,70.87,1063,15
94,95,95,Vaughn Taylor,88,70.88,1701,24
95,96,96,Rod Pampling,72,70.89,1347,19
96,T97,T97,Stewart Cink,79,70.92,1844,26
97,T97,T97,Mathew Goggin,76,70.92,1702,24
98,99,99,Tim Herron,87,70.93,1986,28
99,100,100,Jim Furyk,86,70.95,1348,19
100,T101,T101,Ryan Moore,89,70.96,1845,26
101,T101,T101,Rory Sabbatini,81,70.96,1632,23
102,T101,T101,Boo Weekley,79,70.96,1703,24
103,T104,T104,D.A. Points,99,70.97,2200,31
104,T104,T104,Brett Quigley,92,70.97,2271,32
105,T104,T104,Jimmy Walker,74,70.97,2413,34
106,T107,T107,Harrison Frazar,93,71.0,1562,22
107,T107,T107,Adam Scott,53,71.0,994,14
108,109,109,Bubba Watson,73,71.04,1705,24
109,110,110,Kris Blanks,60,71.05,1421,20
110,111,111,Kevin Sutherland,96,71.06,2558,36
111,T112,T112,Brian Gay,96,71.08,2630,37
112,T112,T112,Jeff Klauk,97,71.08,1848,26
113,T112,T112,Hunter Mahan,94,71.08,1777,25
114,115,115,Webb Simpson,94,71.09,1564,22
115,116,116,Aaron Baddeley,66,71.12,1778,25
116,117,117,Lee Janzen,74,71.13,1707,24
117,T118,T118,Jeff Overton,92,71.17,1708,24
118,T118,T118,Vijay Singh,71,71.17,1281,18
119,120,120,Camilo Villegas,76,71.18,1566,22
120,121,121,John Rollins,92,71.19,2207,31
121,T122,T122,Mark Brooks,55,71.2,1780,25
122,T122,T122,Retief Goosen,74,71.2,1424,20
123,124,124,Tommy Armour III,58,71.23,1567,22
124,125,125,Kent Jones,73,71.24,1781,25
125,126,126,Steve Elkington,70,71.25,1140,16
126,T127,T127,Bart Bryant,58,71.26,1354,19
127,T127,T127,Daniel Chopra,89,71.26,1924,27
128,T127,T127,Cliff Kresge,78,71.26,1354,19
129,130,130,Ryan Palmer,78,71.28,1782,25
130,131,131,Cameron Beckman,87,71.29,2210,31
131,132,132,Steve Lowery,83,71.31,2496,35
132,133,133,Briny Baird,89,71.33,1070,15
133,T134,T134,Ben Curtis,63,71.35,1641,23
134,T134,T134,Charles Howell III,99,71.35,2212,31
135,T136,T136,Brad Adamonis,70,71.36,1784,25
136,T136,T136,Ian Poulter,59,71.36,785,11
137,T136,T136,Brendon Todd,53,71.36,785,11
138,T136,T136,Peter Tomasulo,61,71.36,785,11
139,140,140,Ryuji Imada,85,71.37,2141,30
140,T141,T141,Mark Calcavecchia,72,71.39,1999,28
141,T141,T141,Martin Laird,72,71.39,1285,18
142,143,143,K.J. Choi,65,71.41,1571,22
143,T144,T144,John Merrick,91,71.43,1643,23
144,T144,T144,Kirk Triplett,60,71.43,1500,21
145,146,146,Colt Knost,71,71.45,1429,20
146,T147,T147,Sergio Garcia,59,71.47,1072,15
147,T147,T147,Freddie Jacobson,83,71.47,2144,30
148,149,149,Jason Gore,74,71.48,1930,27
149,T150,T150,Paul Goydos,79,71.5,2145,30
150,T150,T150,Brian Vranesh,51,71.5,1430,20
151,152,152,Nathan Green,104,71.51,2503,35
152,153,153,Gary Woodland,53,71.53,1073,15
153,154,154,Darron Stiles,52,71.55,787,11
154,155,155,Steve Flesch,77,71.57,2147,30
155,156,156,Anthony Kim,76,71.58,1360,19
156,T157,T157,Rocco Mediate,79,71.62,2435,34
157,T157,T157,Tag Ridings,50,71.62,931,13
158,159,159,John Mallinger,90,71.63,2507,35
159,160,160,Peter Lonard,86,71.71,1721,24
160,161,161,Carl Pettersson,86,71.72,2295,32
161,162,162,Chez Reavie,81,71.73,2152,30
162,163,163,Tom Pernice Jr.,82,71.74,1363,19
163,164,164,Andres Romero,58,71.78,1651,23
164,165,165,Ricky Barnes,67,71.82,1580,22
165,166,166,Will MacKenzie,69,71.83,1293,18
166,167,167,Jarrod Lyle,65,71.84,1365,19
167,168,168,David Mathis,82,71.85,1437,20
168,169,169,Stuart Appleby,79,71.88,1725,24
169,170,170,J.B. Holmes,74,72.07,2162,30
170,171,171,Billy Mayfair,83,72.13,2164,30
171,172,172,Greg Kraft,51,72.24,1228,17
172,173,173,Parker McLachlin,71,72.39,1665,23
173,174,174,Leif Olson,51,72.43,1014,14
174,175,175,David Duval,56,72.44,1159,16
175,176,176,Brad Faxon,59,72.57,1524,21
176,177,177,Jeff Quinney,78,72.64,1598,22
177,T178,T178,Tom Lehman,55,72.72,1309,18
178,T178,T178,Phil Mickelson,66,72.72,1309,18
179,180,180,Padraig Harrington,66,72.73,1091,15
180,181,181,Brian Bateman,55,72.77,946,13
181,182,182,Eric Axley,71,73.08,1827,25
182,183,183,Rick Price,54,73.27,806,11
183,184,184,Marc Turnesa,77,73.79,2140,29
